Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000708,1.003302,-0.001004,0.001000
1.000173,1.005510,-0.001756,-0.000931
1.000658,1.009326,-0.002509,-0.001645
1.000222,1.013451,-0.003262,0.001087
1.000280,1.016378,-0.001004,-0.001606
1.000226,1.019409,-0.001756,0.001143
1.000468,1.022540,-0.001004,0.001919
1.000634,1.025913,0.000753,0.003697
0.999528,1.027725,-0.000000,0.001231
0.999584,1.030776,0.000001,0.002011
1.000599,1.034415,0.000754,0.002043
0.999973,1.038222,0.000756,0.000308
1.000749,1.042116,-0.001754,0.003878
1.000561,1.044304,-0.001751,0.002136
1.001048,1.047311,0.001524,0.002167
1.001864,1.051354,0.000769,0.003987
1.001907,1.053484,-0.000990,0.003257
1.000526,1.056573,-0.001746,0.004063
1.000238,1.060468,-0.000989,0.004102
1.000596,1.063141,0.000020,0.003361
1.000685,1.066364,0.000020,0.004177
1.001795,1.070881,-0.000984,0.004216
1.002294,1.075244,0.002302,0.003472
1.002567,1.079133,0.002308,0.003509
1.001415,1.083218,-0.000974,0.007217
1.001392,1.085873,0.000807,0.004371
1.002628,1.089843,0.001576,0.007315
1.001616,1.093703,0.000054,0.008159
1.001984,1.096438,0.002352,0.005556
1.002448,1.099807,0.000838,0.008262
1.003228,1.102262,0.002383,0.008309
1.003426,1.106329,0.000089,0.010243
1.003676,1.110271,0.000098,0.007611
1.003503,1.113184,0.008087,0.012249
1.004681,1.116175,0.004770,0.015290
1.006084,1.120163,0.004022,0.014557
1.007206,1.122321,0.007428,0.011635
1.008831,1.125127,0.010595,0.017444
1.011305,1.128583,0.011436,0.017532
1.013580,1.131551,0.018052,0.021486
1.016452,1.136252,0.023149,0.029619
1.019593,1.138373,0.028013,0.035586
1.023556,1.141843,0.037442,0.046619
1.028185,1.145612,0.049093,0.059685
1.031850,1.149173,0.067529,0.073712
1.035352,1.151966,0.088005,0.097138
1.038796,1.155710,0.115391,0.127592
1.042666,1.160863,0.154730,0.165065
1.047047,1.162370,0.206935,0.218291
1.049445,1.163927,0.268350,0.271907
