Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
0.999833,0.999765,0.000000,0.000000
0.999888,0.999379,-0.001110,0.000000
1.000383,0.999575,-0.000555,0.000000
1.001209,1.000530,-0.000555,0.000000
1.001174,1.000354,-0.002220,0.000000
1.000824,1.000361,0.000000,0.000000
1.000747,1.000922,-0.001110,0.000000
0.999408,0.999956,-0.002220,0.000000
0.999499,1.000439,0.000000,0.000000
0.999503,1.000193,-0.001665,0.000000
0.999163,1.000533,0.001110,0.001467
0.999676,1.001447,0.001858,0.003790
0.999688,1.001775,-0.001107,0.000012
1.001035,1.003397,0.000005,0.000012
1.001885,1.003748,-0.000551,0.000012
1.002213,1.003504,0.000005,0.000012
1.002303,1.005375,0.000561,0.000853
1.003522,1.004995,-0.000551,0.000014
1.003474,1.005090,-0.000551,0.000014
1.003050,1.004826,-0.000551,0.000855
1.003395,1.005382,-0.001107,0.000014
1.003699,1.005224,0.000561,0.000855
1.003293,1.005482,-0.000551,0.000855
1.002289,1.004803,-0.000551,0.000014
1.001130,1.003848,0.000005,0.000014
1.001156,1.004097,-0.001663,0.000014
1.000610,1.003139,-0.001663,0.000014
1.000135,1.002769,0.000005,0.000014
1.001027,1.003239,0.003538,0.003809
1.001488,1.003538,0.001128,0.000870
1.002631,1.004162,0.002990,0.000871
1.004969,1.006385,0.001885,0.002364
1.007383,1.009118,0.003576,0.005345
1.009769,1.009237,0.004156,0.003879
1.011931,1.010783,0.002483,0.006240
1.015543,1.012916,0.004191,0.008401
1.019529,1.015214,0.005913,0.010790
1.022638,1.016947,0.008409,0.012982
1.026161,1.017863,0.010726,0.016266
1.028511,1.018114,0.013828,0.021527
1.032757,1.019743,0.019263,0.024639
1.037062,1.022085,0.022808,0.032572
1.041491,1.023236,0.031990,0.042740
1.046912,1.025592,0.043002,0.056061
1.050541,1.026824,0.056440,0.071898
1.053924,1.030141,0.072523,0.089181
1.060599,1.034304,0.093661,0.113923
1.066388,1.036875,0.121702,0.140375
1.070567,1.040418,0.156733,0.179576
1.074062,1.042498,0.194639,0.215888
