Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.001932,1.002168,0.000000,0.000000
1.003087,1.003525,-0.000540,-0.001221
1.005971,1.008191,0.000014,-0.000510
1.008595,1.010984,0.001851,0.001265
1.011191,1.013871,0.000584,0.000753
1.013656,1.018112,0.000598,0.000770
1.017222,1.021170,0.003553,0.000786
1.021064,1.025230,0.001359,-0.000445
1.024391,1.029570,0.000077,0.003319
1.027613,1.032977,0.000646,0.001373
1.030516,1.036594,0.000100,0.001391
1.033153,1.040702,0.000668,0.000148
1.037389,1.044771,0.000680,0.001424
1.040405,1.048577,0.001441,0.000900
1.042350,1.052910,-0.000425,0.003460
1.044641,1.055482,0.001464,0.000934
1.047652,1.058167,0.002047,0.002231
1.052042,1.062763,0.001494,0.002801
1.056025,1.066761,0.002079,0.002826
1.058880,1.069454,0.002097,0.000269
1.061628,1.072650,0.002687,0.001580
1.065898,1.076818,0.003280,0.003640
1.070331,1.080820,0.002726,0.002923
1.074809,1.085339,0.003325,0.004251
1.076944,1.087666,0.003927,0.005031
1.080215,1.089955,0.002787,0.002997
1.085249,1.094440,0.002807,0.005095
1.089377,1.098277,0.003998,0.005130
1.093509,1.102055,0.004611,0.004407
1.096710,1.105718,0.005228,0.005772
1.101004,1.109609,0.004077,0.006568
1.104686,1.113466,0.004100,0.006606
1.108999,1.117220,0.005911,0.006643
1.112044,1.120188,0.005941,0.007455
1.115693,1.124192,0.008569,0.007501
1.118876,1.127555,0.009816,0.010267
1.121587,1.131127,0.010467,0.010323
1.124697,1.134151,0.012334,0.012335
1.128072,1.137687,0.015025,0.014560
1.130318,1.141323,0.015706,0.017397
1.133823,1.145625,0.019656,0.021045
1.136583,1.149417,0.022199,0.024530
1.139513,1.153599,0.030736,0.030436
1.142352,1.157317,0.037264,0.037587
1.145218,1.161844,0.046341,0.050635
1.147727,1.166134,0.062770,0.063587
1.151710,1.171549,0.084342,0.085404
1.155351,1.176885,0.114936,0.113884
1.158073,1.180851,0.156526,0.153489
1.160474,1.182922,0.205255,0.199380
