Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.002745,1.003870,0.000850,0.003535
1.006083,1.007616,0.002529,0.005612
1.008905,1.011642,0.000908,0.003757
1.011608,1.014963,0.003429,0.005843
1.014578,1.019168,0.001800,0.003979
1.017329,1.023759,0.004343,0.002607
1.019562,1.027274,0.005226,0.009683
1.021672,1.031187,0.004430,0.015295
1.024477,1.035125,0.004475,0.011452
1.026770,1.038874,0.005368,0.013590
1.028182,1.042665,0.002014,0.013737
1.029626,1.046326,0.005459,0.017397
1.031305,1.049994,0.004651,0.016033
1.032129,1.053415,0.005550,0.016181
1.033274,1.057480,0.003876,0.014297
1.034877,1.060587,0.003053,0.017993
1.035744,1.064271,0.004824,0.023740
1.037003,1.067188,0.004000,0.021869
1.038475,1.071084,0.006660,0.020496
1.038310,1.073153,0.007880,0.018611
1.038713,1.075361,0.009695,0.018773
1.039522,1.077558,0.006815,0.020973
1.040103,1.079303,0.005982,0.019052
1.040472,1.081102,0.006917,0.024880
1.041303,1.082269,0.008157,0.026586
1.040655,1.084160,0.007019,0.019478
1.040752,1.084302,0.010960,0.028995
1.043564,1.086785,0.010131,0.030731
1.047619,1.089039,0.014711,0.030908
1.050395,1.090442,0.014801,0.033187
1.052725,1.091338,0.014891,0.031260
1.055722,1.092549,0.019848,0.038813
1.058332,1.093073,0.019954,0.044810
1.060747,1.093712,0.022818,0.047133
1.064338,1.095022,0.023857,0.052650
1.068668,1.096351,0.029861,0.058733
1.071991,1.096612,0.034982,0.062692
1.075450,1.098034,0.038888,0.072564
1.079344,1.098980,0.045016,0.087809
1.083179,1.099829,0.050888,0.093478
1.088217,1.101301,0.059012,0.105615
1.093218,1.102782,0.072266,0.124813
1.097028,1.103401,0.083400,0.142500
1.100643,1.103587,0.100685,0.167831
1.105023,1.104909,0.120028,0.200909
1.109336,1.105598,0.147605,0.241730
1.113813,1.106846,0.179256,0.290970
1.119087,1.108025,0.219327,0.347479
1.121584,1.108977,0.271116,0.422387
1.124241,1.109780,0.318094,0.487179
