Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
0.999838,1.002052,0.000000,0.000932
0.999726,1.004469,0.000913,-0.000856
0.999287,1.008002,0.000913,0.000989
0.998679,1.010468,0.000913,0.001014
0.998731,1.013100,0.000000,0.002876
0.998417,1.015886,0.000913,0.002909
0.998147,1.018987,0.000913,0.002019
0.998116,1.021341,0.000000,0.002975
0.997710,1.023747,0.000913,0.003010
0.997620,1.026577,0.000000,0.004899
0.998253,1.029243,0.001601,0.004939
0.998180,1.031944,0.001601,0.004049
0.998063,1.034550,0.000003,0.005019
0.998715,1.037256,0.002519,0.005059
0.998480,1.040100,0.001606,0.005100
1.000954,1.043346,0.003454,0.006398
1.001155,1.045420,0.001623,0.006438
1.002536,1.048016,0.002549,0.006483
1.004268,1.050570,0.001640,0.006523
1.005048,1.053134,0.003491,0.006566
1.006696,1.055833,0.002584,0.008517
1.008076,1.057813,0.005145,0.005378
1.010042,1.060728,0.001680,0.006694
1.011836,1.062429,0.005192,0.010571
1.013612,1.064743,0.005216,0.011587
1.015523,1.067408,0.003596,0.011645
1.017624,1.070182,0.005264,0.014608
1.019883,1.072243,0.005999,0.012731
1.022216,1.074622,0.006973,0.012797
1.023960,1.076767,0.008668,0.017092
1.025771,1.078702,0.007752,0.019123
1.028383,1.080908,0.009460,0.020189
1.030636,1.083156,0.008783,0.025195
1.033149,1.085665,0.013876,0.026624
1.036316,1.087320,0.014664,0.029696
1.039171,1.089184,0.015698,0.033783
1.042235,1.090826,0.020878,0.039235
1.045667,1.092716,0.022676,0.045708
1.049453,1.094652,0.027931,0.050891
1.053668,1.096363,0.034952,0.059469
1.058736,1.098594,0.041299,0.072137
1.064062,1.100823,0.050183,0.080832
1.069183,1.103113,0.062878,0.099047
1.074254,1.105364,0.073680,0.115336
1.079593,1.107172,0.092623,0.137852
1.084682,1.111246,0.114502,0.164991
1.089880,1.114064,0.141677,0.196392
1.095539,1.117446,0.175653,0.237648
1.099386,1.119417,0.214351,0.284368
1.102689,1.121121,0.257975,0.334765
