Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
0.999921,1.000066,0.000000,0.000000
1.000372,1.000240,-0.001794,0.001273
1.000612,1.000068,-0.000537,0.001273
1.001318,1.000332,0.000002,0.002122
1.001130,1.001228,-0.001792,0.002762
1.001640,1.001159,0.000006,0.000639
1.002035,1.001547,-0.001252,0.002763
1.001995,1.001193,-0.001251,0.002126
1.002505,1.001154,0.000729,0.000001
1.003003,1.001299,-0.000529,0.001276
1.003855,1.001472,-0.000524,0.001276
1.004069,1.001429,0.000016,0.000639
1.004182,1.001419,-0.001244,0.002763
1.004014,1.001361,0.000019,0.000639
1.004216,1.001874,-0.001243,0.003402
1.004667,1.001989,-0.001242,0.002764
1.004958,1.002611,0.000020,0.000641
1.004767,1.003172,-0.001783,0.002770
1.004808,1.003475,0.000023,0.001281
1.005226,1.004786,-0.001240,0.002779
1.005255,1.005060,-0.001239,0.002779
1.005442,1.005707,-0.000515,0.001288
1.005169,1.005971,0.000027,0.001289
1.005857,1.006537,-0.000513,0.002786
1.006246,1.007953,0.000032,0.004075
1.005477,1.009395,-0.001234,0.003441
1.007100,1.011131,0.000036,0.003447
1.007331,1.013054,-0.000505,0.004750
1.007793,1.015454,0.000045,0.005413
1.008943,1.017766,0.000052,0.004781
1.010104,1.020510,-0.000489,0.007404
1.012251,1.022520,0.000796,0.007428
1.014624,1.024461,0.001358,0.007450
1.017799,1.027494,0.001375,0.009009
1.020464,1.029245,0.002864,0.011019
1.024291,1.032049,0.002148,0.011713
1.027646,1.033996,0.004766,0.015290
1.031349,1.036808,0.006841,0.018678
1.035416,1.039108,0.008193,0.020088
1.040143,1.042255,0.012749,0.025747
1.045395,1.044413,0.016217,0.028094
1.050978,1.046991,0.021612,0.037226
1.055862,1.050151,0.028387,0.048683
1.061255,1.053284,0.036770,0.057958
1.066197,1.056621,0.049067,0.073725
1.071133,1.060123,0.064388,0.092574
1.075562,1.063360,0.080475,0.112953
1.080602,1.067407,0.107025,0.143020
1.086353,1.070914,0.146241,0.183309
1.089597,1.073421,0.192940,0.231143
