Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
0.999613,0.999693,-0.002384,0.002710
1.000601,1.000110,-0.001512,0.001626
1.000327,1.000456,-0.003032,0.002710
1.000483,1.003336,-0.003031,0.004347
1.001520,1.003878,-0.000855,0.000819
1.001347,1.003842,-0.001507,0.000819
1.001537,1.004539,-0.002375,0.003536
1.001422,1.007480,0.000017,0.006814
1.001304,1.008677,-0.002374,0.003554
1.001951,1.008807,-0.001500,0.002736
1.001964,1.009718,-0.001500,0.002736
1.001843,1.012248,-0.003023,0.004384
1.001789,1.012729,-0.000843,0.003566
1.001495,1.014652,-0.000843,0.002752
1.001753,1.018212,-0.002367,0.005230
1.001730,1.020526,-0.001494,0.006071
1.001483,1.022668,-0.001492,0.004429
1.001556,1.024915,-0.000834,0.004438
1.001479,1.027783,0.000044,0.005281
1.001058,1.030340,-0.001486,0.004463
1.000812,1.033589,-0.000828,0.006142
1.000760,1.036997,-0.000824,0.004489
1.000134,1.039926,-0.001478,0.004504
1.000660,1.042301,0.000063,0.007028
1.000613,1.044919,-0.001467,0.007888
1.000505,1.047406,-0.000803,0.007905
1.000567,1.049773,0.000084,0.008771
1.000482,1.052263,-0.000788,0.005412
1.001675,1.054694,0.000104,0.007971
1.002495,1.056907,0.000117,0.010828
1.002870,1.058960,0.001681,0.009723
1.004313,1.061547,0.003261,0.010888
1.005377,1.063635,0.001725,0.012635
1.006277,1.065406,0.001747,0.014389
1.007959,1.066886,0.003343,0.016153
1.010917,1.069223,0.004273,0.017062
1.013907,1.070776,0.003402,0.020865
1.017365,1.072865,0.006611,0.022671
1.020318,1.074264,0.009843,0.027101
1.024000,1.076076,0.014016,0.032737
1.028031,1.077529,0.018231,0.038405
1.032244,1.079266,0.025483,0.046742
1.036416,1.080967,0.032101,0.060461
1.040631,1.082304,0.044584,0.073647
1.045459,1.085147,0.060467,0.094988
1.049610,1.087256,0.080707,0.119440
1.053968,1.089927,0.106118,0.151533
1.058898,1.091407,0.140716,0.194076
1.063036,1.093533,0.187600,0.245379
1.065617,1.095338,0.235580,0.298768
