Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000037,1.004130,-0.001042,0.002190
1.000171,1.008035,-0.001822,-0.004583
1.000286,1.012193,0.000009,-0.000958
1.000203,1.016520,-0.001818,0.001242
1.001105,1.020100,-0.001029,0.004538
1.001228,1.023409,-0.002858,-0.000847
1.001117,1.027603,-0.001022,-0.000807
1.000951,1.030885,-0.001021,-0.000770
1.000891,1.034182,0.000031,0.002546
1.001242,1.038036,0.000041,0.004785
1.000900,1.041830,-0.001792,0.004838
1.001032,1.045511,-0.001001,0.004894
1.001094,1.048635,0.000058,0.004947
1.001020,1.052247,-0.001776,0.007208
1.000964,1.056004,-0.000981,0.006162
1.000632,1.059630,0.000080,0.007335
1.000850,1.062843,-0.000965,0.008509
1.001162,1.065572,0.000104,0.010061
1.001045,1.068729,0.000120,0.010120
1.001958,1.072183,0.000134,0.010185
1.002094,1.074832,0.000151,0.010257
1.002467,1.078010,0.002041,0.012592
1.003254,1.080703,0.002064,0.012668
1.004232,1.083217,0.000205,0.013887
1.005046,1.085260,0.003192,0.016238
1.006376,1.087172,0.004030,0.016321
1.009021,1.088336,0.002159,0.018687
1.010775,1.089729,0.004093,0.018778
1.013274,1.091283,0.005216,0.021168
1.015853,1.092848,0.007169,0.020121
1.018805,1.094120,0.009140,0.027542
1.021734,1.094785,0.009191,0.028824
1.024714,1.095921,0.011179,0.032438
1.028123,1.096645,0.015952,0.037631
1.032511,1.097639,0.017148,0.037783
1.036934,1.098554,0.019195,0.046541
1.040759,1.099236,0.025176,0.052613
1.044467,1.099865,0.031216,0.059103
1.048715,1.101047,0.036455,0.067606
1.052764,1.102158,0.041451,0.077746
1.057305,1.103991,0.049898,0.084374
1.061586,1.105275,0.062146,0.101784
1.065890,1.107327,0.078521,0.122080
1.070176,1.109359,0.090100,0.138907
1.074765,1.111095,0.109904,0.165446
1.079151,1.112929,0.129856,0.192187
1.083972,1.114543,0.158183,0.226703
1.088355,1.116912,0.195198,0.270411
1.093668,1.118723,0.244637,0.329403
1.096267,1.119848,0.296852,0.387071
