sgmxx sgmyy sgmxy
1.511273524101852672e-07 -8.237070581174066319e-09 1.783030056934364893e-09
6.083778458787492127e-08 -6.604997881964891349e-09 2.147542366159882476e-09
-1.398824451825930737e-07 -4.123805741329533703e-09 1.943368355128427538e-09
-3.997933717414525745e-08 -3.279402083222748843e-09 2.174646240860056423e-09
1.030299756621388951e-07 -3.368794576630307347e-09 2.017357836336941546e-09
-2.247013100031836075e-07 -2.655138109375343447e-09 1.794399739907248659e-09
-1.422101658654639778e-09 -5.251555634799842665e-09 2.229973761203041249e-09
3.403150685699074529e-07 -1.018323203538784583e-08 6.883980052663218885e-10
-4.158768547313229647e-07 -4.618273763412616972e-09 1.286076134476843436e-09
-3.779601343012473080e-08 -4.358824065575639395e-11 1.315710873583952889e-09
-9.830052327686189528e-09 -2.610477611852957125e-09 2.229979756407374225e-09
1.070973620898030276e-08 -3.588648711527753221e-09 2.193711434728129461e-09
-2.808123866770984023e-08 -3.356949385135976627e-09 2.217591887898606728e-09
-9.316289606431382708e-08 -1.024762830148517878e-09 2.096647744309620975e-09
-4.285215027266531251e-08 9.729200778352264933e-10 1.821911399524367425e-09
9.277247414729572483e-08 -1.669130167414323296e-09 2.172858781790409921e-09
3.025525927569105988e-07 5.919336687476572934e-10 1.431475604718457362e-09
-2.877339682072488358e-07 4.667873199082350766e-09 1.688311823677679513e-09
4.539820075422085210e-09 -3.574172735554270730e-09 2.155515765878135426e-09
1.801532221179513726e-06 -1.003516825193173645e-08 -7.019349101966554372e-09
-1.373365876133902930e-06 -2.810260912866624494e-09 2.818398465997962177e-11
-1.709061194787864224e-07 -8.219989688917905823e-10 2.123649922580739258e-09
3.878327845541207353e-07 3.866213127423634432e-09 -1.306708491410901729e-10
-5.579220214713132009e-07 2.935255094538291587e-10 6.804312113750654589e-10
1.407545902054607723e-08 -2.848203672911608919e-09 2.231184126344487595e-09
1.559506657144993369e-08 -5.118135915083144027e-10 2.229760598382313219e-09
-4.107165452182925947e-08 1.905440027982763240e-09 2.186975489593123712e-09
8.371868176482166746e-08 2.275883259628130872e-09 2.230122309043736095e-09
3.308666052248554479e-08 7.451288475124329125e-09 1.754191569780516602e-09
-2.208283547133760294e-07 2.638012297495606617e-08 1.998207377340577295e-09
-1.080354206095535119e-08 6.690809239984218948e-09 7.141544577926595139e-10
-1.976867025632600416e-07 -9.460801031480059464e-09 1.615273470534361877e-09
2.077529046573545202e-07 -1.030738167173694819e-05 2.310451741038832552e-08
1.126955950780939020e-07 -5.365584001992829144e-06 6.159575960396068695e-09
-1.547768846421604394e-07 -6.040023436071351171e-06 9.711776272069982952e-09
2.951726685296307551e-07 -3.442040679146884941e-06 -1.081508327338553954e-09
1.386480619203211972e-07 -2.627436697366647422e-05 2.484262218160893099e-08
3.991382016010902589e-07 -3.159097786920028739e-06 -8.967923070812844344e-10
1.110073810650646919e-07 -1.647853631325801871e-09 1.730222298768069322e-09
-2.098461209243396297e-07 -2.700528602872509509e-05 9.267567691040312639e-08
2.654158777204429498e-07 -5.895422418689122424e-06 9.549993684743185440e-09
-1.959226523240431561e-07 -3.621610403570230119e-06 8.026327380505904330e-10
-3.790062805819616187e-07 -3.669489160529337823e-06 1.340624833368053714e-09
1.840705294853250962e-07 -3.437611212575575337e-06 -9.111114640525386221e-10
-5.914772600590367801e-07 -3.374860398253076710e-06 6.509859873382595197e-10
8.505266180236503715e-08 -6.268042852752842009e-06 1.181453779253160974e-08
-1.457817866423738451e-08 -3.430184051467222162e-06 -5.498144717286379546e-10
4.845015837418031879e-07 4.538577152990441732e-11 -1.101393110047865775e-08
-9.449931894778274000e-07 -1.239609837000443804e-08 -5.362552180088187015e-09
8.869565135682933033e-07 1.169060936945243157e-08 -7.683727432095110998e-09
-4.805067987945221830e-07 -2.544984489816215500e-08 -3.809960680278834388e-10
5.463076746536899009e-08 1.114036152216613118e-08 -1.293978701966125300e-08
-1.420931425855087582e-07 -3.536661807856944506e-08 -1.002580329867441833e-08
4.077310222783125937e-07 -3.406696123420260847e-06 -1.463413390467849240e-09
3.007977795732585946e-07 -2.046206191153032705e-06 -6.222789394882966008e-09
-3.361683411640115082e-07 -6.676157404683635832e-10 1.614911204761426688e-09
1.657354147255318821e-07 3.999073516780526916e-09 2.254948006097379221e-09
8.007987872815647279e-08 1.445039377045986839e-08 -5.348942955230029384e-10
1.251579391237100936e-07 -6.049942413710596156e-08 7.512236388507176343e-10
-1.940198757210964686e-08 1.031650431748687424e-09 2.166914203627356983e-09
1.970973251275154325e-08 -6.866481688794223714e-11 2.234484597352093260e-09
7.918061761813532939e-09 4.204734338486559864e-08 2.268996546206381026e-09
4.320677859936949972e-08 -3.459332598154674088e-09 2.058425874196245786e-09
-1.372266744681382988e-08 -8.926730465930177161e-10 1.641420666054216326e-09
-1.056799874277203344e-07 -1.085335128436781815e-07 1.892741297027100700e-09
-2.552405078404262895e-07 4.702612077522871914e-09 7.722655293029845325e-10
1.873894461823510937e-07 -1.041913151311746333e-07 1.663337356738736617e-09
1.338304173259530216e-06 -2.505402335373219103e-05 5.601805241894908249e-08
3.488365507564594736e-07 -4.865436039835913107e-06 3.700708406384478621e-09
8.448755011158937123e-07 -6.350223884510342032e-06 8.086385783201421873e-09
4.015317358607717324e-07 -3.695524355862289667e-06 -3.940777981714660427e-10
1.926407549035502598e-06 -3.421753945076488890e-06 -4.580520407415633599e-09
8.341668262801249512e-07 -2.935972815976128913e-06 -3.934942149896869523e-09
1.068773485712881666e-06 -4.337571681389817968e-06 2.580407554297892148e-10
2.093828470606240444e-06 -3.800097147177439183e-06 -1.461759491228065144e-09
3.290641359399160137e-07 -4.822915798285976052e-06 4.730304481448399656e-10
3.406154007734585321e-07 -1.599593269929755479e-05 1.657675952060344571e-08
9.978841575275509967e-08 -8.466536360884902024e-10 1.535892413251360722e-09
-1.375232159261940978e-07 -1.388524196954676881e-05 5.224505272849455650e-08
5.044153539301987621e-08 -3.004653626703657210e-05 1.561411266948198318e-07
-7.207790275742809172e-08 -5.841007350682048127e-06 1.368160518211425369e-08
2.098619944490565103e-07 -3.360162509125075303e-06 -1.346146638603329393e-09
