sgmxx sgmyy sgmxy
1.261523436824063538e-07 -5.412096548695899401e-09 8.025888842411177393e-10
5.544659842371402192e-08 -4.999809455341619469e-09 1.192236642744148867e-09
-1.189085949704349332e-07 -3.087057942607884797e-09 1.015981188068337815e-09
-4.207048576176930510e-08 -1.435814467320994936e-09 1.244080061191255027e-09
9.003408507624044432e-08 -1.352388423470074486e-09 1.046064124210488444e-09
-1.828243085810754565e-07 -3.369135415098867270e-09 8.802693574061493109e-10
5.701976224514737623e-09 -5.543355996451282408e-09 1.316304842902127348e-09
2.725138870118826162e-07 -6.061672497281733740e-09 -2.828539347188296915e-10
-3.346088988109841011e-07 -4.436643052940780763e-09 4.096077088622251949e-10
-2.944142352134804241e-08 5.929127411263834802e-09 3.748353849530872139e-10
5.638219668924193684e-09 5.521879620218328455e-10 1.317765452313324204e-09
1.714267305885641690e-08 -2.576408641985494796e-09 1.256645676406265011e-09
-2.604086546398320934e-08 -4.920819307585588831e-09 1.297033369596078956e-09
-8.194758294166604173e-08 1.340649147252293005e-09 1.166641561134440508e-09
-3.530384873329239781e-08 5.191704843809930026e-09 8.748682334136503869e-10
8.035510035142579000e-08 -1.407135852282692667e-09 1.209085054298952855e-09
2.503821576738118893e-07 -2.040122792923426687e-10 4.295269973031423660e-10
-2.348818526343166013e-07 1.045948105904415115e-09 7.822020808845309148e-10
-6.256071660715178950e-09 -4.163823508207542545e-09 1.391786019766527716e-09
1.368653101962991059e-06 -3.058721720350376927e-09 -7.235312793341108772e-09
-1.048085891852679197e-06 -4.646172335753817606e-09 -6.820440878740896551e-10
-1.165446263939884375e-07 2.871255011527296119e-09 1.389184434152923586e-09
3.074530638969008578e-07 9.747802565129859431e-09 -1.049840769873355839e-09
-4.318258675084507558e-07 -2.134056931168970550e-09 -1.578222968978693075e-10
-1.474845046089967582e-08 -4.924075813761419340e-09 1.437358565503643604e-09
4.077583426465025696e-08 1.759540291246253219e-09 1.303847807498925704e-09
-3.577423512979294173e-08 2.108931695943283557e-09 1.248386949370683396e-09
7.190558903857890982e-08 2.826377354381293117e-09 1.265896054647441815e-09
3.104599954895093106e-08 1.092626611409741599e-08 7.896004405871792642e-10
-1.848256516723267850e-07 2.612550353831011307e-08 1.080524225649526215e-09
-2.486811645496800338e-09 1.004774308199785082e-08 -2.101209206628595894e-10
-1.526857147382543189e-07 -1.304445884642291276e-08 6.966059951096781333e-10
1.537110279059561435e-07 -1.055899519997183233e-05 2.701684387318437075e-08
9.761062358393246541e-08 -5.498120117408689111e-06 8.254963823617345042e-09
-1.215007472410434275e-07 -6.186694918142165989e-06 1.209275968250267397e-08
2.280064137494264287e-07 -3.527650505930068903e-06 4.347321391762193343e-10
1.074860307426206418e-07 -2.693113492568954825e-05 2.994081071960863483e-08
2.979557791604747763e-07 -3.236243628634838387e-06 -3.491083810924777708e-10
7.530790213650107034e-08 -2.217041217278392651e-09 1.031706275966826070e-09
-1.606105115570244379e-07 -2.767117075563874096e-05 1.035160863693818101e-07
2.127094376191962510e-07 -6.042405402695294470e-06 1.239691105325846365e-08
-1.518070718020680943e-07 -3.708700205606874079e-06 2.495947004632625976e-09
-2.939643195531971287e-07 -3.760286062970408238e-06 2.796557652118281112e-09
1.544560319644006086e-07 -3.523402938299113885e-06 6.255715390146576738e-10
-4.558625050776754506e-07 -3.459562776697566733e-06 1.855482434365285371e-09
6.340994929132648394e-08 -6.426057552744168788e-06 1.479345890231797966e-08
-1.198548993386339134e-08 -3.514170884955092333e-06 1.142695049693998044e-09
3.732818072421650868e-07 8.286324515438536764e-09 -1.093330137535986069e-08
-7.238319881253119092e-07 -1.807317495661209250e-08 -5.824694948586284227e-09
6.696029686281690374e-07 1.864581555821587244e-08 -7.858092843093800184e-09
-3.699289550240791868e-07 -3.315949470561463386e-08 -1.173398600506914136e-09
4.280555998548152274e-08 1.923890735611166747e-08 -1.285132800177279933e-08
-1.119372541324992198e-07 -4.347732129872383666e-08 -1.005892524830187540e-08
3.071240257668250706e-07 -3.491289135126862675e-06 1.092862397800153929e-10
2.383010979656319250e-07 -2.097338210660382174e-06 -5.245489376193290809e-09
-2.249804964549184660e-07 8.987572908125684989e-10 9.853036164741979519e-10
1.067018757794357953e-07 8.983906951698372723e-09 1.438014152199684759e-09
6.716674505469200085e-08 2.135405274827917310e-08 -1.400310756238809518e-09
1.023522742116256268e-07 -6.854661904753811541e-08 -1.790236570098358015e-10
2.261489484567391628e-08 -1.207977606831889261e-09 1.399007909519411896e-09
-3.102963930246005475e-08 1.236388103009744555e-09 1.298493867984973349e-09
-1.968193830137465739e-09 4.105975648371895659e-08 1.337913335675011695e-09
3.261467540482954064e-08 -1.792243464748821680e-09 1.098987678638252419e-09
-8.225033099051870522e-09 1.997839671474821444e-09 6.887543313460753325e-10
-8.581723420775233535e-08 -1.204537767307556351e-07 9.832945568888362686e-10
-1.992248428450693609e-07 9.995908101245731814e-09 -1.228064455682797984e-10
