sgmxx sgmyy sgmxy
8.363084447182700387e-08 -6.290275855747040623e-09 1.312827180299791507e-09
3.349049393364111893e-08 -5.105134537330968669e-09 1.620315548400697025e-09
-7.731789253284659935e-08 -3.089797528943449834e-09 1.479884881305792987e-09
-2.113708852391482651e-08 -2.311004054789123074e-09 1.655702241976086952e-09
5.744217190795097849e-08 -2.383951924755933760e-09 1.508371871850044954e-09
-1.233937183542366256e-07 -2.101468332682543405e-09 1.367206903246653837e-09
-2.120541298111788819e-09 -4.167668876675634237e-09 1.691213058485629972e-09
1.870423176342228544e-07 -7.662253942442021071e-09 4.209760040563281791e-10
-2.284323130652410327e-07 -3.598440878604947102e-09 9.640238607389051140e-10
-2.036190593912579061e-08 7.731890683260189689e-10 9.516901711137393249e-10
-8.592198064150124992e-09 -1.626469847693101656e-09 1.692287643351164661e-09
4.687370935840817765e-09 -2.662269960040930528e-09 1.663123416761891349e-09
-1.554426631855676533e-08 -2.723316461228364460e-09 1.686781381238233735e-09
-5.116261547755129868e-08 -4.122547858642633400e-10 1.599782639694069530e-09
-2.313309188650691794e-08 1.416594397340986689e-09 1.366673663127926375e-09
5.181999540582182817e-08 -1.198390497947343647e-09 1.635928725818303064e-09
1.673856928618988604e-07 6.084897585800774777e-10 1.014006212329832124e-09
-1.580184942895357381e-07 3.788880320598764229e-09 1.285687445395922168e-09
4.424959509918835465e-09 -2.787115871427658931e-09 1.589135600887914279e-09
9.441218935535289347e-07 -7.172161087254380618e-09 -4.991392632547331232e-09
-7.217663551273290068e-07 -2.194051162973664759e-09 -6.602473429095923052e-11
-1.069525268349025282e-07 -1.336947774710495196e-10 1.588426834508993579e-09
2.137346655217697844e-07 3.837294926256618055e-09 -2.088864359262032622e-10
-2.967086061289592180e-07 7.154004610931963271e-10 4.718984647489321560e-10
1.335041144301385430e-08 -2.372300578201702592e-09 1.660086179633424308e-09
4.027540967399545480e-09 -3.387265815057993734e-11 1.689416495587181544e-09
-2.275666233231277147e-08 1.601303978304713382e-09 1.666179416659474555e-09
4.646219764481429593e-08 1.914250091772373707e-09 1.683190919976595978e-09
1.909079472284247458e-08 6.190278512008262624e-09 1.301264762609832815e-09
-1.214815483763231896e-07 2.212188832118044957e-08 1.533033588962950944e-09
-3.088998612454929571e-09 5.648407519487363970e-09 4.683552989881434314e-10
-1.047763191763806390e-07 -6.050331791129792691e-09 1.218415368597902670e-09
1.316383304583723657e-07 -8.793306733423378319e-06 1.408822214443716803e-08
4.300842704196838895e-08 -4.572019861370790750e-06 2.532982712466491648e-09
-6.200322388849599520e-08 -5.151402092451462522e-06 4.666501851602333772e-09
1.477356477153080050e-07 -2.929470838353154249e-06 -2.377456009838851969e-09
6.753232639766793000e-08 -2.239653986180201173e-05 1.283988382283496321e-08
2.304850994505613926e-07 -2.690961309781414457e-06 -1.049630826699399222e-09
6.925963447201866074e-08 -1.242124292311075351e-09 1.180048281312906511e-09
-9.355086660889355699e-08 -2.303187648067250848e-05 6.104372829440762871e-08
1.245660854465313605e-07 -5.021457127440953627e-06 4.566192313149031179e-09
-9.336476836097062915e-08 -3.087328195761074312e-06 -1.815189443199471953e-09
-1.797513533574601752e-07 -3.123152055195532739e-06 -1.311282415983328065e-09
8.139114271443759208e-08 -2.925957915067556314e-06 -2.401343790481291762e-09
-2.833455425843567355e-07 -2.870336402338580228e-06 -1.852945907820924276e-09
3.494148970162314072e-08 -5.336601134331431240e-06 5.903016297992280670e-09
-9.316470261921949714e-09 -2.920309043474844657e-06 -2.568538937097741837e-09
2.406725059245218290e-07 1.135798011198119184e-09 -8.237989845838455949e-09
-4.825298560717783403e-07 -9.565113145981740672e-09 -4.639626016711417833e-09
4.640148461021453841e-07 1.009048666844591935e-08 -5.712936346213837169e-09
-2.510067815819638781e-07 -1.915564951104897773e-08 -4.143835552472552308e-10
2.466273230083970702e-08 1.019741802110729623e-08 -9.837085812591794820e-09
-7.016358694045266020e-08 -2.739121285344481294e-08 -7.892934306141796696e-09
2.302797099673625780e-07 -2.900329491239972413e-06 -2.628347539612718720e-09
1.461666556679119822e-07 -1.739502067721332423e-06 -5.894202015355176627e-09
-2.112083734573388938e-07 -2.848501434726813386e-10 1.135439409161165258e-09
1.044608950451220153e-07 3.683797489273388237e-09 1.655836245895159209e-09
4.832248379216252943e-08 1.139580074749346750e-08 -5.269650826811300703e-10
7.260900503069933620e-08 -4.633267280951258726e-08 4.959677113447469310e-10
-1.695358875508645724e-08 7.542270141769336078e-10 1.603044030851208390e-09
2.158756373660253303e-08 2.501870932647420886e-10 1.692303297495811876e-09
6.835829235996015996e-09 3.510772828008157376e-08 1.713649444567977298e-09
2.526512687950344116e-08 -2.512112295960378106e-09 1.550855110998838882e-09
-6.800644491988805385e-09 -9.720363403076248687e-10 1.217981493439879159e-09
-5.725414098378678318e-08 -8.410744811726544867e-08 1.449266373576563183e-09
-1.357197589868519572e-07 2.652741359909782659e-09 5.308395945036181729e-10
1.051012716857258056e-07 -8.128340311941428808e-08 1.226179380253711315e-09
7.404758548545942176e-07 -2.136626426363363862e-05 3.628101552521911799e-08
1.850278579240693944e-07 -4.145234470342984423e-06 1.026945861681838323e-09
4.728572378098760964e-07 -5.416503881860990077e-06 4.181951229753622101e-09
2.228350979294191347e-07 -3.148727273583062924e-06 -1.895157142328685040e-09
1.054473273143230472e-06 -2.911151796070043929e-06 -3.990865415914868208e-09
4.501196428918774473e-07 -2.500876689737197012e-06 -4.031840639129313786e-09
5.952271635578654241e-07 -3.696256044349865988e-06 -4.879311399363928103e-10
1.145546775660477579e-06 -3.236912789361667819e-06 -1.108188096843321091e-09
1.959217854619055288e-07 -4.109861947654280812e-06 6.982189826310047920e-11
2.117076292051933706e-07 -1.363510091323405504e-05 9.882785256820625364e-09
6.247838513218084699e-08 -4.966958511154473399e-10 1.001735361327860119e-09
-6.619288228648656514e-08 -1.182528467325028032e-05 3.311167873221165792e-08
2.120164133145863161e-08 -2.563052839832380414e-05 1.058827479027968366e-07
-3.657691038938537531e-08 -4.980060111847706139e-06 6.490449955265376047e-09
9.735020256584903109e-08 -2.861490202121785842e-06 -2.763763884416903238e-09
-5.677137693282929831e-08 -3.334452912895358168e-06 -9.215073704105236629e-10
-1.950040626752524986e-07 -2.176104771933751181e-06 -3.846249096994824868e-09
-9.369387754531999235e-08 -2.753115040832199156e-06 -2.715036195866105118e-09
8.874662427160728839e-08 -2.584730736998608336e-06 -3.538428217098044115e-09
-6.446472244903134197e-09 -1.033690068652504124e-06 -7.979711114103338332e-09
8.143965146700793412e-08 -5.096032964502228424e-06 5.849311701666692898e-09
-1.028338232345049619e-07 -4.922516836813883856e-06 4.791222973921094308e-09
5.573287253923808748e-08 -2.592961664049653336e-06 -3.663175096590975954e-09
8.258862749244144652e-08 -4.897372491541318595e-06 4.134000253230851740e-09
2.154709655144415592e-08 1.507108393639100541e-08 -8.146930241537120310e-09
-1.892392162972100778e-07 -6.021605258865747601e-08 -5.311524109430365570e-09
6.814777719910125597e-08 3.832847816909179528e-09 -5.737800456984132325e-09
2.304476254266774049e-07 -1.092538113312002679e-07 -4.718747059762051776e-10
-2.220925443552346223e-09 1.515390124495752389e-08 -1.098550761469141435e-08
-6.863003498835951177e-09 -4.611215942418311897e-08 -9.654632648903316294e-09
-7.773120103138353443e-08 2.088972017588730523e-08 -9.714362647628149716e-09
4.954170762516696414e-08 -8.588992272962059360e-08 -7.965430981471399718e-09
4.175202263922983548e-07 -1.725613401504233479e-06 -5.910322009583524050e-09
3.423686507630918641e-07 -8.279299663627170958e-07 -8.225269354511510755e-09
2.166383836765817250e-07 -9.315976399193459656e-07 -7.399641344107976693e-09
1.407998553304423694e-07 -8.009647558537835721e-07 -7.588080386256024212e-09
1.189680460811359808e-06 -1.172532506643619854e-06 -7.488743847261503106e-09
5.918582814956607763e-07 1.408753746545698959e-06 -1.313314257345155056e-08
-1.980912571752924123e-07 -5.395932034524264509e-10 9.536063050319398826e-10
7.956906955541853677e-08 -1.319246578646016133e-08 1.578943975566460267e-09
-8.052657562984677497e-08 1.579742736623757082e-08 -3.726106645451920940e-10
2.089079629286061390e-07 -1.407119896157382755e-07 6.049410417041656274e-10
3.457049757571439841e-09 3.501168066577520221e-08 1.591013654156370194e-09
1.204486466122034471e-08 -2.537129617508071533e-08 1.697108120701784628e-09
-1.992995457555934991e-08 -1.987990145835283329e-07 1.564475660131847690e-09
8.382812666241079569e-08 -4.924080698742727691e-08 1.464576127041539166e-09
-8.000402829111408209e-08 -8.745864477077702759e-08 1.287501993907369524e-09
2.432157089060638100e-07 -1.154835302941137343e-07 1.322155829264204385e-09
-2.013066051631540176e-07 -7.387916411971673369e-08 7.462052087348070017e-10
7.991682196006877348e-07 -1.076339776773238555e-05 1.256924164749761985e-08
7.289077075256500393e-07 -3.021560132765443996e-06 -2.463991455314840096e-09
3.958428607120367815e-08 -3.571674369595712051e-06 -2.451483738230564313e-10
9.370515954287839122e-07 -2.309054480065242387e-06 -4.078110293903591810e-09
-2.152948894718065276e-07 -2.498088406355236657e-06 -2.032953583253060970e-09
8.157043112078099512e-07 -7.967630153871141374e-06 2.147683808573219721e-09
3.763191358530093567e-08 -7.971372724568936974e-06 6.468317881314078477e-09
