sgmxx sgmyy sgmxy
7.979488003684309660e-08 -6.978765121345986699e-09 1.728984955207124585e-09
2.693165335188041354e-08 -5.198847574661158433e-09 1.941552030260140782e-09
-7.138672941664481186e-08 -3.019916094970653830e-09 1.834678187151439488e-09
-8.883968227735294931e-09 -2.819285249699987617e-09 1.956237172251462653e-09
5.132261193807607924e-08 -3.059454911635839380e-09 1.868813770400379326e-09
-1.220372070065423031e-07 -1.006329686248363942e-09 1.745689925947147003e-09
-1.139232885805085971e-08 -3.194353670465943651e-09 1.952055406206909538e-09
1.892132672765001189e-07 -9.016742019696266652e-09 1.049191400426252585e-09
-2.296597187978477450e-07 -2.915453656271438376e-09 1.426798790227223890e-09
-2.140416910378917237e-08 -2.898682183172240912e-09 1.441006314273352018e-09
-2.826371314768039156e-08 -3.044224206050216708e-09 1.951111716635978155e-09
-6.114666106782351562e-09 -2.623737449525265220e-09 1.957558337650766589e-09
-1.180615516460647996e-08 -9.553536850503974165e-10 1.962906059915781043e-09
-4.364371974929781572e-08 -1.172321351106120346e-09 1.920734682414604322e-09
-2.180937386242476350e-08 -4.937625863732364451e-10 1.756216505555130425e-09
4.713990264804124308e-08 -7.090441567214611496e-10 1.956384165779923023e-09
1.612947215789972688e-07 3.232691891952299557e-09 1.512923231139495783e-09
-1.553911630480797612e-07 1.100040858403872335e-08 1.684437811455552492e-09
1.900720469905081700e-08 -1.823753481566825485e-09 1.666831006552627059e-09
1.015515749713813420e-06 -1.032390883892730926e-08 -3.376530832710500363e-09
-7.726267767793615349e-07 1.409042327260578986e-09 5.421965654228699805e-10
-1.553009099097835133e-07 -1.891189871372489506e-09 1.653569947634991877e-09
2.194016985868074698e-07 -5.478698605898557616e-10 5.409659942223754570e-10
-3.125710748008714290e-07 7.827069659072094510e-09 1.031190910438795072e-09
5.193507846001921280e-08 -1.542210803506804950e-10 1.766580659534611186e-09
-3.299159345715452218e-08 -8.108539395479397172e-10 1.958738948815152980e-09
-2.001661947304000932e-08 1.840258168073205525e-09 1.970672069973034013e-09
4.339196735259065463e-08 1.701515039975731725e-09 1.993156306667742683e-09
1.500643698193471209e-08 1.652191827794524670e-09 1.714224984183942979e-09
-1.148996204847207991e-07 3.212364063642780820e-08 1.875092081604634586e-09
-8.817273133843173127e-09 1.621527911943587696e-09 1.066939869787120188e-09
-1.108074343392217997e-07 8.070119683623033779e-09 1.643015834495997751e-09
1.505643183463689638e-07 -1.220955891767516732e-05 1.650853853618627909e-08
3.574057672039998579e-08 -6.331525128189241514e-06 4.848628165632362652e-09
-5.814941772541715181e-08 -7.136970452847890556e-06 7.205134711085747767e-09
1.516104219945191289e-07 -4.044602974317967892e-06 -2.535088458599510375e-11
6.731229973411245737e-08 -3.109585668426007032e-05 4.652347396216782727e-09
2.535704197725863196e-07 -3.725328497239388525e-06 -1.601182658683697468e-10
1.019391717704820621e-07 -2.753123007348534657e-10 1.207337008146680546e-09
-9.145897905682431883e-08 -3.197580736014060676e-05 6.533264951258388464e-08
1.258858475239321706e-07 -6.954221589694498107e-06 7.757567033195300610e-09
-9.227596109440128203e-08 -4.262461061443900689e-06 9.995830829723217903e-10
-1.797652799950810731e-07 -4.308350526116555557e-06 1.109831004875161398e-09
7.888895936503104167e-08 -4.041769898321945220e-06 7.719924699500779752e-11
-2.905521228058205452e-07 -3.959821242460748181e-06 4.483886595352259974e-10
3.536421289140889712e-08 -7.393220585072413087e-06 9.062127048764523352e-09
-7.915069488717563218e-09 -4.026174337923293933e-06 2.007244093160664988e-10
2.483946275333437370e-07 -3.259037262282049596e-09 -6.066685820371731097e-09
-5.080221967546094675e-07 8.328126521739420696e-10 -3.233605827546170985e-09
5.022679943067487329e-07 3.626440925330598475e-09 -4.009245824221352450e-09
-2.656774427123309579e-07 -1.263822491104349410e-09 3.196769793323284148e-10
2.398770959644025424e-08 5.709663408737242207e-09 -7.289049808179015599e-09
-6.925802864543584292e-08 -1.227678225745876261e-08 -5.853166396008191441e-09
2.531122049731493462e-07 -4.006913513876497746e-06 -2.535394671987489801e-10
1.490624583766475553e-07 -2.393059958194498904e-06 -3.616338783984929250e-09
-3.127232162114523817e-07 -1.244064629091212737e-09 1.139980110309579686e-09
1.610603845847435878e-07 -1.683705841415417126e-09 1.768237667398864232e-09
4.674763331991016457e-08 -2.071003812886829110e-09 2.735664472730547914e-10
7.211143326912861085e-08 -2.769161966398314689e-08 1.100076030269292460e-09
-6.742470759490970522e-08 4.557222155199269764e-09 1.683797545837251164e-09
9.199308692586782854e-08 -1.005203031922974333e-09 1.982213948537037140e-09
2.073349492093257140e-08 5.161303562317698379e-08 1.987516373702646888e-09
3.098952916502639710e-08 -5.372390088353995452e-09 1.897826340524488842e-09
-9.731856209782563383e-09 -9.163136915901759494e-09 1.650030556632486878e-09
-5.648295342552955844e-08 -6.141353026123397285e-08 1.810284477876678011e-09
-1.415501031942767440e-07 -1.487530987276386440e-08 1.107569924663209804e-09
9.811085988076229114e-08 -6.448317435570061207e-08 1.670493077199353138e-09
8.054657314460200723e-07 -2.968229091493412852e-05 3.579856056035168876e-08
1.957104700522904750e-07 -5.738606432714732364e-06 3.235919310284884887e-09
5.162070806363772135e-07 -7.503462711611064151e-06 6.683770870097305306e-09
2.426794765142403776e-07 -4.357268608146114275e-06 5.269619740566611199e-10
1.146359522863349412e-06 -4.015797912870766595e-06 -1.469250499042118463e-09
4.849196102441055700e-07 -3.458165792835643515e-06 -1.702458063412848333e-09
6.472496352216694504e-07 -5.121270078234374523e-06 7.013940539479790459e-10
1.241982431565702427e-06 -4.495919711189344525e-06 -1.179183001243089279e-10
2.159816006042092340e-07 -5.701577265426749364e-06 -2.872684312649198546e-10
2.362046700454811798e-07 -1.893889384518843144e-05 7.761030040853711398e-09
9.321192351308127400e-08 -1.219005119068583554e-09 1.003087612971853559e-09
-6.256968276829866227e-08 -1.638977846596390009e-05 3.836758466491119179e-08
2.271667476350103243e-08 -3.558827302185818553e-05 1.196057297647712403e-07
-3.597738640337411198e-08 -6.895391379657667130e-06 1.111109426688017265e-08
9.863223482398097985e-08 -3.956394266424467787e-06 -1.563224688583275679e-10
-5.385426149473460100e-08 -4.602770331985084340e-06 1.671063065700195693e-09
-2.000251839717748226e-07 -3.002282483066665009e-06 -1.718305275844045354e-09
-8.972629927939124173e-08 -3.796365263042389415e-06 -2.401310816857460395e-10
8.887296587545279181e-08 -3.572251671357662417e-06 -1.034283769740795833e-09
-7.341694807649901122e-09 -1.408887442266859580e-06 -5.705266481470516737e-09
7.872495189076289535e-08 -7.054296929709380493e-06 9.726701222234623856e-09
-9.778442233709938591e-08 -6.802102689107414335e-06 7.725609485476070404e-09
5.519998325098640635e-08 -3.574037918951944448e-06 -1.039340280506451109e-09
8.015073404976646998e-08 -6.779002887924434617e-06 7.114520084172681891e-09
1.670117555363503925e-08 6.959043119536545419e-09 -5.986634743493368660e-09
-2.021062641688331496e-07 -3.754379918063932564e-08 -3.778910073748420473e-09
7.521629186157952063e-08 -1.027298779376906168e-08 -4.047340684820710521e-09
2.497551179203583160e-07 -8.358211545100857620e-08 3.323133435095826371e-10
-1.730346532724524877e-09 1.162008889110666132e-08 -7.983683936174656992e-09
-5.361486365984546865e-09 -2.841282942256384558e-08 -7.203775798103606576e-09
-7.711003746635469724e-08 9.500974229581515829e-09 -7.179220773423367064e-09
4.816145349195721792e-08 -6.160684051792486571e-08 -5.911421130377902955e-09
4.594516553879657295e-07 -2.373548113610013388e-06 -3.731684294905335264e-09
3.658350635760143632e-07 -1.127591076510725543e-06 -6.087278237032478501e-09
2.393532270161813358e-07 -1.270579787160386331e-06 -5.345791809219235802e-09
1.464898105041356757e-07 -1.095231141334807035e-06 -5.536199498834548649e-09
