sgmxx sgmyy sgmxy
3.627731928190769395e-07 -1.937393001583131991e-08 5.700622196513904782e-09
1.200953079205646645e-07 -1.278259631476430513e-08 6.182110379171490422e-09
-3.228967671020654961e-07 -9.037474768547326676e-09 5.464615870920397356e-09
-6.603679736372214393e-08 -1.182693054602168559e-08 6.126946505702335344e-09
2.284399727159325266e-07 -1.236100644064208609e-08 6.079229564193155966e-09
-5.089740966468525585e-07 1.971424933022714043e-11 5.157970051072879869e-09
-1.878813016276126291e-08 -2.429993983810163627e-09 6.317713019399207042e-09
7.673734785385022406e-07 -2.574351398720864381e-08 4.250057639154647404e-09
-9.455043255002237856e-07 -5.765530275425589934e-09 3.947662197134604867e-09
-7.057282402911368990e-08 -2.582516600568851572e-08 4.659238328486026148e-09
-4.166838962760266440e-08 -1.864710164056759822e-08 6.328041646241899798e-09
-1.255879733541576115e-09 -8.335176993057302752e-09 6.260874485519707378e-09
-5.191582985730747168e-08 6.046780409718621740e-09 6.331068114207027975e-09
-2.147826165810329258e-07 -1.251195591578380117e-08 5.905942845885192583e-09
-9.721652816097048344e-08 -1.778406044650182594e-08 5.601171970681662060e-09
2.003474861567156040e-07 -2.336709048478269324e-09 6.479016878557786185e-09
6.462142891905386932e-07 4.240515494302599109e-09 5.441973538466982063e-09
-6.183902883094560821e-07 2.416859956611006055e-08 5.046690176868651179e-09
2.562265777328320837e-08 8.801533946112272133e-10 6.055119516901186216e-09
3.081986733377561904e-06 -3.607197385235849652e-08 -5.353776533212339928e-09
-2.416390998405404389e-06 4.118645868800285825e-09 1.628468804248939250e-09
-2.982121145578275900e-07 -2.146568789385128184e-08 5.686405124549764878e-09
7.490874054383311886e-07 -2.103296381505970203e-08 3.153180161419300020e-09
-9.301451200371957384e-07 1.019343986996545937e-08 3.310400398248702913e-09
6.963279020055779256e-08 1.202721833237774263e-08 6.268610519555295468e-09
-3.566049500136614370e-08 -1.170801855465697372e-08 6.356424275821837000e-09
-9.255779076511316816e-08 1.826202855603753505e-09 6.314312184230175262e-09
1.243555516339256428e-07 1.277503883928554629e-11 6.607941749336987414e-09
5.017031057263920957e-08 -1.165348528786580573e-08 5.682533998907501882e-09
-4.206130199690960580e-07 2.630588191721017211e-08 5.831316318705148660e-09
-2.291199896475859532e-09 -1.199989441147408797e-08 3.995498154552024062e-09
-3.022913972472451860e-07 -2.040601576602796285e-10 5.221651999676168998e-09
2.649960038070275914e-07 -1.096003597922390327e-05 2.083769423677495070e-08
8.702169651542135398e-08 -5.175172645976999775e-06 3.665057590751530370e-09
-1.536492391096544452e-07 -6.053223387425532565e-06 7.308223359814292053e-09
2.569572359334415523e-07 -3.186443791491910815e-06 -2.846056723626588791e-09
7.262083556724974187e-08 -3.022437704203184694e-05 2.860694081618930795e-08
4.157153341566299787e-07 -2.536068450353923254e-06 -2.270071020049613253e-09
1.920562908708234318e-07 3.667851133926092189e-09 5.251253654137144622e-09
-2.313976068535339436e-07 -3.027404818567447364e-05 8.969686859927605838e-08
3.030075959031819366e-07 -5.763060471508651972e-06 6.269146535231584494e-09
-2.326617618564341683e-07 -3.337238240419537760e-06 -1.561490603485538031e-09
-4.460383422610902926e-07 -3.374399284439277835e-06 -8.029698572720178618e-10
1.920176373459980823e-07 -3.179403393005486578e-06 -2.892682093857956716e-09
-6.388502811205398757e-07 -3.061652478208998218e-06 -1.348695377600961365e-09
1.120055941328246263e-07 -6.177835075504845008e-06 8.694617470439425233e-09
-1.881866751318739261e-08 -3.145513801428023726e-06 -2.851064939690672873e-09
7.170185654103988782e-07 -3.118278613101210794e-08 -1.036309082991238029e-08
-1.503154521742544603e-06 1.159181461929392754e-08 -3.260753667078120088e-09
1.335774413746548817e-06 -2.054865078093826014e-08 -6.082816472741114922e-09
-7.332356517508742400e-07 6.552170361828757450e-09 2.090033479618114143e-09
8.615359803343380918e-08 -1.881303290929281502e-08 -1.364793256186658255e-08
