lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.000000000000000000e+00 1.154398538812529264e-04 3.549780143657699010e-04
1.024999999999999911e+00 1.000000000000000000e+00 2.534978860057890155e-04 7.625364887993783250e-04
1.037500000000000089e+00 1.000000000000000000e+00 4.149883516365661970e-04 1.224191815499216240e-03
1.050000000000000044e+00 1.000000000000000000e+00 6.007243909873068383e-04 1.741539698000997343e-03
1.062500000000000000e+00 1.000000000000000000e+00 8.115370629820972724e-04 2.316284149326384208e-03
1.074999999999999956e+00 1.000000000000000000e+00 1.048291760776191850e-03 2.950264485925435925e-03
1.087499999999999911e+00 1.000000000000000000e+00 1.311902502179145913e-03 3.645480658672750011e-03
1.100000000000000089e+00 1.000000000000000000e+00 1.603344529494643263e-03 4.404117371141910535e-03
1.112500000000000044e+00 1.000000000000000000e+00 1.923665585927665294e-03 5.228567322343587523e-03
1.125000000000000000e+00 1.000000000000000000e+00 2.273996241204440452e-03 6.121453808248042937e-03
1.137499999999999956e+00 1.000000000000000000e+00 2.655559513345360622e-03 7.085653010755777262e-03
1.149999999999999911e+00 1.000000000000000000e+00 3.069680074416100864e-03 8.124316061288118160e-03
1.162500000000000089e+00 1.000000000000000000e+00 3.517793251574039340e-03 9.240891446918248278e-03
1.175000000000000044e+00 1.000000000000000000e+00 4.001453973352908991e-03 1.043914723619818706e-02
1.187500000000000000e+00 1.000000000000000000e+00 4.522345836833119824e-03 1.172319440096616754e-02
1.199999999999999956e+00 1.000000000000000000e+00 5.082290419191121643e-03 1.309751026704907353e-02
1.212499999999999911e+00 1.000000000000000000e+00 5.683256964758038460e-03 1.456696326136589122e-02
1.225000000000000089e+00 1.000000000000000000e+00 6.327372543141245899e-03 1.613683852255344553e-02
1.237500000000000044e+00 1.000000000000000000e+00 7.016932948678731956e-03 1.781286509186029432e-02
1.250000000000000000e+00 1.000000000000000000e+00 7.754414419829845639e-03 1.960124466717243219e-02
