lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.005899999737739581e+00 1.000000000000000000e+00 5.496402103453874595e-05 3.498969197738915839e-04
1.011799999475479162e+00 1.000000000000000000e+00 1.213744686392601637e-04 7.428860438987612558e-04
1.017699999809265066e+00 1.000000000000000000e+00 1.993252379936166015e-04 1.180362764094024935e-03
1.023599998950958323e+00 1.000000000000000000e+00 2.889094871701672796e-04 1.663799566775560389e-03
1.029500000476837096e+00 1.000000000000000000e+00 3.902245981618762010e-04 2.194759380444884483e-03
1.035399999618530353e+00 1.000000000000000000e+00 5.033766260836273652e-04 2.774908812902867825e-03
1.041300001144409126e+00 1.000000000000000000e+00 6.284843050409108338e-04 3.406031234934926016e-03
1.047199997901916424e+00 1.000000000000000000e+00 7.656826807651668457e-04 4.090040040016174050e-03
1.053099999427795419e+00 1.000000000000000000e+00 9.151264206506312367e-04 4.828991784527897867e-03
1.059000000953674414e+00 1.000000000000000000e+00 1.076992847025394408e-03 5.625099698081612205e-03
1.064899997711181712e+00 1.000000000000000000e+00 1.251484747603535692e-03 6.480747220292687114e-03
1.070799999237060485e+00 1.000000000000000000e+00 1.438832989614456919e-03 7.398501896485686069e-03
1.076700000762939480e+00 1.000000000000000000e+00 1.639298987202346316e-03 8.381129668653010747e-03
1.082600002288818253e+00 1.000000000000000000e+00 1.853177026286721187e-03 9.431609445810318001e-03
1.088500003814697248e+00 1.000000000000000000e+00 2.080796508491039414e-03 1.055314818024635261e-02
1.094399995803833070e+00 1.000000000000000000e+00 2.322524138726294197e-03 1.174919651001691753e-02
1.100299997329711843e+00 1.000000000000000000e+00 2.578766017034649864e-03 1.302346500977873828e-02
1.106199998855590838e+00 1.000000000000000000e+00 2.849969789385795385e-03 1.437994096279144284e-02
1.112100000381469833e+00 1.000000000000000000e+00 3.136626729741692418e-03 1.582290612161159349e-02
1.118000001907348606e+00 1.000000000000000000e+00 3.439273866638541382e-03 1.735695502609014423e-02
