lmbx lmby sgmx sgmy
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.000000000000000000e+00 1.119408945785835350e-04 1.608607348403893317e-04
1.024999999999999911e+00 1.000000000000000000e+00 2.372101856861263470e-04 3.398467182880267530e-04
1.037500000000000089e+00 1.000000000000000000e+00 3.765360610559582641e-04 5.371213293634355011e-04
1.050000000000000044e+00 1.000000000000000000e+00 5.306535011623055194e-04 7.528422809205949319e-04
1.062500000000000000e+00 1.000000000000000000e+00 7.003099536988883957e-04 9.871661928482354693e-04
1.074999999999999956e+00 1.000000000000000000e+00 8.862702768296003503e-04 1.240252649132162367e-03
1.087499999999999911e+00 1.000000000000000000e+00 1.089321090001612799e-03 1.512267826683819354e-03
1.100000000000000089e+00 1.000000000000000000e+00 1.310274664126336551e-03 1.803387710731476539e-03
1.112500000000000044e+00 1.000000000000000000e+00 1.549972496088594187e-03 2.113801013864576809e-03
1.125000000000000000e+00 1.000000000000000000e+00 1.809288706164807010e-03 2.443711792305112030e-03
1.137499999999999956e+00 1.000000000000000000e+00 2.089133349247276894e-03 2.793341842480003695e-03
1.149999999999999911e+00 1.000000000000000000e+00 2.390455783158540719e-03 3.162932866625487761e-03
1.162500000000000089e+00 1.000000000000000000e+00 2.714248115569352967e-03 3.552748482301831389e-03
1.175000000000000044e+00 1.000000000000000000e+00 3.061548862047493592e-03 3.963076078519225248e-03
1.187500000000000000e+00 1.000000000000000000e+00 3.433446812070906334e-03 4.394228544458747207e-03
1.199999999999999956e+00 1.000000000000000000e+00 3.831085116602480408e-03 4.846545924246311275e-03
1.212499999999999911e+00 1.000000000000000000e+00 4.255665714293718413e-03 5.320396910607814653e-03
1.225000000000000089e+00 1.000000000000000000e+00 4.708453930169343923e-03 5.816180380061268702e-03
1.237500000000000044e+00 1.000000000000000000e+00 5.190783509984612729e-03 6.334326779469847540e-03
1.250000000000000000e+00 1.000000000000000000e+00 5.704061777144670518e-03 6.875299542769789697e-03
