x y
-2.202740470982902821e+01 1.609636142781218562e-17
-1.927262365011112166e+01 1.153288530083340038e-14
-1.651784259039321512e+01 3.987619802320333517e-12
-1.376306153067530857e+01 6.681064176248046977e-10
-1.100828047095740203e+01 5.458851674903817486e-08
-8.253499411239495487e+00 2.197847067208298218e-06
-5.498718351521588943e+00 4.438211221577129865e-05
-2.743937291803682399e+00 4.634742652158885452e-04
1.084376791422414499e-02 2.636703630413557951e-03
2.765624827632130689e+00 8.862578612426189051e-03
5.520405887350037233e+00 1.954232706454181109e-02
8.275186947067943777e+00 3.130579460796955454e-02
1.102996800678585032e+01 3.936382761340449093e-02
1.378474906650375686e+01 4.131475366772059676e-02
1.653953012622166341e+01 3.896850979652299873e-02
1.929431118593956995e+01 3.549085597664123487e-02
2.204909224565747650e+01 3.149948026501028786e-02
2.480387330537538304e+01 2.622008311526246097e-02
2.755865436509328958e+01 2.068304312186258070e-02
3.031343542481119613e+01 1.636411066494059680e-02
3.306821648452910267e+01 1.295739462158373122e-02
3.582299754424700922e+01 1.035872633347770071e-02
3.857777860396491576e+01 8.736626813508945044e-03
4.133255966368282230e+01 7.194254425218190273e-03
4.408734072340072885e+01 4.775000940863382594e-03
4.684212178311864250e+01 2.234657592135629294e-03
4.959690284283654194e+01 7.821297989317682955e-04
5.235168390255444137e+01 2.381028374328356329e-04
5.510646496227235502e+01 6.040414121060305199e-05
5.786124602199026867e+01 4.922961194253929731e-05
6.061602708170816811e+01 1.481529947945606381e-04
6.337080814142606755e+01 2.467182368490652544e-04
6.612558920114398120e+01 1.958139880334170216e-04
6.888037026086189485e+01 7.665186413252070199e-05
7.163515132057979429e+01 4.004662815923880630e-05
7.438993238029769373e+01 1.166880928158713402e-04
7.714471344001560738e+01 2.452295431879875022e-04
7.989949449973352102e+01 3.058202018020084764e-04
8.265427555945142046e+01 3.660215083743339603e-04
8.540905661916931990e+01 4.655724339990458828e-04
8.816383767888723355e+01 4.021846723089344188e-04
9.091861873860514720e+01 1.928631513901041879e-04
9.367339979832304664e+01 4.830654582527560377e-05
9.642818085804094608e+01 6.091614172371494672e-06
9.918296191775885973e+01 3.769710736492111499e-07
1.019377429774767734e+02 1.127045713463567464e-08
1.046925240371946728e+02 1.613965365697038676e-10
1.074473050969125723e+02 1.102108033237761774e-12
1.102020861566304859e+02 3.580573477501921948e-15
1.129568672163484138e+02 5.528323739325811815e-18
