x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.002040816326530637e+00 8.379833630607690098e-02 1.053806140706737005e-01 3.719586735702536812e-02 4.551629131258886490e-02 6.075850707936352596e-02 5.643656481633295419e-02 5.650907456859714795e-02 1.800912579621344045e-01 4.880044071212313178e-02 4.254982490057439976e-02 1.674071835726640145e-01 7.029466182171247024e-02 8.950754205584821044e-02 2.687048375663834282e-02 8.109795917880276150e-02 6.415134492383633980e-02 3.822480522931992475e-02 5.096085575348763275e-02 5.718297330260536243e-02 4.053899927410441195e-02 8.064604507174244485e-02 4.745467029625741878e-02 1.027112303544492344e-01 9.868012017716340512e-02 5.001568604537189044e-02 7.436575624489089043e-02 4.004349628122616522e-02 1.142903971392739554e-01 3.174743670777384341e-02 9.192322920634135586e-02 4.096451321707396398e-02 8.059866324351168398e-02 5.787531802934146180e-02 6.695721073992978722e-02 7.064415576876650893e-02 4.050994280124708968e-02 3.815129863198668536e-02 3.111394184504900212e-02 5.329516586437335612e-02 9.950382097362840683e-02 6.899843245195604047e-02 4.825814252236817342e-02 1.514737304536165619e-01 1.141330925587727557e-01 8.106869464397933878e-02 5.218667980767756343e-02 9.552294801959824999e-02 6.344641238481729673e-02 6.230289957633897840e-02 9.156390255531381139e-02 7.787095564447535367e-02 8.692503607895926687e-02 5.663223488877359296e-02 6.641672574659480965e-02 2.432989469222076803e-02 4.627851979774583180e-02 1.267292049465321424e-01 1.510748856093943882e-01 5.026714763846541756e-02 9.485977962807549957e-02 1.797044911612005469e-01 5.299451752501975477e-02 2.481047634831390347e-02 8.799433822483823664e-02 7.366755093442728386e-02 4.708512991026927302e-02 2.968309459833625916e-02 5.193284707820954027e-02 3.379942821303785067e-02 3.199790250033435896e-02 3.630308956825332306e-02 2.662115314005608982e-02 3.670423048126619792e-02 7.783066690256106035e-02 3.971443868132505661e-02 2.478036510342634252e-02 8.051311077928408055e-02 3.449091692652015567e-02 1.097755984441209642e-01 2.504481758758331233e-02 8.338047255164618421e-02 9.817146544314406253e-02 5.424456392179025088e-02 3.033887288661044415e-02 2.177817206148810122e-02 1.201489247758988355e-01 3.447007383472124736e-02 3.703119517143214218e-02 1.402154287511354347e-01 6.801888577987241780e-02 7.058292227846559019e-02 4.541955972664860064e-02 3.395720976039454109e-02 1.925702548582610904e-02 6.414423726661688807e-02 1.020232945966680349e-01 1.037295350607016046e-02 4.004150631748631256e-02 4.540284637970463250e-02 1.821527311237821842e-02
1.004081632653061273e+00 1.694575426774244109e-01 2.149087100241744430e-01 7.756217618857565166e-02 9.182149252411425655e-02 1.239026017564892890e-01 1.215510214194369942e-01 1.153935179264775901e-01 3.609056197603887073e-01 9.836644497499966167e-02 8.994927450669515379e-02 3.358695868505767734e-01 1.433231808296243359e-01 1.867263203438281616e-01 5.756550311669173664e-02 1.628339546712282149e-01 1.321774166952369989e-01 7.821868721532158897e-02 1.020322329405095318e-01 1.157276360636573520e-01 9.162906018343579262e-02 1.664983978650862451e-01 9.900863851304163299e-02 2.083056091445714686e-01 1.978777374998646477e-01 1.009909149345081802e-01 1.536665753194528528e-01 8.274813825194930750e-02 2.317519380613489444e-01 6.684878397746388257e-02 1.867601111420887361e-01 8.418957310114147385e-02 1.633888731626515767e-01 1.208584983731501167e-01 1.362973329226063179e-01 1.454402140958443168e-01 8.315352722802611674e-02 8.313723232618097647e-02 6.383930424539287218e-02 1.075021460892311848e-01 2.050356612298447345e-01 1.405653141087089275e-01 1.014945172008070579e-01 3.028099738355107262e-01 2.312507718886243901e-01 1.642114675025550807e-01 1.058365503061659274e-01 1.935156359873110576e-01 1.324370937962014716e-01 1.272079680672402457e-01 1.844982101625448623e-01 1.614664671139438845e-01 1.745712913192318805e-01 1.188677562206479355e-01 1.335985819354651993e-01 5.103115288135685879e-02 9.671284429149035189e-02 2.575145665536533457e-01 3.043966766700633708e-01 1.097500488802350266e-01 1.933793291703130579e-01 3.599187127519686280e-01 1.110013096375262881e-01 5.196131024947611005e-02 1.793157958985141798e-01 1.477292964280352283e-01 9.716724015581051921e-02 6.577105277460806865e-02 1.087343543679414187e-01 7.358711762764347242e-02 6.445299620166108912e-02 7.352342284000445982e-02 5.600574140145411772e-02 7.804395329278833449e-02 1.576422616279475053e-01 8.154614205575570762e-02 5.219287659880345043e-02 1.661899849372911186e-01 7.230485744159452499e-02 2.202047005016344872e-01 5.336049618839677072e-02 1.677918806258105466e-01 1.967089175882745788e-01 1.123432339858420892e-01 6.628167826069308877e-02 4.631946267819774671e-02 2.419036419761106393e-01 7.110871803035141714e-02 7.627638434694121450e-02 2.814657273326701126e-01 1.382353349418746213e-01 1.438903626544640602e-01 9.272526338505350518e-02 7.703945022664031306e-02 3.963918675020165067e-02 1.295108219642257530e-01 2.041902710644123153e-01 2.713773199818441187e-02 8.112506125499638343e-02 9.206299857896210748e-02 3.940817941704363725e-02
1.006122448979591688e+00 2.592954435843602967e-01 3.332625474281968869e-01 1.244151611472597979e-01 1.399581375324695509e-01 1.921239575263171406e-01 2.041484338821996369e-01 1.793095751942661853e-01 5.442278755091557452e-01 1.497374107562741141e-01 1.471849628702014412e-01 5.074200030986367738e-01 2.221741741781213253e-01 2.997164340902787605e-01 9.597768901907363648e-02 2.463165350248076868e-01 2.082430933713885490e-01 1.219367719168179265e-01 1.536273637054959285e-01 1.773052579088995051e-01 1.638078444922005661e-01 2.631201239730924235e-01 1.589459100681510639e-01 3.202117459440496083e-01 2.986891276362578229e-01 1.541616351009033048e-01 2.431631765763864472e-01 1.309503118959432222e-01 3.561636331073260164e-01 1.087666435199307197e-01 2.879042927982116140e-01 1.321262494258111375e-01 2.509918945113367994e-01 1.942799730037028660e-01 2.107465564400702318e-01 2.288623986395292020e-01 1.302553056852416014e-01 1.418548519630576654e-01 9.993479154209622406e-02 1.638299855204714273e-01 3.230732825471167580e-01 2.176201500293011015e-01 1.648555247717202743e-01 4.547823282097417374e-01 3.549490065354153900e-01 2.519377535365001641e-01 1.626899389874514046e-01 2.969601468668126576e-01 2.127617633653252349e-01 1.976274598797317095e-01 2.806887218359969127e-01 2.568385535913363937e-01 2.641633631229710621e-01 1.925128874707992821e-01 2.026901178765269929e-01 8.256325790449677016e-02 1.556350513115309919e-01 3.970730724681308388e-01 4.630630226944226213e-01 1.877415658778602559e-01 2.996978497611604841e-01 5.422169215004822851e-01 1.792283110377851651e-01 8.388464382995151902e-02 2.777379110313359933e-01 2.230113250557369253e-01 1.534525588044259869e-01 1.146909744635748046e-01 1.754659334674338322e-01 1.254083509202316704e-01 9.800311971341049699e-02 1.127735068125137186e-01 9.100956227501391660e-02 1.287618494866751562e-01 2.418340094999689438e-01 1.277989068338912515e-01 8.495418841246293873e-02 2.625513332436819613e-01 1.168906989343293651e-01 3.325827608770179911e-01 8.828844780357572586e-02 2.547397720710585789e-01 2.965577559433739130e-01 1.783814739230363822e-01 1.134779461829097530e-01 7.645035261558251471e-02 3.675509472348002515e-01 1.122383644472689096e-01 1.201176467060647846e-01 4.256008793374060351e-01 2.132010733267450386e-01 2.230035825215538892e-01 1.440295935141630845e-01 1.383533446952809054e-01 6.235969089433138213e-02 1.976767798554079358e-01 3.072525194296222839e-01 5.659296849000352431e-02 1.245073477774298887e-01 1.414792729917999647e-01 6.659309105299474063e-02
1.008163265306122547e+00 3.555713936492749250e-01 4.650026458926785344e-01 1.809870910741267214e-01 1.909426148076055763e-01 2.680461172270499626e-01 3.128110222848609068e-01 2.508462918345034098e-01 7.317979390539229856e-01 2.039264839215050862e-01 2.191169996494687633e-01 6.840399445727615158e-01 3.098580680821779176e-01 4.363340086608039070e-01 1.459015319217586981e-01 3.326264001985734242e-01 2.964075731737325636e-01 1.712847251437528140e-01 2.061490783539041416e-01 2.435449103492867695e-01 2.673475338865541895e-01 3.759339219464640780e-01 2.314421569933327594e-01 4.417718127298809194e-01 4.021828933917133142e-01 2.107325974272639679e-01 3.479832577644546565e-01 1.874145692529245177e-01 4.912092842802657788e-01 1.608759945705712513e-01 3.986634891105381162e-01 1.871636371078860273e-01 3.459627408879275556e-01 2.833350707413512248e-01 2.929619748344259866e-01 3.252714317493256013e-01 1.840811838487469432e-01 2.210266302628352553e-01 1.411146835640605668e-01 2.234572698849071060e-01 4.599307345230561617e-01 3.030087372205737539e-01 2.433575051749019003e-01 6.081449294112927229e-01 4.887328017833719729e-01 3.466933965897266434e-01 2.244430583633356402e-01 4.087629598148529442e-01 3.100639428593624514e-01 2.763999727541208706e-01 3.819735862246893543e-01 3.698861882931746003e-01 3.568949139429437034e-01 2.832266294015757246e-01 2.748070038002877746e-01 1.213233863463348272e-01 2.272676093410051501e-01 5.500024954767563923e-01 6.300934521297474333e-01 2.932993056480620031e-01 4.178496602301889351e-01 7.281336735275132366e-01 2.627515249817266030e-01 1.229511559267581350e-01 3.869387887889975675e-01 3.003189239697545143e-01 2.190660052287361770e-01 1.827078444454594552e-01 2.570605811422720377e-01 1.951558938326856396e-01 1.332700447324370874e-01 1.551377891896747463e-01 1.344163042281282805e-01 1.934803789767958471e-01 3.327447256808800935e-01 1.807183596433414863e-01 1.257122861538765568e-01 3.749783331356759675e-01 1.716099012071228003e-01 4.481724685908029526e-01 1.330855596426018528e-01 3.456916828092739258e-01 3.986395158793799021e-01 2.563414318954063686e-01 1.774345467775942931e-01 1.149260248195324297e-01 4.993200113046106225e-01 1.601228248222414108e-01 1.708768361588620111e-01 5.744241846604375423e-01 2.954032174683340339e-01 3.109259800935357254e-01 2.013916938286725022e-01 2.267750554855037237e-01 8.860120297374797504e-02 2.701792930113529057e-01 4.119427049324306256e-01 1.048782950463013897e-01 1.714133568597445145e-01 1.951125803547103799e-01 1.027080528595457898e-01
1.010204081632652962e+00 4.604885307871629530e-01 6.145769758432235719e-01 2.504290470460242002e-01 2.457664620014399504e-01 3.542267338603166116e-01 4.559058015999570279e-01 3.325277970154458806e-01 9.253126564787570452e-01 2.619214867077925279e-01 3.104827206341322920e-01 8.676614458763554083e-01 4.093096430970505351e-01 6.042381505740516134e-01 2.110374789571081988e-01 4.228176274985910865e-01 4.006273964163246659e-01 2.281204433119098929e-01 2.599901849344463112e-01 3.160350235541704578e-01 4.122663523507816841e-01 5.102276874009432639e-01 3.205685690712339331e-01 5.762450173081753446e-01 5.094008888900388721e-01 2.718785099764406410e-01 4.731262158091353309e-01 2.548359555539242982e-01 6.404814329268964102e-01 2.264672020824315957e-01 5.222622164709217474e-01 2.516310489885678625e-01 4.507925051486421086e-01 3.930882197807157863e-01 3.855336682589012298e-01 4.389178312730036557e-01 2.468407453907454918e-01 3.272064114816439218e-01 1.890504904368014993e-01 2.875333614754558287e-01 6.217643132276274853e-01 3.995059533660436091e-01 3.418915348827562539e-01 7.636330807181356262e-01 6.360192423320689681e-01 4.508625536398403466e-01 2.927493076336325495e-01 5.317571465550395837e-01 4.298465705304873041e-01 3.662929884227617561e-01 4.901449409383777933e-01 5.063607130814475887e-01 4.539297018148071294e-01 3.965249462720570883e-01 3.510370857007376055e-01 1.696484097982706440e-01 3.157271590957307916e-01 7.207856291668164328e-01 8.084323527470839155e-01 4.352535728602666132e-01 5.517674245681101208e-01 9.191651552047028773e-01 3.665192642441934545e-01 1.714723299731021333e-01 5.105043945743510392e-01 3.804373749442171437e-01 2.970536095760518136e-01 2.759311777256697185e-01 3.583266251683873138e-01 2.885761724550890417e-01 1.708601246977321242e-01 2.016737565486151629e-01 1.889403305435642944e-01 2.767055178216552003e-01 4.326553808982047666e-01 2.424941714774110635e-01 1.770489966810343263e-01 5.087176981463367165e-01 2.397392239758271981e-01 5.682047265337328845e-01 1.909271665739706580e-01 4.420784851206751020e-01 5.038526423749423166e-01 3.501055913484408810e-01 2.635212204708173300e-01 1.644332642688105250e-01 6.393846547514533407e-01 2.169695725705594325e-01 2.308177273764907278e-01 7.296938949765787719e-01 3.872663397938199137e-01 4.105859007113824566e-01 2.668193847072114488e-01 3.509582575684319639e-01 1.195171900261150083e-01 3.485171020381452323e-01 5.189752303041805792e-01 1.779806467497883071e-01 2.230376367581672348e-01 2.543872137269988509e-01 1.506173270697780675e-01
1.012244897959183820e+00 5.761965056234952254e-01 7.863276492209837487e-01 3.358140044055021867e-01 3.053981115436789628e-01 4.531600473989847999e-01 6.415932471260747949e-01 4.268158802878533886e-01 1.126428047133097854e+00 3.246859912914591972e-01 4.259004994043398828e-01 1.060169143035029515e+00 5.233908283571239162e-01 8.108988119218835111e-01 2.949970904038903274e-01 5.179192514381976142e-01 5.247594573159812814e-01 2.942559684544380216e-01 3.155339163689573345e-01 3.963252293835544116e-01 6.083433176217576399e-01 6.711613475486565283e-01 4.302963181912649593e-01 7.268118986793009606e-01 6.213592520846783485e-01 3.387454075877247561e-01 6.234686141252372416e-01 3.358425555039280530e-01 8.074863136987910917e-01 3.087494324613063168e-01 6.618447472210344795e-01 3.278005510041620552e-01 5.679110449446550524e-01 5.284774178651499010e-01 4.909868688214450438e-01 5.739452389236191499e-01 3.206901075697510262e-01 4.667861365229190596e-01 2.453729215821573995e-01 3.571799343761319911e-01 8.145795618855881104e-01 5.098191027681977516e-01 4.652291042955429834e-01 9.219639428623445099e-01 8.001408925792838911e-01 5.667696645381316012e-01 3.692206037057472745e-01 6.687045896349699259e-01 5.774787876609722703e-01 4.700057661524194574e-01 6.069507772109157262e-01 6.718720979734263965e-01 5.564027295686646557e-01 5.377850984056665729e-01 4.324416276546250160e-01 2.298170727215419484e-01 4.250288203485433902e-01 9.137951973679910855e-01 1.000952563976337473e+00 6.222163138642377023e-01 7.052855587698168005e-01 1.116770674007694142e+00 4.953567669271175533e-01 2.317031384618285506e-01 6.519323054758373592e-01 4.641329157871247890e-01 3.903850026120438410e-01 4.003233130262438544e-01 4.839515186769730026e-01 4.112769392610204355e-01 2.113650988787090512e-01 2.534132750227537922e-01 2.572300538699933137e-01 3.828307315766309449e-01 5.437923561879806078e-01 3.152627229837126066e-01 2.414829430195740145e-01 6.688876278058228930e-01 3.244736160942485736e-01 6.938796642195851350e-01 2.649104751205534347e-01 5.452959493939183444e-01 6.130733380911477237e-01 4.634609886403978085e-01 3.769772954417668909e-01 2.275940639008111888e-01 7.898661373160685839e-01 2.849325204547962787e-01 3.021485070632605741e-01 8.931250949322869781e-01 4.911547082148647325e-01 5.248399234012001147e-01 3.422715797217737443e-01 5.193432345362904989e-01 1.562336520402408113e-01 4.341521226451976467e-01 6.290469975893120402e-01 2.817420047998582811e-01 2.805458235824969671e-01 3.206923020734135932e-01 2.131142301903813097e-01
1.014285714285714235e+00 7.047948284848851719e-01 9.844995404690342067e-01 4.401403196063938816e-01 3.707852146881026600e-01 5.672796765335264002e-01 8.778373130557656223e-01 5.361129556905982474e-01 1.336762103639577592e+00 3.931605834031763336e-01 5.698736910911401665e-01 1.263402714018405204e+00 6.548938295173478696e-01 1.063605855010207657e+00 4.013095626769921376e-01 6.189372990766648375e-01 6.725640274189412793e-01 3.714596990088796513e-01 3.731544656385963887e-01 4.859285771933652964e-01 8.651371508257387211e-01 8.637753395813405621e-01 5.645018253439985090e-01 8.965796849609876107e-01 7.390495810014041655e-01 4.124523011665648942e-01 8.037706273170981408e-01 4.329983340038640605e-01 9.956501070336798431e-01 4.108546063021328854e-01 8.204783641538511141e-01 4.178899458450429094e-01 6.996901338709694551e-01 6.943190729938846228e-01 6.117842463287620491e-01 7.343938148968364166e-01 4.077354637244139934e-01 6.460035915875337320e-01 3.116742634419297220e-01 4.334928966822346186e-01 1.044239630823806220e+00 6.365919860082430715e-01 6.180289412748226630e-01 1.083837305013002794e+00 9.843496713212718241e-01 6.966815194595062932e-01 4.554287596152639117e-01 8.222982458958587593e-01 7.582042462294119600e-01 5.901727007535974012e-01 7.340971012855762590e-01 8.718963073941556896e-01 6.654215516493091620e-01 7.122500675924043900e-01 5.200567985534235715e-01 3.040524079755339004e-01 5.590911900854784733e-01 1.133299645531290478e+00 1.210459763397144561e+00 8.625913719137997537e-01 8.821438893092831135e-01 1.322374361374537788e+00 6.539713179885905392e-01 3.058452699083590298e-01 8.146360649636730233e-01 5.521539162832952430e-01 5.019560135698232228e-01 5.617098344153274025e-01 6.385057256775771295e-01 5.687368628490717670e-01 2.553630973355026645e-01 3.113642450651134541e-01 3.418720766498631325e-01 5.161412757080060532e-01 6.683315857104740187e-01 4.011103549830294379e-01 3.214730799270393291e-01 8.604849063409084620e-01 4.289293426842386014e-01 8.263677001803535482e-01 3.580585795656226478e-01 6.567065853361865324e-01 7.271565111833537820e-01 6.001041732478136215e-01 5.229199438316005644e-01 3.069701426665155108e-01 9.528366133780529212e-01 3.661154407307237735e-01 3.870247169367129758e-01 1.066391905678175434e+00 6.093747617348604928e-01 6.564767693598128062e-01 4.296612231117117875e-01 7.401674509586094741e-01 1.998513509251264586e-01 5.285113432076760098e-01 7.428383005493094382e-01 4.218690017734469389e-01 3.450765359876332705e-01 3.953834825757865934e-01 2.929243579841545597e-01
1.016326530612244872e+00 8.483369601259131976e-01 1.213251223248410948e+00 5.663357116876357455e-01 4.428576585270359578e-01 6.989617956757601114e-01 1.172417095188063030e+00 6.627654971402394679e-01 1.557898263914627046e+00 4.682643560669439431e-01 7.467947536920815921e-01 1.479159757132666897e+00 8.065446658691528548e-01 1.369479576339201365e+00 5.334298926085312420e-01 7.268573717916211319e-01 8.477078101152448752e-01 4.614589601061622193e-01 4.332176273209265016e-01 5.863241995970980280e-01 1.192010176095136709e+00 1.093001066531741561e+00 7.269729991329421104e-01 1.088588928908081455e+00 8.634402852496981806e-01 4.940931645078404655e-01 1.018683669082573795e+00 5.488063383639671944e-01 1.208326751513378428e+00 5.358420034866611115e-01 1.001156985394886734e+00 5.240662996894093206e-01 8.484471767187155011e-01 8.953133062830763711e-01 7.503283483035024792e-01 9.242037297205456525e-01 5.100374520794227484e-01 8.709514014409402982e-01 3.895112502770426421e-01 5.175447778911407282e-01 1.316475279632012052e+00 7.824098419396561255e-01 8.048452181857457255e-01 1.249936455108141553e+00 1.191821304928481595e+00 8.428094527761103016e-01 5.529069264444024245e-01 9.951644759892602776e-01 9.771512487796975011e-01 7.293672444951335709e-01 8.732504561363764184e-01 1.111784006603927066e+00 7.820677732237486524e-01 9.250331168256907821e-01 6.148954540355642262e-01 3.945244448325653797e-01 7.217421800029376611e-01 1.383469999628692104e+00 1.439697810050216242e+00 1.164586338639505669e+00 1.085991627597735487e+00 1.537367133905409800e+00 8.469579930405471968e-01 3.960510106522336926e-01 1.001950269946614736e+00 6.452323125625559763e-01 6.345914095488394135e-01 7.657925502503223347e-01 8.264467358548577280e-01 7.663174301642192709e-01 3.034198873640799321e-01 3.765126342118091940e-01 4.453962538331939225e-01 6.808189041000204389e-01 8.084037657584687286e-01 5.020773241849981749e-01 4.194229307793407302e-01 1.088393389489530350e+00 5.561474091077489579e-01 9.668106686591794174e-01 4.733251954704392195e-01 7.776418214815978835e-01 8.469368454783851030e-01 7.636470672677680982e-01 7.063542906353504902e-01 4.050685599105745549e-01 1.130323388809561846e+00 4.625761587043061285e-01 4.875527433409292399e-01 1.251130079046453902e+00 7.441778769502289670e-01 8.082219622814261761e-01 5.308588552213676648e-01 1.021477916646411410e+00 2.514486369414790090e-01 6.329890627388568003e-01 8.610138753167292380e-01 6.039447669871009783e-01 4.177437079676335485e-01 4.797848390087874892e-01 3.927092839944775204e-01
1.018367346938775508e+00 1.008835259072359714e+00 1.476668569974329381e+00 7.172618182669673326e-01 5.225313797564131724e-01 8.505287597606066008e-01 1.532940396943225814e+00 8.090680197594072309e-01 1.791389656546090281e+00 5.508966691937650095e-01 9.609495873546375355e-01 1.709199175407198901e+00 9.810071837357015045e-01 1.735482920638095505e+00 6.947489297733352442e-01 8.426478553894813928e-01 1.053767043632907852e+00 5.659429901076498126e-01 4.960815618095628099e-01 6.989604971124807609e-01 1.598157958579119242e+00 1.363673629487076600e+00 9.214165963967344553e-01 1.305821613792470748e+00 9.954781408646702356e-01 5.847393103140959836e-01 1.272759386840353724e+00 6.857123216196774340e-01 1.448807550730874416e+00 6.867036233810333012e-01 1.206805222200017402e+00 6.484500963420140041e-01 1.016449576624086637e+00 1.136049798373455877e+00 9.089642243661151255e-01 1.147218780919773806e+00 6.296164757505176013e-01 1.147587464138311031e+00 4.804085034016917777e-01 6.103876515735304764e-01 1.636896774082175599e+00 9.498052948773065829e-01 1.030137354426718943e+00 1.420929165872796940e+00 1.425660451591070466e+00 1.007311688866140198e+00 6.631511130484643024e-01 1.189865458488064576e+00 1.239344998772715645e+00 8.901064814979505746e-01 1.026040860184411319e+00 1.396770816420114913e+00 9.073987724305405678e-01 1.181122521314358575e+00 7.179492589570578565e-01 5.033532582072000050e-01 9.167258251841405858e-01 1.668387958060705722e+00 1.691355190045334300e+00 1.536226255504000049e+00 1.320391717587394709e+00 1.763108954138586704e+00 1.078806128010036725e+00 5.044278818207218462e-01 1.217136505197034424e+00 7.440853391558526209e-01 7.910478062739870753e-01 1.018165414504072608e+00 1.052123242538995695e+00 1.009277509820553975e+00 3.560903978406895765e-01 4.498249450752118683e-01 5.702818178264192905e-01 8.809470576396303265e-01 9.661007900540667936e-01 6.201625713775806847e-01 5.376856335068451731e-01 1.357394093016496717e+00 7.090973341372333039e-01 1.116323023621250465e+00 6.136002222914528348e-01 9.094045754622339661e-01 9.732300131345638095e-01 9.576238639367288252e-01 9.321856562171106919e-01 5.243485912818993677e-01 1.324314100394947014e+00 5.763316368985288429e-01 6.057939381479529040e-01 1.448940043250461773e+00 8.977634742185690575e-01 9.827433564413410316e-01 6.476969015701501409e-01 1.371145623900254407e+00 3.120849621520512818e-01 7.489495222357084314e-01 9.842241339583265303e-01 8.334433505298862732e-01 4.996394260133200649e-01 5.751911483214940946e-01 5.150708076304882921e-01
