x1 y1 x2 y2 x3 y3
6.351112585613438721e-02 4.500759398080208390e-02 9.526668878420158748e+00 3.000506265386805854e-04 6.351112585613439832e-01 4.500759398080212033e-03
1.386018664333061867e-01 1.711156961085657791e-01 2.079027996499593200e+01 1.140771307390438900e-03 1.386018664333062311e+00 1.711156961085659109e-02
2.136926070104780140e-01 3.247104033661754041e-01 3.205389105157170349e+01 2.164736022441169153e-03 2.136926070104780528e+00 3.247104033661755290e-02
2.887833475876498412e-01 4.733986536128821920e-01 4.331750213814747497e+01 3.155991024085881211e-03 2.887833475876498746e+00 4.733986536128821643e-02
3.638740881648216408e-01 5.999989674443563237e-01 5.458111322472324645e+01 3.999993116295707737e-03 3.638740881648216963e+00 5.999989674443562820e-02
4.389648287419934403e-01 6.970648907131837824e-01 6.584472431129901793e+01 4.647099271421224927e-03 4.389648287419935180e+00 6.970648907131837824e-02
5.140555693191652953e-01 7.631315597702800213e-01 7.710833539787478230e+01 5.087543731801866427e-03 5.140555693191653397e+00 7.631315597702799380e-02
5.891463098963370948e-01 8.001863117009521131e-01 8.837194648445056089e+01 5.334575411339680454e-03 5.891463098963371614e+00 8.001863117009520854e-02
6.642370504735088943e-01 8.120008882163515240e-01 9.963555757102632526e+01 5.413339254775676769e-03 6.642370504735089831e+00 8.120008882163513853e-02
7.393277910506806938e-01 8.030635078806250826e-01 1.108991686576020896e+02 5.353756719204167021e-03 7.393277910506808048e+00 8.030635078806250271e-02
8.144185316278524933e-01 7.779230505548884178e-01 1.221627797441778682e+02 5.186153670365923132e-03 8.144185316278525377e+00 7.779230505548884178e-02
8.895092722050242928e-01 7.408116815795386945e-01 1.334263908307536610e+02 4.938744543863588833e-03 8.895092722050243594e+00 7.408116815795386112e-02
9.646000127821962034e-01 6.954515938583697432e-01 1.446900019173294254e+02 4.636343959055797687e-03 9.646000127821961811e+00 6.954515938583696877e-02
1.039690753359368003e+00 6.449800184320404473e-01 1.559536130039051898e+02 4.299866789546935922e-03 1.039690753359368003e+01 6.449800184320403362e-02
1.114781493936539913e+00 5.919471249336827334e-01 1.672172240904809826e+02 3.946314166224551730e-03 1.114781493936539825e+01 5.919471249336830110e-02
1.189872234513711380e+00 5.383560432455239964e-01 1.784808351770567469e+02 3.589040288303491262e-03 1.189872234513711646e+01 5.383560432455238715e-02
1.264962975090883290e+00 4.857245750497145020e-01 1.897444462636325113e+02 3.238163833664763156e-03 1.264962975090883468e+01 4.857245750497144604e-02
1.340053715668055201e+00 4.351554033539721256e-01 2.010080573502082757e+02 2.901036022359815454e-03 1.340053715668055290e+01 4.351554033539720839e-02
1.415144456245227111e+00 3.874066148825469624e-01 2.122716684367840401e+02 2.582710765883647949e-03 1.415144456245227111e+01 3.874066148825468930e-02
1.490235196822399022e+00 3.429577594849697597e-01 2.235352795233598329e+02 2.286385063233132425e-03 1.490235196822398933e+01 3.429577594849698985e-02
1.565325937399570488e+00 3.020689462806021020e-01 2.347988906099355972e+02 2.013792975204013822e-03 1.565325937399570755e+01 3.020689462806020603e-02
1.640416677976742399e+00 2.648319551951813788e-01 2.460625016965113616e+02 1.765546367967875570e-03 1.640416677976742577e+01 2.648319551951813441e-02
1.715507418553914309e+00 2.312132683554289359e-01 2.573261127830871260e+02 1.541421789036194305e-03 1.715507418553914576e+01 2.312132683554289289e-02
1.790598159131086220e+00 2.010894732016984543e-01 2.685897238696628619e+02 1.340596488011324599e-03 1.790598159131086220e+01 2.010894732016984404e-02
1.865688899708258131e+00 1.742757825232824631e-01 2.798533349562386547e+02 1.161838550155217496e-03 1.865688899708258219e+01 1.742757825232824423e-02
1.940779640285429597e+00 1.505485436169250735e-01 2.911169460428144475e+02 1.003656957446166960e-03 1.940779640285430219e+01 1.505485436169249833e-02
2.015870380862601507e+00 1.296626305638338972e-01 3.023805571293901835e+02 8.644175370922262992e-04 2.015870380862601863e+01 1.296626305638338278e-02
2.090961121439773418e+00 1.113645722567428858e-01 3.136441682159659763e+02 7.424304817116194645e-04 2.090961121439773507e+01 1.113645722567429240e-02
2.166051862016945329e+00 9.540219268652502804e-02 3.249077793025417691e+02 6.360146179101673278e-04 2.166051862016945506e+01 9.540219268652502110e-03
2.241142602594117239e+00 8.153144786230405450e-02 3.361713903891175050e+02 5.435429857486940913e-04 2.241142602594117506e+01 8.153144786230404756e-03
2.316233343171288706e+00 6.952104757389626633e-02 3.474350014756932978e+02 4.634736504926419013e-04 2.316233343171289150e+01 6.952104757389622122e-03
2.391324083748460616e+00 5.915535732223333593e-02 3.586986125622690338e+02 3.943690488148892423e-04 2.391324083748460794e+01 5.915535732223333593e-03
2.466414824325632527e+00 5.023599027733954836e-02 3.699622236488448266e+02 3.349066018489305508e-04 2.466414824325632793e+01 5.023599027733954142e-03
2.541505564902804437e+00 4.258242309596511899e-02 3.812258347354206194e+02 2.838828206397674614e-04 2.541505564902804792e+01 4.258242309596507909e-03
2.616596305479976348e+00 3.603190349734389231e-02 3.924894458219963553e+02 2.402126899822930718e-04 2.616596305479976436e+01 3.603190349734392527e-03
2.691687046057147814e+00 3.043886146382551727e-02 4.037530569085721481e+02 2.029257430921704917e-04 2.691687046057148081e+01 3.043886146382551467e-03
2.766777786634319725e+00 2.567398911946587939e-02 4.150166679951478841e+02 1.711599274631060361e-04 2.766777786634320080e+01 2.567398911946587939e-03
2.841868527211491635e+00 2.162311580650450385e-02 4.262802790817236769e+02 1.441541053766970490e-04 2.841868527211492079e+01 2.162311580650450125e-03
2.916959267788663546e+00 1.818597359150112697e-02 4.375438901682994697e+02 1.212398239433409326e-04 2.916959267788663723e+01 1.818597359150112350e-03
2.992050008365835012e+00 1.527492335434349827e-02 4.488075012548752056e+02 1.018328223622901729e-04 2.992050008365835367e+01 1.527492335434349653e-03
3.067140748943006923e+00 1.281369176744091842e-02 4.600711123414509984e+02 8.542461178293952139e-05 3.067140748943007367e+01 1.281369176744091669e-03
3.142231489520178833e+00 1.073615397225673694e-02 4.713347234280267912e+02 7.157435981504503076e-05 3.142231489520179366e+01 1.073615397225673564e-03
3.217322230097350744e+00 8.985184822815996120e-03 4.825983345146025272e+02 5.990123215210668950e-05 3.217322230097350655e+01 8.985184822816002408e-04
3.292412970674522654e+00 7.511592514161233650e-03 4.938619456011783200e+02 5.007728342774165280e-05 3.292412970674522654e+01 7.511592514161233216e-04
3.367503711251694121e+00 6.273141673031454660e-03 5.051255566877541128e+02 4.182094448687643379e-05 3.367503711251694654e+01 6.273141673031454226e-04
3.442594451828866031e+00 5.233668077024192927e-03 5.163891677743298487e+02 3.489112051349467969e-05 3.442594451828866653e+01 5.233668077024187723e-04
3.517685192406037942e+00 4.362283689335423598e-03 5.276527788609056415e+02 2.908189126223618162e-05 3.517685192406037942e+01 4.362283689335423381e-04
3.592775932983209852e+00 3.632668323752992652e-03 5.389163899474814343e+02 2.421778882501997139e-05 3.592775932983209941e+01 3.632668323752995471e-04
3.667866673560381763e+00 3.022442726067399530e-03 5.501800010340572271e+02 2.014961817378269732e-05 3.667866673560381940e+01 3.022442726067399313e-04
3.742957414137553673e+00 2.512616963134852756e-03 5.614436121206330199e+02 1.675077975423236467e-05 3.742957414137553940e+01 2.512616963134852431e-04
