x y
1.304361183703443672e+01 1.697719838756707451e-07
1.334887558966373078e+01 1.536010683991360258e-06
1.365413934229302306e+01 1.086918380977766950e-05
1.395940309492231712e+01 6.025924713682241364e-05
1.426466684755160941e+01 2.623217519879861878e-04
1.456993060018090347e+01 8.992632198991598342e-04
1.487519435281019753e+01 2.437465452879358351e-03
1.518045810543949159e+01 5.257229233644047234e-03
1.548572185806878387e+01 9.130134819164940560e-03
1.579098561069807616e+01 1.309674031947419791e-02
1.609624936332737022e+01 1.644558703345347025e-02
1.640151311595666428e+01 2.029086487207257261e-02
1.670677686858595834e+01 2.823079780857931306e-02
1.701204062121524885e+01 4.530208583683018736e-02
1.731730437384454291e+01 7.566877893480247752e-02
1.762256812647383697e+01 1.197643666407817442e-01
1.792783187910313103e+01 1.721431116574240472e-01
1.823309563173242509e+01 2.223261901754651770e-01
1.853835938436171915e+01 2.595907599155379275e-01
1.884362313699101321e+01 2.783476145745464869e-01
1.914888688962030372e+01 2.790727426863811589e-01
1.945415064224959778e+01 2.648968251365527715e-01
1.975941439487889184e+01 2.392658614922747173e-01
2.006467814750818590e+01 2.070197942845525274e-01
2.036994190013747641e+01 1.749396909455024907e-01
2.067520565276677047e+01 1.488426989099977393e-01
2.098046940539606453e+01 1.301377588199841284e-01
2.128573315802535859e+01 1.157483144730957481e-01
2.159099691065465265e+01 1.014224204776716792e-01
2.189626066328394671e+01 8.543299026573333843e-02
2.220152441591324077e+01 6.926470988812970242e-02
2.250678816854253128e+01 5.478035116532725679e-02
2.281205192117182534e+01 4.180436885914533968e-02
2.311731567380111940e+01 2.933226963636899332e-02
2.342257942643040991e+01 1.789162903961121626e-02
2.372784317905970397e+01 9.300383799168468121e-03
2.403310693168899803e+01 4.675395050964765119e-03
2.433837068431829209e+01 3.588621549311123669e-03
2.464363443694758615e+01 4.631233160173619384e-03
2.494889818957688021e+01 6.090430362028069824e-03
2.525416194220617427e+01 6.533981792178998951e-03
2.555942569483546833e+01 5.489972363730775615e-03
2.586468944746475884e+01 3.590792484085190972e-03
2.616995320009405290e+01 1.826659309505665463e-03
2.647521695272334696e+01 7.226313338807798491e-04
2.678048070535263747e+01 2.223105111945290670e-04
2.708574445798193153e+01 5.318461364848011796e-05
2.739100821061122559e+01 9.894518193355750574e-06
2.769627196324051965e+01 1.431482028334245979e-06
2.800153571586981371e+01 1.610496372012223212e-07
