x y
1.319744447790893993e+01 1.442360867215223534e-14
1.341342744741022663e+01 2.646454784901146578e-12
1.362941041691151334e+01 2.665670921772438075e-10
1.384539338641280004e+01 1.474529978472264439e-08
1.406137635591408674e+01 4.483241341585276106e-07
1.427735932541537167e+01 7.509188955774640314e-06
1.449334229491665837e+01 6.967613108057505269e-05
1.470932526441794508e+01 3.631255450340238307e-04
1.492530823391923178e+01 1.098579699403058607e-03
1.514129120342051849e+01 2.076294373261819686e-03
1.535727417292180519e+01 2.832622791760047200e-03
1.557325714242309189e+01 3.547902046578765064e-03
1.578924011192437860e+01 5.227545013228144383e-03
1.600522308142566530e+01 8.592035556579422778e-03
1.622120605092695200e+01 1.256500948197277964e-02
1.643718902042823871e+01 1.631579974713612616e-02
1.665317198992952541e+01 2.252222144579429930e-02
1.686915495943081211e+01 3.442382045023102688e-02
1.708513792893209882e+01 5.247993046257266869e-02
1.730112089843338197e+01 7.663112958697329558e-02
1.751710386793467222e+01 1.048277127916738272e-01
1.773308683743595537e+01 1.280688855470982213e-01
1.794906980693724208e+01 1.472804441983522894e-01
1.816505277643852878e+01 1.801788420740899899e-01
1.838103574593981548e+01 2.269996518618814518e-01
1.859701871544110219e+01 2.645934490139312811e-01
1.881300168494238889e+01 2.780660903611010815e-01
1.902898465444367559e+01 2.726318947714377883e-01
1.924496762394496230e+01 2.629720201333623497e-01
1.946095059344624900e+01 2.620523661303139074e-01
1.967693356294753571e+01 2.776587461086350572e-01
1.989291653244882241e+01 3.110130700335190235e-01
2.010889950195010911e+01 3.528055742088833102e-01
2.032488247145139582e+01 3.749124706000964702e-01
2.054086544095268252e+01 3.450179718014421137e-01
2.075684841045396922e+01 2.650904330191537484e-01
2.097283137995525237e+01 1.703058717110387810e-01
2.118881434945654263e+01 9.323154150637821824e-02
2.140479731895782578e+01 4.492595638893121662e-02
2.162078028845911604e+01 1.911097220504920022e-02
2.183676325796039919e+01 6.881299336003235227e-03
2.205274622746168944e+01 2.048470655055616672e-03
2.226872919696297259e+01 4.804880316968231156e-04
2.248471216646425930e+01 7.842556082760574583e-05
2.270069513596554600e+01 7.894814986873944176e-06
2.291667810546683270e+01 4.582182705774275026e-07
2.313266107496811941e+01 1.489109372229656165e-08
2.334864404446940611e+01 2.677864409369050611e-10
2.356462701397069281e+01 2.652187172927022595e-12
2.378060998347197952e+01 1.443864428634757942e-14
