x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.002040816326530637e+00 2.047194107053958156e-04 2.413481225834908372e-04 2.049121217002208839e-04 2.389764527507311220e-04 2.384959965226023104e-04 2.053500149903839112e-04 2.363284044193947331e-04 2.420752951618788951e-04 2.298006673688707258e-04 2.399144232488083228e-04 2.340825551583602948e-04 2.043046804581886977e-04 2.166917959878465749e-04 2.328568781968659573e-04 2.335297960816343221e-04 2.331652482208644572e-04 2.050242160105478217e-04 2.378790654685991601e-04 2.035715025206323581e-04 2.075021114099802333e-04 2.034915640255798019e-04 2.331416925443162425e-04 2.382025558358945305e-04 2.082219618726247057e-04 2.404826098828076464e-04 2.094776735458679651e-04 2.037428224190458714e-04 2.053132920025318997e-04 2.398549756130706478e-04 2.372540609637541209e-04 2.053572072396175896e-04 2.364525176378647064e-04 2.071865608666706438e-04 2.067107735586291850e-04 2.366908345636728472e-04 2.333400525130861769e-04 2.023006263085595779e-04 2.031312765034751222e-04 2.451736678323983287e-04 2.367286492116552066e-04 2.622146628659567658e-04 2.047800081256545557e-04 2.042394245531618802e-04 2.372905510796517736e-04 2.348987183189467365e-04 2.393956804613850409e-04 2.384987981267037982e-04 2.081172221915610077e-04 2.406909951515601165e-04 2.350809397882909491e-04 2.369904583034224133e-04 2.047148118619682156e-04 2.042732491396130612e-04 2.365830903815931141e-04 2.345979991922771124e-04 2.365528461818963701e-04 2.069561298885559675e-04 2.047206112139633716e-04 2.360343578135838671e-04 2.105540098312277952e-04 2.414903490577900713e-04 2.401987486801773763e-04 2.364720593627696321e-04 2.419663456288516368e-04 2.027469977000477541e-04 2.032090034363477626e-04 2.290224750361481709e-04 2.063018396872839944e-04 2.512469632128117025e-04 2.049363909585391608e-04 2.362717920373694214e-04 2.375795140714016818e-04 2.049497153983753650e-04 2.347638960146919418e-04 2.380627316147070072e-04 2.357030265853175821e-04 2.346627040569621014e-04 2.394203738937845938e-04 2.378507656267264680e-04 2.031133422376041331e-04 2.367040069111009393e-04 2.061139012012290495e-04 2.341225321399603709e-04 2.368433714729362149e-04 2.386805751214034210e-04 2.322501329125870040e-04 2.330115393445464367e-04 2.043675297378651223e-04 2.075178478973919993e-04 2.031995549065628015e-04 2.374584590996188516e-04 2.395682354535792757e-04 2.367750792960678086e-04 2.016632396775290548e-04 2.036005208707197811e-04 2.067206986262511148e-04 2.053381802576206838e-04 2.352233846933463046e-04 2.343547130570396153e-04 2.353049427096486068e-04
1.004081632653061273e+00 1.627280777407924539e-03 1.918436290803876565e-03 1.628812604998003399e-03 1.899584284326905070e-03 1.895765218182632328e-03 1.632293345800950313e-03 1.878535391271599075e-03 1.924216463871600280e-03 1.826647501115316596e-03 1.907040054813707863e-03 1.860683511190452943e-03 1.623984155768795623e-03 1.722447271805746527e-03 1.850940810009638060e-03 1.856289721739109999e-03 1.853391991760947044e-03 1.629703623994352424e-03 1.890861336480892385e-03 1.618156246485258354e-03 1.649400001605919042e-03 1.617520828704588354e-03 1.853204751627382518e-03 1.893432707273892679e-03 1.655121972953005338e-03 1.911556475250916765e-03 1.665103415722901659e-03 1.619518039818121369e-03 1.632001440889346844e-03 1.906567515508494903e-03 1.885893280260245164e-03 1.632350515791677892e-03 1.879521946479556505e-03 1.646891742927883429e-03 1.643109788908608815e-03 1.881416287848478031e-03 1.854781481845840796e-03 1.608054263168165465e-03 1.614656963208074836e-03 1.948844909292979377e-03 1.881716870158103849e-03 2.084300920364379195e-03 1.627762456205425479e-03 1.623465447451358235e-03 1.886183334085508867e-03 1.867171055636634991e-03 1.902916655228986675e-03 1.895787487664737925e-03 1.654289414686288540e-03 1.913212894865859437e-03 1.868619503614624144e-03 1.883797946821808011e-03 1.627244221967708016e-03 1.623734313453917277e-03 1.880559847372592630e-03 1.864780689601011621e-03 1.880319441289579618e-03 1.645060085485899881e-03 1.627290320050517325e-03 1.876198063998107957e-03 1.673659033408936292e-03 1.919566825234642060e-03 1.909300110071537881e-03 1.879677280381242266e-03 1.923350442276872130e-03 1.611602395009792410e-03 1.615274801649899117e-03 1.820461780336291024e-03 1.639859241712407489e-03 1.997120516385814115e-03 1.629005517288839577e-03 1.878085388918648846e-03 1.888480252552726668e-03 1.629111431041066482e-03 1.866099375692528706e-03 1.892321267939769958e-03 1.873564367496263761e-03 1.865295017747195527e-03 1.903112939189807729e-03 1.890636385773775130e-03 1.614514406716033301e-03 1.881520992634166944e-03 1.638365350004764021e-03 1.861001281530688667e-03 1.882628778217515508e-03 1.897232402572557319e-03 1.846117893205836968e-03 1.852170185608445485e-03 1.624483734222206821e-03 1.649525088321585065e-03 1.615199696860580847e-03 1.887518006839242202e-03 1.904288265978590355e-03 1.882085935130381471e-03 1.602987782996556643e-03 1.618386908516081246e-03 1.643188681617127611e-03 1.632199273482098922e-03 1.869751774336361749e-03 1.862846848805679856e-03 1.870400065364472009e-03
1.006122448979591688e+00 5.457113639325245069e-03 6.433507624441864303e-03 5.462250645146632388e-03 6.370287177065836470e-03 6.357479889152861663e-03 5.473923359374077702e-03 6.299699439853340133e-03 6.452891509137914650e-03 6.125692713698449587e-03 6.395290199990522062e-03 6.239832925435201405e-03 5.446058371279205446e-03 5.776255823556009084e-03 6.207160648287080029e-03 6.225098294514397335e-03 6.215380718727431253e-03 5.465238690141482891e-03 6.341034658062544294e-03 5.426514393612885678e-03 5.531290774243330377e-03 5.424383510929914332e-03 6.214752806462831014e-03 6.349657783488921181e-03 5.550479486669701590e-03 6.410436074292896746e-03 5.583952396816388442e-03 5.431081187169894964e-03 5.472944452066752508e-03 6.393705533317362022e-03 6.324374216754163891e-03 5.474115079757840840e-03 6.303007865655851916e-03 5.522879292985061195e-03 5.510196456173621637e-03 6.309360564216048850e-03 6.220040392100473214e-03 5.392637246779796723e-03 5.414779496699523298e-03 6.535483315410151040e-03 6.310368570921459641e-03 6.989736716453587295e-03 5.458728956091118967e-03 5.444318875477055508e-03 6.325346916042501322e-03 6.261588991177902130e-03 6.381462326097958604e-03 6.357554570150608653e-03 5.547687490671582289e-03 6.415990898849477375e-03 6.266446380517570747e-03 6.317347488709490477e-03 5.456991050131337895e-03 5.445220521483384868e-03 6.306488479879690523e-03 6.253572867222167986e-03 6.305682274935497933e-03 5.516736803605176709e-03 5.457145640714172741e-03 6.291861182228214444e-03 5.612643781904208540e-03 6.437298886204839699e-03 6.402869324518667415e-03 6.303528779927736192e-03 6.449987294597669951e-03 5.404535958167172582e-03 5.416851426824742521e-03 6.104948816268773726e-03 5.499295699677692051e-03 6.697376170430507925e-03 5.462897579283532146e-03 6.298190351071042414e-03 6.333049662082063103e-03 5.463252762572146093e-03 6.257995098386703869e-03 6.345930557218520951e-03 6.283029046478594282e-03 6.255297673431081673e-03 6.382120566904042613e-03 6.340280282936205936e-03 5.414301431447277047e-03 6.309711693083919215e-03 5.494285912460927790e-03 6.240898572461572869e-03 6.313426666518739960e-03 6.362400111068172714e-03 6.190986932868514092e-03 6.211283375630455295e-03 5.447733714805919059e-03 5.531710254327970588e-03 5.416599561830631737e-03 6.329822758534386917e-03 6.386062040515283478e-03 6.311606235130801101e-03 5.375646732232175484e-03 5.427287922056350800e-03 5.510461023998991514e-03 5.473607886503695230e-03 6.270243465263086735e-03 6.247087706644671723e-03 6.272417517742406856e-03
1.008163265306122547e+00 1.285342749099205317e-02 1.515317369604446407e-02 1.286552692689235666e-02 1.500426771802909620e-02 1.497410213227001741e-02 1.289302022963678684e-02 1.483800921469474732e-02 1.519882943357558913e-02 1.442816320552514631e-02 1.506315846982736462e-02 1.469700288248054765e-02 1.282738848832321032e-02 1.360511823154009203e-02 1.462004837322145034e-02 1.466229773249844159e-02 1.463940948153302779e-02 1.287256481237947225e-02 1.493536793330590973e-02 1.278135562026611050e-02 1.302814044355693479e-02 1.277633665001104424e-02 1.463793053103085162e-02 1.495567837198685801e-02 1.307333653303760501e-02 1.509883223230007454e-02 1.315217687225495036e-02 1.279211200827456985e-02 1.289071456239665459e-02 1.505942603273024982e-02 1.489612683910845892e-02 1.289347179783384423e-02 1.484580170058480419e-02 1.300832848029886968e-02 1.297845598909319609e-02 1.486076450058121390e-02 1.465038462350881643e-02 1.270156314898851502e-02 1.275371585420120857e-02 1.539336162534998831e-02 1.486313870463229492e-02 1.646328467762736558e-02 1.285723212396017168e-02 1.282329137046328560e-02 1.489841788194951056e-02 1.474824593777640525e-02 1.503058905268844780e-02 1.497427803181061723e-02 1.306676041177518011e-02 1.511191576152842719e-02 1.475968676854205741e-02 1.487957646710930115e-02 1.285313875079019397e-02 1.282541506053080926e-02 1.485399974966566949e-02 1.472936519507339614e-02 1.485210085847427086e-02 1.299386078178371706e-02 1.285350286539671538e-02 1.481954740958529859e-02 1.321975505540773366e-02 1.516210342589235927e-02 1.508100992456085088e-02 1.484702863367803882e-02 1.519198900620910564e-02 1.272958875583363181e-02 1.275859597071987706e-02 1.437930414812094160e-02 1.295278091641527407e-02 1.577467507737012609e-02 1.286705068185156620e-02 1.483445478918204996e-02 1.491656050966838620e-02 1.286788726206311573e-02 1.473978107804169158e-02 1.494689946681831971e-02 1.479874467784858538e-02 1.473342770989405359e-02 1.503213943705999922e-02 1.493359111932240912e-02 1.275258984415422736e-02 1.486159153037819314e-02 1.294098112508040854e-02 1.469951284962561777e-02 1.487034157629718578e-02 1.498569095403384788e-02 1.458195368009967963e-02 1.462975882174144537e-02 1.283133450524570618e-02 1.302912846501558253e-02 1.275800274100524767e-02 1.490896003715119766e-02 1.504142296827409853e-02 1.486605383144606884e-02 1.266154457278256817e-02 1.278317754893160130e-02 1.297907913833090676e-02 1.289227718128416189e-02 1.476863021546326316e-02 1.471409040016491421e-02 1.477375086042687080e-02
1.010204081632652962e+00 2.494603191378497176e-02 2.940937273686416997e-02 2.496951449243295373e-02 2.912037678640017058e-02 2.906183156780844934e-02 2.502287347847165222e-02 2.879770308595824835e-02 2.949798114562451889e-02 2.800227566983354288e-02 2.923467165827797754e-02 2.852403862918445610e-02 2.489549543053959368e-02 2.640491235026221073e-02 2.837468564449502351e-02 2.845668302312442943e-02 2.841226160248783161e-02 2.498317361664803560e-02 2.898665642439968160e-02 2.480615486024562166e-02 2.528511469007971302e-02 2.479641404471288890e-02 2.840939126157077110e-02 2.902607482461394550e-02 2.537283121930161700e-02 2.930390711143615601e-02 2.552584446812372621e-02 2.482703085377579999e-02 2.501839864088384324e-02 2.922742776355513605e-02 2.891049749779062150e-02 2.502374988175481985e-02 2.881282670632084875e-02 2.524666364860911338e-02 2.518868714159294697e-02 2.884186643856467835e-02 2.843356211174341563e-02 2.465129365710161391e-02 2.475251161234265362e-02 2.987552811926419416e-02 2.884647428263575897e-02 3.195202712070832618e-02 2.495341594342126434e-02 2.488754374614488007e-02 2.891494394279570113e-02 2.862349092601951250e-02 2.917146109993695724e-02 2.906217295276658508e-02 2.536006828940473579e-02 2.932929955637519903e-02 2.864569523937043893e-02 2.887837661450226578e-02 2.494547152695403280e-02 2.489166540282239382e-02 2.882873744169173191e-02 2.858684726411381272e-02 2.882505208254859674e-02 2.521858475113081255e-02 2.494617820038969036e-02 2.876187249995365569e-02 2.565700012635491190e-02 2.942670350868514806e-02 2.926931766938328794e-02 2.881520793234781941e-02 2.948470528144614411e-02 2.470568574743192691e-02 2.476198294080933504e-02 2.790745019169638130e-02 2.513885697970780209e-02 3.061557884898780113e-02 2.497247179521316918e-02 2.879080467341454952e-02 2.895015506762077528e-02 2.497409542962220064e-02 2.860706236379406686e-02 2.900903676844418522e-02 2.872149865346823594e-02 2.859473177497068308e-02 2.917447007805629156e-02 2.898320799245307500e-02 2.475032625242290507e-02 2.884347153411154219e-02 2.511595595306509443e-02 2.852890996253892864e-02 2.886045358205580058e-02 2.908432309560698981e-02 2.830075162110234910e-02 2.839353164245095318e-02 2.490315385827618355e-02 2.528703224126793714e-02 2.476083160078496048e-02 2.893540410711714639e-02 2.919248750820496729e-02 2.885213194704683293e-02 2.457362561242543153e-02 2.480969085868411916e-02 2.518989654915237963e-02 2.502143137067858181e-02 2.866305264108737205e-02 2.855720200915934370e-02 2.867299076581214523e-02
1.012244897959183820e+00 4.283611716610713493e-02 5.050027394900924449e-02 4.287644000092039054e-02 5.000403007853582160e-02 4.990350025705347914e-02 4.296806475541325998e-02 4.944995692166331835e-02 5.065242615274623272e-02 4.808410268779539365e-02 5.020028935085929511e-02 4.898003892912938806e-02 4.274933903300537352e-02 4.534121492510112539e-02 4.872358008452992717e-02 4.886438044262675362e-02 4.878810298212565844e-02 4.289989460563947699e-02 4.977441466355425614e-02 4.259592890429453327e-02 4.341836909770668829e-02 4.257920257461378366e-02 4.878317422662414860e-02 4.984210123458199249e-02 4.356899045622986133e-02 5.031917568485255732e-02 4.383173524344130545e-02 4.263177587666822088e-02 4.296038084092079767e-02 5.018785063509034750e-02 4.964363977452423971e-02 4.296956966095200059e-02 4.947592616998019999e-02 4.335234336121129850e-02 4.325278970541945878e-02 4.952579121432210130e-02 4.882467877708718262e-02 4.233001074765729843e-02 4.250381601450459179e-02 5.130072342208025216e-02 4.953370348923147315e-02 5.486633743208590985e-02 4.284879656618312271e-02 4.273568489047196994e-02 4.965127490543108646e-02 4.915081166496804155e-02 5.009174854199960336e-02 4.990408645983468450e-02 4.354707474901520214e-02 5.036277783372133943e-02 4.918893940274404741e-02 4.958848399203996671e-02 4.283515490441514029e-02 4.274276234539298169e-02 4.950324699799824035e-02 4.908788965726507136e-02 4.949691875104211825e-02 4.330412802366390146e-02 4.283636836043924756e-02 4.938843108405521765e-02 4.405694751205257997e-02 5.053003314753212738e-02 5.025978108719997284e-02 4.948001504869670164e-02 5.062962976201068610e-02 4.242340951227319135e-02 4.252007959821690886e-02 4.792127470594786942e-02 4.316722444306198003e-02 5.257148601377137354e-02 4.288151809868068209e-02 4.943811143849596856e-02 4.971173703673303912e-02 4.288430610344451388e-02 4.912260165390169853e-02 4.981284465443103215e-02 4.931910386672744284e-02 4.910142840406594988e-02 5.009691535175542221e-02 4.976849325279264491e-02 4.250006344860934870e-02 4.952854737469714053e-02 4.312790021963852638e-02 4.898840365264056640e-02 4.955770778652401898e-02 4.994212116192975337e-02 4.859662556484611873e-02 4.875594115988479693e-02 4.276248961317907771e-02 4.342166179726014708e-02 4.251810258782573460e-02 4.968640769819321346e-02 5.012785364014415990e-02 4.954341844382448290e-02 4.219664393245670109e-02 4.260200070342412548e-02 4.325486642499554168e-02 4.296558845705866769e-02 4.921874435265827241e-02 4.903698483692708887e-02 4.923580942439043096e-02
1.014285714285714235e+00 6.759699165878585436e-02 7.969112177203430125e-02 6.766062179472820404e-02 7.890804581300336906e-02 7.874940907184568850e-02 6.780520724545757716e-02 7.803371440614759180e-02 7.993121882952081148e-02 7.587838457045215090e-02 7.921774423085337080e-02 7.729218006698668209e-02 6.746005424504897263e-02 7.155007521500589274e-02 7.688748581794724313e-02 7.710966999944479650e-02 7.698930351166111130e-02 6.769763356862434911e-02 7.854571110463448580e-02 6.721797034990384390e-02 6.851579513285133149e-02 6.719157590401214630e-02 7.698152589283357994e-02 7.865252098932562497e-02 6.875347812714904805e-02 7.940534761467399338e-02 6.916809366937903825e-02 6.727453750893042095e-02 6.779308189565036447e-02 7.919811585770475393e-02 7.833934739001735537e-02 6.780758201238523686e-02 7.807469407682210427e-02 6.841160541887447710e-02 6.825450807721578084e-02 7.815338149172201820e-02 7.704702043138700329e-02 6.679834672103501791e-02 6.707261456583368808e-02 8.095423524498701617e-02 7.816586712065543008e-02 8.658077978353273529e-02 6.761699997328118883e-02 6.743850776806481484e-02 7.835139568220650386e-02 7.756166084634141811e-02 7.904646613087484841e-02 7.875033410386322874e-02 6.871889478076731450e-02 7.947415207446295593e-02 7.762182672330819599e-02 7.825231116070352488e-02 6.759547319304126667e-02 6.744967611639762772e-02 7.811780654934785684e-02 7.746236940690887085e-02 7.810782052806208853e-02 6.833552080778482196e-02 6.759738804782589039e-02 7.793662616378360664e-02 6.952348220978887827e-02 7.973808196238740820e-02 7.931162256835755375e-02 7.808114635833018902e-02 7.989524599549913120e-02 6.694573166073003456e-02 6.709827879204344203e-02 7.562144040720353289e-02 6.811948464437467265e-02 8.295950310695443530e-02 6.766863512131793268e-02 7.801502214357103338e-02 7.844680536253978431e-02 6.767303464131180224e-02 7.751714522043207101e-02 7.860635390117454158e-02 7.782722727732394041e-02 7.748373365990046668e-02 7.905461939059366117e-02 7.853636707649513937e-02 6.706669294962985806e-02 7.815773073340126498e-02 6.805743035052480572e-02 7.730537967044393000e-02 7.820374608054891929e-02 7.881035312400208603e-02 7.668715046236895816e-02 7.693855187719600419e-02 6.748080609153195297e-02 6.852099106753262170e-02 6.709515903427787364e-02 7.840683548390670055e-02 7.910344021190607311e-02 7.818119739146356384e-02 6.658789145400323406e-02 6.722755175688621687e-02 6.825778517574376814e-02 6.780129960388547872e-02 7.766885917246224569e-02 7.738204118219782490e-02 7.769578799139809089e-02
1.016326530612244872e+00 1.002747732141339165e-01 1.182150147376801463e-01 1.003691616609846404e-01 1.170534184198130934e-01 1.168181003284269881e-01 1.005836385708032132e-01 1.157564548752660905e-01 1.185711688413799703e-01 1.125592823791357056e-01 1.175128178202451412e-01 1.146564786479535858e-01 1.000716413065418919e-01 1.061387366634056750e-01 1.140561634955223891e-01 1.143857469843356789e-01 1.142071977970320340e-01 1.004240646350661459e-01 1.165159393974308788e-01 9.971253585874151337e-02 1.016377186185353221e-01 9.967338252978064084e-02 1.141956606355511994e-01 1.166743787582877889e-01 1.019902954142188900e-01 1.177911042301860167e-01 1.026053321723685574e-01 9.979644716786872927e-02 1.005656519241659996e-01 1.174837015540817209e-01 1.162098240958326922e-01 1.005871612809923210e-01 1.158172432218511627e-01 1.014831645201605959e-01 1.012501276897053160e-01 1.159339664041292295e-01 1.142928138984156128e-01 9.909006911859907785e-02 9.949691613564104475e-02 1.200886854159577410e-01 1.159524873109210041e-01 1.284349301644178709e-01 1.003044533921850778e-01 1.000396794259634792e-01 1.162276962636932254e-01 1.150562207814802562e-01 1.172587479040676506e-01 1.168194724997417833e-01 1.019389947966726773e-01 1.178931671209557663e-01 1.151454695666676020e-01 1.160807164886152876e-01 1.002725207338421853e-01 1.000562464692671405e-01 1.158811953174021525e-01 1.149089339557964884e-01 1.158663822728303039e-01 1.013703012736308917e-01 1.002753612145568241e-01 1.156124362917618775e-01 1.031325119828909731e-01 1.182846743423753288e-01 1.176520747259315325e-01 1.158268143948022466e-01 1.185178076245052559e-01 9.930869892663418685e-02 9.953498626585666198e-02 1.121781361875320293e-01 1.010498350786455113e-01 1.230632442777492841e-01 1.003810485667213648e-01 1.157287271812581508e-01 1.163692248476646540e-01 1.003875747800982987e-01 1.149901872432701477e-01 1.166058955486783955e-01 1.154501563507108752e-01 1.149406252389812977e-01 1.172708422592740884e-01 1.165020786771908679e-01 9.948813205225925937e-02 1.159404179734095930e-01 1.009577842595749120e-01 1.146760586651762726e-01 1.160086761238394715e-01 1.169085033373349347e-01 1.137589900497211204e-01 1.141319138537970623e-01 1.001024244377110017e-01 1.016454262216336391e-01 9.953035843946966832e-02 1.163099344260722923e-01 1.173432619243117703e-01 1.159752278964685246e-01 9.877788117316632643e-02 9.972674884791932204e-02 1.012549889094825906e-01 1.005778420066619772e-01 1.152152365001017920e-01 1.147897767522563228e-01 1.152551821351806005e-01
1.018367346938775508e+00 1.418890314461362934e-01 1.672736142818356253e-01 1.420225876171761215e-01 1.656300237310248669e-01 1.652970622324032579e-01 1.423260644955979259e-01 1.637948943473510610e-01 1.677775510470411735e-01 1.592710681867182121e-01 1.662800471143586201e-01 1.622384890056622897e-01 1.416016072536978587e-01 1.501863033842072426e-01 1.613890756882627731e-01 1.618554184732603485e-01 1.616027810620586092e-01 1.421002732957861170e-01 1.648695218692681763e-01 1.410934861103552151e-01 1.438175479142551616e-01 1.410380855653554644e-01 1.615864566031679495e-01 1.650937044804974274e-01 1.443164304594528602e-01 1.666738060296955037e-01 1.451866833598698392e-01 1.412122175732140050e-01 1.423006140592903979e-01 1.662388493027924241e-01 1.644363861732720533e-01 1.423310489995082140e-01 1.638809064384609826e-01 1.435988597895272445e-01 1.432691215542007956e-01 1.640460631618831933e-01 1.617239232048908182e-01 1.402127179669967472e-01 1.407883919753056823e-01 1.699247443231259869e-01 1.640722691993188320e-01 1.817341126635871884e-01 1.419310278045260443e-01 1.415563823616077244e-01 1.644616742751299210e-01 1.628041021359574181e-01 1.659205530225171810e-01 1.652990037757240405e-01 1.442438420765934648e-01 1.668182189955098593e-01 1.629303842286391468e-01 1.642537062334106235e-01 1.418858442694732602e-01 1.415798241221311038e-01 1.639713950510508500e-01 1.625956994041604098e-01 1.639504354279335274e-01 1.434391626042683665e-01 1.418898634450800333e-01 1.635911161328911234e-01 1.459326217655718683e-01 1.673721784717721039e-01 1.664770874650403076e-01 1.638944491093632383e-01 1.677020481262654350e-01 1.405220713659454113e-01 1.408422598410297155e-01 1.587317660438276601e-01 1.429857150906310714e-01 1.741335541318815849e-01 1.420394071496422495e-01 1.637556612183508342e-01 1.646619291632778204e-01 1.420486415003965330e-01 1.627106683263599418e-01 1.649968046696557167e-01 1.633614990889227236e-01 1.626405408237401318e-01 1.659376658307227803e-01 1.648499097432447602e-01 1.407759628128497642e-01 1.640551917682171457e-01 1.428554666499917136e-01 1.622661936579392616e-01 1.641517731944073244e-01 1.654249772738476398e-01 1.609685912356459969e-01 1.614962583549655051e-01 1.416451642573615111e-01 1.438284538764498244e-01 1.408357116331409031e-01 1.645780365958082747e-01 1.660401354346565661e-01 1.641044458433242870e-01 1.397709830374140871e-01 1.411135969757715269e-01 1.432759999956028096e-01 1.423178625728758195e-01 1.630291005716761887e-01 1.624270985145230828e-01 1.630856214278637584e-01
