x1 y1 x2 y2 x3 y3
7.341637147522497298e-01 4.586293233247373813e-02 1.101245572128374590e+02 3.057528822164916013e-04 7.341637147522497742e+00 4.586293233247373639e-03
7.469786187862836879e-01 7.580240818381339674e-02 1.120467928179425456e+02 5.053493878920893145e-04 7.469786187862837323e+00 7.580240818381339500e-03
7.597935228203176461e-01 1.206472102939874641e-01 1.139690284230476465e+02 8.043147352932497737e-04 7.597935228203176905e+00 1.206472102939874606e-02
7.726084268543514932e-01 1.852350143526523274e-01 1.158912640281527331e+02 1.234900095684352082e-03 7.726084268543515599e+00 1.852350143526528339e-02
7.854233308883854514e-01 2.747986083340910324e-01 1.178134996332578197e+02 1.831990722227273567e-03 7.854233308883855180e+00 2.747986083340918026e-02
7.982382349224194096e-01 3.945160312328423458e-01 1.197357352383629063e+02 2.630106874885615453e-03 7.982382349224194762e+00 3.945160312328435670e-02
8.110531389564533677e-01 5.489190783419907183e-01 1.216579708434680072e+02 3.659460522279938278e-03 8.110531389564533455e+00 5.489190783419907460e-02
8.238680429904873259e-01 7.412162020122933237e-01 1.235802064485730938e+02 4.941441346748622412e-03 8.238680429904873037e+00 7.412162020122933792e-02
8.366829470245211731e-01 9.726144313677724806e-01 1.255024420536781804e+02 6.484096209118482904e-03 8.366829470245212619e+00 9.726144313677748121e-02
8.494978510585551312e-01 1.241741690317786029e+00 1.274246776587832812e+02 8.278277935451924807e-03 8.494978510585552200e+00 1.241741690317788721e-01
8.623127550925890894e-01 1.544270420532882548e+00 1.293469132638883536e+02 1.029513613688586536e-02 8.623127550925891782e+00 1.544270420532885546e-01
8.751276591266230476e-01 1.872823886240308378e+00 1.312691488689934545e+02 1.248549257493539004e-02 8.751276591266231364e+00 1.872823886240310987e-01
8.879425631606570057e-01 2.217210376511840941e+00 1.331913844740985553e+02 1.478140251007893993e-02 8.879425631606569169e+00 2.217210376511837833e-01
9.007574671946908529e-01 2.564983969313591405e+00 1.351136200792036277e+02 1.709989312875727710e-02 9.007574671946908751e+00 2.564983969313591183e-01
9.135723712287248111e-01 2.902282197996533863e+00 1.370358556843087285e+02 1.934854798664355918e-02 9.135723712287248333e+00 2.902282197996534086e-01
9.263872752627587692e-01 3.214849848536189825e+00 1.389580912894138010e+02 2.143233232357457871e-02 9.263872752627587914e+00 3.214849848536189825e-01
9.392021792967927274e-01 3.489131545795719269e+00 1.408803268945189018e+02 2.326087697197146142e-02 9.392021792967927496e+00 3.489131545795719491e-01
9.520170833308265745e-01 3.713307937417065663e+00 1.428025624996240026e+02 2.475538624944711996e-02 9.520170833308267078e+00 3.713307937417067994e-01
9.648319873648605327e-01 3.878161526151628014e+00 1.447247981047290750e+02 2.585441017434418620e-02 9.648319873648606659e+00 3.878161526151628902e-01
9.776468913988944909e-01 3.977685362528809776e+00 1.466470337098341759e+02 2.651790241685873101e-02 9.776468913988946241e+00 3.977685362528809998e-01
9.904617954329284490e-01 4.009385173906131250e+00 1.485692693149392767e+02 2.672923449270754245e-02 9.904617954329285823e+00 4.009385173906131472e-01
1.003276699466962407e+00 3.974266221983411285e+00 1.504915049200443491e+02 2.649510814655607616e-02 1.003276699466962540e+01 3.974266221983409619e-01
1.016091603500996365e+00 3.876533698074854151e+00 1.524137405251494499e+02 2.584355798716569605e-02 1.016091603500996321e+01 3.876533698074854373e-01
1.028906507535030324e+00 3.723064680505143720e+00 1.543359761302545508e+02 2.482043120336762526e-02 1.028906507535030279e+01 3.723064680505143720e-01
1.041721411569064060e+00 3.522727603260447093e+00 1.562582117353596232e+02 2.348485068840298201e-02 1.041721411569064237e+01 3.522727603260443763e-01
1.054536315603098018e+00 3.285631090243870567e+00 1.581804473404647240e+02 2.190420726829244574e-02 1.054536315603098195e+01 3.285631090243866792e-01
1.067351219637131976e+00 3.022379123604273854e+00 1.601026829455698248e+02 2.014919415736179248e-02 1.067351219637132154e+01 3.022379123604269080e-01
1.080166123671165934e+00 2.743396433016336289e+00 1.620249185506748972e+02 1.828930955344224354e-02 1.080166123671165934e+01 2.743396433016336289e-01
1.092981027705199892e+00 2.458369976291727266e+00 1.639471541557799981e+02 1.638913317527818103e-02 1.092981027705199892e+01 2.458369976291727155e-01
1.105795931739233851e+00 2.175832701322383045e+00 1.658693897608850705e+02 1.450555134214922062e-02 1.105795931739233851e+01 2.175832701322382989e-01
1.118610835773267809e+00 1.902897215359809602e+00 1.677916253659901713e+02 1.268598143573206397e-02 1.118610835773267809e+01 1.902897215359809491e-01
1.131425739807301767e+00 1.645131532401489460e+00 1.697138609710952437e+02 1.096754354934329108e-02 1.131425739807301767e+01 1.645131532401489516e-01
1.144240643841335725e+00 1.406557832022818921e+00 1.716360965762003445e+02 9.377052213485458781e-03 1.144240643841335725e+01 1.406557832022818921e-01
1.157055547875369683e+00 1.189748436550700506e+00 1.735583321813054454e+02 7.931656243671337050e-03 1.157055547875369683e+01 1.189748436550700506e-01
