x y
-2.202740470982902821e+01 9.019283062934069802e-39
-2.066392721562521473e+01 3.398881873193582297e-35
-1.930044972142140480e+01 8.197146526435734053e-32
-1.793697222721759132e+01 1.265588671389414454e-28
-1.657349473301377785e+01 1.251417071339478478e-25
-1.521001723880996614e+01 7.928958953441006474e-23
-1.384653974460615444e+01 3.221271956714229533e-20
-1.248306225040234096e+01 8.398927966930432635e-18
-1.111958475619852926e+01 1.407120174341954364e-15
-9.756107261994717561e+00 1.517314718978014297e-13
-8.392629767790904083e+00 1.055552501935584731e-11
-7.029152273587092381e+00 4.753438785908332554e-10
-5.665674779383280679e+00 1.392476780289104030e-08
-4.302197285179467201e+00 2.672719853312547180e-07
-2.938719790975653723e+00 3.397577141938398016e-06
-1.575242296771843797e+00 2.906909623591045122e-05
-2.117648025680303192e-01 1.714723593608730775e-04
1.151712691635783159e+00 7.220983457692175221e-04
2.515190185839593084e+00 2.273736131016538490e-03
3.878667680043406563e+00 5.638479206619965989e-03
5.242145174247220041e+00 1.152325066057425552e-02
6.605622668451029966e+00 2.002509517155653604e-02
7.969100162654843444e+00 3.021999695367005162e-02
9.332577656858656923e+00 4.028744530657584616e-02
1.069605515106246685e+01 4.834511725410018529e-02
1.205953264526628033e+01 5.363523830922223984e-02
1.342301013947009380e+01 5.649995862746404890e-02
1.478648763367390728e+01 5.689434043109097699e-02
1.614996512787772076e+01 5.447597425955951617e-02
1.751344262208152713e+01 5.007417552295445606e-02
1.887692011628534061e+01 4.531462128450079035e-02
2.024039761048915409e+01 4.118068693687212262e-02
2.160387510469296757e+01 3.731763766528127524e-02
2.296735259889678105e+01 3.263110690643861167e-02
2.433083009310059452e+01 2.684517708544209916e-02
2.569430758730440800e+01 2.104926253902644762e-02
2.705778508150821438e+01 1.647825852275682304e-02
2.842126257571202785e+01 1.343882133125954073e-02
2.978474006991584133e+01 1.139405704898267466e-02
3.114821756411965481e+01 9.553315608408980905e-03
3.251169505832346829e+01 7.686220709994981762e-03
3.387517255252728177e+01 6.259459482116948997e-03
3.523865004673108814e+01 5.435179670822007370e-03
3.660212754093490162e+01 4.725769241976937943e-03
3.796560503513871510e+01 3.910970767021450419e-03
3.932908252934252857e+01 3.302551885290422491e-03
4.069256002354634205e+01 3.058818248099039617e-03
4.205603751775015553e+01 2.941278758656817784e-03
4.341951501195396190e+01 2.655689707586265762e-03
4.478299250615778249e+01 2.137853200681458753e-03
4.614647000036158886e+01 1.516056796562843464e-03
4.750994749456540944e+01 9.338671727279612830e-04
4.887342498876921582e+01 5.062140000776038868e-04
5.023690248297302219e+01 3.001451858046860701e-04
5.160037997717684277e+01 2.562291916135993526e-04
5.296385747138064914e+01 2.563650296720153222e-04
5.432733496558446973e+01 2.535440087072459944e-04
5.569081245978827610e+01 2.334417969231781945e-04
5.705428995399208247e+01 1.707367229171388300e-04
5.841776744819590306e+01 8.680807122965028370e-05
5.978124494239970943e+01 2.910922618530468317e-05
6.114472243660353001e+01 7.806346344717553470e-06
6.250819993080733639e+01 1.100318868682581540e-05
6.387167742501115697e+01 4.144198862433369544e-05
6.523515491921496334e+01 1.076926369392943421e-04
6.659863241341876972e+01 1.790445134803740537e-04
6.796210990762259030e+01 1.901201778447374473e-04
6.932558740182639667e+01 1.289352554723831822e-04
7.068906489603021726e+01 5.584587424781937260e-05
7.205254239023402363e+01 1.544850405971510501e-05
7.341601988443784421e+01 2.729340356267111974e-06
7.477949737864165058e+01 3.079675019923060444e-07
7.614297487284545696e+01 2.219361317095602030e-08
7.750645236704927754e+01 1.021473400725330937e-09
7.886992986125308391e+01 3.002631525853165324e-11
8.023340735545690450e+01 5.637063750575473710e-13
8.159688484966071087e+01 6.758958513709826622e-15
8.296036234386451724e+01 5.175860269168189791e-17
8.432383983806833783e+01 2.531402671239252633e-19
8.568731733227214420e+01 7.907074904571076912e-22
8.705079482647596478e+01 1.577416575130484143e-24
8.841427232067977116e+01 2.009800154091391791e-27
8.977774981488359174e+01 1.635442496402776253e-30
9.114122730908739811e+01 8.499504537541547171e-34
9.250470480329120448e+01 2.821160988852633067e-37
9.386818229749502507e+01 5.980507751491362804e-41
9.523165979169883144e+01 8.097000640474577981e-45
9.659513728590265202e+01 7.001421402276934650e-49
9.795861478010645840e+01 3.866554981577005764e-53
9.932209227431027898e+01 1.363760447408289515e-57
1.006855697685140854e+02 3.072047449105014309e-62
1.020490472627178917e+02 4.419709003819825902e-67
1.034125247569217123e+02 4.061022176200411052e-72
1.047760022511255187e+02 2.383158756130298346e-77
1.061394797453293393e+02 8.931954776033285200e-83
1.075029572395331456e+02 2.138040782333635275e-88
1.088664347337369520e+02 3.268597036214270249e-94
1.102299122279407584e+02 3.191410785009743436e-100
1.115933897221445932e+02 1.990123198822858294e-106
1.129568672163484138e+02 7.925983144018194134e-113
