x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.002040816326530637e+00 4.646572844025295690e-04 4.662944908265728716e-04 4.625528784684071471e-04 4.639278721230016833e-04 4.706106552989711145e-04 1.374709345799446369e-03 4.641836592139750306e-04 4.652481371192548898e-04 4.637022811655039378e-04 4.680598727271959025e-04 4.703932194351362339e-04 4.682644189199156037e-04 4.631055489634772204e-04 4.669979272044488816e-04 4.638402144219039291e-04 4.657802493480411865e-04 1.383750961786611722e-03 4.643494648953472304e-04 6.190234909470085367e-04 4.698550651692709468e-04 4.651919908429114070e-04 4.635431896018518683e-04 6.519818671015253919e-04 4.668576311366995357e-04 4.661661144041359672e-04 5.733018667648526190e-04 4.693410659791022455e-04 4.623137816799627320e-04 4.632604560313377529e-04 4.644602265279421105e-04 4.617294201064783832e-04 4.614240802574345879e-04 4.662248173020605568e-04 4.704666865399526055e-04 4.679525782884039198e-04 4.654192198481968412e-04 1.443960478489325627e-03 4.633549081366761246e-04 4.660392962083786950e-04 4.610290751130563525e-04 4.628556008627882079e-04 4.670930459130598345e-04 8.031199652772935682e-04 4.611281535068581516e-04 4.651050704417292181e-04 4.680081340142638879e-04 1.594074040607740272e-03 1.333762236912061638e-03 4.652356452218356364e-04 1.343888547893634655e-03 1.387571992866959425e-03 4.660351137777962727e-04 4.690794223064509438e-04 1.486792611149007071e-03 4.623432568835947332e-04 4.589442581005923061e-04 4.619601263852191053e-04 4.710846233418608531e-04 4.723297953043437136e-04 4.640354991703871113e-04 4.686218954989482266e-04 4.627408419743822554e-04 4.631984967091787309e-04 4.626167240335821162e-04 4.645376566997649892e-04 4.643203872827031398e-04 4.694652588962261452e-04 4.626753497889851685e-04 4.639760879926110859e-04 4.627266377774733042e-04 4.633103362857854401e-04 1.297848649508895336e-03 1.208173087728414696e-03 4.631207801232828380e-04 4.650851925872348525e-04 4.630082837460275380e-04 4.605848461685588258e-04 4.625643739721158054e-04 4.647163083826011398e-04 4.635295409991940785e-04 4.656010161449286588e-04 4.662254418423203428e-04 4.644174600455588942e-04 1.310587767089352318e-03 6.877846869517978412e-04 4.674618663954993592e-04 4.576222240798497043e-04 4.614565583470134347e-04 4.623402007358778931e-04 4.660930718611913659e-04 4.651213753034330600e-04 1.163934082331979925e-03 4.634645506120596559e-04 4.665288872174322421e-04 1.204427817226960684e-03 4.639671837388392728e-04 4.657806519093588005e-04 1.475587318107762780e-03 4.688903150334711167e-04 4.649365708452452006e-04
1.004081632653061273e+00 3.693927041706956960e-03 3.706944502168935118e-03 3.677220389517621424e-03 3.688132571007807226e-03 3.741268934465108442e-03 1.093869786460199833e-02 3.690167300302249487e-03 3.698630656303131259e-03 3.686332510660250694e-03 3.720979886090658439e-03 3.739530732795509627e-03 3.722608447403130683e-03 3.681613204671391193e-03 3.712538865867642812e-03 3.687446901696311841e-03 3.702851404740886698e-03 1.100951345160894324e-02 3.691488322375369169e-03 4.920850644244911809e-03 3.735248665193757756e-03 3.698194773450735884e-03 3.685086807208609594e-03 5.182791230319533371e-03 3.711429141848465729e-03 3.705920322112365994e-03 4.557440805625229130e-03 3.731168902394416120e-03 3.675317521915383301e-03 3.682838796451926022e-03 3.692370885772067179e-03 3.670666075554496199e-03 3.668237400624801969e-03 3.706403783328787727e-03 3.740114136820321677e-03 3.720125964749049219e-03 3.699991652235973261e-03 1.149109852045016034e-02 3.683587398400467450e-03 3.704923643185198401e-03 3.665093358757059994e-03 3.679624175714435452e-03 3.713291935574430935e-03 6.384359005340511928e-03 3.665885724398160184e-03 3.697491642055988903e-03 3.720575384976276823e-03 1.268825578465304638e-02 1.061275985443926873e-02 3.698525867131513545e-03 1.069365876743755273e-02 1.104134658539612790e-02 3.704890644061958893e-03 3.729098836721761456e-03 1.183213273881267291e-02 3.675540649636044321e-03 3.648524380220619090e-03 3.672484479728455042e-03 3.745029865176857653e-03 3.754922925795989297e-03 3.688997960538592524e-03 3.725456092014828302e-03 3.678699434279536495e-03 3.682340718936277790e-03 3.677702270517946292e-03 3.692980102257686914e-03 3.691248946981723345e-03 3.732161133543132614e-03 3.678179348312493602e-03 3.688519217853430954e-03 3.678584682452440413e-03 3.683239179656100371e-03 1.032636712072299012e-02 9.612045186847717471e-03 3.681718320696386604e-03 3.697339677944971870e-03 3.680832768677338995e-03 3.661560200531710496e-03 3.677291363113732725e-03 3.694415115945509642e-03 3.684963654417033885e-03 3.701434515659435265e-03 3.706420675701482814e-03 3.692027252038015961e-03 1.042791118312125231e-02 5.467354415035347026e-03 3.716236694483010528e-03 3.638012510339988514e-03 3.668482856168997497e-03 3.675511917959811692e-03 3.705352707664227863e-03 3.697628746105630082e-03 9.259184316488033861e-03 3.684461064391075791e-03 3.708817585992951749e-03 9.582126241892752194e-03 3.688445432551007430e-03 3.702870760694171315e-03 1.174085662903945337e-02 3.727589158417005111e-03 3.696150026793743049e-03
1.006122448979591688e+00 1.238914153379677696e-02 1.243280785411837730e-02 1.233318600596783332e-02 1.236972149898246665e-02 1.254796915906758459e-02 3.672136603422093692e-02 1.237655011885091527e-02 1.240493885100313332e-02 1.236366180013315219e-02 1.247988468972527354e-02 1.254210691380536202e-02 1.248535505139836133e-02 1.234791646935812226e-02 1.245157829568621644e-02 1.236745952387102720e-02 1.241906312954310643e-02 3.695529139130893093e-02 1.238099049954100028e-02 1.650328569607351081e-02 1.252773221036551643e-02 1.240351220487695416e-02 1.235954796386085075e-02 1.738157223910613558e-02 1.244787523759982584e-02 1.242936065681121693e-02 1.528466542593343025e-02 1.251407064779203049e-02 1.232679686787269135e-02 1.235200717311729646e-02 1.238395739303466137e-02 1.231117642252582689e-02 1.230302650089920569e-02 1.243103870292988633e-02 1.254406143499331439e-02 1.247701749356416867e-02 1.240950663803069842e-02 3.858036769785444520e-02 1.235451026856348999e-02 1.242605661793988459e-02 1.229246871431988186e-02 1.234123870438669224e-02 1.245409357368998382e-02 2.141170720484131262e-02 1.229514212657067951e-02 1.240111307983204902e-02 1.247855097245259559e-02 4.260828742824496196e-02 3.562679250895040006e-02 1.240456892849445270e-02 3.589945800888205696e-02 3.706696671386744413e-02 1.242594678475056336e-02 1.250716132362478250e-02 3.972594521964167846e-02 1.232750750503858184e-02 1.223691410289085013e-02 1.231722243630095637e-02 1.256055938629996316e-02 1.259372040707418261e-02 1.237265688927069451e-02 1.249492530459178630e-02 1.233809530628227069e-02 1.235031808222086802e-02 1.233471568089583581e-02 1.238597930560642046e-02 1.238015997643332478e-02 1.251741510173887129e-02 1.233635287623513488e-02 1.237102953835600427e-02 1.233770426684793753e-02 1.235336298403033606e-02 3.466326573606215433e-02 3.226270535678188445e-02 1.234821521786827470e-02 1.240062382416423636e-02 1.234527469669038924e-02 1.228061328312313183e-02 1.233335526789691716e-02 1.239084199406081943e-02 1.235908556147702342e-02 1.241433787285622925e-02 1.243113554558755718e-02 1.238279257750252160e-02 3.500474826816946106e-02 1.833576632020006425e-02 1.246401289881610142e-02 1.220165145745388813e-02 1.230380682000836723e-02 1.232739619530304198e-02 1.242750092033018117e-02 1.240159813106533893e-02 3.107529672602493687e-02 1.235744731970633836e-02 1.243912265047225629e-02 3.216187166336148540e-02 1.237077196578328930e-02 1.241918248109613598e-02 3.941241034610043492e-02 1.250207670369102297e-02 1.239660640355566557e-02
1.008163265306122547e+00 2.918434460819829823e-02 2.928722266953853737e-02 2.905271654678620585e-02 2.913863157116547420e-02 2.955859525820825340e-02 8.658220050119691535e-02 2.915472749404635078e-02 2.922160886378222244e-02 2.912430401670840219e-02 2.939812633673721809e-02 2.954470913000473153e-02 2.941103215573537266e-02 2.908740980221857786e-02 2.933145650019697293e-02 2.913339241300760829e-02 2.925480533053614884e-02 8.712475153203502742e-02 2.916521055755905145e-02 3.887373433206753326e-02 2.951081681183853611e-02 2.921833167477805304e-02 2.911476514035615804e-02 4.094208521929509903e-02 2.932277809410499536e-02 2.927907350272507259e-02 3.600364792061250263e-02 2.947868634226669116e-02 2.903764932329677695e-02 2.909699907577445455e-02 2.917221568255712327e-02 2.900080621860323671e-02 2.898159769536745589e-02 2.928316021467491925e-02 2.954930813724354621e-02 2.939136466314407059e-02 2.923237628210650918e-02 9.097621344809159183e-02 2.910287734060601483e-02 2.927138207710400231e-02 2.895669680892742903e-02 2.907166351049428332e-02 2.933735683143734452e-02 5.043601258489016637e-02 2.896303198070682150e-02 2.921258346516331095e-02 2.939503889080707921e-02 1.004946632071606061e-01 8.400047308943880964e-02 2.922069375434188654e-02 8.464593676608345163e-02 8.739944364078811034e-02 2.927112534560261103e-02 2.946248979394228140e-02 9.367896748494608516e-02 2.903923406881137037e-02 2.882586919808605153e-02 2.901492354683865571e-02 2.958819732263751057e-02 2.966626644543446378e-02 2.914562424632560766e-02 2.943362229535118058e-02 2.906415967235553843e-02 2.909297622328110844e-02 2.905611515711703507e-02 2.917692804440319421e-02 2.916318864620814910e-02 2.948660392154245358e-02 2.906005962946145438e-02 2.914173947664910891e-02 2.906322392131743815e-02 2.910022353892849356e-02 8.172368874675828287e-02 7.605754395118435873e-02 2.908798621659236527e-02 2.921147928232958879e-02 2.908112934986772924e-02 2.892875670503758379e-02 2.905295249662742663e-02 2.918850054965560492e-02 2.911355907820567523e-02 2.924373794909906898e-02 2.928348344760567379e-02 2.916944270226407010e-02 8.253025285267456823e-02 4.318932447575740685e-02 2.936082453777111301e-02 2.874278743069835773e-02 2.898333427095212134e-02 2.903893649234301488e-02 2.927479676351529836e-02 2.921378574391408911e-02 7.325111944220963345e-02 2.910981216514541003e-02 2.930217523914291355e-02 7.581886202478482772e-02 2.914110882049492091e-02 2.925521530148578186e-02 9.292286667958471469e-02 2.945046191798195157e-02 2.920195079432785779e-02
1.010204081632652962e+00 5.664814896899428298e-02 5.684787092326193392e-02 5.639300998918639340e-02 5.655948341171046501e-02 5.737480050775178864e-02 1.682153864504525309e-01 5.659074611382586273e-02 5.672058091187170970e-02 5.653156946058446319e-02 5.706315466619149568e-02 5.734769715677068280e-02 5.708824369071563432e-02 5.646033863221699978e-02 5.693376474095168671e-02 5.654948801745585119e-02 5.678486997165466121e-02 1.692519080858554403e-01 5.661113930623995483e-02 7.545166853842011356e-02 5.728185080663306117e-02 5.671438254343585950e-02 5.651335020962977573e-02 7.946529961834758460e-02 5.691700668025356791e-02 5.683199683923489953e-02 6.988177131586303936e-02 5.721958409992922157e-02 5.636373124128801759e-02 5.647886026931847603e-02 5.662476814397354730e-02 5.629212555462159706e-02 5.625482098255119023e-02 5.684019035317711133e-02 5.735661400715419411e-02 5.705001515189123129e-02 5.674149529622651844e-02 1.767733207035675491e-01 5.649023489007432008e-02 5.681724628250672815e-02 5.620642768936778833e-02 5.642974340696460533e-02 5.694516926014792091e-02 9.789412907822425680e-02 5.621879782086358635e-02 5.670303635356110927e-02 5.705726772028596461e-02 1.953076676911762455e-01 1.631977290639929912e-01 5.671871940642736476e-02 1.644567650176997908e-01 1.698077927675591958e-01 5.681675184790802025e-02 5.718830060169854956e-02 1.820276052571703218e-01 5.636663322170054613e-02 5.595256164272022215e-02 5.631928432013000307e-02 5.743215025267678353e-02 5.758359557286385488e-02 5.657320853365255253e-02 5.713218200046088491e-02 5.641498480494067103e-02 5.647096599499590308e-02 5.639920751811244859e-02 5.663381648780430044e-02 5.660708694736316104e-02 5.723502902087018729e-02 5.640703520596757059e-02 5.656556794120148890e-02 5.641313999087105291e-02 5.648517889248938495e-02 1.587646395062392024e-01 1.477444488006431911e-01 5.646120915042218691e-02 5.670098733755735143e-02 5.644803607470127993e-02 5.615216939855383060e-02 5.639315053154969615e-02 5.665650890293272290e-02 5.651078138032661347e-02 5.676351177415028815e-02 5.684100324712682006e-02 5.661932892420695751e-02 1.603344087697258225e-01 8.382631001476603672e-02 5.699091877573425613e-02 5.579126567504955059e-02 5.625799365345307557e-02 5.636598662978886676e-02 5.682389858231717827e-02 5.670548640839023768e-02 1.422789045403511921e-01 5.650372726644792287e-02 5.687704505280521960e-02 1.472789070916653564e-01 5.656429718251554384e-02 5.678591698198953708e-02 1.805257708027103725e-01 5.716485577979479871e-02 5.668236556294237172e-02
1.012244897959183820e+00 9.728552223539521648e-02 9.762857040529082653e-02 9.684797265349964768e-02 9.713336452517129516e-02 9.853381471996480734e-02 2.891539683777413217e-01 9.718708802099551569e-02 9.741008718982935299e-02 9.708524754226366404e-02 9.799831569012229515e-02 9.848701005200766190e-02 9.804146860564011412e-02 9.696357861219273566e-02 9.777613969035847674e-02 9.711649919058995550e-02 9.752024140087467430e-02 2.909053318990295622e-01 9.722218831318651944e-02 1.295709759594743105e-01 9.837382485379198016e-02 9.739972331403023986e-02 9.705446957560148746e-02 1.364618597852620407e-01 9.774751039621332183e-02 9.760121191425774612e-02 1.200073159160925940e-01 9.826706300089549373e-02 9.679763423646781106e-02 9.699522891174816586e-02 9.724564843608884956e-02 9.667450341655481338e-02 9.661040355023531312e-02 9.761573359727759858e-02 9.850230619166544521e-02 9.797572485963113031e-02 9.744602948300817857e-02 3.039008732168992921e-01 9.701470222468855376e-02 9.757618853366256673e-02 9.652719202860748915e-02 9.691098213249094151e-02 9.779564202825419272e-02 1.681118755555046640e-01 9.654856246840992640e-02 9.737991223582853628e-02 9.798838848362412257e-02 3.358318305811609505e-01 2.805258819842730844e-01 9.740674321461884055e-02 2.826987234894708934e-01 2.918992119267160845e-01 9.757534612910312433e-02 9.821360497988251836e-02 3.129382665490716420e-01 9.680231756133195198e-02 9.609134395955898356e-02 9.672072441781054408e-02 9.863211647348979483e-02 9.889204677125018605e-02 9.715719787051635414e-02 9.811708156459775232e-02 9.688530267311623589e-02 9.698152363337197990e-02 9.685792690681438444e-02 9.726101761189909212e-02 9.721500850551745287e-02 9.829371959830712768e-02 9.687166547568604180e-02 9.714390350267310126e-02 9.688208531343800445e-02 9.700618345971667722e-02 2.728890017945744262e-01 2.539256493792234615e-01 9.696464505219482000e-02 9.737655599363304049e-02 9.694225754004404116e-02 9.643396731364051178e-02 9.684766617967599522e-02 9.730038501823101704e-02 9.704966482636701031e-02 9.748377581615197407e-02 9.761744973196617714e-02 9.723620941298216636e-02 2.755920733124890276e-01 1.439495705515152491e-01 9.787455153591939627e-02 9.581428789506896138e-02 9.661551029876180863e-02 9.680108808259402231e-02 9.758765476490416368e-02 9.738432070432589960e-02 2.445080756972584091e-01 9.703792798573962486e-02 9.767893267260419066e-02 2.531222676803381866e-01 9.714164068491726312e-02 9.752247307377648333e-02 3.102999612571162302e-01 9.817317233776945429e-02 9.734435729100998635e-02
1.014285714285714235e+00 1.535394983639222222e-01 1.540809916279706204e-01 1.528499224090620334e-01 1.532995380420727471e-01 1.555101752942540383e-01 4.567734786873982600e-01 1.533843801727938772e-01 1.537363650118139802e-01 1.532233150613342421e-01 1.546645744643972975e-01 1.554358969032316740e-01 1.547327843240098311e-01 1.530323407464102559e-01 1.543139826340240717e-01 1.532733971296307285e-01 1.539098117323312032e-01 4.594917983168071984e-01 1.534398998968145023e-01 2.044821838477166587e-01 1.552571010270897833e-01 1.537204541089762788e-01 1.531755510452152969e-01 2.153544117046952699e-01 1.542690375446718054e-01 1.540376598780903716e-01 1.893915373760282073e-01 1.550888801468290890e-01 1.527703876704107344e-01 1.530820414774021199e-01 1.534770117652146659e-01 1.525758084446637852e-01 1.524745895509262983e-01 1.540612929432680911e-01 1.554600102468257639e-01 1.546288804566355868e-01 1.537931294190733045e-01 4.801262351488606583e-01 1.531126780328737613e-01 1.539986568488040941e-01 1.523430997271209009e-01 1.529492467170741055e-01 1.543446295878778685e-01 2.653067825898998144e-01 1.523770277572591425e-01 1.536886712684122358e-01 1.546491970327648069e-01 5.306796850720116865e-01 4.431392314109485753e-01 1.537308541251207750e-01 4.465852952912054974e-01 4.611227201425709410e-01 1.539973379982197965e-01 1.550049347568163149e-01 4.944110766744191920e-01 1.527773024968837046e-01 1.516554404746899287e-01 1.526480889126931029e-01 1.556650189781605409e-01 1.560750009385016845e-01 1.533375686622480139e-01 1.548523647504078671e-01 1.529081894814210418e-01 1.530601767198664920e-01 1.528645393803682584e-01 1.535009980293975396e-01 1.534282188474438424e-01 1.551311598782614265e-01 1.528866908703492289e-01 1.533163131522339295e-01 1.529030337934307315e-01 1.530994939411887135e-01 4.310490877664738818e-01 4.010611511740735935e-01 1.530333440587274829e-01 1.536836323608294919e-01 1.529983848598301943e-01 1.521959005766846396e-01 1.528485697452992564e-01 1.535637574725055021e-01 1.531673444481951307e-01 1.538526003918265772e-01 1.540645091472332417e-01 1.534619595081430088e-01 4.353265388354721210e-01 2.271689546484645383e-01 1.544697078464816187e-01 1.512180990823561721e-01 1.524821068904003152e-01 1.527751732657476325e-01 1.540168195360096526e-01 1.536959474142016724e-01 3.861486079159917040e-01 1.531494200117216042e-01 1.541608868266213239e-01 3.997870862957944027e-01 1.533126142720466767e-01 1.539140215703795889e-01 4.901532895059119710e-01 1.549408540696282088e-01 1.536324690284847083e-01
1.016326530612244872e+00 2.277928115329062031e-01 2.285962967356161002e-01 2.267712150630569745e-01 2.274370741576250410e-01 2.307173790831371640e-01 6.782949632299617448e-01 2.275630266270480817e-01 2.280852922804332827e-01 2.273235672082227765e-01 2.294621594576140566e-01 2.306065684020737194e-01 2.295635116505563289e-01 2.270417995394264921e-01 2.289421004843301688e-01 2.273990020909804066e-01 2.283420183527331560e-01 6.822592983368203079e-01 2.276455797136365256e-01 3.033545490131688283e-01 2.303410628712767583e-01 2.280623515436772664e-01 2.272539135680515798e-01 3.194797803655169410e-01 2.288757756831976131e-01 2.285317804377040574e-01 2.809706298664456092e-01 2.300918988633307016e-01 2.266530843772214254e-01 2.271151616267270690e-01 2.277007677366498228e-01 2.263640330684624224e-01 2.262137833332245052e-01 2.285679080696851884e-01 2.306423019661592022e-01 2.294091434566913890e-01 2.281695664204912433e-01 7.130579760814672596e-01 2.271604696400526535e-01 2.284746457631534611e-01 2.260184620624494656e-01 2.269183949297901570e-01 2.289873711088925567e-01 3.935906065988539204e-01 2.260690968035734549e-01 2.280144283626901469e-01 2.294397779844645768e-01 7.882947297585811697e-01 6.580420783967859677e-01 2.280767683501858656e-01 6.631796923210337980e-01 6.847721846823109360e-01 2.284727050110890723e-01 2.299679893478456805e-01 7.342828884935990175e-01 2.266626325174665446e-01 2.249985627382411479e-01 2.264702737761585816e-01 2.309466590730879787e-01 2.315545385999411288e-01 2.274941169822981557e-01 2.297412877268008025e-01 2.268566932590618812e-01 2.270823730792632666e-01 2.267912705318377853e-01 2.277359513372019251e-01 2.276277282273864166e-01 2.301549375029621203e-01 2.268248337453151464e-01 2.274621737566446811e-01 2.268489280202299341e-01 2.271412981940583720e-01 6.400496514146203353e-01 5.954717095248218683e-01 2.270422742495048496e-01 2.280073374400410913e-01 2.269909657274600256e-01 2.257999743150156391e-01 2.267679122762640276e-01 2.278299987675986849e-01 2.272408082367909365e-01 2.282576462942853546e-01 2.285734368840679487e-01 2.276782045836331925e-01 6.464125499760955407e-01 3.370035789244276714e-01 2.291737439145187238e-01 2.243495988684358622e-01 2.262241273104046435e-01 2.266591919716409720e-01 2.285016908603600960e-01 2.280256983630777334e-01 5.732739721658406395e-01 2.272151088768734617e-01 2.287154436422187409e-01 5.935723586547192454e-01 2.274564957472469118e-01 2.283492897678254252e-01 7.278256029312917263e-01 2.298725185378955871e-01 2.279309149406416601e-01
1.018367346938775508e+00 3.223694500691856035e-01 3.235066979615970340e-01 3.209257915670238326e-01 3.218664018610115640e-01 3.265094525279672588e-01 9.607873422164239230e-01 3.220447609473380268e-01 3.227839428518590736e-01 3.217051688884966509e-01 3.247321259246165326e-01 3.263517667015123358e-01 3.248757786331979425e-01 3.213086417887769386e-01 3.239962661357469464e-01 3.218135344859684999e-01 3.231464011062628039e-01 9.662993477174008916e-01 3.221618495298153029e-01 4.292780064069927626e-01 3.259756838875405016e-01 3.227524235729166691e-01 3.216083174543173939e-01 4.520909888972286517e-01 3.239029113936164883e-01 3.234150700778086751e-01 3.976075687587901086e-01 3.256236555290001888e-01 3.207584272682413307e-01 3.214119296393511682e-01 3.222401333677433755e-01 3.203488386665975796e-01 3.201360937842032683e-01 3.234677131456740184e-01 3.264022774650392478e-01 3.246570133227715260e-01 3.229032883568430101e-01 1.010148170834858306e+00 3.214758427864916612e-01 3.233352537982834285e-01 3.198593350489722376e-01 3.211338234358436239e-01 3.240600512075788586e-01 5.569715937737447220e-01 3.199314174817078360e-01 3.226835082053067794e-01 3.247010677153823188e-01 1.116953506591565670e+00 9.320911321791829351e-01 3.227713848870146229e-01 9.393972594087909300e-01 9.699886736812857180e-01 3.233325299193428037e-01 3.254492015121561721e-01 1.040229513246963222e+00 3.207709282680140106e-01 3.184164468165122663e-01 3.204977722323927303e-01 3.268332880761279924e-01 3.276930152754853331e-01 3.219480102667042765e-01 3.251278837336966099e-01 3.210453821239762640e-01 3.213650302289527971e-01 3.209518537662647830e-01 3.222893515660247843e-01 3.221358446003748099e-01 3.257133105404381723e-01 3.210003464394759476e-01 3.219022238078501630e-01 3.210342275556246072e-01 3.214492646726005987e-01 9.065503145083084746e-01 8.433412989244235547e-01 3.213078710350072420e-01 3.226740208782898911e-01 3.212360531835174449e-01 3.195499908180039483e-01 3.209192735101411564e-01 3.224237787726633719e-01 3.215884478283541625e-01 3.230277211998453524e-01 3.234766148791949902e-01 3.222078730664956758e-01 9.155787222166793526e-01 4.768839171254173337e-01 3.243249484522623405e-01 3.174978751382417919e-01 3.201495815155745994e-01 3.207656585910534375e-01 3.233736680093750593e-01 3.227001332267511735e-01 8.118236040759381211e-01 3.215533499739446910e-01 3.236761854280323369e-01 8.406404022739710769e-01 3.218939176009674163e-01 3.231581508944261216e-01 1.030890913574266321e+00 3.253135238337399038e-01 3.225651349263953804e-01
