x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33
1.000000000000000000e+00 1.033975765691284594e-22 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.176373552203626272e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 0.000000000000000000e+00 1.033975765691284594e-22 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.058791184067875424e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 2.117582368135750848e-19 4.235164736271501695e-19 4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 8.470329472543003391e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 5.293955920339377119e-20 0.000000000000000000e+00 0.000000000000000000e+00 2.782180903705484396e-16
1.004591836734693988e+00 5.538743932239214435e-02 5.336277202262278141e-02 3.773678448848108435e-02 2.851093688274252205e-02 3.078983294583799435e-02 4.431818850386026049e-02 4.618623208522767282e-02 3.308737567336659385e-02 2.433797947125975261e-02 2.253331914716175804e-02 6.699837639877810613e-02 2.071735291614571969e-02 2.820225110304578481e-02 4.741372840286935120e-02 6.044341693373195962e-02 2.614942452823759353e-02 2.525038764933831403e-03 1.159307960024298090e-01 4.509137717413852497e-02 3.199736226688930374e-02 4.802461338470302016e-02 3.852192603635850449e-02 2.729988569210592061e-02 2.190465464144771002e-02 4.685335700861284480e-02 2.963633850058989758e-02 2.002266242641030924e-01 4.437071176917040116e-02 2.887782941226487918e-02 5.779352862391171075e-02 2.766687584166664660e-02 3.812937263206177263e-02 1.372775321730809184e-01 1.340566172100150950e-02
1.009183673469387754e+00 1.138661646395161958e-01 1.109267130294189774e-01 8.013799887571840252e-02 5.903979337691539486e-02 6.699481209540225635e-02 9.163802549999401637e-02 9.926566754378030044e-02 6.990328162487650931e-02 5.139508744676540147e-02 4.774926718528683250e-02 1.379710823179049195e-01 4.221466739459586032e-02 5.883802486448919122e-02 9.858442568280825768e-02 1.225674926206498649e-01 5.457000363037923379e-02 5.896458195798868693e-03 2.359556383029007831e-01 9.391779430524133110e-02 6.853706377916635173e-02 1.031939662154043591e-01 8.110003590983735910e-02 5.900926369748368816e-02 4.627222621617699261e-02 9.784128557404236926e-02 6.416190756133302586e-02 4.057411207506308459e-01 9.263229285567335658e-02 6.192677644806609399e-02 1.173329386739667829e-01 5.603662919011476173e-02 8.053522197439126618e-02 2.789107987342190897e-01 3.061646410394041826e-02
1.013775510204081742e+00 1.756531120115802647e-01 1.727750471761872186e-01 1.272931253663239504e-01 9.163901095589153944e-02 1.087530417854089826e-01 1.420404550263195398e-01 1.593978195558589384e-01 1.105498201487775528e-01 8.123245252050534382e-02 7.601188998872498992e-02 2.133432503182740303e-01 6.478907032342644257e-02 9.195334275883784714e-02 1.535850863033895175e-01 1.866527908727974028e-01 8.530804994956878162e-02 1.086358177723215600e-02 3.602004424309286912e-01 1.465595497319965301e-01 1.097215859939927735e-01 1.656823331256400966e-01 1.278193896631919790e-01 9.522893093818411703e-02 7.320705192100049330e-02 1.530474661885276311e-01 1.037192710937403090e-01 6.166439949503541573e-01 1.448777359598823478e-01 9.924861437419907340e-02 1.790264051201562734e-01 8.518373174995777508e-02 1.272975625123264898e-01 4.250414708412004750e-01 5.183593114231083848e-02
1.018367346938775508e+00 2.409613238710299199e-01 2.389983851210617516e-01 1.792967094048344978e-01 1.263645300629953616e-01 1.562013748947874425e-01 1.956151653590517125e-01 2.267427075530153435e-01 1.551302766613444628e-01 1.139147715752353296e-01 1.076663141030128473e-01 2.935261957500001628e-01 8.872201741004115405e-02 1.275987723508596738e-01 2.124962697710736370e-01 2.529673024153281657e-01 1.184155460839659696e-01 1.813392804200204128e-02 4.887919546268798543e-01 2.031032981529405645e-01 1.556546907538643165e-01 2.356642879918300348e-01 1.787701918171279436e-01 1.360604253317624079e-01 1.028143169967884185e-01 2.125629151543796391e-01 1.484487331269531141e-01 8.330376869445504928e-01 2.012081064436198885e-01 1.409465392486018431e-01 2.432621987024270183e-01 1.151873453622416360e-01 1.785013230042049592e-01 5.758124175379505383e-01 7.725850424623113832e-02
1.022959183673469497e+00 3.100010746377332982e-01 3.096954502407761600e-01 2.362493367733690119e-01 1.632762454298660737e-01 2.094765923152348552e-01 2.524613431406495523e-01 3.014622879098570740e-01 2.037499808675306556e-01 1.495109525463421962e-01 1.430403009736698206e-01 3.789192908820091521e-01 1.142803354798074683e-01 1.658299520179380981e-01 2.754068099982493467e-01 3.217674001135490403e-01 1.539507028070477845e-01 2.837578921473557156e-02 6.218582464907862484e-01 2.636428683860501665e-01 2.064423745241364405e-01 3.133162788838599888e-01 2.340486901196866532e-01 1.816069946195723872e-01 1.352007825571800992e-01 2.764867886363702176e-01 1.984894909271139873e-01 1.055026794375518939e+00 2.617334748813334167e-01 1.871261968474795534e-01 3.104100917067833532e-01 1.461318503328776497e-01 2.342372181753926419e-01 7.313682094669839984e-01 1.070707135077508393e-01
1.027551020408163263e+00 3.829810226879951651e-01 3.849738268890726678e-01 2.982586296528276781e-01 2.024384843764122921e-01 2.687165787937078609e-01 3.126884873472199344e-01 3.837218833362168180e-01 2.565171770519096284e-01 1.880947774872278322e-01 1.824457954961002659e-01 4.699118494286156911e-01 1.417172394213546405e-01 2.067081369333847451e-01 3.424145537250767313e-01 3.932987879677851129e-01 1.919785535983817293e-01 4.222065959389359469e-02 7.595292114650846749e-01 3.282801158182545587e-01 2.621938249885018002e-01 3.988182058255125839e-01 2.937580981245970224e-01 2.319745686550931940e-01 1.704755353847083044e-01 3.449272158528920995e-01 2.539807872759672902e-01 1.282718297873780999e+00 3.265739008748379524e-01 2.378967216644797544e-01 3.808227377420545512e-01 1.781074296367920196e-01 2.946026368399037865e-01 8.918556268957095190e-01 1.414523390575839479e-01
1.032142857142857251e+00 4.601093949825356133e-01 4.649507353846638602e-01 3.654402679631396644e-01 2.439205123542461384e-01 3.340614983939119709e-01 3.764172921946007389e-01 4.736916154162554293e-01 3.135439079803819529e-01 2.297455911475883017e-01 2.261804748708635404e-01 5.668850325633641996e-01 1.712733342855068674e-01 2.503007709487247157e-01 4.136271336512798436e-01 4.677974557549363088e-01 2.325715922952117098e-01 6.026552545237726100e-02 9.019370645203844683e-01 3.971258169087337198e-01 3.230223835951104294e-01 4.923550064808795979e-01 3.580095480337756042e-01 2.872727387603473126e-01 2.087507651677279197e-01 4.180021675049034879e-01 3.150630647708343446e-01 1.516221789797035591e+00 3.958604776774085621e-01 2.933717930703273469e-01 4.548370405540335115e-01 2.112107167113713435e-01 3.597025517964145269e-01 1.057424173447721660e+00 1.805775642906391198e-01
1.036734693877551017e+00 5.415952113730030382e-01 5.497538387348953615e-01 4.379190429120316530e-01 2.877970704480022901e-01 4.056549732172956002e-01 4.437806091254415941e-01 5.715478452392881437e-01 3.749469173446140502e-01 2.745490208315051195e-01 2.745293026891354460e-01 6.702137879679371801e-01 2.031776109157782950e-01 2.966820894772418948e-01 4.891627823893992533e-01 5.454906486625893391e-01 2.758104614583744008e-01 8.307502708400013591e-02 1.049216846513242540e+00 4.703006138679202697e-01 3.890465180290479941e-01 5.941182555287713996e-01 4.269230808959426637e-01 3.476157482045774127e-01 2.501425751968828215e-01 4.958403660512262223e-01 3.818791254270920144e-01 1.755649707205590104e+00 4.697364482093926985e-01 3.536707144127180236e-01 5.327755238200463372e-01 2.455455156596192956e-01 4.296504573567331842e-01 1.228226597029170586e+00 2.246161228204753002e-01
1.041326530612245005e+00 6.276495565047380820e-01 6.395220864549144846e-01 5.158299503566443622e-01 3.341489500714658334e-01 4.836452694386303985e-01 5.149244992321428960e-01 6.774746275892090663e-01 4.408485761762355182e-01 3.225977339311674741e-01 3.277660924545747756e-01 7.802688342415576850e-01 2.376484417686710593e-01 3.459337590043223831e-01 5.691511938682011218e-01 6.265978592711373141e-01 3.217846999580105671e-01 1.111835026028950291e-01 1.201506934796000792e+00 5.479360184980890391e-01 4.603908089914141577e-01 7.043077841685575491e-01 5.006286819835671364e-01 4.131234983327075061e-01 2.947718331927561275e-01 5.785822450103464964e-01 4.545752993124332342e-01 2.001117570079665953e+00 5.483584042446670859e-01 4.189195215845743503e-01 6.149477113894760150e-01 2.812236039707853297e-01 5.045693409220094461e-01 1.404419419553462722e+00 2.737344411660260213e-01
