x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99
1.000000000000000000e+00 -8.470329472543003391e-19 -2.117582368135750848e-19 0.000000000000000000e+00 -5.293955920339377119e-20 -1.058791184067875424e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -1.058791184067875424e-19 -8.470329472543003391e-19 -8.470329472543003391e-19 8.470329472543003391e-19 -4.235164736271501695e-19 -4.235164736271501695e-19 0.000000000000000000e+00 -6.352747104407252543e-19 4.235164736271501695e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.689779897483425357e-15 0.000000000000000000e+00 0.000000000000000000e+00 -8.470329472543003391e-19 -4.235164736271501695e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 1.694065894508600678e-18 3.038128158224858907e-16 2.117582368135750848e-19 -4.235164736271501695e-19 4.235164736271501695e-19 -8.470329472543003391e-19 0.000000000000000000e+00 4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 -3.176373552203626272e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.235164736271501695e-19 -8.470329472543003391e-19 0.000000000000000000e+00 -1.058791184067875424e-19 8.470329472543003391e-19 0.000000000000000000e+00 -4.235164736271501695e-19 4.235164736271501695e-19 2.646977960169688560e-20 0.000000000000000000e+00 -4.235164736271501695e-19 9.093679834359560429e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.204090183068947562e-15 0.000000000000000000e+00 -4.235164736271501695e-19 -4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.235164736271501695e-19 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 4.235164736271501695e-19 -4.235164736271501695e-19 8.470329472543003391e-19 4.235164736271501695e-19 0.000000000000000000e+00 1.058791184067875424e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 4.235164736271501695e-19 2.117582368135750848e-19 8.470329472543003391e-19 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 -8.470329472543003391e-19 8.949927570771745690e-16 2.117582368135750848e-19 -8.470329472543003391e-19 0.000000000000000000e+00 2.247346963473347741e-15
1.002700435456824746e+00 1.642234711934590155e-02 4.852311014501404368e-02 2.316597556501468272e-02 1.287650051285859493e-02 4.586430715533659080e-02 6.859989994666441937e-02 2.765226001017703078e-02 6.247461554981203515e-03 2.759963170267811308e-02 8.276633101172782211e-03 5.841227312677492456e-02 4.376505604797535642e-02 2.233866632224999066e-02 5.565880800210649265e-02 6.234279650842554019e-03 7.113872160184366022e-02 3.049030311331576981e-02 4.247017070735736345e-03 2.642361022595110520e-02 1.498561497549984710e-02 1.930741464203877128e-02 6.907917227334674226e-02 1.540880000847745859e-02 2.643134705136032311e-02 3.079374098650992583e-02 1.915999246243558010e-02 6.955862222641669146e-03 3.894610698715709335e-02 1.074603399610279397e-01 2.203764161377693223e-02 1.041572556415573808e-01 1.683340868487995896e-03 2.377956634413598905e-02 4.895778235967476050e-02 8.142304133720214970e-03 3.907569440185294091e-02 4.528152935577511168e-02 1.500463912412271505e-01 1.446053315186912429e-02 1.775436775733475747e-02 1.983013669628013245e-03 8.538572255852009199e-03 9.136524431271247915e-03 3.780636228304155941e-03 5.349034713928750573e-02 6.479780699720949499e-02 4.804822921306244748e-02 2.434382357599055441e-02 1.269249523986795865e-02 2.991667260054305458e-02 8.807616843836960085e-02 1.541076138765627539e-02 3.505437780664555358e-02 5.167547554285382982e-02 3.055049506976699122e-02 2.929230442004228385e-02 4.556145074885510626e-02 3.475341976868692988e-03 7.565713558325543736e-03 1.541799205400308861e-02 9.278253270116648688e-02 3.583688809661967484e-02 2.423423380431322452e-02 1.759678203316879588e-02 1.096963066640349420e-02 4.242464500594942539e-02 1.388889041883279232e-02 3.106791810462638734e-02 2.475756511873699467e-02 3.201926805436863810e-02 3.718946595438273658e-03 8.250158365532681004e-03 1.598965727193795219e-02 5.828528518881147952e-02 1.710622392970074200e-03 2.886376458934871575e-02 1.975127230564527672e-02 2.913367997745102897e-02 7.266644900362270731e-02 6.625003839181425706e-03 2.891708901413378441e-02 3.420633824474098722e-02 6.897363661826838577e-02 5.860614547234313521e-03 4.750415381445755036e-02 1.785388981289892374e-01 2.754320986363391344e-02 6.888375233274847756e-03 1.498107370545084804e-02 1.250341020207538512e-01 7.469561024602704158e-02 9.528307147295839163e-02 2.854448903709402158e-02 8.043896249837242940e-03 3.147064811929527473e-01 2.478512254005199589e-02 3.002464277003085574e-02 4.158184449345625477e-02 1.127509493412565469e-02 5.749407312047488672e-02
1.005393617709309018e+00 3.573733249714521748e-02 1.068637827487494835e-01 4.824709294303894391e-02 2.970165506364211630e-02 1.044865101933152712e-01 1.725082694024949181e-01 5.983109930370524715e-02 1.369620320047640859e-02 6.195663404127483426e-02 1.998571655372600661e-02 1.190677284987978896e-01 9.597646048490002246e-02 4.755760636661748864e-02 1.183441083363230978e-01 1.846117543078701351e-02 1.501733582189376526e-01 7.172104910590855475e-02 1.085853162282384050e-02 7.675337650720620575e-02 3.247618765453177958e-02 4.943421450314613302e-02 1.450559297984549967e-01 3.374186996088639201e-02 5.827323197086796414e-02 6.366607031991969312e-02 5.004112985756967863e-02 1.823760640112981335e-02 8.129002094812323720e-02 2.391946092849810690e-01 5.129500093022214269e-02 2.612225281258834242e-01 5.197715884414999023e-03 5.169693316472099426e-02 1.035505896400483322e-01 1.705750675854559098e-02 8.110402094436311438e-02 1.219839525208639835e-01 3.045463188052563996e-01 3.198898494966182643e-02 4.275321968878843804e-02 6.573701248551962369e-03 2.279455913679245133e-02 2.173163948827102829e-02 1.052059834189642863e-02 1.381939818807143561e-01 1.353503416913931778e-01 1.070701489004257795e-01 5.385470751730205702e-02 2.760017518772250877e-02 7.865194801946404080e-02 1.827432514573336941e-01 3.703667303191826576e-02 7.724119613129204476e-02 1.084711026280782697e-01 6.868702756003981780e-02 6.144639976938581771e-02 9.512131059202023897e-02 7.393596913006645656e-03 1.781686661293569243e-02 3.204245685198538196e-02 1.933579697942072462e-01 8.090271444593190309e-02 5.194859509181901785e-02 3.682747543800480444e-02 3.476583825969065122e-02 8.894240101187653180e-02 3.096214230486389607e-02 6.739657217361952335e-02 5.616247071116117762e-02 7.001617929318368350e-02 9.873877315953251063e-03 2.040449281106421903e-02 3.446506553866877237e-02 1.289435780838355250e-01 5.501563815389780114e-03 5.970093311010400000e-02 4.903290000417092481e-02 6.451739119640678699e-02 1.580185930995144095e-01 1.560492461821444930e-02 6.500988076389206671e-02 7.052998138382840509e-02 2.335129594304731770e-01 1.353635772202447206e-02 1.085176143693169781e-01 3.702150624555775593e-01 6.091847127170230136e-02 1.668876487919219651e-02 3.441565459509775965e-02 2.811463566654750501e-01 1.564381804202907289e-01 1.967018235815992666e-01 6.239844608397129844e-02 1.900628045822224527e-02 6.442059280147122147e-01 5.521411723784040715e-02 6.452107677200304148e-02 8.669802960519977508e-02 2.592201383562427186e-02 1.201527651502872218e-01
1.008079604890366854e+00 5.801761850907090345e-02 1.750946423107707095e-01 7.525670180550785016e-02 5.047001734944880219e-02 1.759366340998522460e-01 3.119068193714780723e-01 9.662479897876481705e-02 2.236188857514312053e-02 1.031634791995763994e-01 3.538938169189702332e-02 1.820040767538133319e-01 1.567342750047235334e-01 7.568074536567841182e-02 1.880800846613400190e-01 3.674637381766261007e-02 2.371455766337244864e-01 1.238653405259276530e-01 1.987371610274452430e-02 1.513647120164370585e-01 5.248956703620243081e-02 9.052513286149720118e-02 2.279961097298048300e-01 5.503221850407157695e-02 9.560273540077532384e-02 9.862870082505473257e-02 9.288631293360648244e-02 3.386614984857205107e-02 1.270456563629263347e-01 3.956070121796186334e-01 8.787749417799822771e-02 4.710555373124945544e-01 1.056540288242896301e-02 8.379945666925509018e-02 1.637936266467567292e-01 2.674925556058749612e-02 1.261012417048547885e-01 2.306134494690968983e-01 4.636176946165552759e-01 5.260345389414457923e-02 7.510258504254239964e-02 1.400324432406733176e-02 4.286728244052442904e-02 3.786930407192859449e-02 2.025251617162259626e-02 2.545871217865854907e-01 2.116948518450586236e-01 1.771119510789857521e-01 8.855617725895202630e-02 4.476381782234667428e-02 1.464154237482320486e-01 2.840314366139469193e-01 6.486685113071322117e-02 1.268131500055830474e-01 1.703949481035066660e-01 1.147357206507126359e-01 9.647606488330739971e-02 1.487098932022736797e-01 1.189972696630604496e-02 3.085670296587356490e-02 4.987441694270948467e-02 3.018163660074684729e-01 1.352529482905919789e-01 8.316652174873433168e-02 5.770024582704455507e-02 7.160674928343134515e-02 1.398611004884252051e-01 5.125170592955598931e-02 1.090474252483273482e-01 9.431121322148251773e-02 1.140615267804260952e-01 1.851033362065521506e-02 3.660620063546903696e-02 5.544183440761802500e-02 2.120577673557637322e-01 1.157273760253494689e-02 9.252274924063053074e-02 8.798792598683007060e-02 1.061811659521508244e-01 2.561124442291307646e-01 2.694607447278589071e-02 1.085021057744090384e-01 1.089897394994871066e-01 4.943260001840040774e-01 2.306507070067114612e-02 1.831532720818126736e-01 5.751180598102066943e-01 1.001814474132201316e-01 2.944493298152460470e-02 5.839239781808019947e-02 4.687157764425186057e-01 2.452809680031441675e-01 3.042857662575503830e-01 1.016403166263726288e-01 3.292777643689746153e-02 9.885782701362548774e-01 9.132018139398141721e-02 1.035278926950923689e-01 1.353650276964149246e-01 4.402845632195589304e-02 1.880075114713641860e-01
1.010758454360498826e+00 8.333257332188291622e-02 2.532942044526856895e-01 1.042087079314120285e-01 7.518378777594841855e-02 2.602998524600210195e-01 4.870807611483668476e-01 1.381197080189858206e-01 3.225999148862413596e-02 1.513112048622312078e-01 5.473444921603257129e-02 2.472618542325987490e-01 2.261378802027192714e-01 1.067324547133145507e-01 2.648998188777996199e-01 6.115826112355075839e-02 3.321026817787001151e-01 1.870971702371724277e-01 3.133205783971393377e-02 2.506482603778764084e-01 7.504506888601571168e-02 1.427299245832870378e-01 3.179686549890536895e-01 7.931295792619469376e-02 1.384955022575334316e-01 1.356946421661285318e-01 1.479342180685133679e-01 5.386678138672663929e-02 1.762300691722057111e-01 5.771122711313170228e-01 1.318909947784317749e-01 7.337116952626023814e-01 1.780949215151105339e-02 1.201335644390545410e-01 2.297087639893732880e-01 3.722165908379143628e-02 1.740845433111054275e-01 3.717095392341528415e-01 6.273899885205714844e-01 7.632366160035050640e-02 1.149084528878903805e-01 2.449057444389280899e-02 6.885835238377172041e-02 5.763062363513379860e-02 3.301264766958588587e-02 4.031780070115406622e-01 2.938715460256232093e-01 2.582499196184280255e-01 1.284777329568776161e-01 6.422259905209939945e-02 2.334362806431728443e-01 3.919767751981433346e-01 9.891212010728467341e-02 1.840081680502314576e-01 2.374600133493585397e-01 1.690040846993545731e-01 1.343965589599317445e-01 2.063597836611860969e-01 1.713037185680302624e-02 4.678252708856417419e-02 6.891621957473689775e-02 4.182568186117031073e-01 1.989570355123483070e-01 1.179128401811013471e-01 8.022460775201399608e-02 1.217140857744384019e-01 1.954736552517143677e-01 7.478968379529486732e-02 1.560812279365518529e-01 1.392993551511306494e-01 1.642264728743842994e-01 2.967206988094240119e-02 5.699095483914232152e-02 7.893654218485435248e-02 3.077333395507070857e-01 2.011289887691358053e-02 1.273419571286918406e-01 1.367583126401954730e-01 1.541613136217112601e-01 3.670183913165548373e-01 4.065791159515341063e-02 1.596082517531666189e-01 1.496057403547796927e-01 8.528654014509338133e-01 3.448361246891479270e-02 2.715399993593293759e-01 7.933469665857643127e-01 1.453906046572322475e-01 4.520019016072094470e-02 8.699614713904822716e-02 6.881585911374712428e-01 3.412792885006327714e-01 4.180699014840529859e-01 1.463469182177061789e-01 4.985091241016834790e-02 1.347923964469538216e+00 1.331409090273631968e-01 1.470852925033407921e-01 1.876015707483679740e-01 6.567735191332381428e-02 2.610927644469168141e-01
1.013430222722082830e+00 1.117488258605799506e-01 3.415485017956507718e-01 1.351177631825004610e-01 1.038533492490307519e-01 3.576789966339730120e-01 6.984309513163304839e-01 1.844012202372769527e-01 4.340601320348892733e-02 2.064905878581124454e-01 7.825377049352408299e-02 3.148846483373600180e-01 3.042873746154610148e-01 1.407379295861053980e-01 3.488463557776456669e-01 9.176924303028632934e-02 4.350986592275509768e-01 2.615941619076914137e-01 4.527380760280169669e-02 3.750177102548344354e-01 1.001638497680186757e-01 2.062055710767241312e-01 4.150465812655032005e-01 1.066177796855522220e-01 1.870267465047661948e-01 1.748783901056801815e-01 2.154226009167327371e-01 7.826984499888010871e-02 2.288637982321199971e-01 7.841426396226996998e-01 1.834434524140376166e-01 1.049452015842123220e+00 2.695416714327638491e-02 1.607453710804943314e-01 3.013251953431557717e-01 4.847937130774045839e-02 2.250723033564484554e-01 5.458573182793371448e-01 7.960047707129266348e-01 1.031713954800371341e-01 1.622783775706640175e-01 3.824351876530793920e-02 1.008729371634604632e-01 8.109462581874363196e-02 4.884146121542651958e-02 5.845180318959661836e-01 3.819242223332109942e-01 3.505935735779755480e-01 1.736556543749977199e-01 8.601446492134295907e-02 3.399684223718224541e-01 5.066218265687314481e-01 1.392063242320873973e-01 2.490511269514581461e-01 3.096848418052592922e-01 2.317830314236195288e-01 1.752249229380587747e-01 2.681063170075309032e-01 2.321442884390807759e-02 6.568639978180891570e-02 8.917167240213048907e-02 5.427888486257809175e-01 2.721004560057810329e-01 1.562142296582533230e-01 1.044115886856042674e-01 1.853170851888542858e-01 2.560596411225584124e-01 1.016088394897897706e-01 2.085588634270593988e-01 1.912227509845658979e-01 2.205836541235525472e-01 4.340152362577835016e-02 8.168790925160220040e-02 1.049670493945369237e-01 4.161016068134116841e-01 3.130059115619536481e-02 1.641729880886081960e-01 1.954868430515025735e-01 2.085014308590647236e-01 4.908232458540101595e-01 5.675340001378777893e-02 2.185354726699401950e-01 1.923996335302096405e-01 1.311416351787156653e+00 4.782820057063552621e-02 3.738259259756984698e-01 1.025011944967821442e+00 1.966082733284189310e-01 6.399799231089904616e-02 1.203088005364655183e-01 9.399382797242612497e-01 4.444913574750217200e-01 5.380952452035997480e-01 1.965944102157819173e-01 6.982072428431622402e-02 1.722365009329524854e+00 1.807192142478967478e-01 1.952358130109520251e-01 2.434290174473540125e-01 9.094755713178233336e-02 3.394465789961540469e-01
1.016094965833330255e+00 1.433308099464150609e-01 4.399527110161010057e-01 1.679994503562229069e-01 1.364978350608453683e-01 4.681971424467646914e-01 9.464874389920594489e-01 2.355547417908462615e-01 5.581569643139917825e-02 2.687933017487181830e-01 1.061675364164043761e-01 3.849193291095091007e-01 3.912849565103559968e-01 1.777235580647017199e-01 4.399738114177492720e-01 1.286570733577355186e-01 5.461952229255401248e-01 3.475403254989894997e-01 6.174043179460089042e-02 5.249178292008699342e-01 1.278692837545664651e-01 2.811185251155707276e-01 5.193079368502190318e-01 1.369814223143905330e-01 2.412722427458824370e-01 2.161961121548386100e-01 2.955916080222024123e-01 1.071114360084450406e-01 2.849712057096436824e-01 1.017155058118449418e+00 2.426465106869787891e-01 1.418754899874087982e+00 3.802498537085950009e-02 2.056812791021267461e-01 3.786801100821003407e-01 6.052767524991389814e-02 2.790843484059298274e-01 7.537002740784092270e-01 9.696163126245153085e-01 1.331709484671519395e-01 2.173230789444388356e-01 5.545991510056763607e-02 1.390210657361219682e-01 1.083390254893100701e-01 6.778424307240146773e-02 7.992133360837856415e-01 4.759008859492195875e-01 4.542891610682201486e-01 2.241338201514516959e-01 1.101764946545722434e-01 4.662958134016427225e-01 6.280162998487625048e-01 1.858078783219416774e-01 3.221555180152146924e-01 3.870941305019534595e-01 3.033488388696455318e-01 2.189802775551521197e-01 3.339880517192600484e-01 3.027361493288702535e-02 8.765581437342379045e-02 1.106461810787842948e-01 6.755338172051412737e-01 3.547868732411142423e-01 1.980996818595748832e-01 1.302738916266369396e-01 2.626564861551202723e-01 3.218868683018613619e-01 1.317430983650917098e-01 2.665421770251764078e-01 2.501787647799285086e-01 2.832082822026262825e-01 5.974027490773291954e-02 1.108206771450218342e-01 1.335528079456398398e-01 5.373231420076297615e-01 4.530505926828739399e-02 2.030321450141174822e-01 2.643190096216411211e-01 2.692534265031779617e-01 6.276323491443159819e-01 7.524938194527021340e-02 2.854854754593443844e-01 2.373947921121150884e-01 1.873210863533250281e+00 6.313474802312794842e-02 4.901818225671099039e-01 1.270235818862296640e+00 2.539017089802617089e-01 8.588253440373611047e-02 1.584101552605717556e-01 1.224576039138620898e+00 5.549791145404820991e-01 6.644093446482409737e-01 2.524592466824054360e-01 9.288537849011978265e-02 2.112045991869626160e+00 2.341042641081254316e-01 2.480250453878779515e-01 3.028717159436773443e-01 1.199145320371505369e-01 4.231111913670059232e-01
1.018752738821909976e+00 1.781412993455694649e-01 5.486127931708598693e-01 2.028704636776740011e-01 1.731457364733128002e-01 5.920003061503378294e-01 1.231924777738161891e+00 2.916666533279045903e-01 6.950523702546616833e-02 3.383130646920788909e-01 1.386845580314447768e-01 4.574162883621639697e-01 4.872362965450129924e-01 2.177172834033945237e-01 5.383485406097670012e-01 1.719062029177281514e-01 6.654628774136924774e-01 4.451288477030636015e-01 8.077507170014425197e-02 7.008328104515449963e-01 1.581873449471306869e-01 3.676470175594373502e-01 6.308367607171775360e-01 1.704401338681142963e-01 3.013093099367457617e-01 2.596658306015720008e-01 3.886871170791343921e-01 1.404341162441141155e-01 3.445808187922816401e-01 1.276638523194582264e+00 3.096171335675966807e-01 1.842330085392402506e+00 5.104916141003058849e-02 2.549885675290202158e-01 4.618193880701311760e-01 7.337256609454526068e-02 3.361422047054320461e-01 9.959538765106621394e-01 1.148392251645340645e+00 1.663495586877970500e-01 2.801580469346813818e-01 7.632870268960027793e-02 1.834189776224832147e-01 1.394409830470784983e-01 8.989173762591720629e-02 1.047937021623860376e+00 5.758543587072395553e-01 5.695235914182701364e-01 2.799645492282313852e-01 1.367452557159970217e-01 6.127380899168850537e-01 7.562176975644343546e-01 2.388016004125350922e-01 4.035250693781214926e-01 4.697193504569923683e-01 3.839650730588861638e-01 2.656841200274158155e-01 4.040472407939345034e-01 3.842301580772022884e-02 1.127743553087431072e-01 1.333468899395625629e-01 8.166263910802351589e-01 4.471404068972775758e-01 2.436009584884192281e-01 1.578260572892709879e-01 3.539886170523797726e-01 3.932129415704320730e-01 1.652280425424374199e-01 3.300947941616562686e-01 3.162674871925603148e-01 3.521792487423245910e-01 7.872949640007920191e-02 1.445082871827869930e-01 1.647151676533503140e-01 6.715914838807792719e-01 6.228713377592544342e-02 2.439377855869092060e-01 3.434049016961462364e-01 3.364785709629369848e-01 7.775717663939292201e-01 9.616696696540602551e-02 3.606563899223830250e-01 2.846165128917377274e-01 2.542575982522043532e+00 8.043919813151689802e-02 6.208046347181158664e-01 1.529155661273776445e+00 3.173441616650707342e-01 1.108993427664480280e-01 2.013787353585047568e-01 1.542661844921223713e+00 6.728090333170254622e-01 7.970667944036120556e-01 3.140191163876263625e-01 1.190968212028072487e-01 2.517135179412420598e+00 2.933524293894969603e-01 3.055023553891238475e-01 3.659573646540791314e-01 1.526509980580343095e-01 5.121335945450821159e-01
1.021403596098255928e+00 2.162419355474683724e-01 6.676471604121444470e-01 2.397487857055756455e-01 2.138355582925962339e-01 7.292602850780195434e-01 1.555579535311107042e+00 3.528252713182157274e-01 8.449149443208082977e-02 4.151467843266307689e-01 1.760035227874449382e-01 5.324296878074815664e-01 5.922519100150103188e-01 2.607489611636119031e-01 6.440503807579366358e-01 2.216091604563835138e-01 7.929820045913058557e-01 5.545649400295197262e-01 1.024230134219440425e-01 9.032950414051624799e-01 1.911469992083910663e-01 4.659834500511481070e-01 7.497240446771177291e-01 2.070321312395297930e-01 3.672177929980430244e-01 3.053076039274519315e-01 4.949641296868602658e-01 1.782876551458490721e-01 4.077256751822657121e-01 1.563121750903500917e+00 3.844792520467589791e-01 2.321135101932203959e+00 6.605585392474740136e-02 3.087159708805425340e-01 5.507983239325099367e-01 8.702083437062811677e-02 3.962693427154752590e-01 1.273420187229569400e+00 1.332514325679686307e+00 2.027378521627301866e-01 3.509051610836938506e-01 1.010309942749273021e-01 2.341905349045730889e-01 1.744778600491517229e-01 1.152208286908533857e-01 1.331442191229914140e+00 6.818428839938673880e-01 6.965289095729159108e-01 3.412094728709673674e-01 1.657571520937600740e-01 7.796565287201387973e-01 8.912919660042828429e-01 2.983008776898158909e-01 4.933553274610764650e-01 5.575993810611232782e-01 4.738844722070327808e-01 3.153606213900972954e-01 4.783303032393177445e-01 4.777162525120084990e-02 1.411223409910514481e-01 1.572828270359588332e-01 9.662160724591030148e-01 5.493080634509304172e-01 2.927530499838713607e-01 1.870846268644520416e-01 4.595896300362112830e-01 4.702868141279765712e-01 2.021014029076382001e-01 3.992829311033654349e-01 3.895929602850644047e-01 4.275802427171769837e-01 1.004103959080812347e-01 1.828661206109080672e-01 1.984776818970245826e-01 8.191371847498769565e-01 8.240009137582884891e-02 2.869105053919263626e-01 4.329011047070761009e-01 4.102485807073558144e-01 9.407905955519346719e-01 1.195319426390840656e-01 4.442446281895859883e-01 3.340922160648480688e-01 3.325126324616778373e+00 9.977785899105134915e-02 7.659212156090564605e-01 1.801924405914732574e+00 3.870159614097717360e-01 1.390958694853445532e-01 2.492926048382482496e-01 1.894866283630078918e+00 7.980529214887290834e-01 9.361297545969409217e-01 3.813538742066907017e-01 1.485114614666668831e-01 2.937825665971180999e+00 3.585282625330898920e-01 3.677216095135668050e-01 4.327173735928767084e-01 1.892275790190028895e-01 6.065661139218619935e-01
1.024047591368562937e+00 2.576937501965881339e-01 7.971883833791187923e-01 2.786538614427573890e-01 2.586165315575211232e-01 8.801776827916035773e-01 1.918470525128210591e+00 4.191218136518939374e-01 1.007922020530443025e-01 4.993957069016723982e-01 2.183142299992823498e-01 6.100177177336507661e-01 7.064485381005988218e-01 3.068507129997798955e-01 7.571739915270789822e-01 2.778679790016623796e-01 9.288439860003731008e-01 6.760687703419430150e-01 1.267321724042430320e-01 1.132894420296151949e+00 2.267806088241988427e-01 5.763369002830661669e-01 8.760687058829209617e-01 2.467980588183922297e-01 4.390810486453458061e-01 3.531437076504239658e-01 6.146902439708215038e-01 2.207298043535340926e-01 4.744436749570598577e-01 1.877181228445034211e+00 4.673654437501860714e-01 2.856394628018409154e+00 8.307645867617309554e-02 3.669142512655639843e-01 6.456823887723946997e-01 1.014801497253088741e-01 4.594914166025616531e-01 1.587003772928837764e+00 1.522179184216438719e+00 2.423702918414089580e-01 4.296943369261398971e-01 1.297411344708171155e-01 2.914687132851265239e-01 2.135279764216505005e-01 1.438352710027037684e-01 1.650576037448552968e+00 7.939307304035045920e-01 8.355874371870668504e-01 4.079404464547711218e-01 1.972487670590386821e-01 9.674604721254130846e-01 1.033314157303153236e+00 3.644502274889153681e-01 5.918352013139223100e-01 6.507811638920043551e-01 5.733507995339399699e-01 3.680369266516291260e-01 5.568882989485812729e-01 5.842287822755282134e-02 1.727774527559688689e-01 1.824650548751665657e-01 1.124468810603010294e+00 6.614623644503550004e-01 3.455946385536994292e-01 2.180683063734902283e-01 5.797599296486269926e-01 5.533503387779987737e-01 2.424035509406362587e-01 4.741762028993718459e-01 4.702644191736582990e-01 5.095008899913638922e-01 1.248246530600443799e-01 2.260068337055449461e-01 2.348664142823058965e-01 9.802322853625444754e-01 1.057904951365870455e-01 3.319733220860552891e-01 5.329726243437706845e-01 4.906467494984314004e-01 1.117463422053252664e+00 1.453752117199487714e-01 5.364467409668289832e-01 3.858516454565488751e-01 4.228015360614833185e+00 1.211877395464093093e-01 9.257923117362365506e-01 2.088712497002141344e+00 4.630056289024545579e-01 1.705220929070606628e-01 3.022301698276181892e-01 2.281953366981835263e+00 9.307887152806100239e-01 1.081668474693297410e+00 4.545464685688085926e-01 1.811908966460592518e-01 3.374336586084256684e+00 4.297055128091095133e-01 4.347419127624719826e-01 5.031872288511837210e-01 2.297134273209834043e-01 7.064669870515635219e-01
