x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33
1.000000000000000000e+00 1.033975765691284594e-22 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.176373552203626272e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 0.000000000000000000e+00 1.033975765691284594e-22 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.058791184067875424e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 2.117582368135750848e-19 4.235164736271501695e-19 4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 8.470329472543003391e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 5.293955920339377119e-20 0.000000000000000000e+00 0.000000000000000000e+00 2.782180903705484396e-16
1.002700435456824746e+00 3.551854210595010997e-02 3.128102253648509801e-02 2.234568647357278864e-02 1.694174519691760486e-02 1.812457325499567187e-02 2.606185108295567057e-02 2.713906293096624359e-02 1.990144402013346164e-02 1.439905631243826485e-02 1.321930286659429507e-02 4.955361831526247651e-02 1.243168735877293006e-02 1.663721910029092657e-02 2.788224330603294651e-02 3.544863553690204977e-02 1.536853552655590045e-02 1.522491554552746120e-03 6.858538232533767376e-02 2.696633077749675464e-02 1.901037730576916537e-02 2.823408735191468982e-02 2.268105850203638515e-02 1.608442574431239933e-02 1.301515600609978382e-02 2.765121559490354985e-02 1.732764326302212166e-02 1.178461171233848859e-01 2.612278355705332372e-02 1.700811371662147575e-02 3.423252453393352268e-02 1.622588863097129686e-02 2.239962275052201357e-02 8.107465709600102099e-02 7.855266426692110102e-03
1.005393617709309018e+00 7.298979140242101149e-02 6.467568691285838223e-02 4.740677795620613921e-02 3.496732217580895974e-02 3.934645420471075128e-02 5.362425145631071616e-02 5.803529603549138771e-02 4.201393898782802838e-02 3.034260947616730306e-02 2.784999800608239234e-02 1.016296323576654365e-01 2.519137542487001613e-02 3.448561328246051855e-02 5.764306965895343859e-02 7.146509445661644588e-02 3.193769087425338271e-02 3.563255057896943297e-03 1.391885312022730636e-01 5.595011063333022588e-02 4.056070505570663620e-02 6.025857105061261515e-02 4.763930855054836211e-02 3.467472749530958048e-02 2.760422682026546573e-02 5.757794826813193018e-02 3.723974042034333687e-02 2.375311616270111281e-01 5.439903739321274440e-02 3.634967754089389602e-02 6.909845957945638661e-02 3.264299560847061521e-02 4.709575718656087984e-02 1.640853070491842813e-01 1.784123707462066319e-02
1.008079604890366854e+00 1.125118773706542952e-01 1.001955460653220636e-01 7.520473351245028637e-02 5.408832241799797769e-02 6.372262301394027162e-02 8.269758854004331805e-02 9.274894580140112532e-02 6.637484544540914189e-02 4.784634092730032789e-02 4.410894455645913981e-02 1.564592241094606706e-01 3.846095623041068112e-02 5.355226542073721757e-02 8.929094228247362597e-02 1.082086107991802049e-01 4.971264999158982872e-02 6.593967420475088832e-03 2.118430758935556657e-01 8.696706070620145723e-02 6.468723596625391981e-02 9.614180717435392987e-02 7.489529325320735953e-02 5.580843102747778950e-02 4.380878502908926164e-02 8.979299947980881602e-02 5.979999947675825739e-02 3.590691538985619768e-01 8.484568347820385659e-02 5.806237254520719288e-02 1.048386752997125526e-01 4.926506574419344670e-02 7.410679554717204687e-02 2.490694471118057307e-01 3.006911788866172691e-02
1.010758454360498826e+00 1.541782289019505703e-01 1.378529132982904692e-01 1.057614017158211295e-01 7.431656532732765219e-02 9.130723824556152834e-02 1.132935426055103473e-01 1.313374082256054121e-01 9.302011335030094252e-02 6.692597380666889806e-02 6.219956746806664521e-02 2.142617386639129040e-01 5.241123734055521538e-02 7.384478204449439198e-02 1.228353328734012734e-01 1.458289321865572918e-01 6.869969714024810881e-02 1.105730780713492373e-02 2.865817408711062719e-01 1.200336358990121699e-01 9.142473783296589662e-02 1.359487069070124121e-01 1.044699002929875553e-01 7.952160736733460134e-02 6.166874692871468500e-02 1.243102985763638035e-01 8.506849944761724069e-02 4.824739885228958025e-01 1.174806764964238109e-01 8.218241312471130655e-02 1.416795240488477325e-01 6.610608946983204115e-02 1.034512717569301132e-01 3.360634222918084113e-01 4.464305580633549236e-02
1.013430222722082830e+00 1.980781184251121652e-01 1.776610309708231972e-01 1.390993598754867722e-01 9.566422561764573174e-02 1.221521471395832781e-01 1.454252117935488364e-01 1.738557931690643266e-01 1.219846367399455428e-01 8.759747387339389402e-02 8.231279971067116674e-02 2.752456863194794878e-01 6.720263294758382910e-02 9.537141142173925779e-02 1.582868693479368982e-01 1.844669236877345131e-01 8.890633465215745657e-02 1.736871518666832995e-02 3.634365981310365146e-01 1.551672543728258025e-01 1.208068635644693190e-01 1.797413354570648047e-01 1.363846654657498991e-01 1.058492564750238840e-01 8.122266954961347707e-02 1.611451280665485430e-01 1.131021649775409005e-01 6.077595240235401652e-01 1.523232444019757270e-01 1.087449308536906772e-01 1.798337518330236084e-01 8.318032956460705285e-02 1.351481282688616892e-01 4.251026606697573818e-01 6.166075109588081693e-02
1.016094965833330255e+00 2.442971947959896584e-01 2.196342335320605188e-01 1.752422449073738064e-01 1.181439582268408589e-01 1.563073793248874466e-01 1.791072361889825826e-01 2.203574693731150669e-01 1.533025982638768492e-01 1.098772451779927301e-01 1.046279956863658406e-01 3.396097143444382072e-01 8.298582750594772628e-02 1.181411586469903602e-01 1.956574793004690338e-01 2.242551536057897643e-01 1.103414001150669344e-01 2.591804053300836991e-02 4.424393133170545500e-01 1.923865224586051026e-01 1.528665089585953818e-01 2.275794903236640077e-01 1.706620700710996252e-01 1.348256794073360298e-01 1.025080399705786960e-01 2.003143441447401696e-01 1.439552248170843929e-01 7.349396701531242249e-01 1.893941248852200609e-01 1.377843474662810153e-01 2.195013760886844190e-01 1.005023485410514728e-01 1.692169750345866308e-01 5.162219028592759384e-01 8.121404802061507611e-02
1.018752738821909976e+00 2.929180060325192736e-01 2.637881055699390909e-01 2.142150772851792451e-01 1.417690212673964334e-01 1.938216253620192731e-01 2.143559216431053793e-01 2.708945916858243042e-01 1.870078045706584646e-01 1.337823212471622447e-01 1.293138196856802313e-01 4.075435515651731899e-01 9.990241717281790612e-02 1.421638982747491786e-01 2.349605298464435832e-01 2.653184667715743350e-01 1.330151837931873027e-01 3.707110138081250866e-02 5.236213863786870482e-01 2.317114560483217178e-01 1.876361592501565589e-01 2.795212603940601115e-01 2.073258335469732039e-01 1.664848401061606309e-01 1.255615577171247388e-01 2.418365935691956792e-01 1.776796552105790461e-01 8.640284730059512031e-01 2.287157989100639943e-01 1.693347380407501934e-01 2.608705371401823236e-01 1.180870367847767083e-01 2.056783416216190485e-01 6.094554261979021614e-01 1.033895052444845364e-01
1.021403596098255928e+00 3.440205130182085735e-01 3.101396355329099075e-01 2.560445795562761861e-01 1.665533975427880287e-01 2.347427015347887946e-01 2.511893640507721348e-01 3.255186120636323066e-01 2.231340135772344746e-01 1.593305525563309677e-01 1.565291125683612450e-01 4.792289286938806181e-01 1.180855333189934353e-01 1.674504850485659391e-01 2.762109645190999885e-01 3.077745497527535901e-01 1.569395471179875212e-01 5.117114574933925158e-02 6.070143875311889703e-01 2.731636995667818812e-01 2.251482254828348351e-01 3.356235673684779264e-01 2.464012028179549674e-01 2.008607179826062683e-01 1.504194110514198157e-01 2.857325280339593210e-01 2.143256092403884594e-01 9.950401982339381890e-01 2.703127225217280549e-01 2.034301855163198336e-01 3.041183292511251413e-01 1.359496415467156827e-01 2.445539235198216643e-01 7.048372642895988083e-01 1.282689472837366118e-01
1.024047591368562937e+00 3.976825953576820227e-01 3.587073657806189031e-01 3.007594909607728684e-01 1.925119151802951734e-01 2.791180023342488270e-01 2.896275748064561228e-01 3.842807759355854058e-01 2.617152546909313759e-01 1.865407910912683653e-01 1.864237393329906123e-01 5.548404771361201693e-01 1.376604515531176798e-01 1.940128632854309088e-01 3.194254378889521129e-01 3.517344914387154353e-01 1.821280431178454173e-01 6.854023183238763806e-02 6.926501893262504428e-01 3.167667436684472038e-01 2.654353717826322678e-01 3.959426910259284949e-01 2.879152399135957996e-01 2.379876524975691465e-01 1.771175479791229634e-01 3.320250172077412465e-01 2.539418331725494804e-01 1.127989412655145518e+00 3.142115581692002668e-01 2.401051277241237902e-01 3.494116160005063532e-01 1.541057968895729602e-01 2.858668237028542669e-01 8.024014225566100666e-01 1.559299982252011219e-01
