x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99
1.000000000000000000e+00 -8.470329472543003391e-19 -2.117582368135750848e-19 0.000000000000000000e+00 -5.293955920339377119e-20 -1.058791184067875424e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -1.058791184067875424e-19 -8.470329472543003391e-19 -8.470329472543003391e-19 8.470329472543003391e-19 -4.235164736271501695e-19 -4.235164736271501695e-19 0.000000000000000000e+00 -6.352747104407252543e-19 4.235164736271501695e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.689779897483425357e-15 0.000000000000000000e+00 0.000000000000000000e+00 -8.470329472543003391e-19 -4.235164736271501695e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 1.694065894508600678e-18 3.038128158224858907e-16 2.117582368135750848e-19 -4.235164736271501695e-19 4.235164736271501695e-19 -8.470329472543003391e-19 0.000000000000000000e+00 4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 -3.176373552203626272e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.235164736271501695e-19 -8.470329472543003391e-19 0.000000000000000000e+00 -1.058791184067875424e-19 8.470329472543003391e-19 0.000000000000000000e+00 -4.235164736271501695e-19 4.235164736271501695e-19 2.646977960169688560e-20 0.000000000000000000e+00 -4.235164736271501695e-19 9.093679834359560429e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.204090183068947562e-15 0.000000000000000000e+00 -4.235164736271501695e-19 -4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.235164736271501695e-19 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 4.235164736271501695e-19 -4.235164736271501695e-19 8.470329472543003391e-19 4.235164736271501695e-19 0.000000000000000000e+00 1.058791184067875424e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 4.235164736271501695e-19 2.117582368135750848e-19 8.470329472543003391e-19 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 -8.470329472543003391e-19 8.949927570771745690e-16 2.117582368135750848e-19 -8.470329472543003391e-19 0.000000000000000000e+00 2.247346963473347741e-15
1.006632653061224403e+00 3.981890557521221286e-02 1.151756431295326288e-01 5.705404590553465188e-02 2.542025725988097257e-02 1.061122936646933385e-01 1.380656696642214298e-01 6.453651125262642452e-02 1.455512256244442804e-02 6.642033185815943153e-02 1.974945782673352343e-02 1.439874868388695828e-01 1.063181573640276795e-01 5.374757917759868941e-02 1.351733858280906309e-01 1.090990819418251496e-02 1.747690858080210297e-01 6.847040474873067328e-02 9.393284559941270442e-03 4.510938652340553551e-02 3.636281482092804801e-02 4.121266430941905590e-02 1.684967768458507098e-01 3.638641864454512931e-02 6.401206164036626900e-02 7.592486420608175746e-02 3.611479952303867091e-02 1.309275800364532137e-02 9.557039858847482527e-02 2.512953724429342062e-01 4.924282814014726423e-02 1.355138727883378469e-01 2.457482765102251068e-03 5.797655192643687283e-02 1.195049678097526158e-01 1.959720875094384668e-02 9.663383328823717255e-02 8.868840794411764206e-02 3.204487673756655775e-01 3.404524758408568330e-02 3.811936132929180654e-02 3.428162955356230980e-03 1.817786869212379905e-02 2.082774036452795380e-02 7.133154407246460570e-03 9.858586480364923965e-02 1.597205773396254413e-01 1.114228916140738712e-01 5.668338272685925772e-02 3.102809551906661120e-02 6.047073069267819290e-02 2.151150100045261526e-01 3.369168526996338398e-02 8.683699174685217959e-02 1.242096507385706539e-01 7.619765219537492917e-02 7.197049659164264646e-02 1.103076512246113500e-01 8.279118128043541289e-03 1.769035861296260406e-02 3.721487165569931782e-02 2.257477594731175097e-01 7.801828155061325820e-02 5.868292140936551271e-02 4.305206414084222777e-02 1.660344986936279285e-02 6.251220397755984093e-02 3.229099951787139933e-02 7.423844337913802771e-02 5.888378633506029247e-02 7.733455687888728114e-02 7.602361126415265596e-03 1.886670680007259543e-02 3.888747864055155934e-02 1.372789853106201885e-01 3.005755087236005457e-03 7.124229140295405827e-02 4.294669934291352881e-02 6.878008100472149389e-02 1.754112364965769721e-01 1.479113612902680473e-02 6.677474886949669175e-02 8.422618202881644589e-02 7.078992577240833528e-02 1.391961004684529567e-02 1.064221640299338467e-01 4.408083033414370022e-01 6.488545425195775540e-02 1.500789474203245363e-02 3.517977023885632964e-02 2.719717806138403082e-01 1.854087042395807516e-01 2.340284828212742807e-01 6.843661522239322115e-02 1.730229332067419537e-02 7.688740742153815644e-01 5.884645941555442794e-02 7.281951780456809298e-02 1.023892714623431260e-01 2.699406337236647316e-02 1.410334816820978387e-01
1.013265306122449028e+00 8.799069537916272277e-02 2.473856707756454110e-01 1.195315860585844381e-01 5.534029343350382879e-02 2.321522138403941116e-01 3.177156853546270754e-01 1.371675671518002848e-01 3.118858869030860514e-02 1.472928387787266480e-01 4.844167617199365838e-02 2.962069312628757278e-01 2.320396081843494884e-01 1.147672035664358964e-01 2.865189883080941913e-01 2.868860716009759629e-02 3.704334748653561049e-01 1.521609071849644168e-01 2.270878024931095515e-02 1.160788155892161083e-01 7.857618521926344746e-02 9.937355455303552298e-02 3.529282140928716727e-01 7.815902490938757274e-02 1.399665213362624727e-01 1.587434334410453007e-01 8.709727119697097120e-02 3.183636637337967229e-02 2.002923404270268160e-01 5.384017349225485027e-01 1.084178652643818935e-01 3.245142080960226605e-01 7.102944139308930635e-03 1.257813823434787981e-01 2.531516310520388058e-01 4.133458869206561165e-02 2.031349046833227090e-01 2.138988448584323576e-01 6.589456029939504411e-01 7.361513739564837233e-02 8.560313360279554751e-02 1.098094389086639276e-02 4.529931206267433924e-02 4.775144459636334465e-02 1.763610604598600182e-02 2.325046378496871680e-01 3.357992484591540427e-01 2.387271234163418077e-01 1.212723797147902821e-01 6.812209250221071266e-02 1.460777843545453536e-01 4.511393800441261814e-01 7.542540198124154938e-02 1.947303421372275634e-01 2.569046641477405468e-01 1.740209005734195680e-01 1.523676563535878437e-01 2.311858471843759033e-01 1.750630258946935663e-02 4.136307623847111647e-02 7.666080442045995758e-02 4.685750282882004125e-01 1.694714610884964501e-01 1.258490073747444704e-01 9.017924511066544024e-02 4.665004068439773666e-02 1.332336572892298676e-01 7.054769718902920150e-02 1.606738511164888805e-01 1.316318028102951010e-01 1.680277293642000180e-01 1.867589567919174243e-02 4.549117455387713393e-02 8.369485251406234838e-02 2.941408148267998790e-01 8.975764690542276797e-03 1.488653624274743903e-01 1.012391692662620579e-01 1.479154530618290442e-01 3.769345672199789221e-01 3.318571742715809014e-02 1.438896647825144703e-01 1.751005819364831739e-01 2.346683032330990071e-01 3.158375913022122561e-02 2.299611253850813442e-01 9.211555916774487596e-01 1.392999308560399496e-01 3.434638543445846931e-02 7.933088924896906924e-02 5.821009137108751341e-01 3.930611843745456246e-01 4.887742399278492966e-01 1.479872509600804742e-01 3.946677730823688890e-02 1.592720103744898363e+00 1.280709245440653232e-01 1.553654792005650931e-01 2.151549515117026634e-01 6.128487548251410066e-02 2.957895435651318183e-01
1.019897959183673430e+00 1.447888572937517659e-01 3.972214609854534118e-01 1.876248792062448767e-01 8.981032622731299764e-02 3.786729506342117468e-01 5.400248591444376522e-01 2.183279045646122907e-01 4.997664115996283685e-02 2.430371696997997710e-01 8.676300039801990160e-02 4.573865947164285628e-01 3.776975636723416407e-01 1.832732492837571003e-01 4.544766321003764209e-01 5.358583425229664077e-02 5.875838187271249513e-01 2.517905945752832997e-01 4.008211014786895038e-02 2.141439064628395672e-01 1.267870135352071881e-01 1.750171918860380371e-01 5.540247880256357060e-01 1.255272218250158833e-01 2.282314987714212928e-01 2.487065468142026503e-01 1.537349685643602804e-01 5.635468808171973515e-02 3.145161989038811612e-01 8.633315395138313475e-01 1.779979974797365749e-01 5.670450566469686926e-01 1.401498505132213988e-02 2.036869592983041322e-01 4.013491776392527632e-01 6.526986318261561448e-02 3.197906603705334971e-01 3.773364604426242552e-01 1.017138191312391582e+00 1.188651697856965700e-01 1.428910192757525677e-01 2.323179623958453871e-02 8.169226762053573287e-02 8.103965212522919181e-02 3.162504895695759238e-02 4.034758420924647870e-01 5.288257266592867323e-01 3.824520174134089512e-01 1.940796573280458570e-01 1.114608934753294478e-01 2.576308021453285746e-01 7.088115804082107951e-01 1.253123192348155057e-01 3.245184866320111050e-01 3.982759483818020252e-01 2.944565038232043186e-01 2.414095483713501467e-01 3.630618029103878652e-01 2.802571906374914587e-02 7.132434741734178241e-02 1.183866732137928424e-01 7.297156113076215256e-01 2.747955137139118653e-01 2.017198608640841939e-01 1.415567889394994394e-01 9.083755700252457710e-02 2.129953200718494311e-01 1.149517866820308626e-01 2.596616912826643642e-01 2.186553844004439362e-01 2.724659409920213715e-01 3.337402898780728044e-02 8.028927165412422240e-02 1.345718210050661501e-01 4.713165208718840815e-01 1.840325454089149909e-02 2.331194988794621503e-01 1.754097434069652461e-01 2.377344273978630740e-01 6.052511952524576300e-01 5.525502266185034622e-02 2.322115954984756703e-01 2.729487136837738248e-01 4.929297531527983001e-01 5.312406413706582953e-02 3.712508092353228872e-01 1.442593888631176435e+00 2.236312954020241162e-01 5.817774970749670788e-02 1.327801544819707802e-01 9.318101528744970885e-01 6.236134282855180233e-01 7.650447727699124512e-01 2.390595319841126720e-01 6.664347353678413965e-02 2.474281535401691379e+00 2.079463025815905253e-01 2.479414789219005211e-01 3.386239933606255970e-01 1.031680240079606986e-01 4.647690871338061025e-01
1.026530612244898055e+00 2.104900439239224263e-01 5.653155829569680435e-01 2.615472363680682033e-01 1.288823536236247957e-01 5.462612340951997769e-01 8.061350119786599988e-01 3.084685499938166764e-01 7.099684477323274512e-02 3.540799825083363883e-01 1.353681138228691183e-01 6.283421629090173433e-01 5.438455014589791414e-01 2.595007867019842318e-01 6.395379195407571160e-01 8.584292645809114830e-02 8.268807666421009728e-01 3.680863997614154393e-01 6.164545519079339675e-02 3.404977700374614558e-01 1.811548262582325097e-01 2.686672044197589426e-01 7.725878551538650774e-01 1.787125372910768617e-01 3.291857132203315217e-01 3.460997016210519139e-01 2.367899875824154565e-01 8.677157953977418514e-02 4.386406303053326239e-01 1.228157947115693371e+00 2.584614058881710141e-01 8.632270063779762248e-01 2.326883143026427930e-02 2.919783969211002805e-01 5.645661467661113875e-01 9.146786429185785328e-02 4.469249604860237035e-01 5.806742375027719172e-01 1.396901899362020361e+00 1.699608977050504899e-01 2.104212232996243992e-01 4.072142690199761356e-02 1.276752042718212188e-01 1.209518026789609124e-01 4.921202410461009841e-02 6.131998196817457503e-01 7.394658434250158674e-01 5.431895138169429149e-01 2.754468008534088352e-01 1.612285116486561476e-01 3.959309019589597467e-01 9.889808898773512214e-01 1.834866666697972937e-01 4.770358829512789112e-01 5.485166393351779135e-01 4.384684575216248881e-01 3.393405669893795884e-01 5.064131191963141543e-01 4.016164717890587793e-02 1.078698126293127640e-01 1.624424141785972830e-01 1.010530350830754154e+00 3.944570720145537668e-01 2.865377667186144173e-01 1.973829744474332459e-01 1.498343191134783037e-01 3.026027480375558243e-01 1.656918967625803374e-01 3.715756124199136035e-01 3.203700398770708002e-01 3.910527448603055012e-01 5.184444616135212153e-02 1.236590851632016624e-01 1.916819361538059374e-01 6.696003578273548307e-01 3.175256623203911999e-02 3.242907936121751100e-01 2.659809568755563403e-01 3.385924606388262537e-01 8.611137068721341770e-01 8.107485773075553959e-02 3.326123788822262783e-01 3.781367096016581275e-01 8.470977752442532260e-01 7.866963262874006324e-02 5.309369612643526359e-01 2.006871363135011688e+00 3.182903749197635856e-01 8.666041423601250626e-02 1.958509901390587948e-01 1.322483356215668593e+00 8.778062185238519888e-01 1.063768239775127133e+00 3.420799661574392969e-01 9.898040464731565347e-02 3.416697204917021224e+00 2.987643069310734756e-01 3.508747116537820343e-01 4.731655227606741398e-01 1.529332208954125305e-01 6.485314141110585240e-01
1.033163265306122458e+00 2.853773128935494507e-01 7.523491948661930051e-01 3.415352703758762765e-01 1.726107027596042454e-01 7.355444864126619020e-01 1.117271661180073261e+00 4.080616274037303648e-01 9.432886755972637316e-02 4.808598272695026599e-01 1.948850930625492250e-01 8.099890440850139317e-01 7.310637254415037756e-01 3.437087278556485437e-01 8.422521911173359577e-01 1.256951446506253678e-01 1.089063588081400802e+00 5.017910845944935083e-01 8.752883233134682583e-02 4.963028933194781889e-01 2.418539975139732956e-01 3.808416172810673572e-01 1.009498635122836552e+00 2.379511770796234604e-01 4.432228785976630170e-01 4.512466830745444635e-01 3.370058932980221078e-01 1.232123634625536812e-01 5.731179408771228667e-01 1.635036126277399138e+00 3.502962446096385962e-01 1.213261794009411698e+00 3.493693044036891987e-02 3.909568344578262522e-01 7.433373536682715832e-01 1.200014234037085903e-01 5.849019377118679364e-01 8.255714144933073984e-01 1.800374447826490920e+00 2.270798465480824979e-01 2.886345318848541619e-01 6.396096167316031589e-02 1.835601351705101747e-01 1.677405510725313853e-01 7.050580706766415573e-02 8.633759889090778517e-01 9.684704996550177469e-01 7.215915875269558466e-01 3.657489344135792519e-01 2.176163662097577445e-01 5.617799455809563414e-01 1.292619619937943165e+00 2.501081183271884334e-01 6.531225358249741486e-01 7.078231200175436610e-01 6.070074291628094754e-01 4.464345293075889787e-01 6.617736846556686592e-01 5.422010000393616413e-02 1.512871543945127628e-01 2.088792574651446021e-01 1.312526467801464980e+00 5.289594287539345352e-01 3.805689238918768535e-01 2.578818498431507678e-01 2.242853415279288665e-01 4.028414165350371334e-01 2.229657524634554577e-01 4.968119303580517676e-01 4.372002131850298290e-01 5.242136562422108348e-01 7.423038074485203974e-02 1.759839941137465724e-01 2.552048553561063193e-01 8.898602120979668406e-01 4.946170376159041843e-02 4.227050864743021608e-01 3.734709535094998256e-01 4.508764715569278381e-01 1.145356425652171106e+00 1.107266018110755479e-01 4.459773185142296703e-01 4.910757847426160394e-01 1.298965565399861744e+00 1.083483138286183006e-01 7.096837591215173768e-01 2.615953427786075647e+00 4.237156433926824728e-01 1.199505113851259269e-01 2.688667158995340922e-01 1.755478439106278099e+00 1.156476152179350292e+00 1.386006314658680516e+00 4.574990193091100776e-01 1.366251594034565420e-01 4.423541538997107558e+00 4.008391855954406835e-01 4.645200077837247643e-01 6.191953534487779631e-01 2.108670555547378367e-01 8.477006905918812452e-01
1.039795918367346861e+00 3.697434208191981431e-01 9.590599544173424862e-01 4.278513249361003967e-01 2.210525591477632557e-01 9.471982576723089187e-01 1.474761514814154628e+00 5.176055667182879461e-01 1.200552819701318913e-01 6.238320702649892135e-01 2.659204753630170504e-01 1.003356874779526953e+00 9.399660351885148479e-01 4.361831830117334774e-01 1.063232877675482912e+00 1.733739464300806665e-01 1.374959422196921688e+00 6.536716126187193110e-01 1.178613653648311055e-01 6.827029422533285041e-01 3.090760750953956415e-01 5.120580877013662935e-01 1.265728171910743161e+00 3.034967553077887459e-01 5.707561773282132656e-01 5.645135948975514850e-01 4.551146063566192668e-01 1.658052882689105834e-01 7.184601345992671639e-01 2.086226012883602543e+00 4.540055074197178464e-01 1.617436973493709296e+00 4.908953421624306923e-02 5.009428897648579015e-01 9.382715328217530182e-01 1.509523310037380606e-01 7.341301334518177679e-01 1.113692073102101388e+00 2.229997776782695951e+00 2.904135105368921832e-01 3.779784780381126863e-01 9.343505357441478365e-02 2.496556050680509842e-01 2.216540664911447744e-01 9.561277227557243852e-02 1.155721494207734734e+00 1.216685612642977699e+00 9.183783136982411888e-01 4.653999208088959727e-01 2.808256265345624447e-01 7.559897763661785897e-01 1.620836847302430161e+00 3.253643986621898021e-01 8.536336902009856731e-01 8.763960097749916578e-01 8.010202584060041042e-01 5.629979607314897772e-01 8.297402499553262478e-01 7.049039693206382573e-02 2.018586828139126987e-01 2.577499543855352737e-01 1.637380038290308093e+00 6.788489961339307932e-01 4.841068447176926637e-01 3.233063542110010125e-01 3.148184019247787235e-01 5.144821484013594182e-01 2.869823919534574275e-01 6.357942467505786066e-01 5.695840781914187634e-01 6.724010983182141521e-01 1.006718815055960142e-01 2.376356884126520630e-01 3.253387093382064665e-01 1.133048998504402993e+00 7.194480276641089522e-02 5.287324130917397946e-01 4.983988652114719753e-01 5.750094795058522390e-01 1.458906434179650269e+00 1.442982773614157610e-01 5.732143970766848673e-01 6.122273005900434883e-01 1.850639831252175904e+00 1.422879467642958751e-01 9.081806751569518887e-01 3.272046167030672859e+00 5.403782780581499745e-01 1.582034241857845913e-01 3.521538121384368836e-01 2.232140165721137937e+00 1.460567626136642039e+00 1.732968737769830181e+00 5.857964359885475814e-01 1.797264577713291456e-01 5.498870722146937062e+00 5.145115991792361676e-01 5.892641093367775307e-01 7.771808968750797408e-01 2.772557368653322252e-01 1.062973032768063097e+00
1.046428571428571486e+00 4.638941905899300888e-01 1.186250557684927154e+00 5.207861145190962882e-01 2.742684797776819283e-01 1.181954028975096271e+00 1.880051023806330823e+00 6.376308033352877658e-01 1.482623941616375562e-01 7.834738889562331554e-01 3.490643525804960068e-01 1.209606680030750114e+00 1.171206552704920245e+00 5.372410746581419705e-01 1.303164323146125403e+00 2.291092179776795523e-01 1.685493283844517576e+00 8.245280266344775510e-01 1.527725531812168247e-01 9.008345451436039486e-01 3.830322361600910774e-01 6.628391069081378539e-01 1.542348446289923736e+00 3.756232444244353985e-01 7.122228468327127526e-01 6.863133629228290733e-01 5.918432851535958550e-01 2.146829826589614632e-01 8.752457687235535300e-01 2.584116824073293905e+00 5.701121377471859430e-01 2.076130698149969422e+00 6.579527349364579225e-02 6.222802146033379334e-01 1.150059846521859885e+00 1.844123804072430595e-01 8.950669633478174347e-01 1.446724013496711425e+00 2.688568790218104798e+00 3.601694472282270798e-01 4.789116320730205101e-01 1.296049523656470082e-01 3.262696636660072369e-01 2.829383244200621150e-01 1.246377385678489741e-01 1.491990403642299068e+00 1.485063251962662312e+00 1.134346710395790048e+00 5.748582632777650137e-01 3.510696221226966562e-01 9.793914838398124489e-01 1.974893945630038061e+00 4.094741608822652368e-01 1.079449749903577560e+00 1.054441127816712731e+00 1.021459559737146972e+00 6.893736075689825826e-01 1.010979797641341937e+00 8.924670749452338903e-02 2.598639191941194970e-01 3.091089999508531139e-01 1.986962236520577907e+00 8.447223287374115985e-01 5.974759621638470186e-01 3.939418977677856537e-01 4.220500471697910538e-01 6.382866816485177619e-01 3.579644599768221913e-01 7.889782414304198355e-01 7.179783949203046856e-01 8.360995015037089306e-01 1.313070625912572675e-01 3.089771417416905530e-01 4.023026143861674897e-01 1.400217249044582557e+00 9.959454035014154993e-02 6.427920580867710898e-01 6.412901895746216940e-01 7.114556350856771072e-01 1.802795419734964710e+00 1.818856544086140670e-01 7.152644060402525428e-01 7.421085324301139874e-01 2.504588659243067283e+00 1.806176102190300281e-01 1.127149666240956360e+00 3.977622500273019224e+00 6.687876677106280310e-01 2.015753275197799677e-01 4.460451978537378070e-01 2.753812845716143265e+00 1.791145995200189578e+00 2.106029873873404235e+00 7.274868738063300366e-01 2.284357234189925701e-01 6.647275836150010164e+00 6.401526921975443374e-01 7.255302431884385062e-01 9.476465388144040825e-01 3.523878354972901361e-01 1.295124324673432303e+00
1.053061224489795888e+00 5.681519746735984588e-01 1.434798038124253106e+00 6.206616099874698866e-01 3.323228935809912077e-01 1.440607476380519225e+00 2.334726279569719232e+00 7.687060748449989767e-01 1.790411104273856302e-01 9.602893714087659127e-01 4.448955079220310860e-01 1.430051241833999010e+00 1.425486759510472101e+00 6.472340638175981820e-01 1.562809165403452827e+00 2.931314760857597346e-01 2.021698972409416317e+00 1.015202966489902936e+00 1.923935407277981013e-01 1.151839128016583835e+00 4.639559032245043624e-01 8.337171925116307891e-01 1.840544839912094499e+00 4.546281929872363348e-01 8.680889163176255252e-01 8.171107947660193327e-01 7.479212434295736678e-01 2.699839147555406771e-01 1.044127766182661565e+00 3.131253668543076518e+00 6.991644443986710922e-01 2.589816673661158752e+00 8.512172339270993038e-02 7.553391819957776532e-01 1.379485429358207949e+00 2.204845122520032730e-01 1.068223569770634818e+00 1.826398061351625746e+00 3.179301139514110641e+00 4.365734940387673291e-01 5.919080598523080994e-01 1.729115502817976935e-01 4.137128374784882490e-01 3.518394004013795651e-01 1.576848005217216242e-01 1.873993634927809904e+00 1.774674188867181535e+00 1.370380505626856094e+00 6.946338563176166492e-01 4.285763374964490224e-01 1.232844758511126848e+00 2.356222257298360656e+00 5.026901952905510340e-01 1.331486489521517047e+00 1.242170435415231200e+00 1.269293471455817501e+00 8.259442200780851007e-01 1.206237850948633783e+00 1.107495798193041392e-01 3.255821875767530571e-01 3.630128517840370272e-01 2.363370121497905707e+00 1.027233834919687450e+00 7.210354911158781688e-01 4.701104890202877917e-01 5.465915663109603972e-01 7.750134135753800058e-01 4.361506010118056387e-01 9.568566854621876061e-01 8.828634588117970639e-01 1.015830601379634990e+00 1.662733427481048187e-01 3.903655471139898525e-01 4.863393615456365615e-01 1.692527135855829812e+00 1.327845000059081071e-01 7.653583250719573350e-01 8.026821951349456530e-01 8.607257236676192358e-01 2.178172521007410545e+00 2.235934006661664530e-01 8.731122078259739849e-01 8.812992629394253985e-01 3.263694667597947241e+00 2.234688797344737132e-01 1.367352777522342189e+00 4.735451545710560595e+00 8.094974671803862876e-01 2.502247343342018926e-01 5.508835393490253418e-01 3.321853011970164360e+00 2.149412142487019395e+00 2.506747644413274134e+00 8.831259283300071372e-01 2.829086719903208258e-01 7.873944161199498915e+00 7.781684065487186608e-01 8.737830561994744949e-01 1.131179564891854783e+00 4.365570393592598242e-01 1.545018893576950436e+00
1.059693877551020291e+00 6.828592405600303339e-01 1.705663977238092377e+00 7.278342090899528882e-01 3.952845926994683623e-01 1.724027300440829968e+00 2.840534589139628086e+00 9.114454408055967516e-01 2.124878509514586400e-01 1.154814757446258611e+00 5.539866138233457971e-01 1.666179365071162710e+00 1.703562802661870323e+00 7.665528514942215876e-01 1.843016373105572869e+00 3.656740523484536265e-01 2.384731049225155441e+00 1.226591986821480962e+00 2.368583985622484123e-01 1.436874883536627845e+00 5.521055551477036527e-01 1.025240097224693114e+00 2.161630184314645930e+00 5.408362670839369502e-01 1.038854135900521447e+00 9.574282917609816534e-01 9.240869478070368181e-01 3.318538660250495709e-01 1.225842360966134414e+00 3.730366653567150692e+00 8.417418945839632016e-01 3.159069340075241872e+00 1.071359635538198518e-01 9.005207391704829201e-01 1.627434167807518373e+00 2.592840790344514978e-01 1.254170125731317587e+00 2.254507975122893804e+00 3.705900836009428101e+00 5.198721333844383841e-01 7.174619970085008847e-01 2.237784168158580278e-01 5.123011139177316986e-01 4.286057759984851501e-01 1.948581497790380090e-01 2.303619821824194780e+00 2.086722122114604172e+00 1.627460998957871441e+00 8.252957641952364254e-01 5.135910139910965233e-01 1.517247407735292875e+00 2.766443307278340757e+00 6.053030345606849050e-01 1.610705639298039227e+00 1.439802961070539178e+00 1.545515602433827018e+00 9.731366544652104711e-01 1.416347889193001475e+00 1.352474645161085010e-01 3.992952253525508532e-01 4.195201463852419321e-01 2.768962928003663393e+00 1.227104322955856475e+00 8.551835956497486624e-01 5.521755146153034532e-01 6.890549642214753856e-01 9.254233601251786734e-01 5.217979779248478334e-01 1.139964727193614413e+00 1.064748178278801749e+00 1.212158985306590608e+00 2.057086798066382893e-01 4.821552241702800057e-01 5.777183198573406786e-01 2.011268213905387459e+00 1.718715035709736938e-01 8.969671562583894087e-01 9.831293870477703090e-01 1.023383234546471954e+00 2.586318377504827737e+00 2.695362903122311971e-01 1.047799394611753421e+00 1.030449346722848381e+00 4.131314912068947187e+00 2.709770975634985257e-01 1.629600260052625593e+00 5.548631723343786959e+00 9.631123079306141976e-01 3.043140567560534970e-01 6.670246097208365477e-01 3.937642165890635315e+00 2.536718739898108144e+00 2.936885269195824488e+00 1.053316636550196694e+00 3.433069245869206365e-01 9.184730047653170359e+00 9.290040920155281379e-01 1.034533985865937478e+00 1.328436728191146887e+00 5.300649364305767275e-01 1.813619186714891196e+00
