x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33
1.000000000000000000e+00 1.033975765691284594e-22 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.176373552203626272e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 0.000000000000000000e+00 1.033975765691284594e-22 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.058791184067875424e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 2.117582368135750848e-19 4.235164736271501695e-19 4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 8.470329472543003391e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 5.293955920339377119e-20 0.000000000000000000e+00 0.000000000000000000e+00 2.782180903705484396e-16
1.006632653061224403e+00 7.647491869625593075e-02 7.752791221398755428e-02 5.453590709258357427e-02 4.109838969629377170e-02 4.471876521702946444e-02 6.425359471550033674e-02 6.715111451166035084e-02 4.740561684991846658e-02 3.518944519459733800e-02 3.276400408977511725e-02 8.440249941553752688e-02 2.970406810687177546e-02 4.086443432222937322e-02 6.878190105115276898e-02 8.766973022806368032e-02 3.793599821026746866e-02 3.620012312302574569e-03 1.673062511060780244e-01 6.481610127053012704e-02 4.622789362291741810e-02 6.984288991832014737e-02 5.583038246924135195e-02 3.962009328106673445e-02 3.153769008007571012e-02 6.780172874991752252e-02 4.325194018469442903e-02 2.898568379792430538e-01 6.428087134802952518e-02 4.190728147631909983e-02 8.341136308938029709e-02 4.013875660425842568e-02 5.537559443099455275e-02 1.983252057396173440e-01 1.959861068702135889e-02
1.013265306122449028e+00 1.573496491587796364e-01 1.621472154480655681e-01 1.162248976331937828e-01 8.546432980233997778e-02 9.785575454468439793e-02 1.336018229468905194e-01 1.453791793952984579e-01 1.004417464669831728e-01 7.462546855031330917e-02 6.993886307318737672e-02 1.743790629170168249e-01 6.084132852127872165e-02 8.586219087282701001e-02 1.439290668930829353e-01 1.786853680754044715e-01 7.959673431279325195e-02 8.506755131403248918e-03 3.415292215885362692e-01 1.356590810762536015e-01 9.962671077045069656e-02 1.513721590366521597e-01 1.180452443132499751e-01 8.612579266536275757e-02 6.658120951236741469e-02 1.422005304859009223e-01 9.452270721045201440e-02 5.900875062361594647e-01 1.347525149787101584e-01 9.039987917212091717e-02 1.702169566756423225e-01 8.180491649685163458e-02 1.176884571366440674e-01 4.044143458723838402e-01 4.521215196241842871e-02
1.019897959183673430e+00 2.430345128415045963e-01 2.540889284436613771e-01 1.852730063103949776e-01 1.332321237551866711e-01 1.596623842073817134e-01 2.082847973922626050e-01 2.349916963403604342e-01 1.593123523701503730e-01 1.184511949151112048e-01 1.120755536288045029e-01 2.706129620594228125e-01 9.385913800213076252e-02 1.351179016675688183e-01 2.256501092983259904e-01 2.735086148821300744e-01 1.251158501495265862e-01 1.574990947969789890e-02 5.229752179230924281e-01 2.127341861504768727e-01 1.603999635693067749e-01 2.449208846245299054e-01 1.868461728017570267e-01 1.397109632664493561e-01 1.053410208642632379e-01 2.234214448620894244e-01 1.540663113252751792e-01 9.009723559116560310e-01 2.116632713180326142e-01 1.456780317063096630e-01 2.610594020017231731e-01 1.252291351530611385e-01 1.871286807780902228e-01 6.186198914836403828e-01 7.715941506293849672e-02
1.026530612244898055e+00 3.339425424689941857e-01 3.536129293701840148e-01 2.619067913119153546e-01 1.845505512773019108e-01 2.303959115765798482e-01 2.885760552408935253e-01 3.363093160544307625e-01 2.242320384723084092e-01 1.668248869136544632e-01 1.596966307083776682e-01 3.737716326121759969e-01 1.291809937067797953e-01 1.887735145443243945e-01 3.141822513130956840e-01 3.725848230970282837e-01 1.746474144101398396e-01 2.637304027811873328e-02 7.119598639892136260e-01 2.962710579289876689e-01 2.287621997291074960e-01 3.508363536755637058e-01 2.624557560828866820e-01 2.005784473131816403e-01 1.480382381881214238e-01 3.117171775557378566e-01 2.221409662864038681e-01 1.222801613628069273e+00 2.952928621615587557e-01 2.079535821595487610e-01 3.565530353517057383e-01 1.706646946488788730e-01 2.639067982383898059e-01 8.413062434886880991e-01 1.157478963625236112e-01
1.033163265306122458e+00 4.304927981499631073e-01 4.610107590642132935e-01 3.463763208405755689e-01 2.395846352927395451e-01 3.103223846410554931e-01 3.747861649823533425e-01 4.496696546760710067e-01 2.954284377302215936e-01 2.199220908878904701e-01 2.132993611833433611e-01 4.845109140333280773e-01 1.672085568560199020e-01 2.469902721906527543e-01 4.097941719301117502e-01 4.763450379482483399e-01 2.283682406252298125e-01 4.133845001536672059e-02 9.088095788419238152e-01 3.865266740836342807e-01 3.049415926488663331e-01 4.694843433139456179e-01 3.451204548179779841e-01 2.689426417941927494e-01 1.949069724025540296e-01 4.073710576414914519e-01 2.990120585441709555e-01 1.555876158039801060e+00 3.859560987395186937e-01 2.774528432619179918e-01 4.572867731003374403e-01 2.183911858031971909e-01 3.482565813620522310e-01 1.072851400988381165e+00 1.612763760816600389e-01
1.039795918367346861e+00 5.331139458074908299e-01 5.766086446300350277e-01 4.389583501714422464e-01 2.985176123586565922e-01 3.997196301127683982e-01 4.672668483265500772e-01 5.754311847849905570e-01 3.731447170043178940e-01 2.779379680209474457e-01 2.733588453581035638e-01 6.034794123846727310e-01 2.083236142076535791e-01 3.099508762231317216e-01 5.127891168802858335e-01 5.852080323840216369e-01 2.864805059966655798e-01 6.155168974324654735e-02 1.113863117675258474e+00 4.837885857484029994e-01 3.891826030931542779e-01 6.012535010677211300e-01 4.351136908532563519e-01 3.450321453952028827e-01 2.461969009161880106e-01 5.107002638729009059e-01 3.849551605542908539e-01 1.900508333978530029e+00 4.840070373155370143e-01 3.544195856328002936e-01 5.638269210985867863e-01 2.687187937517312997e-01 4.404380091605371028e-01 1.313648712620381520e+00 2.140374855728624237e-01
1.046428571428571486e+00 6.422481613058869110e-01 7.007707808045268161e-01 5.399597324930904829e-01 3.615531451025179033e-01 4.988802984414399955e-01 5.664157096674589109e-01 7.139772277656171173e-01 4.576422289095767870e-01 3.410898508442944399e-01 3.403311394337040219e-01 7.313230403990255146e-01 2.528900003506430738e-01 3.778618731548202825e-01 6.235083222019073279e-01 6.995823617011432960e-01 3.492147308868285283e-01 8.786575853504616229e-02 1.327473186635765856e+00 5.883785088680866249e-01 4.817487346586590835e-01 7.465598574335143844e-01 5.327391991244769809e-01 4.290924967527166567e-01 3.021761102673036214e-01 6.220593680924181301e-01 4.802591058327969065e-01 2.257022811017393327e+00 5.898436679014174011e-01 4.391181830155878596e-01 6.767199619164846469e-01 3.219933112634970063e-01 5.407404430973166143e-01 1.564108723463737194e+00 2.743202705440122569e-01
1.053061224489795888e+00 7.583554360496180813e-01 8.339029105885528148e-01 6.497211124590211995e-01 4.289178215910270930e-01 6.081149862110752924e-01 6.726816825158135060e-01 8.657200773436065644e-01 5.492033453089135708e-01 4.096200714949537747e-01 4.146563903363086334e-01 8.686897949935069585e-01 3.012554988924839305e-01 4.509563045094205913e-01 7.423348033029409931e-01 8.198684586700558663e-01 4.168331896960825178e-01 1.210850191644562562e-01 1.550008143091914592e+00 7.006563371631607806e-01 5.829254077720179561e-01 9.058515072864088413e-01 6.383346953928543677e-01 5.213890289191773775e-01 3.631342688525177609e-01 7.418442503156358336e-01 5.852291458708996919e-01 2.625757494228472932e+00 7.039132363790170377e-01 5.318369534426536926e-01 7.964953464430053476e-01 3.786020316035760835e-01 6.494860518062032240e-01 1.824661131226569699e+00 3.424127584595202389e-01
1.059693877551020291e+00 8.819183757325260720e-01 9.764562513977174119e-01 7.686209580736769187e-01 5.008639944078949746e-01 7.277554587870055380e-01 7.865713231565054642e-01 1.031105287465079678e+00 6.481345116933194817e-01 4.837991155530181331e-01 4.967619935696129252e-01 1.016234841469569661e+00 3.537537367838531344e-01 5.294966698356255996e-01 8.696975693775615968e-01 9.464607858324387557e-01 4.896338373428569812e-01 1.619688548124232075e-01 1.781853794073765762e+00 8.210246551771119838e-01 6.930229797799373204e-01 1.079613501237473017e+00 7.522759200333646312e-01 6.222098681404741871e-01 4.293861971328852833e-01 8.704964475183388783e-01 7.001902117513811863e-01 3.007064496058342584e+00 8.267183183283866033e-01 6.328917410373825492e-01 9.236683109992626095e-01 4.389807071940663996e-01 7.670335331177210447e-01 2.095756866818416331e+00 4.186045394091501004e-01
