x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33
0.000000000000000000e+00 5.465576663175172323e-01 9.417662571578784281e-01 5.098444155454415760e-01 2.815158416962008636e-01 3.423012200937434746e-01 6.749007856004767270e-01 7.378838085569311422e-01 6.211840018981920064e-01 4.016597687951844464e-01 3.274075629517854691e-01 8.680897583568852882e-01 3.053708429259294199e-01 3.968286882673666693e-01 5.852491457780132356e-01 1.119200577201297619e+00 5.534235086213898924e-01 5.982921733244021129e-02 6.464891113671427103e-01 5.106054497192497044e-01 4.359949083200867492e-01 7.178426897692375963e-01 3.686674712964859157e-01 3.856837689856218998e-01 7.148130528259286631e-01 7.933118695410675825e-01 -3.354231362143645367e-01 -3.634404912023872503e-01 6.597040957112307868e-01 2.758624568422893275e-01 3.747678315967576945e-01 -1.762915260987666377e+00 4.748696830473252417e-01 6.937291719440441540e-01 3.633130408964318492e-01
1.000000000000000000e+00 8.535579274749944823e-01 -2.855023105598492039e-02 1.086204480907409717e-02 -5.508342331982044732e-02 1.347866043828792604e-01 -5.394836097398025138e-02 1.233354046620633720e-01 -2.451548609563896919e-01 3.446849935195941267e-02 -8.970346167831790007e-02 1.125936659840951481e+00 1.006842184797031581e-01 -2.241179449958492498e-01 1.781736511195526340e-01 -6.988434538797665130e-02 -1.092295071348371033e-01 2.536561389023222479e-01 3.644501785379854475e-01 -1.968403722676371759e-01 2.545903342653236257e-01 1.154546109415982742e-02 2.215381799822400966e-01 -6.671327586793504745e-03 -3.380239479537339164e-02 5.345826928086062219e-02 2.500282238788251732e-01 -4.193212150843116381e-01 2.146942137089011549e-01 -2.859568227937011042e-01 -4.677936177820995502e-03 2.108039694971516997e+00 9.024862203765444957e-02 4.112633306184081405e-01 -1.510706254842955343e-01
2.000000000000000000e+00 1.816011827894931541e+00 2.826291891882483642e-01 4.798777595630689397e-01 2.116818679657720692e-01 2.473196171037326252e-01 5.077714022422182838e-01 2.078942360410648837e-01 4.364883560722672140e-01 2.190804349369137038e-01 3.539141848167010607e-01 2.059893879898043068e+00 2.861037160656009215e-01 7.043309969794030456e-01 3.734880307409176869e-01 3.260311410541099630e-01 1.507480174003251461e-01 1.128091862516676924e+00 5.640008636172553214e-01 5.084490149169124118e-01 3.743253186740864713e-01 2.389506303660914321e-01 4.739442514483222513e-01 1.323272696864334630e-01 1.542032713433489632e-01 4.882789838028548379e-01 -6.249295053984329495e-01 -1.528262811225454820e+00 2.323533115335207899e-01 2.989850212826727915e-01 4.510679532943917547e-01 2.745207377339880517e-01 2.510681247789635084e-01 2.974031614664714440e-01 3.143512397220417365e-02
3.000000000000000000e+00 -3.476635377743985678e-01 -6.660812798322517381e-01 -4.074011805807045694e-01 -3.338781700517182705e-01 -2.652097265065575526e-01 -3.107091424609057517e-01 -3.743023784488193062e-01 -4.397978143201585199e-01 -2.683037975329612412e-01 -3.829331893374947060e-01 -8.914026803266239529e-01 -3.851541723197912659e-01 -5.502141486001402848e-01 -1.972468017192308132e-01 -4.174732301676461477e-01 -5.555357134246713402e-01 1.762660009602815547e+00 -4.590798802276778168e-01 -7.043487892981750154e-01 -5.421683531414598356e-01 -3.705992629121814819e-01 -2.901009222578571078e-01 -3.033356966029957524e-01 -4.711948042619906740e-01 -5.760295984659511426e-01 3.547587289866591109e-01 8.998761226502141053e-01 -7.170387896552685159e-02 -4.329855932138714225e-01 -3.146415737724991279e-01 1.415086219808447732e+00 -4.092987468742200208e-01 -1.254387216906467095e-01 -3.004494356757874129e-01
4.000000000000000000e+00 -1.443906504579199002e+00 -7.139080877439833994e-01 -6.988539077780702158e-01 -4.879896633921469440e-01 -4.411317924298579496e-01 -7.443380476277942082e-01 -3.819203113498451096e-01 -3.729821842782815589e-01 -4.586789543449790174e-01 -7.354783649298052284e-01 -1.667525942783922188e+00 1.651092286379967147e-02 -3.374936877593366913e-01 -2.931982408697561548e-01 -7.765016190183825495e-01 -3.730636525776703238e-01 3.001880464630807613e-02 -5.363506518258950306e-01 -5.680259812939411068e-01 -4.375179440531776209e-01 -4.424468736841027927e-01 -5.239715589865041601e-01 -7.608738428267786125e-01 -6.427102357227779672e-01 -4.074907641510791545e-01 4.413771136566645992e-01 3.640601561958635157e-01 -4.455172643074791772e-01 -9.136567945092685106e-01 -2.010215880175547087e-01 1.589564383553700111e+00 -5.416373990761845780e-01 -4.863339810739085167e-01 8.197484795168834965e-03
5.000000000000000000e+00 4.072697556426011722e+00 3.311600748674179973e-01 5.420304691654628249e-01 1.422470279889704869e-01 3.645531037657406270e-01 6.034914380927667299e-01 1.334107101338452839e-01 1.551237718532444132e-01 2.734852201354759371e-01 -4.807561105144863012e-01 4.181842592529695146e+00 6.313014396664280714e-02 -1.567086765750674571e-01 2.386912394438101270e-01 -2.211142516168441430e-01 1.105297469362055973e-01 3.345250915781294299e-01 1.219369903937641553e+00 -2.061674429489528393e-01 3.007981316796584093e-01 -1.100843252267792866e-01 -3.980307739270182166e-02 5.134011007990981756e-01 3.677157406569279141e-01 -1.864657842346158917e-02 -9.480236436996377636e-01 -1.214890619619116929e+00 4.964939124168255558e-01 -8.839557269610594237e-02 4.797616405479572001e-03 -2.124336117229565501e-01 1.226077407503801120e-01 1.366126058071968741e+00 -4.275910229655398576e-01
6.000000000000000000e+00 3.887005463067465971e+00 3.757864254486074085e-01 5.919787828646496664e-01 1.276139750060163169e-01 2.428706132925517180e-01 5.468320260858186010e-01 5.432405320163994494e-02 2.809764922580692062e-02 2.124281690230880870e-01 -7.991193843224828064e-02 3.301240223387940986e+00 -3.230341916291647186e-02 1.027689488660034622e-01 6.127844746274339893e-02 -1.833997705358194064e-01 8.359695077080540881e-02 1.976810433541606460e-01 1.718428376680432246e+00 -2.063009600221564488e-01 -2.979424855443071896e-02 -1.734064163089100163e-01 -6.009316327967229726e-02 1.856658722165760445e-01 5.206651004686372319e-01 -2.417887331836332532e-01 -1.271374814542228338e+00 -1.316351369464470400e+00 -1.757163679166337256e-01 -1.537116276866027503e-02 -8.432494069355735145e-02 5.677187760800384703e-02 -3.314951448357347091e-02 1.381867801363596771e+00 -6.499902720124501876e-01
7.000000000000000000e+00 3.564827947455519563e+00 6.447138983364026910e-01 3.978609435312093212e-01 -1.203282004147110257e-01 1.716918842135240209e-01 4.657345679225691204e-01 8.987466431612951834e-02 -6.549659915262061316e-02 2.367903095311774397e-01 -3.358118563754780017e-01 3.929477500323113492e+00 -1.841970870956294859e-01 3.292741265417897106e-02 5.667088172573225835e-02 -3.080393703736038491e-01 -1.771677671248121089e-01 -7.596500311709308839e-01 1.452889425299889181e+00 -1.431683394345940885e-01 2.173574391608660561e-01 5.217142780613941849e-02 -1.816247444880449147e-02 2.525868856409340113e-01 6.496242537714083110e-01 -1.954543875033649680e-01 -8.369214280102347248e-01 -9.290239512626404794e-01 3.000892151715169320e-01 -2.282557448667500433e-01 1.264063664573472912e-01 -1.498811564807121521e-01 -9.071271000682193386e-02 1.236476472638851298e+00 -5.501954711872339976e-01
8.000000000000000000e+00 3.849115339915679446e+00 4.218994855518700127e-01 7.102807619005367945e-01 -4.836822881557385073e-02 -3.799339470541920893e-02 9.264897092886521801e-02 1.606682393223118621e-01 3.841637139193625899e-02 -6.317067395113551420e-02 -1.876714008457485428e-01 3.575410573135087589e+00 -7.911540565746535969e-02 -1.463433729604198263e-01 2.200843660853528116e-01 -1.888644714012422191e-02 -3.754590409519409366e-01 5.004818548243044063e-01 1.474444027149921288e+00 -3.079356728822147948e-01 2.053234093176092845e-01 3.882007394567743019e-01 -1.874864766452418591e-02 1.172313281701857640e-01 4.377103207120401351e-01 6.727718515421041157e-02 -1.218678011602108535e+00 -1.126497554699217973e+00 5.962744076014436789e-02 -7.589090020115404900e-02 1.012025268561774632e-01 -5.354703241674395597e-01 -4.747735168744873085e-02 1.089990807167575015e+00 -5.614244634456019289e-01
9.000000000000000000e+00 -4.295281305051523724e+00 -4.122492541357645757e-01 -4.638340259341312555e-01 -1.810230680232809142e-02 3.292932086935042302e-02 -1.329222145425125456e-01 -3.377639828466639238e-01 8.162723552110438818e-02 -1.702556604311933619e-01 3.201371944485588705e-01 -3.851284939606436808e+00 -3.953992245352916379e-02 2.762583853550400551e-02 -1.487330619077261995e-01 2.970508550715610929e-01 -1.183387244124252911e-02 -4.493902979168186707e-01 -1.354257022632054275e+00 -1.436135106011694473e-01 -5.758500701955868856e-02 -8.021905375152296735e-02 -6.170130864494460105e-02 -1.519645402375404686e-01 -6.896092965675109099e-01 2.391974029623041009e-01 1.337453732661645356e+00 1.178192850667305391e+00 -2.057429149907951532e-02 -1.044017721659873110e-01 -7.582986522122403539e-02 2.629255065799058211e-01 -1.204717888922290578e-02 -1.425668956239104723e+00 4.759553849294400063e-01
