x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.694065894508600678e-18 0.000000000000000000e+00 4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 6.776263578034402713e-18 0.000000000000000000e+00 -1.058791184067875424e-19 -2.710505431213761085e-17 1.694065894508600678e-18 0.000000000000000000e+00 -3.388131789017201356e-18 -1.694065894508600678e-18 4.235164736271501695e-19 4.235164736271501695e-19 8.470329472543003391e-19 0.000000000000000000e+00 -4.235164736271501695e-19 7.290963251234483754e-16 -6.776263578034402713e-18 0.000000000000000000e+00 0.000000000000000000e+00 -4.235164736271501695e-19 0.000000000000000000e+00 1.694065894508600678e-18 -1.058791184067875424e-19 4.235164736271501695e-19 5.421010862427522170e-17 -1.694065894508600678e-18 2.710505431213761085e-17 0.000000000000000000e+00 7.615412285659521647e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.470329472543003391e-19 0.000000000000000000e+00 -8.470329472543003391e-19 2.562199301660322874e-15 0.000000000000000000e+00 8.470329472543003391e-19 8.470329472543003391e-19 -8.470329472543003391e-19 0.000000000000000000e+00 0.000000000000000000e+00 3.388131789017201356e-18 4.235164736271501695e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 -8.470329472543003391e-19 0.000000000000000000e+00 2.763242016716853152e-15 -4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 8.470329472543003391e-19 0.000000000000000000e+00 4.235164736271501695e-19 0.000000000000000000e+00 -8.470329472543003391e-19 0.000000000000000000e+00 -4.235164736271501695e-19 0.000000000000000000e+00 4.235164736271501695e-19 0.000000000000000000e+00 -1.694065894508600678e-18 0.000000000000000000e+00 -8.470329472543003391e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.470329472543003391e-19 0.000000000000000000e+00 3.388131789017201356e-18 0.000000000000000000e+00 6.776263578034402713e-18 -4.235164736271501695e-19 0.000000000000000000e+00 6.943539168242616074e-15 0.000000000000000000e+00 -8.470329472543003391e-19 5.620425029385103245e-16
1.005102040816326481e+00 2.995710391178134091e-01 7.133446369693720313e-02 4.670886371319604019e-02 1.654307013408519086e-02 1.046680971102765950e-01 4.984602078052241536e-02 8.447241120085360877e-02 3.680417265206184507e-02 4.023401917416512957e-02 3.517812539288381335e-01 2.083198609409877278e-01 1.692215592110672961e-01 2.647570925236907707e-02 6.691254294725167140e-02 1.360947687493850033e-01 4.443611858050423857e-02 1.122243706380418732e-01 2.726532485961759983e-02 3.689800565194482906e-02 1.592046281378073913e-01 1.673868953509023150e-01 9.493974869963209620e-03 7.170661083889426357e-02 4.019317372575532954e-02 6.773307436974661255e-02 5.833321929057826843e-02 2.895930431286098880e-02 1.045205086975362074e-01 3.407090521439652513e-03 4.558718223653056290e-02 4.563170090044262744e-02 2.974486953712834197e-02 3.857522304935424168e-02 1.670554417754745516e-02 1.138970459291461512e-01 3.409221089396331783e-02 7.393592726206563159e-02 2.656649418013455957e-02 3.288308969333041953e-01 9.448180788196451907e-01 4.379584927660939986e-02 1.562964868389602191e-01 3.454565839504447622e-01 1.159918481925484579e-01 3.701699397210089781e-02 3.873065701466842092e-02 4.638493810323070926e-02 1.183314202909659801e-01 2.755365496882552535e-03 8.970615835991049836e-02 6.681454660850108529e-02 3.822809185306788593e-02 1.207004043445888963e-01 7.234093092499017941e-02 2.496039705039661827e-01 6.626958838562778398e-02 1.205082857678975577e-01 1.345285625447408158e-02 7.685289428336937456e-02 2.457753181062638792e-01 2.751415140921989813e-02 1.142142420418515783e-02 5.139244238438587381e-02 2.089768693899642094e-02 3.185496106796289334e-02 5.237362817833912665e-02 6.427630897845024172e-02 1.374486499867889344e-01 9.266869880185804598e-02 2.711764769258044258e-02 3.503683050167292340e-02 7.966063302531041501e-02 4.985829991130203559e-02 1.705824034026841990e-02 1.715541208385109040e-01 1.395251560347801900e-01 1.491718478153029603e-01 1.152790154062084682e-02 9.951802911796714390e-02 2.633571077707363983e-01 2.783528439627369622e-01 1.292135596352108617e-01 2.508886644000842686e-02 4.814418025015184538e-02 3.031749455958064887e-01 2.173661216337197111e-01 1.017364465490484399e-01 1.377028240843837688e-02 1.229014465753526797e-01 2.204888111755012176e-02 7.902441969587023149e-03 9.874757264617411989e-02 1.724735714769181499e-02 4.045413736741247657e-02 1.016379232480413008e-01 2.858894521993399218e-02 3.234583446405953078e-01 5.950885524851512454e-02 2.382608086188779672e-02 2.898980193543695960e-02
1.010204081632652962e+00 6.088917410753034165e-01 1.798911680875862895e-01 1.263581251517596205e-01 4.360439259425227809e-02 2.928550753694931785e-01 1.177147844724391185e-01 1.722177757626346395e-01 9.906759391729150210e-02 8.450427214834442535e-02 7.286119018543466552e-01 4.407981961169276652e-01 3.657103160526188335e-01 5.962044819848117544e-02 1.413368405324172128e-01 3.055303366637488471e-01 1.306864111796459671e-01 2.548477931454352086e-01 5.844501940540908907e-02 9.369495476418431001e-02 3.440542333216261017e-01 3.705212183206740284e-01 2.852612708554903495e-02 1.869725202302508216e-01 1.165019050749062229e-01 1.542877628833510817e-01 1.222915504387225016e-01 8.576439957917002255e-02 2.193161072675477163e-01 9.940137804980953354e-03 9.956834333841953211e-02 9.793106605825314948e-02 6.696874203634117784e-02 8.680789983615447292e-02 4.160316344185818055e-02 2.568605636512279466e-01 7.301317384281123812e-02 1.633231093555494451e-01 6.178296059336982338e-02 6.878047765498122024e-01 1.917365639745706396e+00 1.060033245425469756e-01 3.385411290925524064e-01 7.039012840230380874e-01 2.516034908964513983e-01 7.905928071467907547e-02 8.380256394662087549e-02 9.973783556012182083e-02 2.574902967313489888e-01 6.926169531391182174e-03 2.063822021091071546e-01 1.409829456516530910e-01 9.200224519737836004e-02 2.475749129633487144e-01 1.519437642878389561e-01 5.439256281238740165e-01 1.578857781782420089e-01 2.509281701236907303e-01 5.155397019570413103e-02 1.655872983113725883e-01 5.078569200555371754e-01 8.022710282829954853e-02 2.956959389800201121e-02 1.218482396484033559e-01 4.764879651038420733e-02 6.748401132327185026e-02 1.192597719367030490e-01 1.481739939987099242e-01 2.960107267041758861e-01 2.925488136720959531e-01 5.677977231546486869e-02 1.161874993434313386e-01 2.204814858775550057e-01 1.068144062275757922e-01 3.932626057393950186e-02 3.507721724879222513e-01 2.948133336476793098e-01 3.069686778913970904e-01 3.220268886384638346e-02 2.077228329516915550e-01 5.822988923986918142e-01 5.664123445344840801e-01 2.718820506199350895e-01 6.321270360672881505e-02 1.092708984449762000e-01 6.188767889073764072e-01 4.578942615152156170e-01 2.979022600400593190e-01 3.352856179584834395e-02 2.717428906001310707e-01 5.093276892823056512e-02 2.374074506348025637e-02 2.035611585394543066e-01 4.460511353185830918e-02 9.045507616821046870e-02 2.110420188459820601e-01 1.129014796991627406e-01 6.561891269264201743e-01 1.294475095893745376e-01 5.968070519375472810e-02 6.381953355294642249e-02
1.015306122448979664e+00 9.283174525936174204e-01 3.267300312496481118e-01 2.394423081523596453e-01 8.152225774576728201e-02 5.666084811886477057e-01 2.044299606376955014e-01 2.633044479859292797e-01 1.881508635397609319e-01 1.355856221703065911e-01 1.131260925668115869e+00 6.983452746279003032e-01 5.908880898061446008e-01 9.991454180951346575e-02 2.236112467213387800e-01 5.092437018717246300e-01 2.601945584686828350e-01 4.284216111669680305e-01 9.359458880215884569e-02 1.708415117865626498e-01 5.554664366975864409e-01 6.118370181117270823e-01 5.738437570592812287e-02 3.469870251619115442e-01 2.304516196077595058e-01 2.603717994333791808e-01 1.920390183939088835e-01 1.716274654882214146e-01 3.446097791896242102e-01 2.022993875267101518e-02 1.622050756582556208e-01 1.570799433768817754e-01 1.118490073682875952e-01 1.450097511370134762e-01 7.503924496848199399e-02 4.296622759528538893e-01 1.169073227529759396e-01 2.687014690894277691e-01 1.059851776481721686e-01 1.077871764677531985e+00 2.920752096739353654e+00 1.880881151589834932e-01 5.481841061521622871e-01 1.075792170691693084e+00 4.076349413568748359e-01 1.262933774877307846e-01 1.354388858817172914e-01 1.602321087056274018e-01 4.185969385074981841e-01 1.276485443086085303e-02 3.513660785101990203e-01 2.228905564801784145e-01 1.617562147598899935e-01 3.814414941274612558e-01 2.390440758953167599e-01 8.838176665243749897e-01 2.752095520926324812e-01 3.914868104268902638e-01 1.155989532573091366e-01 2.666551510351561904e-01 7.869544816798563769e-01 1.584918173269748431e-01 5.455317608316589961e-02 2.117396753289626510e-01 8.047873800087740337e-02 1.069351096759556946e-01 2.011972703220671621e-01 2.530503942784287363e-01 4.767071260416076983e-01 6.053742823875734036e-01 9.008858711873342362e-02 2.443191663996460705e-01 4.251904493493981474e-01 1.710196218421398406e-01 6.746839643620713978e-02 5.377850774071978313e-01 4.661527615408710412e-01 4.738234354691270300e-01 6.232712165062431059e-02 3.250269107981549888e-01 9.589735774907317545e-01 8.644082971293380879e-01 4.284966054353940290e-01 1.146025426261965546e-01 1.837838688388439834e-01 9.474029446363976259e-01 7.220528961153074299e-01 5.930385152267617643e-01 5.937036554716469683e-02 4.472303782567070285e-01 8.681298737886412875e-02 4.775956122593459641e-02 3.145832895468276824e-01 8.228703192011488365e-02 1.503476011103319632e-01 3.284064580340214090e-01 2.541135156513827376e-01 9.991430568032707571e-01 2.099899184623837955e-01 1.078450935061736754e-01 1.047454039491528544e-01
1.020408163265306145e+00 1.258185589533619142e+00 5.129332913889899093e-01 3.865590233116007468e-01 1.306305554979098615e-01 9.282296910163464476e-01 3.108064029026885722e-01 3.578053239705693556e-01 3.053728417839494669e-01 1.960842530945818285e-01 1.560584718894281631e+00 9.818966248953777676e-01 8.461688785233110188e-01 1.478188080756837885e-01 3.140823660797222305e-01 7.482437297892111649e-01 4.344237030129526334e-01 6.335569253434049086e-01 1.327768739926995512e-01 2.688151072018195586e-01 7.943969807535580241e-01 8.936707927753639868e-01 9.635607497136638999e-02 5.529594378928844867e-01 3.835501124329621092e-01 3.866856815693033300e-01 2.677507777898015529e-01 2.877425898483240707e-01 4.806544949613564266e-01 3.487033139719129121e-02 2.337683737207141843e-01 2.232590299648188059e-01 1.645734781597536778e-01 2.134926274438536664e-01 1.173502747197818913e-01 6.331011409134643664e-01 1.659246033470857806e-01 3.906149422177491171e-01 1.595044592731262867e-01 1.500043061714510184e+00 3.957967825012213670e+00 2.914512118640405491e-01 7.866649206244955561e-01 1.461577153392279227e+00 5.848791142921216935e-01 1.788817690684651740e-01 1.938673406261173515e-01 2.280591915409218018e-01 6.027592370013582501e-01 2.050921103010592064e-02 5.259819173158347683e-01 3.129245428398262918e-01 2.479353761150906998e-01 5.230818917575917881e-01 3.338872753242893010e-01 1.270222138327934402e+00 4.186528497130468374e-01 5.424411990411941442e-01 2.069452545130061050e-01 3.805097884617952286e-01 1.083855068212650874e+00 2.627173715486159078e-01 8.649035725002220121e-02 3.214797688838724188e-01 1.196056125094443895e-01 1.502708495645643516e-01 2.987230817976579411e-01 3.802130318739678216e-01 6.805741251081582899e-01 1.036820500781289622e+00 1.280824487662899080e-01 4.203966614989136374e-01 6.965138276877214096e-01 2.426421313112508138e-01 1.021143985107017260e-01 7.327365898308731973e-01 6.538810693720145117e-01 6.501547351559536780e-01 1.022041438247378864e-01 4.518504065732521502e-01 1.395578663659587715e+00 1.172568998775035176e+00 5.995746126087003747e-01 1.795050584934452520e-01 2.720868980685454686e-01 1.289065015456567931e+00 1.010362969842251157e+00 9.917332014103331650e-01 9.139802060268244210e-02 6.500815161933459763e-01 1.298551008889514413e-01 8.019956306776923616e-02 4.319610984206027626e-01 1.305240773834513701e-01 2.204795713885874531e-01 4.539564953481133869e-01 4.534889954140791102e-01 1.353233882306682068e+00 3.013336676483570065e-01 1.686029202179758490e-01 1.520240933622638291e-01
1.025510204081632626e+00 1.598817518462984477e+00 7.396246922801212875e-01 5.684266319955014746e-01 1.912629998925424735e-01 1.380340349421076418e+00 4.376604353159966876e-01 4.557983449897578532e-01 4.520261288230764118e-01 2.684503672313376943e-01 2.017535328036824449e+00 1.292422074566253576e+00 1.132972894154610888e+00 2.037780586264268667e-01 4.131085439389821645e-01 1.023630192895890412e+00 6.548837036510117837e-01 8.709360138034389909e-01 1.760629332000815950e-01 3.881290046169317831e-01 1.061852116865666273e+00 1.218287264251501467e+00 1.457324246949348312e-01 8.061388251782212189e-01 5.773098773481253332e-01 5.339310247898899631e-01 3.496150455356631936e-01 4.353036786258396296e-01 6.277365077300044449e-01 5.442142389651730139e-02 3.145421511150351401e-01 2.966501404057585445e-01 2.253430462417823354e-01 2.925722051584034311e-01 1.688664875099724627e-01 8.680156371894077738e-01 2.202221143801620373e-01 5.296175103573745879e-01 2.226712428591229309e-01 1.955400940050197711e+00 5.031897026740597134e+00 4.174399335166734670e-01 1.055426829738150385e+00 1.861696582032780656e+00 7.841294697606445707e-01 2.369846267499877701e-01 2.593227344282201807e-01 3.034312782064437775e-01 8.110838557069834920e-01 3.038364992957010013e-02 7.315561255746639846e-01 4.114772811178218359e-01 3.510037220643513756e-01 6.732455663272453039e-01 4.367312645090907774e-01 1.704187009985115075e+00 5.886875071567557738e-01 7.040808101596743862e-01 3.270300998204561660e-01 5.076102180369934658e-01 1.399431665065468566e+00 3.933791942937173713e-01 1.255111481924147676e-01 4.515307473402261906e-01 1.652422847291770414e-01 1.975692388886830242e-01 4.123789108560403927e-01 5.309308554314886575e-01 9.086748812317301249e-01 1.592604351083341641e+00 1.717408786875773419e-01 6.455070641970400702e-01 1.037222349684275624e+00 3.218696491814491689e-01 1.438633448521317859e-01 9.357843543204089620e-01 8.583899510685123468e-01 8.363697137487529076e-01 1.521401639551504537e-01 5.886247937002655473e-01 1.894394837625680506e+00 1.491122612419364390e+00 7.856653330001928115e-01 2.581870669623340664e-01 3.745888367033439192e-01 1.644191075790368384e+00 1.323404663689219607e+00 1.498717183290691368e+00 1.297224711184072898e-01 8.810346396132853197e-01 1.802313529263311342e-01 1.213005704812048502e-01 5.558477367844315564e-01 1.895675368421615714e-01 3.012062654975551923e-01 5.879508300408063937e-01 7.124091294958357912e-01 1.719342115451734987e+00 4.037031136681674681e-01 2.422444192812502617e-01 2.059153894433118082e-01
1.030612244897959107e+00 1.950520449213339447e+00 1.007989468152427071e+00 7.859037182550961953e-01 2.637573900554813222e-01 1.925955903879852826e+00 5.858204707381101661e-01 5.573670301260593707e-01 6.293929290297556323e-01 3.549909350240419981e-01 2.503169379075380618e+00 1.630935104128841795e+00 1.452741029095104386e+00 2.682246119000108453e-01 5.210635108424115369e-01 1.336614147625118099e+00 9.231597673959712758e-01 1.141324329276825811e+00 2.235329521558440391e-01 5.293417732078773419e-01 1.358901655136099285e+00 1.587906092173651418e+00 2.058129749889836546e-01 1.107834299097290254e+00 8.132712196015866590e-01 7.028190605856964313e-01 4.378351492378269594e-01 6.155230198178469614e-01 7.861788686635414747e-01 7.941279638065507074e-02 4.048268936005407492e-01 3.774384970308365950e-01 2.943744354072459490e-01 3.825717362539852173e-01 2.299155412735126025e-01 1.135296444873884480e+00 2.799657970435668886e-01 6.862793745672157719e-01 2.958187310068699505e-01 2.445109172187053925e+00 6.145330849970636500e+00 5.673592514519556484e-01 1.355931830524576220e+00 2.276585880481682533e+00 1.006187749906283013e+00 3.007615300686694026e-01 3.320495782773270621e-01 3.865842493370221788e-01 1.044687783047675733e+00 4.260045436800920238e-02 9.694340763543836115e-01 5.189499126303286358e-01 4.714510869828302808e-01 8.326536516792775178e-01 5.478492028134508418e-01 2.186883580291259843e+00 7.858546680357464398e-01 8.767304157284113719e-01 4.773915076851750761e-01 6.484254568643639249e-01 1.734652767205755008e+00 5.510300529076075371e-01 1.717597886610814639e-01 6.024130425717300064e-01 2.175984419640583367e-01 2.489245839665447935e-01 5.427179827812225188e-01 7.064456374053864618e-01 1.162111491471914615e+00 2.278590679145386488e+00 2.219895298732337263e-01 9.208860374719110009e-01 1.450179599787696283e+00 4.089122246328810717e-01 1.932875175219657959e-01 1.147101060490063773e+00 1.080130186273622339e+00 1.032866908752137380e+00 2.124484501584789631e-01 7.357967331875526762e-01 2.457821698028841872e+00 1.820298569641810360e+00 9.873558607409651522e-01 3.509401511757360703e-01 4.917085938236901987e-01 2.013128059271411807e+00 1.661824464516747479e+00 2.118967838855688068e+00 1.744651359935620594e-01 1.140858114796360345e+00 2.381231467670959778e-01 1.713046955972855057e-01 6.864038248236664641e-01 2.596924451465689732e-01 3.928948512040098540e-01 7.306842065492957783e-01 1.032403309245887968e+00 2.098318743920856821e+00 5.173526841655405883e-01 3.290705259869332044e-01 2.666849053711591866e-01
1.035714285714285809e+00 2.313589346862626961e+00 1.319295418759804939e+00 1.040010910439738590e+00 3.484599353090845342e-01 2.568568574040984043e+00 7.561380508021195990e-01 6.626010440297616100e-01 8.387614037060512340e-01 4.578827015280041990e-01 3.018657799408131392e+00 1.998502581222782126e+00 1.806949844649182513e+00 3.415818312799709378e-01 6.383402121758794401e-01 1.688540039288342953e+00 1.240942915220480502e+00 1.445583254161559195e+00 2.752771905410568709e-01 6.930673049797854146e-01 1.686692829524111037e+00 2.004729695990657756e+00 2.769102682541671467e-01 1.459436082585427119e+00 1.093026393367547033e+00 8.940793326925609019e-01 5.326317155568285333e-01 8.296506985168159432e-01 9.563452083468962917e-01 1.103466947982233992e-01 5.049434852371321725e-01 4.658150581021137104e-01 3.719030798061678245e-01 4.838258771209822395e-01 3.008262338164878757e-01 1.435899660487605090e+00 3.453321858439024616e-01 8.611933176032724457e-01 3.792866101839723059e-01 2.970423978446217195e+00 7.300980969217101268e+00 7.424834695255025929e-01 1.689676304167971210e+00 2.706678223284324503e+00 1.251871849777790979e+00 3.703731999143807241e-01 4.123048062337170139e-01 4.777808246499876121e-01 1.304710319405995245e+00 5.736102123792446300e-02 1.240997535272408081e+00 6.357560672390002443e-01 6.098006802264844817e-01 1.002002981517913893e+00 6.675324027565567864e-01 2.719625036511937655e+00 1.010774818251759744e+00 1.060753100989544784e+00 6.596931878605786226e-01 8.034389569914925922e-01 2.090593202782456750e+00 7.363120128495980188e-01 2.253972873657926479e-01 7.747149746676995630e-01 2.768826463813139349e-01 3.044484911833829632e-01 6.903120164586497021e-01 9.079835714122548307e-01 1.442037728085617587e+00 3.100906939617126046e+00 2.797051641928622878e-01 1.247946490743955694e+00 1.938393568776540121e+00 5.040052414762672406e-01 2.509362763126725682e-01 1.366875714835532607e+00 1.319617096558861391e+00 1.240039176975314295e+00 2.834526712593619102e-01 8.938321347586598575e-01 3.088415792329463283e+00 2.160329021819312967e+00 1.205277495895389794e+00 4.580854723075851176e-01 6.238802480688985241e-01 2.396244274128971785e+00 2.026342608864623696e+00 2.857822668841735858e+00 2.257598252950235307e-01 1.430359841336847238e+00 3.037235895176342293e-01 2.304595263990300846e-01 8.237989437881940713e-01 3.412013664147645620e-01 4.959290182331966279e-01 8.824902913612845401e-01 1.415182274088855108e+00 2.490988976096601082e+00 6.425703814727606877e-01 4.293970862425802726e-01 3.346069002850124985e-01
1.040816326530612290e+00 2.688308871763260832e+00 1.674915427569972692e+00 1.331955710106895951e+00 4.457296770643434103e-01 3.312242700074013335e+00 9.494994187624905546e-01 7.715968063318231485e-01 1.081442644873025882e+00 5.791856053882121769e-01 3.565296458717932104e+00 2.396254952325761689e+00 2.197127192512940752e+00 4.242677018216430840e-01 7.653548593136096923e-01 2.080910008638801934e+00 1.610062850380238553e+00 1.784683822760314564e+00 3.313969728948306104e-01 8.799855411315626874e-01 2.046465159713156012e+00 2.470972416588327558e+00 3.593546697099597731e-01 1.862437614224559557e+00 1.418245065988215980e+00 1.108468657155945003e+00 6.342450260226669689e-01 1.078995113174674447e+00 1.138643836179857205e+00 1.477012323503764935e-01 6.152372504405463349e-01 5.619789025756650735e-01 4.581861613732229332e-01 5.966846262765164166e-01 3.819322840049262924e-01 1.770860709342514161e+00 4.165102359623849559e-01 1.054981309897129238e+00 4.734248733874041881e-01 3.532705596307095242e+00 8.501493791682165124e+00 9.440683273383397855e-01 2.058207448430107611e+00 3.152407268378246918e+00 1.522023869009538899e+00 4.459832532368286362e-01 5.003606205282278285e-01 5.773139904718272986e-01 1.592325586906383927e+00 7.485709555028355333e-02 1.547683003890083286e+00 7.623257900823756650e-01 7.666170244551352431e-01 1.181970231981744446e+00 7.960933843223741979e-01 3.303886468687028621e+00 1.264158620132482369e+00 1.256553513143832124e+00 8.757543466313764124e-01 9.731531441171461516e-01 2.468446397754947785e+00 9.499696353675852745e-01 2.866041377721869066e-01 9.691033098682236835e-01 3.433043874478655666e-01 3.642710018033549213e-01 8.557584551803743000e-01 1.136767126378649184e+00 1.749672588779154436e+00 4.066068282108404652e+00 3.457206923510886543e-01 1.628310263382101830e+00 2.505072215556348514e+00 6.074126582623565751e-01 3.173399592181075368e-01 1.595315053421326734e+00 1.577436522996528367e+00 1.458276669031932871e+00 3.654906195366251498e-01 1.063220455592712499e+00 3.788931585250114420e+00 2.511450351401898651e+00 1.440112606371166004e+00 5.799788260341495194e-01 7.715582941372254311e-01 2.793932073344947753e+00 2.417760983309544365e+00 3.721105900626776375e+00 2.837547368914843382e-01 1.750397029363992996e+00 3.772401235529603269e-01 2.990213727645968378e-01 9.682131838251542000e-01 4.344285886121420082e-01 6.107138184967090266e-01 1.043744868213669186e+00 1.862674227711375030e+00 2.898156056516874024e+00 7.796815378052096568e-01 5.435591691181116403e-01 4.099672261061005907e-01
1.045918367346938771e+00 3.074955356794484729e+00 2.076351851578285945e+00 1.663161136022111686e+00 5.559430454874361160e-01 4.161726219032201968e+00 1.166837761757238523e+00 8.844581500264779850e-01 1.358788436442848413e+00 7.208567299151702468e-01 4.144517867645469700e+00 2.825396979563217226e+00 2.624868603966681313e+00 5.166984609113360882e-01 9.025512447717766173e-01 2.515410976287889344e+00 2.032523935453615316e+00 2.159721653564618205e+00 3.920057330996031819e-01 1.090854101627158457e+00 2.439566524406847403e+00 2.988891322856674027e+00 4.534994473648964464e-01 2.318459005169064113e+00 1.790701482741255290e+00 1.346780424405799925e+00 7.429375718433767206e-01 1.364944905393252972e+00 1.333532216434913265e+00 1.919336116543285953e-01 7.360822618849863774e-01 6.661396932028881279e-01 5.535058443664433447e-01 7.215174050710360110e-01 4.735762034589549030e-01 2.141309147286767800e+00 4.937032440405955125e-01 1.268301422397137390e+00 5.785977784156897119e-01 4.133430588410915263e+00 9.749465422154660388e+00 1.173363607853834090e+00 2.463140654470429958e+00 3.614209960565350599e+00 1.817518397581257883e+00 5.277599912822903416e-01 5.965074919349537819e-01 6.855107584579176461e-01 1.908755670588764275e+00 9.527200277902264647e-02 1.891001199882609729e+00 8.991097084968163733e-01 9.425144119523868325e-01 1.373216222023147415e+00 9.338691200710154128e-01 3.941326719995300376e+00 1.546818749471127852e+00 1.464581380067506045e+00 1.127585724154555491e+00 1.158094099599984883e+00 2.869538325923159494e+00 1.192864727910236899e+00 3.555832561811248516e-01 1.186334915945867818e+00 4.170761425373641917e-01 4.285418775450722806e-01 1.039688026831284251e+00 1.394027225906690148e+00 2.086314827624922597e+00 5.181116040141521495e+00 4.208303190750962708e-01 2.063843665653132042e+00 3.153684165091374503e+00 7.194305400254672467e-01 3.930138369135692811e-01 1.832645122778815860e+00 1.854251423793628728e+00 1.687969877488422643e+00 4.589181550789750430e-01 1.244479276737659124e+00 4.562366131928007107e+00 2.873904756849182007e+00 1.692602068871272625e+00 7.170160154890463655e-01 9.352230699115672286e-01 3.206610709520585356e+00 2.836971572675315301e+00 4.715272043031140115e+00 3.486145572391049496e-01 2.101886338125878773e+00 4.588972729954979846e-01 3.772586025650021546e-01 1.119838761241048308e+00 5.397448008907235195e-01 7.376807669993772354e-01 1.214869398969878445e+00 2.377064739087560774e+00 3.320605180981361038e+00 9.290528767509415031e-01 6.719155235111774482e-01 4.930664289234116815e-01
