x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.694065894508600678e-18 -1.694065894508600678e-18 0.000000000000000000e+00 1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.216468408349541771e-16 0.000000000000000000e+00 0.000000000000000000e+00 -1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 -1.694065894508600678e-18 0.000000000000000000e+00 -1.694065894508600678e-18 0.000000000000000000e+00 -8.470329472543003391e-19 0.000000000000000000e+00 0.000000000000000000e+00 -1.694065894508600678e-18 6.213695908428826446e-16 -1.694065894508600678e-18 1.694065894508600678e-18 -1.694065894508600678e-18 8.104971469747305340e-16 7.411825129216780899e-16 0.000000000000000000e+00 8.470329472543003391e-19 -8.470329472543003391e-19 1.694065894508600678e-18 -1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.694065894508600678e-18 1.694065894508600678e-18 0.000000000000000000e+00 -1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.470329472543003391e-19 0.000000000000000000e+00 0.000000000000000000e+00 1.694065894508600678e-18 1.694065894508600678e-18 0.000000000000000000e+00 -1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 -1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.470329472543003391e-19 0.000000000000000000e+00 0.000000000000000000e+00 1.694065894508600678e-18 0.000000000000000000e+00 -1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.470329472543003391e-19 1.694065894508600678e-18 1.694065894508600678e-18 0.000000000000000000e+00 8.470329472543003391e-19
1.006122448979591910e+00 3.000441314065861384e-02 3.962494152604070091e-02 3.305971692273947798e-02 3.622433121278301887e-02 5.800315108822830246e-02 2.998558774512749894e-02 4.110088390879001324e-02 3.919708685512920954e-02 3.773819993026853586e-02 5.483317151920975852e-02 4.322391308385702124e-02 3.620199775367462930e-02 3.181922251356550380e-02 3.209579676784025254e-02 4.418855884120321403e-02 4.423970501894617519e-02 3.739882722855276953e-02 4.538263731884308733e-02 4.032765410027496639e-02 5.610150172753902015e-02 2.976891977505511169e-02 2.969704143184986531e-02 2.250940977300645157e-02 3.145248775991766471e-02 4.465269315919737775e-02 4.824810118189344632e-02 2.142562383482114058e-02 7.352444411928878154e-02 3.397348383753763523e-02 3.176903060057677253e-02 2.603431026941479057e-02 3.017195166097961373e-02 5.171446056382953543e-02 2.890600998854846518e-02 3.481504505051228465e-02 3.587287739712582274e-02 3.774378946566032261e-02 2.429798158571522954e-02 3.893835085305851623e-02 3.858981767079641689e-02 4.708996754776920146e-02 4.387423629532800212e-02 3.619291991621627347e-02 3.891295861738271189e-02 3.385350748418048533e-02 2.211866048241682009e-02 2.617115600156226518e-02 3.431901853420888521e-02 2.413232123560664355e-02 6.419294182471949051e-02 3.699447046264129485e-02 4.204988711887002600e-02 3.516401286791157738e-02 4.348027788749020406e-02 4.008789704183383235e-02 6.117481528482098668e-02 5.595837887063490057e-02 3.036377205141749247e-02 4.566953943875126654e-02 4.337868298977267528e-02 4.830932768644264491e-02 5.155281991267088998e-02 4.040188982480721891e-02 2.639168935124447737e-02 2.844772669123455180e-02 4.183050363048268494e-02 2.697412102729173158e-02 3.228098999197924479e-02 3.494624443275554798e-02 4.023685134924089718e-02 3.348812236388572228e-02 4.632387387800925016e-02 3.965939453974263312e-02 3.674111598348241137e-02 4.407561258181887098e-02 4.609395814084070453e-02 4.932395718654070810e-02 3.829762103271672907e-02 3.794256153136977422e-02 4.634003079236129891e-02 4.334847400783691657e-02 4.064924433644732243e-02 2.701471063595938665e-02 3.374250735964511722e-02 3.686368973560976564e-02 3.971014970820745810e-02 3.059309948243979158e-02 3.205891513510657903e-02 3.878184631037748242e-02 4.503575483349836484e-02 4.372098445773457687e-02 4.086809734517572040e-02 4.497594356453502723e-02 4.270488151302725272e-02 3.532089611119571676e-02 2.621004419642767799e-02 2.356572755510808262e-02 2.958819927268505762e-02 2.843068423395011743e-02 4.603166116647323947e-02
1.012244897959183598e+00 6.434263370592308018e-02 8.555276154239668807e-02 7.201194451233762506e-02 7.836654542631076026e-02 1.233258127933675591e-01 6.553129951788354279e-02 8.636015680301337150e-02 8.331874564841811048e-02 8.037652597321109926e-02 1.151208419781480780e-01 9.178050380727367785e-02 7.654674684929753392e-02 6.822681767041210987e-02 6.921281064326191557e-02 9.582487854497531710e-02 9.503153837767486234e-02 8.064811940390455292e-02 9.905957424037413472e-02 8.736963205908843122e-02 1.181694375089356458e-01 6.453264685713461235e-02 6.389539826179957416e-02 4.953145595800002160e-02 6.692843805909837185e-02 9.505482545497447033e-02 1.025810964186517210e-01 4.691848845365356735e-02 1.522138732515233572e-01 7.207622802156833652e-02 6.748503310560145796e-02 5.549176135306956720e-02 6.412801859306949126e-02 1.088101360079061636e-01 6.279395009922217330e-02 7.412062794892118611e-02 7.617707841174542471e-02 8.215880604465553017e-02 5.213424589157938938e-02 8.213639917337604845e-02 8.415024352479627545e-02 9.895001860540596217e-02 9.336984872238733579e-02 7.787205172575621670e-02 8.274422476946964589e-02 7.265747049600561336e-02 4.780871111921170674e-02 5.671394931697799902e-02 7.381829132757958267e-02 5.202903216513724005e-02 1.349766240427184849e-01 7.813006187622889565e-02 8.852120758505460651e-02 7.510718317460923776e-02 9.254983515231257618e-02 8.463709785081401094e-02 1.294393581059820608e-01 1.182053310884560726e-01 6.856120739492720106e-02 9.689846954218631070e-02 9.126331373976109829e-02 1.029415380154508619e-01 1.100205914401806429e-01 8.602295162479176027e-02 5.651158499703107935e-02 6.343830542741428491e-02 8.992029997667447261e-02 5.880758629487881084e-02 6.823593642766831446e-02 7.742498614249440636e-02 8.713063353389384480e-02 7.195603879420531257e-02 9.921793062319197998e-02 8.347922779736573207e-02 7.813186157892844375e-02 9.320877603546005863e-02 9.819513869405924189e-02 1.042997465887843395e-01 8.290051781820939603e-02 8.065519198890391817e-02 9.941070741589207171e-02 9.210894857139967362e-02 8.548189246011332620e-02 5.886298396427960822e-02 7.248228231263771637e-02 7.735989879182603168e-02 8.326777348491717912e-02 6.778508405818405025e-02 6.859018428078716978e-02 8.248006355684754654e-02 9.443251136796181056e-02 9.254433928775882001e-02 8.658924462886062601e-02 9.687605049540522206e-02 9.138261071140332814e-02 7.414314380172438990e-02 5.811643575220218350e-02 5.079185762860265879e-02 6.281957764099245500e-02 6.178098485503958487e-02 9.591522148291910244e-02
1.018367346938775508e+00 1.033244924155757444e-01 1.381942023760139582e-01 1.171476722054375641e-01 1.268120518368779093e-01 1.963697777022636592e-01 1.070545836437695464e-01 1.360262016688227604e-01 1.326647969671146954e-01 1.281712159780087346e-01 1.812312770093027492e-01 1.460511497574735751e-01 1.213504469324462876e-01 1.095190391405155700e-01 1.116479382157957584e-01 1.553630141470788983e-01 1.527245880135764122e-01 1.301028149753352403e-01 1.615342285114225729e-01 1.415294757215258270e-01 1.866271331309469483e-01 1.046674316924838949e-01 1.028683242890003346e-01 8.132048446544602738e-02 1.066836958070391389e-01 1.515826005899056361e-01 1.633766107127146427e-01 7.671655458301765429e-02 2.364623938241465495e-01 1.145914347504907171e-01 1.073955096408494431e-01 8.859821682130780696e-02 1.021163408761255470e-01 1.716323649695413733e-01 1.019488262984280386e-01 1.181729821142568915e-01 1.211987679363221576e-01 1.336568850751351234e-01 8.374849619718725824e-02 1.298467925007877888e-01 1.371015482506412753e-01 1.558616729559648417e-01 1.488633336933825602e-01 1.253826114356235699e-01 1.318138362617272685e-01 1.167159662521874142e-01 7.727301506076847404e-02 9.189384397429699314e-02 1.188340361028541736e-01 8.392061765199929080e-02 2.128232631454588242e-01 1.236980989608728043e-01 1.397063082313314830e-01 1.201901432534670799e-01 1.475471678480701765e-01 1.339270754913775563e-01 2.052498629026129062e-01 1.871663263115607156e-01 1.150310499211148196e-01 1.540203668652331270e-01 1.439326618340054653e-01 1.642757551722751341e-01 1.758011938886923642e-01 1.371517474750406917e-01 9.058768828033474108e-02 1.053334504857873499e-01 1.446951053105739182e-01 9.586079631843767712e-02 1.081261604205149690e-01 1.279607724047599482e-01 1.410999968617796807e-01 1.156926420175122400e-01 1.591194840147275580e-01 1.317354588279976979e-01 1.245118273862872577e-01 1.477014300923987500e-01 1.567160146459669334e-01 1.653348836874974914e-01 1.342157107320784692e-01 1.284713025222990190e-01 1.596332682915226342e-01 1.466647041564564102e-01 1.348104870750523598e-01 9.581090318591312105e-02 1.165414981848483661e-01 1.217270387840483775e-01 1.309073192389549334e-01 1.119782367050130983e-01 1.098722620782550674e-01 1.313726327632120383e-01 1.484479408187502902e-01 1.467881590613044351e-01 1.374667175855696366e-01 1.561649790651594705e-01 1.464090828782949327e-01 1.167001460363260301e-01 9.604294374233360299e-02 8.186704355425825086e-02 9.991186457078252148e-02 1.003563718586318321e-01 1.499488285004834942e-01
1.024489795918367419e+00 1.472616130751325803e-01 1.979613416478074595e-01 1.687614554824586888e-01 1.819473530547544848e-01 2.775502655485249659e-01 1.549686280104894953e-01 1.903581419704978572e-01 1.875415153943197910e-01 1.813862857658572747e-01 2.535460442753626475e-01 2.064234486697150150e-01 1.709343178890776749e-01 1.559944003638270016e-01 1.597014716303302440e-01 2.232597124241000874e-01 2.176761057135012389e-01 1.861213710825447842e-01 2.333097215308797823e-01 2.032134839783538149e-01 2.619097868851859578e-01 1.505466714039030429e-01 1.468923643370684817e-01 1.181303664284730076e-01 1.509793291213967492e-01 2.146190848702907161e-01 2.310223135029262631e-01 1.110571693253453729e-01 3.266883782445653694e-01 1.618076177835490181e-01 1.517542244301913479e-01 1.255824210989427980e-01 1.443909969137810445e-01 2.405395357651979871e-01 1.466569966050124685e-01 1.672353090349896765e-01 1.712303647352287350e-01 1.926520598662340711e-01 1.193819320220756292e-01 1.823306706424517865e-01 1.978661326226442418e-01 2.181193082725354782e-01 2.107368419523223124e-01 1.790729649337486629e-01 1.864471824068394401e-01 1.663365860594913370e-01 1.107167507676161122e-01 1.319781585998792695e-01 1.697050485849888879e-01 1.200400824974108410e-01 2.982200887914339127e-01 1.739966745964652561e-01 1.959083758620299986e-01 1.707755232667534651e-01 2.088198251684504070e-01 1.882457950905344901e-01 2.890751541771505728e-01 2.632769041777473507e-01 1.702059210827292779e-01 2.173777033847238416e-01 2.016775712299524181e-01 2.326994873090977856e-01 2.493029945429442173e-01 1.940873702822255853e-01 1.288506215057949045e-01 1.544929778411149868e-01 2.065831966374942208e-01 1.384913267167462714e-01 1.522188930383875094e-01 1.870696634421975257e-01 2.025646693158892897e-01 1.649925946032906043e-01 2.264713917692161016e-01 1.847134281351753282e-01 1.762232070999711353e-01 2.078660829569860813e-01 2.220747903134069057e-01 2.328450308704959892e-01 1.926515802876321848e-01 1.817292444120473249e-01 2.274335910976011399e-01 2.074056110954114185e-01 1.889552680790443362e-01 1.381261879141485183e-01 1.662452945052614872e-01 1.702131617904584782e-01 1.828752914417396402e-01 1.635705555545436118e-01 1.561885772881751733e-01 1.857446453880614023e-01 2.073541823627496894e-01 2.067789253820210005e-01 1.938116396606734682e-01 2.233102362762054427e-01 2.081667944195498554e-01 1.632336228359160535e-01 1.403118873551101597e-01 1.169834934762356143e-01 1.410891809474041081e-01 1.444627080344063896e-01 2.084454700599195354e-01
1.030612244897959107e+00 1.964699927998971585e-01 2.652709171597722460e-01 2.271539415946212115e-01 2.441632089103413228e-01 3.672997339567237729e-01 2.096855546459428232e-01 2.496281712036127476e-01 2.482642033346000310e-01 2.402958322333213770e-01 3.324634297370214209e-01 2.732945480218579859e-01 2.256272832342129664e-01 2.079560508682522235e-01 2.136796632020427911e-01 2.999782919969680162e-01 2.902547375093788573e-01 2.490688001747959623e-01 3.148929609126649432e-01 2.728341518104123176e-01 3.444683559307405440e-01 2.025437409607352968e-01 1.962497213459312440e-01 1.602165407706537537e-01 2.000838856252311060e-01 2.845575057453227363e-01 3.059194912449635373e-01 1.501789433222862347e-01 4.233385390794659475e-01 2.140210668450495679e-01 2.008234853232470085e-01 1.666778462413119333e-01 1.912143350849590528e-01 3.159063674095089480e-01 1.972084976497791853e-01 2.215801043123332148e-01 2.265730788887282132e-01 2.595641626349418640e-01 1.592791956709006529e-01 2.398599052113372931e-01 2.668722350129558718e-01 2.860328707154844441e-01 2.793813613622905812e-01 2.392975410078760357e-01 2.469776860589594780e-01 2.218329877431083619e-01 1.483491587276545842e-01 1.772383463640326562e-01 2.267755166909336262e-01 1.606249614961773042e-01 3.916738412093010435e-01 2.293332310573343302e-01 2.574443009208394750e-01 2.272308963339926269e-01 2.767276129614207880e-01 2.478922179170617857e-01 3.814008258057177136e-01 3.469863744128373617e-01 2.345157141376618681e-01 2.873248089003664907e-01 2.648037305345026238e-01 3.086120000127289820e-01 3.309485695617733758e-01 2.571423681494337532e-01 1.715354783215472245e-01 2.112777872535601398e-01 2.760189623451814178e-01 1.870567405162680830e-01 2.007896234787926448e-01 2.552630019219788160e-01 2.719488594718021957e-01 2.201590215944633500e-01 3.017259302606297156e-01 2.427104452541624380e-01 2.336134505002959161e-01 2.740286820825820757e-01 2.946989358182703911e-01 3.072575601665369360e-01 2.586212412334271682e-01 2.407751480628762542e-01 3.032457434195514057e-01 2.747315413271239626e-01 2.482469198284146528e-01 1.860804168175665407e-01 2.219244896927880795e-01 2.230782345458630356e-01 2.394326410965834373e-01 2.229588325718686870e-01 2.078300310686343189e-01 2.458907229188304622e-01 2.714405623289938840e-01 2.728542976466698522e-01 2.559456759558056960e-01 2.987861170478393613e-01 2.770482610769575693e-01 2.139957306252279479e-01 1.912467895051867262e-01 1.563386286537636338e-01 1.865840740919560148e-01 1.944087216013325459e-01 2.717362202255673709e-01
1.036734693877551017e+00 2.512727633821052464e-01 3.405478499127700398e-01 2.926345302793582626e-01 3.138579929049395978e-01 4.660720080965614631e-01 2.716197792008281375e-01 3.141241033344648881e-01 3.151599547800216228e-01 3.051865054768230223e-01 4.184021838793977599e-01 3.470747472461093719e-01 2.857688756725389467e-01 2.657142988516402737e-01 2.738974564493642516e-01 3.859927606874491435e-01 3.708439900009609103e-01 3.193199051412112799e-01 4.067989276716846292e-01 3.508138182420322271e-01 4.347738013323237394e-01 2.610349709051519307e-01 2.512307824837221037e-01 2.078381540550885143e-01 2.542758284322578222e-01 3.618048085194348062e-01 3.884869269755140686e-01 1.943237122346390122e-01 5.268925016479524270e-01 2.715385087512681150e-01 2.548766193115707956e-01 2.121246653615826427e-01 2.428595152144221170e-01 3.981275115147570043e-01 2.538994952146101380e-01 2.814916687147908103e-01 2.875396528411951480e-01 3.348226712060394794e-01 2.036904470992764726e-01 3.027195230369679191e-01 3.445578722009947636e-01 3.599308486472194146e-01 3.552001310538620005e-01 3.064199353772423251e-01 3.137496810962178695e-01 2.835276140530642031e-01 1.903854010443762901e-01 2.279524221130714012e-01 2.903980186560104482e-01 2.059194707805975522e-01 4.937157037635045431e-01 2.900273627560987499e-01 3.246478269366940284e-01 2.899319322354295125e-01 3.516460700887854562e-01 3.131790190535951313e-01 4.827337743389693014e-01 4.387618145217322407e-01 3.083910832360146070e-01 3.642310672272736083e-01 3.336347274683429953e-01 3.924279417443374274e-01 4.211787279705077602e-01 3.266459405711118480e-01 2.188837892883190583e-01 2.760529787255907586e-01 3.534466893303334634e-01 2.419175559029273503e-01 2.541246527373398623e-01 3.330513153385736280e-01 3.496848451004175851e-01 2.815064156530857620e-01 3.853489595203700713e-01 3.060386201723457322e-01 2.970380901691043185e-01 3.465317384042805871e-01 3.750289853974018706e-01 3.890154180952865581e-01 3.325461214511659658e-01 3.059659793320155252e-01 3.875157635183537619e-01 3.490560669064081689e-01 3.130295615242333351e-01 2.399513735036998552e-01 2.839184742054812749e-01 2.805966407195629730e-01 3.008574162347975034e-01 2.905418410596541379e-01 2.650976939592714077e-01 3.121176139266158556e-01 3.410166159129618402e-01 3.453661297012333709e-01 3.242039463286824352e-01 3.830779080400125713e-01 3.534597032881285905e-01 2.692513799263832053e-01 2.491751529458452463e-01 2.001368479438289660e-01 2.366397260078790810e-01 2.505086166014171556e-01 3.401738792806717204e-01
1.042857142857142927e+00 3.120031726184287479e-01 4.242290083180871862e-01 3.655241995593080384e-01 3.914412836266301654e-01 5.743467900866953135e-01 3.411915753306453136e-01 3.841521838672523614e-01 3.885706458630737159e-01 3.763601822782478568e-01 5.118056586408250563e-01 4.281914274457767622e-01 3.517124091916654649e-01 3.295893108499999280e-01 3.406814185543719509e-01 4.817922214340267795e-01 4.598459802985969680e-01 3.972627549372063083e-01 5.095552146327965160e-01 4.375885683705745266e-01 5.333217596915905689e-01 3.264028054801640377e-01 3.121368375350048741e-01 2.612603217291330493e-01 3.138461875231786657e-01 4.467855224697597216e-01 4.791651472110788346e-01 2.437386029806029586e-01 6.378679614774346307e-01 3.346800039879680444e-01 3.142006800683591616e-01 2.621718784198139862e-01 2.996133025046440190e-01 4.876215349821000355e-01 3.170348866996832715e-01 3.472688402604863778e-01 3.544573458172545211e-01 4.188708566446830428e-01 2.528735946477148611e-01 3.712103469614718154e-01 4.313750653392703360e-01 4.401635566625926033e-01 4.386123325160643516e-01 3.808162459107617970e-01 3.871215239760851246e-01 3.517546113105374239e-01 2.370485582551504766e-01 2.844075690589179528e-01 3.609367440148427697e-01 2.561768308514817960e-01 6.049067535294624376e-01 3.564138832642366750e-01 3.978730398988834516e-01 3.592658036439809188e-01 4.339702713543142076e-01 3.844355585018441879e-01 5.936071530258315576e-01 5.390924207435658921e-01 3.922670564797627324e-01 4.484843906509991540e-01 4.085154405844904080e-01 4.845812702017686657e-01 5.204568985871391718e-01 4.029474600818261920e-01 2.711456266353677869e-01 3.491911380998756198e-01 4.393246364552489402e-01 3.034404069756856392e-01 3.125238931120574715e-01 4.209483885719836338e-01 4.362167878185946868e-01 3.493637989807650279e-01 4.778244387172721486e-01 3.750279841626521504e-01 3.668637772610918724e-01 4.257377513844151640e-01 4.635226520610047363e-01 4.785813518603313499e-01 4.148597905034089872e-01 3.776728566069199045e-01 4.807057180557334775e-01 4.308105031481354041e-01 3.836640267671928006e-01 3.000255436721204760e-01 3.525783220108560934e-01 3.430599532813953800e-01 3.674477208016390661e-01 3.667236606754724626e-01 3.283057425404167784e-01 3.847470029378753376e-01 4.164154666260059257e-01 4.246837553228898221e-01 3.989381994617162697e-01 4.766864129403240447e-01 4.378250533673006539e-01 3.292807876663775835e-01 3.144313897430438542e-01 2.485914206851299046e-01 2.915123683299841173e-01 3.130848522439368398e-01 4.141370840278372212e-01
1.048979591836734615e+00 3.790078314165174489e-01 5.167672639539029333e-01 4.461585314910153088e-01 4.773377408180984882e-01 6.926346196928163668e-01 4.188308909391558754e-01 4.600402081298043400e-01 4.688561951633654634e-01 4.541368785003801478e-01 6.131464067305308907e-01 5.170933735553275845e-01 4.238284700158759244e-01 3.999140243097756842e-01 4.143729153049652836e-01 5.878856271027115277e-01 5.576855256349613210e-01 4.833024500153148550e-01 6.237068703535441072e-01 5.336124424630340757e-01 6.406377218164240883e-01 3.990391805992377638e-01 3.792830286121104955e-01 3.207565388112244009e-01 3.791014685737374434e-01 5.399459967504914859e-01 5.784211077025841474e-01 2.986782283815112016e-01 7.568265292856125592e-01 4.037821243186837106e-01 3.790994325113612451e-01 3.170796203224510723e-01 3.617791647322741166e-01 5.848353543720450354e-01 3.869310879551111637e-01 4.192279895808431189e-01 4.276712083877950432e-01 5.121702975001730662e-01 3.070967139154174852e-01 4.456518930124677702e-01 5.277944125143497756e-01 5.271067854120897733e-01 5.300571110196925506e-01 4.628786861675410758e-01 4.674689844723893262e-01 4.268629883089378185e-01 2.885717919438405277e-01 3.469029631809983361e-01 4.387709831061158972e-01 3.116617971914526497e-01 7.258440282396051435e-01 4.288462070301702900e-01 4.774982619698546205e-01 4.356348966482583851e-01 5.241190206636670013e-01 4.620111524214456922e-01 7.145858251699895858e-01 6.484942774486122108e-01 4.865868064774924728e-01 5.404950246360737953e-01 4.898158312747600829e-01 5.855295369547459661e-01 6.292739505251756515e-01 4.864203831649954179e-01 3.285818760094402768e-01 4.310758325187534767e-01 5.341294530226675663e-01 3.720014416886316400e-01 3.763039612781894916e-01 5.194755495809348922e-01 5.320048207966687759e-01 4.240781945128573871e-01 5.796593633839418613e-01 4.500299538989421810e-01 4.434715673227743737e-01 5.120329906250910001e-01 5.606593204174629141e-01 5.764425668176239581e-01 5.060120904881767467e-01 4.562846797007681920e-01 5.832980915361126728e-01 5.204483651259436128e-01 4.605314865089686904e-01 3.666007961923724578e-01 4.282701647868751293e-01 4.107800266247159660e-01 4.395250387769816802e-01 4.519171730390961206e-01 3.977846843038634894e-01 4.641185710461753766e-01 4.979976291393477528e-01 5.111975927505663098e-01 4.805202969423843506e-01 5.801328662322072782e-01 5.305903492742222172e-01 3.943823067074740951e-01 3.873599402047681051e-01 3.019265338375914376e-01 3.514739434526574779e-01 3.824711276500709634e-01 4.940349802159484383e-01
1.055102040816326525e+00 4.526502810471647043e-01 6.186358980688035913e-01 5.348909784241229204e-01 5.719913247360537412e-01 8.214823707676379705e-01 5.049814717979657086e-01 5.421410016162812040e-01 5.563981441009060447e-01 5.388579441608856158e-01 7.229313283043061755e-01 6.142555661385771248e-01 5.025087884706566088e-01 4.770373149182359218e-01 4.953315768561695198e-01 7.048069554416196425e-01 6.648146387757506437e-01 5.778652357344417068e-01 7.498216121012014623e-01 6.393620145418017486e-01 7.572828141086589415e-01 4.793491679509777614e-01 4.530015772173922595e-01 3.866112728265283516e-01 4.503668690184784440e-01 6.417590775720678486e-01 6.867534031084920887e-01 3.594070377285555340e-01 8.843803858279803976e-01 4.792014652989742274e-01 4.498966678418770959e-01 3.771216863897305371e-01 4.296807334993856808e-01 6.902492061832469217e-01 4.639190423186686507e-01 4.977063283440399943e-01 5.075477024465159248e-01 6.152058392630138650e-01 3.666406927869224619e-01 5.263855695090859932e-01 6.343100809786602623e-01 6.211658826558070778e-01 6.299979901961333395e-01 5.530195328197501370e-01 5.551889685412405573e-01 5.092200624177936064e-01 3.452007068031626713e-01 4.157528605157806423e-01 5.242989389391317090e-01 3.726534410395637709e-01 8.571673268189149431e-01 5.077001054890977194e-01 5.639304264312735571e-01 5.194608868687564662e-01 6.225395101339681325e-01 5.462786994662374163e-01 8.462724097431602033e-01 7.675156215619294287e-01 5.918056171769651153e-01 6.406997437988868338e-01 5.779352112431177524e-01 6.957585977830069712e-01 7.481535309898690311e-01 5.774666266216800237e-01 3.914667076120765810e-01 5.221053636676926679e-01 6.383610117011082608e-01 4.479900093051783494e-01 4.458016216563190914e-01 6.291662181481888494e-01 6.375294645085201051e-01 5.060184689132986025e-01 6.913892091062605605e-01 5.314212027640993208e-01 5.272605040289241041e-01 6.058316998955906030e-01 6.669449907665826460e-01 6.831158981804322794e-01 6.064736313148562097e-01 5.422121309184092519e-01 6.958005717757056452e-01 6.184503195239465789e-01 5.440374795354365745e-01 4.399892863375188812e-01 5.113788811790889177e-01 4.840924674154825635e-01 5.174379913203472903e-01 5.465477662853959195e-01 4.738849285100996123e-01 5.505933548749994966e-01 5.861553138896313797e-01 6.053231272908458083e-01 5.693460651109926163e-01 6.939643148453830124e-01 6.322285919999522941e-01 4.648755828647515020e-01 4.683186236761832655e-01 3.603795235923785700e-01 4.168150585618523585e-01 4.590156148243627054e-01 5.803125681201568575e-01
