x y
0.000000000000000000e+00 -5.626148755835777004e-01
1.000000000000000000e+00 -3.526054351926315999e-01
2.000000000000000000e+00 3.533961977404253552e-01
3.000000000000000000e+00 -4.988389599721450018e-01
4.000000000000000000e+00 -7.258912391756625615e-01
5.000000000000000000e+00 6.312481848815084673e-01
6.000000000000000000e+00 -1.636512181789397502e+00
7.000000000000000000e+00 -1.145866895307092514e+00
8.000000000000000000e+00 7.441014137414772023e-01
9.000000000000000000e+00 -1.096592471113988942e+00
1.000000000000000000e+01 -8.684286133951678588e-01
1.100000000000000000e+01 3.268566836938391340e-01
1.200000000000000000e+01 -9.242730645275323287e-01
1.300000000000000000e+01 -2.146505266673753298e-01
1.400000000000000000e+01 2.423912175464455476e-01
1.500000000000000000e+01 1.825313706139955749e-01
1.600000000000000000e+01 -9.506441002148608987e-01
1.700000000000000000e+01 1.097846799081689584e+00
1.800000000000000000e+01 -1.395274759109916163e+00
1.900000000000000000e+01 1.679936815084246415e-01
2.000000000000000000e+01 8.177672938519888746e-01
2.100000000000000000e+01 9.381402337098002642e-01
2.200000000000000000e+01 9.012630711071967227e-01
2.300000000000000000e+01 1.801796807113412280e+00
2.400000000000000000e+01 8.191925892316223035e-01
2.500000000000000000e+01 -1.110932294094654438e+00
2.600000000000000000e+01 4.712248802882286758e-01
2.700000000000000000e+01 -6.731949412043688463e-01
2.800000000000000000e+01 -9.895072140179911324e-01
2.900000000000000000e+01 1.227909650919886131e+00
3.000000000000000000e+01 7.433152072243942587e-01
