x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49
0.000000000000000000e+00 2.664286484398070143e-01 2.665497529623496176e-01 2.663104487484094784e-01 2.657329990957592591e-01 2.648888589071851651e-01 2.638773141953464907e-01 2.628840397655706207e-01 2.620936946077673801e-01 2.616038010170598227e-01 2.614506056804691281e-01 2.616192153801242259e-01 2.621541369738920602e-01 2.629957997234185774e-01 2.640665944140075938e-01 2.652976458462055209e-01 2.665578191060228308e-01 2.678855137797464536e-01 2.692059492944816612e-01 2.704577402014300413e-01 2.717613970837778337e-01 2.731602818073938233e-01 2.746439152814926787e-01 2.761571690149705605e-01 2.776122192980686187e-01 2.789866947698099731e-01 2.802016354887575944e-01 2.812529829417205196e-01 2.821554436146818112e-01 2.829030722739106496e-01 2.833969965922989442e-01 2.835869850817700488e-01 2.834377820040429596e-01 2.830091562508194047e-01 2.823837345273380595e-01 2.815036386929846701e-01 2.803869051018393899e-01 2.791334477972232664e-01 2.780508264732330370e-01 2.772770933276850203e-01 2.767790744173589945e-01 2.765622278452747329e-01 2.765799330688171187e-01 2.768917366569990657e-01 2.775455219955924591e-01 2.785788769221600458e-01 2.799292343920035120e-01 2.815673206939649509e-01 2.834994654755566557e-01 2.857503216798866763e-01 2.881436401270008885e-01
1.000000000000000000e+00 -2.003331266002898181e-01 -2.009646676937733856e-01 -2.015195289868422779e-01 -2.018395747163743981e-01 -2.018408115498608602e-01 -2.016027034815697505e-01 -2.012215869046823369e-01 -2.007607543072508771e-01 -2.003322269034514547e-01 -2.000023823909125864e-01 -1.997833825762232451e-01 -1.996526939314448856e-01 -1.995925388041113191e-01 -1.995640552874402007e-01 -1.995645304804175013e-01 -1.995780362121975515e-01 -1.996134519818249797e-01 -1.996356491146257239e-01 -1.995930139848992868e-01 -1.994985778307692970e-01 -1.993132809879098466e-01 -1.990038232807316565e-01 -1.985150862556933626e-01 -1.977552315670718652e-01 -1.966940747562472835e-01 -1.952517320350794228e-01 -1.932687816582494000e-01 -1.907692270915591348e-01 -1.879064495594728879e-01 -1.848811681636420845e-01 -1.816790214765413303e-01 -1.782179573069922751e-01 -1.745970615855618469e-01 -1.708841445272368254e-01 -1.668112091444344247e-01 -1.622816119422109959e-01 -1.575157077335267441e-01 -1.530507431024602238e-01 -1.491505831864317622e-01 -1.458088086631006419e-01 -1.433612501255837612e-01 -1.418904834093371592e-01 -1.415901271936489125e-01 -1.426018461532348180e-01 -1.448837329281159603e-01 -1.481608342300533288e-01 -1.522802399853698252e-01 -1.569288021673844458e-01 -1.619498512191333284e-01 -1.671795805068939655e-01
2.000000000000000000e+00 -1.229901296594315130e-01 -1.238828004491561580e-01 -1.246711417614416728e-01 -1.253437098618903622e-01 -1.258518102861743981e-01 -1.262282862966915831e-01 -1.264558775003924995e-01 -1.265033319234302178e-01 -1.264387199715891197e-01 -1.263423579232141325e-01 -1.262194918931273668e-01 -1.260391825149425604e-01 -1.258117277751548135e-01 -1.255276055003078650e-01 -1.252200511525584370e-01 -1.249097975484738110e-01 -1.245889437913347414e-01 -1.242769355355961003e-01 -1.240057300498298570e-01 -1.238018418664881132e-01 -1.236466987225921382e-01 -1.235455292251426557e-01 -1.234861003559454967e-01 -1.234138465165193072e-01 -1.232914066221471872e-01 -1.230738687417521765e-01 -1.227232323392162677e-01 -1.223008260808251119e-01 -1.218670596262103611e-01 -1.214172136866488311e-01 -1.208675041819932405e-01 -1.200729890017012275e-01 -1.190402431002343941e-01 -1.177368563363580117e-01 -1.160177459533968947e-01 -1.137285990853215550e-01 -1.109882367407605819e-01 -1.082479816254688920e-01 -1.058136574100970312e-01 -1.037319136818568160e-01 -1.022113941431459228e-01 -1.013241587961604268e-01 -1.012298213694230731e-01 -1.020395842857304974e-01 -1.037128485136172562e-01 -1.060166034323065942e-01 -1.088308286291940347e-01 -1.119343990431811986e-01 -1.151045727058422341e-01 -1.180407789295579712e-01
3.000000000000000000e+00 -3.243660083315040299e-01 -3.252267054128625823e-01 -3.258584990987674068e-01 -3.262180258445586678e-01 -3.262052414847649295e-01 -3.259397429030075344e-01 -3.255057168126813116e-01 -3.249311534506273969e-01 -3.243462595541525273e-01 -3.238676253681300743e-01 -3.234932182136315282e-01 -3.231819723445480408e-01 -3.229407566936762786e-01 -3.227124711525562462e-01 -3.225360317989557357e-01 -3.223955564194886381e-01 -3.222932929122034329e-01 -3.222505852513330438e-01 -3.222744248927514321e-01 -3.224078145213303825e-01 -3.226274069117326948e-01 -3.229412076493885508e-01 -3.233409450216414571e-01 -3.237576694158440516e-01 -3.241855962531260960e-01 -3.245725756532463757e-01 -3.248703290706048130e-01 -3.251088859066647574e-01 -3.253040662544116612e-01 -3.253989798339224082e-01 -3.253398128563579905e-01 -3.250337400166860014e-01 -3.245811752930171101e-01 -3.239894692195958714e-01 -3.231519024662802830e-01 -3.219856171192204686e-01 -3.205970346644819169e-01 -3.192803568723617258e-01 -3.182263524230158347e-01 -3.174448922750747193e-01 -3.170405700541397698e-01 -3.169985492155151241e-01 -3.173975701982483244e-01 -3.183036426614995196e-01 -3.197145053716913821e-01 -3.215106402429215304e-01 -3.236678640398479301e-01 -3.260667657524701224e-01 -3.285909788620837713e-01 -3.310852456860607917e-01
4.000000000000000000e+00 -6.304388850066506844e-01 -6.310349812930842184e-01 -6.312497182638813209e-01 -6.311024914645328998e-01 -6.306237547872861615e-01 -6.299450501615204701e-01 -6.292061330874764158e-01 -6.285534527891865064e-01 -6.280993187857729643e-01 -6.279274449512670664e-01 -6.280244151199240177e-01 -6.283958967718232813e-01 -6.289904535365604676e-01 -6.297318601258273807e-01 -6.305815493117498116e-01 -6.314470642681950796e-01 -6.323361920182775098e-01 -6.332201536328581071e-01 -6.340445818940672051e-01 -6.348949387332442074e-01 -6.357764433206747334e-01 -6.366771903199076599e-01 -6.375696724252912784e-01 -6.383753329523637055e-01 -6.390835397580710842e-01 -6.396476944470848025e-01 -6.400349854572886521e-01 -6.402623749593697733e-01 -6.403709323528564701e-01 -6.403136247474675580e-01 -6.400216078574832990e-01 -6.394554161174809126e-01 -6.387173828714012291e-01 -6.378565361057100258e-01 -6.367423371750743355e-01 -6.353346116107358998e-01 -6.337065709211898712e-01 -6.321563789813000600e-01 -6.308846488559221033e-01 -6.299241460113124136e-01 -6.293688347718244813e-01 -6.292089048389033490e-01 -6.295224067048752481e-01 -6.303757412617156941e-01 -6.317580157801231389e-01 -6.335654740781487826e-01 -6.357826770486570966e-01 -6.382889174191205273e-01 -6.409719690607299514e-01 -6.436570905633581807e-01
5.000000000000000000e+00 9.104783907305893931e-02 9.022546802267442101e-02 8.835440548704683039e-02 8.614863121700994109e-02 8.404873575304164235e-02 8.212231801043076707e-02 8.057167915495901112e-02 7.965391015764920757e-02 7.932180940002564462e-02 7.953276155595150054e-02 8.020248625647080631e-02 8.147623356280399298e-02 8.325636846843952055e-02 8.546500042355850701e-02 8.795675609770846337e-02 9.051104045240111751e-02 9.316925654673738344e-02 9.588737059924015704e-02 9.868288799928981447e-02 1.018730815276678581e-01 1.057346967214838340e-01 1.103820472453685003e-01 1.158816766084588556e-01 1.222315011878926522e-01 1.294534950080095947e-01 1.376128519743202439e-01 1.470643317894408941e-01 1.578809426997110632e-01 1.698021543352851714e-01 1.822061137302409262e-01 1.950224009562995520e-01 2.080297879861006671e-01 2.212522977770287613e-01 2.345260798453812079e-01 2.483634196899569824e-01 2.631273277687981582e-01 2.783051267532318240e-01 2.926761497872578666e-01 3.054464217572019358e-01 3.165743992937009588e-01 3.252310522288405781e-01 3.311176581266190855e-01 3.338046001623915515e-01 3.330338689259547680e-01 3.289667267494745251e-01 3.222292049572147432e-01 3.130613095289807024e-01 3.021250430621899019e-01 2.900210152740935188e-01 2.773703826063549926e-01
6.000000000000000000e+00 2.079647942412269322e-03 1.870301944058720515e-03 5.773029289904378766e-04 -1.191404862903670901e-03 -3.034476325094921829e-03 -4.817263922471086077e-03 -6.328172469235258252e-03 -7.307027885548045276e-03 -7.745645784789497064e-03 -7.625562429522158951e-03 -7.017330129926480607e-03 -5.790972737519211634e-03 -4.039626712402121823e-03 -1.856981205709541801e-03 6.219269542245434244e-04 3.187968919315443440e-03 5.872718505166368667e-03 8.625765960209644950e-03 1.142099952320950636e-02 1.456819985886965291e-02 1.829982159403760814e-02 2.272215363609791927e-02 2.789802785286357376e-02 3.378682642997501290e-02 4.041487916536739416e-02 4.780756300264097508e-02 5.631455195626669519e-02 6.597516203227431209e-02 7.647435910309428875e-02 8.716811103496646673e-02 9.799012501648407536e-02 1.088098111517555866e-01 1.197373009146988077e-01 1.306585155159528944e-01 1.420315100486531090e-01 1.540998212058118100e-01 1.663941376017973872e-01 1.780347899399528366e-01 1.885215310944218514e-01 1.978579283421432744e-01 2.052476323485962761e-01 2.103282090965572504e-01 2.126861651226077121e-01 2.120842383637539796e-01 2.086999121796256906e-01 2.031437085230033135e-01 1.957640033245965361e-01 1.871750691564843527e-01 1.777705446258555089e-01 1.679407294153723029e-01
7.000000000000000000e+00 -1.695250953043610231e-01 -1.706432896686706502e-01 -1.729307909743748872e-01 -1.756321040600917205e-01 -1.782513295779926954e-01 -1.807238936824310249e-01 -1.827810484272905101e-01 -1.841063813525226633e-01 -1.847573812889441169e-01 -1.847924954410481158e-01 -1.843023446578229974e-01 -1.831217711450944807e-01 -1.813708326148836814e-01 -1.791331997104325113e-01 -1.765563272328672106e-01 -1.739096379277317306e-01 -1.711333564593640055e-01 -1.682773962675117863e-01 -1.653254535839838169e-01 -1.618931134340449995e-01 -1.576608217251150301e-01 -1.524799204614414871e-01 -1.462949336756970975e-01 -1.391907141118000624e-01 -1.311952004388997894e-01 -1.222821855539879682e-01 -1.121305673596332542e-01 -1.006373496710780552e-01 -8.800463780250507295e-02 -7.494019927724177021e-02 -6.151916993760263991e-02 -4.794781889339531922e-02 -3.420387041476034146e-02 -2.049561002793063788e-02 -6.290690590063260229e-03 8.750344032646342404e-03 2.415874607494787607e-02 3.879097790142957414e-02 5.187318443296478482e-02 6.333425498958342170e-02 7.230828529233167268e-02 7.846996667802094705e-02 8.139089973170564318e-02 8.081842140110102879e-02 7.691053453432801501e-02 7.029115049950494798e-02 6.123058383081936284e-02 5.044373883765016636e-02 3.851391419820474754e-02 2.601913184438746016e-02
8.000000000000000000e+00 -9.504488920945595998e-02 -9.605708973270676854e-02 -9.800416413543618088e-02 -1.002481230737728157e-01 -1.023604190947960679e-01 -1.042965212470055164e-01 -1.058591947291592089e-01 -1.067775557416876103e-01 -1.071079991153628258e-01 -1.069071485158130524e-01 -1.062517442145230889e-01 -1.050005306146031270e-01 -1.032573540111322019e-01 -1.010862450894505354e-01 -9.862924343713357078e-02 -9.610721025162875797e-02 -9.348587007278509609e-02 -9.082511231095581616e-02 -8.812900177101706811e-02 -8.510293519404077411e-02 -8.147959844733405899e-02 -7.714642957687120606e-02 -7.203439652864400411e-02 -6.612812042579215011e-02 -5.940704231840329003e-02 -5.180386331331670452e-02 -4.294175488307597210e-02 -3.274360077268688440e-02 -2.144588584539171283e-02 -9.665318010365858345e-03 2.511928979336206392e-03 1.481945590846849709e-02 2.723968249185431192e-02 3.957900752638249947e-02 5.224995256561378726e-02 6.537289554630763833e-02 7.849222794443182216e-02 9.073999717363784301e-02 1.016651845606126314e-01 1.112407379037697736e-01 1.187916955630550636e-01 1.240422185055387316e-01 1.266874865267376693e-01 1.265388794635376457e-01 1.237067129167978563e-01 1.186354471387812554e-01 1.115232952897031032e-01 1.029322963555375781e-01 9.319402485195758812e-02 8.252063009941826288e-02
9.000000000000000000e+00 2.350346929496719139e-01 2.363030331072132062e-01 2.385623416986845657e-01 2.411346753535704990e-01 2.435622945531489281e-01 2.458112311988600307e-01 2.476447730097346978e-01 2.487740479944396677e-01 2.492741110951424421e-01 2.492305385114873817e-01 2.487332149942856618e-01 2.476279673622643895e-01 2.460297411394122558e-01 2.440131579870126466e-01 2.417275093595745439e-01 2.394118333855122238e-01 2.369930011148227711e-01 2.345093949716013371e-01 2.319262846103086750e-01 2.289083458444469976e-01 2.251462313246402891e-01 2.204973852319291605e-01 2.148806146671963790e-01 2.083079541846293015e-01 2.007904215542509474e-01 1.923107951830864970e-01 1.825093030434798980e-01 1.713502703387815296e-01 1.590665821477575403e-01 1.463205947281041031e-01 1.332005637967561273e-01 1.199414428488659173e-01 1.066086599740373592e-01 9.343205519846631280e-02 7.995228499893919372e-02 6.596308620899088426e-02 5.196421669077752603e-02 3.888802000514195861e-02 2.732129113471810575e-02 1.726011621249472563e-02 9.419333545607191591e-03 4.044141019489023471e-03 1.423220781871874750e-03 1.730159397649862034e-03 4.843994647340543920e-03 1.031386790754844698e-02 1.798822925055490116e-02 2.728738819169975946e-02 3.784758481726707702e-02 4.930593647368042981e-02
