x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30
0.000000000000000000e+00 -3.616302810855984151e-01 -5.299455352782516115e-01 -2.159406709650722345e+00 1.865022636938694633e-01 1.472593676335804125e-01 6.277303711549906406e-01 -1.705323692975112992e+00 -9.758561539741850144e-01 -3.670024683677154398e-01 -4.289576121345427540e-01 -1.965872597238116803e+00 -5.534975777728208257e-01 4.101743587749859810e-01 5.256007415994472243e-02 1.089987716050833999e+00 3.805399643371970564e-01 -1.634145834814670240e+00 -5.248299503625546425e-01 7.001523377415554972e-01 -2.272135739875364990e+00 2.881199470798747608e-01 -9.164041437201758677e-01 2.435218027234068994e-01 2.382516407267145198e+00 1.456843058145638636e+00 1.338702701939994189e+00 -5.624506947139499280e-01 2.397135377244866486e-02 1.793567681181151174e+00 -4.357174075998304641e-01 1.920108713553704272e-01
2.040816326530612082e-02 -3.634218652365746038e-01 -5.448286489870235449e-01 -2.167309259647292041e+00 2.939048917758806945e-01 1.546222277071212237e-01 5.930881495248312429e-01 -1.682013413641986865e+00 -1.012291240060764430e+00 -2.942859047600598910e-01 -4.442592918590062001e-01 -2.003221675362390819e+00 -5.637210272998796068e-01 4.519989504966712701e-01 -7.666642349305112514e-02 1.106618842293537242e+00 3.751325570879023852e-01 -1.618146135546906894e+00 -5.128505050683400679e-01 7.650962088520310012e-01 -2.249288277141367143e+00 3.731468540718977933e-01 -8.714465376231056437e-01 1.726697188711791842e-01 2.436942955473091477e+00 1.458956599858411085e+00 1.315034664534788122e+00 -4.969355030161188846e-01 -2.683762238369091085e-02 1.815459115382408672e+00 -3.788754405358878974e-01 8.169275359760784505e-02
4.081632653061224164e-02 -3.633103014699362032e-01 -5.579705839987988414e-01 -2.163532063886884682e+00 3.978032639981856078e-01 1.639175478963063592e-01 5.583579977006021267e-01 -1.654256316056567311e+00 -1.049011212475927657e+00 -2.273868706740823087e-01 -4.568424832205804642e-01 -2.041913900861986875e+00 -5.728785705099010972e-01 4.937624486742153151e-01 -2.050255036673795939e-01 1.121927908393902662e+00 3.675044024036188683e-01 -1.594856677607558115e+00 -5.005859470682875179e-01 8.299817077970389478e-01 -2.227149484397995316e+00 4.515269463474523293e-01 -8.171227871078657889e-01 9.745759060184416844e-02 2.484616472959245925e+00 1.459801082386264381e+00 1.280730436166737318e+00 -4.325869589261361337e-01 -8.227012028107746899e-02 1.828423237453153716e+00 -3.184926643036729565e-01 -2.989863269645560637e-02
6.122448979591836593e-02 -3.607649925681024605e-01 -5.690095783414377273e-01 -2.148039928196125992e+00 4.971628115508719414e-01 1.750893681452664052e-01 5.240952356108266041e-01 -1.621828179564601902e+00 -1.085627065409503267e+00 -1.668631059279251927e-01 -4.663179798630940343e-01 -2.081209777534608119e+00 -5.807134645318523525e-01 5.348447185736673326e-01 -3.317674461936881425e-01 1.136100017860421030e+00 3.583966872599635423e-01 -1.565175205030278960e+00 -4.882080063407759352e-01 8.941349213142681940e-01 -2.205711850885437197e+00 5.226997742992697260e-01 -7.539122370784863136e-01 1.840208831046297525e-02 2.524906360381231174e+00 1.459797708509666281e+00 1.236142639202110871e+00 -3.696516374430193208e-01 -1.424275358600538555e-01 1.832511563020153833e+00 -2.547732282571626983e-01 -1.416117406946911239e-01
8.163265306122448328e-02 -3.552759620498370796e-01 -5.775786561844624689e-01 -2.120921685629421294e+00 5.910268665281136480e-01 1.880742343877588041e-01 4.908894304593613978e-01 -1.584558249558670306e+00 -1.121726535965489990e+00 -1.130911768886336821e-01 -4.723814870670747790e-01 -2.120298515438659326e+00 -5.870064005469698420e-01 5.745905224584331172e-01 -4.561902830967864975e-01 1.149313200520280409e+00 3.485760070273861699e-01 -1.530033726547423978e+00 -4.758564692082661307e-01 9.569201214214004825e-01 -2.184884059293760394e+00 5.862255789597223821e-01 -6.824264232453873813e-01 -6.393337823465701508e-02 2.557295271215700438e+00 1.459351058558768122e+00 1.181770972104505768e+00 -3.083767864207011544e-01 -2.073125486816372043e-01 1.827930334335480911e+00 -1.879557504055997808e-01 -2.523051433717325986e-01
1.020408163265306006e-01 -3.463711270091352490e-01 -5.833153575307673533e-01 -2.082386046251503142e+00 6.785241033267046529e-01 2.027988774630696545e-01 4.593512536830587356e-01 -1.542338149272987957e+00 -1.156877445096785806e+00 -6.626455003579993785e-02 -4.748181195241259478e-01 -2.158313667936425873e+00 -5.915773936076632600e-01 6.123215613587803530e-01 -5.776459550136140431e-01 1.161731397284315292e+00 3.388183847102852475e-01 -1.490370006953124493e+00 -4.636342336083520976e-01 1.017745982236714308e+00 -2.164495981833969296e+00 6.417886752256228844e-01 -6.033942996603935960e-01 -1.489458044389556923e-01 2.581388207386679401e+00 1.458836552825515609e+00 1.118257692572230066e+00 -2.490140456350186660e-01 -2.768232536557796442e-01 1.815032450220995797e+00 -1.183147269579718358e-01 -3.608684273884323890e-01
1.224489795918367319e-01 -3.336352686995989192e-01 -5.858705543060160892e-01 -2.032755586799192660e+00 7.588760363307800461e-01 2.191767416954774061e-01 4.300981618456540256e-01 -1.495130862587438880e+00 -1.190632363768589164e+00 -2.639795295158313751e-02 -4.735055832622039884e-01 -2.194348430627668378e+00 -5.942863098492318086e-01 6.473511224357818561e-01 -6.955465774974536330e-01 1.173497430847317613e+00 3.298912006276344955e-01 -1.447101500507927074e+00 -4.516064213413432671e-01 1.076067257329733184e+00 -2.144304333732330203e+00 6.891987149394990242e-01 -5.176424548949110083e-01 -2.359995070105070369e-01 2.596919885001412798e+00 1.458588505903818167e+00 1.046378839438213637e+00 -1.918213157894397003e-01 -3.507524786328590771e-01 1.794305461305309324e+00 -4.616149912634921054e-02 -4.662411662735089224e-01
1.428571428571428492e-01 -3.167246436163775880e-01 -5.849193867227386878e-01 -1.972459867016617130e+00 8.314030631397412163e-01 2.371046639672949041e-01 4.037390591947391250e-01 -1.442976326751264748e+00 -1.222532131258879717e+00 6.664908832279284323e-03 -4.684156841552077899e-01 -2.227472567423295136e+00 -5.950315426220165183e-01 6.789990043945184350e-01 -8.093702328599207130e-01 1.184726685999877960e+00 3.225376681472759133e-01 -1.401100176486352877e+00 -4.397984899069976028e-01 1.131388310752618365e+00 -2.123999633418680588e+00 7.283907620033994723e-01 -4.260740161266268200e-01 -3.244331611945773797e-01 2.603757603104911666e+00 1.458889853937035408e+00 9.670343466092224949e-01 -1.370636919927345765e-01 -4.287882053618258804e-01 1.766357351037826096e+00 2.815548614924259438e-02 -5.674318630464888491e-01
1.632653061224489666e-01 -2.953803585314802582e-01 -5.801699967316564788e-01 -1.902025371238444729e+00 8.955283211144050570e-01 2.564594794551687262e-01 3.808594750868251610e-01 -1.385996516972047621e+00 -1.252110872434123445e+00 3.323813954997516945e-02 -4.596128897843094752e-01 -2.256749776769372051e+00 -5.937488644424362416e-01 7.066067555580941573e-01 -9.186657100704610501e-01 1.195501485659283825e+00 3.174597110900898023e-01 -1.353169714167212101e+00 -4.281975608126142863e-01 1.183262591647267659e+00 -2.103215247029633694e+00 7.594211179809657875e-01 -3.296467620438822688e-01 -4.135659857679632734e-01 2.601900309997647209e+00 1.459963419595382561e+00 8.812336438885699508e-01 -8.501321720353539890e-02 -5.105202239208761483e-01 1.731899261918846689e+00 1.042507458591106773e-01 -6.635336239462705787e-01
1.836734693877550839e-01 -2.694380163135624562e-01 -5.713732516176878162e-01 -1.822065357870140900e+00 9.507813816095287418e-01 2.770949862662681062e-01 3.620056320712266018e-01 -1.324398418215560147e+00 -1.278901508612462434e+00 5.377708181268542331e-02 -4.472512878674043679e-01 -2.281254720690190751e+00 -5.904077617911712705e-01 7.295543632405667722e-01 -1.023056268712372763e+00 1.205868073008957042e+00 3.153019399935870770e-01 -1.304027998119535958e+00 -4.167554779032937584e-01 1.231292934028548780e+00 -2.081536988007802513e+00 7.824624298300670855e-01 -2.293499394659638535e-01 -5.027041093810309391e-01 2.591474528437195612e+00 1.461965481986811533e+00 7.900812348206104341e-01 -3.594630130117787425e-02 -5.954467607852138578e-01 1.691726874711224626e+00 1.817036410985523875e-01 -7.537365203827631754e-01
