x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30
0.000000000000000000e+00 1.898600868387989582e-01 -2.138122261117091083e-01 -8.438074056891377017e-01 6.757272275579122578e-01 8.056101501576069523e-01 -1.561216322621042929e+00 -2.117255124736654004e+00 -8.515193754418232119e-01 -1.886277736145676620e+00 -6.880415862115369929e-01 5.479133550704956557e-01 1.828775371821778961e+00 -9.800065710873652192e-01 -9.488820610203670958e-01 -2.174933066320230424e+00 3.834842074770768994e-01 1.328946867601562332e+00 6.833292910403241383e-01 1.023145176962366315e-01 3.618773611983310823e-01 -1.268024608106374407e+00 -2.140457301213280594e+00 -9.731925388452690173e-01 -8.842032788624080153e-01 2.844904987111596117e+00 4.574931558731679115e-01 1.099335141334922161e+00 -5.004368557215999047e-01 -3.995972815227686881e-01 -1.005168794343748589e-01 1.045920139350742656e-01
2.040816326530612082e-02 2.304053691736943632e-01 -1.938722075816270429e-01 -8.021422655578215322e-01 7.423237189236229217e-01 8.494540926672274894e-01 -1.652356807461797805e+00 -2.077389745400050725e+00 -8.852490443545537602e-01 -1.900327892999646329e+00 -6.487932316830110624e-01 5.671945755433027703e-01 1.792089184640558885e+00 -9.556098272073042521e-01 -9.458423150212409425e-01 -2.205329163578250373e+00 3.718312540095143337e-01 1.227468824747600218e+00 6.535562639430323451e-01 1.481105106417994199e-01 3.697731651920810325e-01 -1.265392114088933484e+00 -2.104006863768237423e+00 -9.213372616772040891e-01 -8.471222855930129469e-01 2.864115958933740824e+00 4.413335472847196850e-01 1.099734772825469387e+00 -5.261875180599747681e-01 -4.304815051257586678e-01 -3.573770875144712672e-02 1.334675448715561263e-01
4.081632653061224164e-02 2.672683809508456521e-01 -1.694988473631019732e-01 -7.633292365472775787e-01 8.083542842035728038e-01 8.916409923548670458e-01 -1.728269379651484972e+00 -2.036012638343790648e+00 -9.174489570119189752e-01 -1.906879770684896336e+00 -6.133002723879299456e-01 5.790044082337376663e-01 1.750873276685304791e+00 -9.261434098642370438e-01 -9.384227089267005439e-01 -2.232072041726728351e+00 3.631127862790705652e-01 1.126340402658499329e+00 6.233000575008980082e-01 1.895900657426126124e-01 3.761478140358283095e-01 -1.254639132702545012e+00 -2.060026570739529106e+00 -8.643344975746082293e-01 -8.114281875370524810e-01 2.878974426724958846e+00 4.226975038719453792e-01 1.092493417646703602e+00 -5.505429084796791273e-01 -4.584941951616148814e-01 2.946698927492144224e-02 1.600545819279720894e-01
6.122448979591836593e-02 2.992543516819408111e-01 -1.408967171900154802e-01 -7.275757228070066640e-01 8.726377726982429417e-01 9.320529858378173715e-01 -1.788386958328582743e+00 -1.993558203728871048e+00 -9.479077987043084130e-01 -1.906301829787735214e+00 -5.816862105610614009e-01 5.829947227043544844e-01 1.705530859051435755e+00 -8.920390371658464268e-01 -9.266851458510827477e-01 -2.254723676866460025e+00 3.573102529584538667e-01 1.026432732653597579e+00 5.930513875383277567e-01 2.262496655018526315e-01 3.808555098683571449e-01 -1.236599716055677201e+00 -2.008583855280633657e+00 -8.020772835881175844e-01 -7.771544893522553954e-01 2.889121963558619388e+00 4.017951514866505702e-01 1.077546419399013411e+00 -5.731204004701417887e-01 -4.831548505494348555e-01 9.444110169404437705e-02 1.843845373433437851e-01
8.163265306122448328e-02 3.252212855701356320e-01 -1.083615924621471327e-01 -6.950242378022639667e-01 9.340227869094052116e-01 9.705375394010036239e-01 -1.832364601133487536e+00 -1.950463760727049634e+00 -9.763910106811244383e-01 -1.899052503437196560e+00 -5.539652810479914757e-01 5.789757505204068400e-01 1.656437465523258101e+00 -8.537796985513490533e-01 -9.107241689651371930e-01 -2.272824847415468419e+00 3.543350911490938393e-01 9.285739221272985011e-01 5.632705095255359229e-01 2.576730002079843374e-01 3.837033274833357988e-01 -1.212175841380066510e+00 -1.949774897103812688e+00 -7.345166673530671986e-01 -7.443120672748466671e-01 2.894196155870728315e+00 3.788468067162212849e-01 1.054926154111521797e+00 -5.936080075796847932e-01 -5.039716229917933221e-01 1.585432824326036827e-01 2.065606242360882860e-01
1.020408163265306006e-01 3.441088702388417908e-01 -7.227974411879037331e-02 -6.657524339721000439e-01 9.914130677978469919e-01 1.006909719114106760e+00 -1.860081124274163056e+00 -1.907162810500794503e+00 -1.002647506216287843e+00 -1.885669771608540657e+00 -5.300412336916821010e-01 5.669218003624325597e-01 1.603940172792907459e+00 -8.118912750494982067e-01 -8.906735197104582724e-01 -2.285903281069334714e+00 3.540351501620387920e-01 8.335398739485833097e-01 5.343807125319278706e-01 2.835369912091268429e-01 3.844578499057334509e-01 -1.182319216528358252e+00 -1.883722110537108918e+00 -6.616720359608748714e-01 -7.128884889203407349e-01 2.893835845303809773e+00 3.540800003232367210e-01 1.024761063932790206e+00 -6.117689549805689353e-01 -5.204570382190872868e-01 2.211604118757366788e-01 2.267469345506565870e-01
1.224489795918367319e-01 3.549678969561764763e-01 -3.312452159420906095e-02 -6.397749921761484160e-01 1.043788264450197012e+00 1.040954725114445534e+00 -1.871639125586131547e+00 -1.864077142472999604e+00 -1.026416327270403883e+00 -1.866760002557085851e+00 -5.097063170868536552e-01 5.469745622898046777e-01 1.548357503185587181e+00 -7.669349253181322323e-01 -8.667088537490713618e-01 -2.293482186636438769e+00 3.562031053003679171e-01 7.420463609309529973e-01 5.067610899219281428e-01 3.036162513790646167e-01 3.828535739813713201e-01 -1.148013302093540577e+00 -1.810571327730144287e+00 -5.836406136941062472e-01 -6.828488861065630244e-01 2.887685302362530404e+00 3.277288328570261422e-01 9.872717779304553964e-01 -6.274443143307019133e-01 -5.321429079694017794e-01 2.817241837716625286e-01 2.451558450891412333e-01
1.428571428571428492e-01 3.569891015433655501e-01 8.548885326385915681e-03 -6.170472072092838545e-01 1.090225374372030931e+00 1.072433274365525602e+00 -1.867358092023050808e+00 -1.821609785819739313e+00 -1.047432736699263289e+00 -1.842983506642775549e+00 -4.926446767060682075e-01 5.194413874232738371e-01 1.489983641536326564e+00 -7.194992384296199361e-01 -8.390532399481768211e-01 -2.295090947398449543e+00 3.605862610754680952e-01 6.547432135445766521e-01 4.807443742479158844e-01 3.177849234097062103e-01 3.786017589921165660e-01 -1.110255297164724597e+00 -1.730488194472304064e+00 -5.006058450709126584e-01 -6.541346905000383627e-01 2.875400124502360377e+00 3.000325281244098363e-01 9.427665819009666270e-01 -6.405523175576005590e-01 -5.385959345171825730e-01 3.397227071843300084e-01 2.620325141626855814e-01
1.632653061224489666e-01 3.495262284292586230e-01 5.211041514724125412e-02 -5.974693304116655002e-01 1.129917340514631885e+00 1.101087332615509062e+00 -1.847764983193487476e+00 -1.780137071982481389e+00 -1.065436583916090862e+00 -1.815040627232049397e+00 -4.784385146206630579e-01 4.847888211900970301e-01 1.429091942985374120e+00 -6.701927986368726442e-01 -8.079803473938106384e-01 -2.290277075823366371e+00 3.668951345352717830e-01 5.722083581105961159e-01 4.566121783306802961e-01 3.260165439992390168e-01 3.714000244626008418e-01 -1.070040651564326151e+00 -1.643655995430622685e+00 -4.128440316547816180e-01 -6.266641947688548209e-01 2.856651045433240110e+00 2.712356071555704351e-01 8.916338033264437080e-01 -6.510859778514840324e-01 -5.394328934156833455e-01 3.947152000737413902e-01 2.776384547311285256e-01
1.836734693877550839e-01 3.321182056999539833e-01 9.686358689199692229e-02 -5.808916448526137977e-01 1.162188554416624831e+00 1.126648503092406939e+00 -1.813581103804241756e+00 -1.740001633130727976e+00 -1.080177925488968516e+00 -1.783657767813400241e+00 -4.665770304510111766e-01 4.436316746593944038e-01 1.365941449098948102e+00 -6.196371037835255446e-01 -7.738183518025995022e-01 -2.278616942445552240e+00 3.748137558478219500e-01 4.949449578987552001e-01 4.345943740670066835e-01 3.283815250947668130e-01 3.609420946837447186e-01 -1.028347546333128415e+00 -1.550271912922519979e+00 -3.207281950522486436e-01 -6.003323070634851710e-01 2.831129845859283289e+00 2.415878583759496212e-01 8.343327432123979204e-01 -6.591064470920605656e-01 -5.343353119965257303e-01 4.463422396105781176e-01 2.922347186472101233e-01
