x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30
0.000000000000000000e+00 3.159262232707433782e-01 -2.052748594349155797e-01 -1.339916236290081830e-01 -3.593016623715303282e-01 -6.678071210447459327e-01 2.175168048511607888e-01 1.225108465569158256e-01 -3.270277604578685632e-02 2.975720770309382701e-02 1.078904434008667174e-01 5.630857204281004558e-01 2.219920796538319696e-01 1.006341292323958303e+00 -3.909312924786969429e-02 8.119651364379559810e-02 5.257785464839406231e-01 4.907406470658944309e-01 7.082254811322504784e-01 4.332801028530831045e-01 -5.228776524713669716e-01 1.193204267712900113e-01 -8.236660235116357587e-01 -6.489936427125752028e-01 -2.869397893681190359e-01 1.392942561346183494e-01 -1.068718402870785789e-01 -1.672207141105445938e-01 -1.474105734163015102e-01 -5.581086250664213377e-01 1.847775711260492004e-01 5.066977697073559161e-01
2.040816326530612082e-02 3.156646216327029242e-01 -2.060624713488159732e-01 -1.336685739160136666e-01 -3.590617916900313289e-01 -6.682543932049116453e-01 2.143977735893881076e-01 1.207612257788583804e-01 -3.604293777771797741e-02 2.638399996217584420e-02 1.116553253828442838e-01 5.596498821379203292e-01 2.219841195777910448e-01 1.004044895805575655e+00 -3.583625619198526485e-02 8.649260041016598732e-02 5.294489415102130447e-01 4.963376804446821278e-01 7.093946329846622101e-01 4.242822873532064443e-01 -5.254455558681880856e-01 1.152793016034034251e-01 -8.144381037203075602e-01 -6.480465996653317351e-01 -2.793917411342102808e-01 1.347266874578873508e-01 -1.085901374599558961e-01 -1.701138756950474895e-01 -1.490106939065009295e-01 -5.531356318457286703e-01 1.844460221750337525e-01 5.035043124190332620e-01
4.081632653061224164e-02 3.154658348464788320e-01 -2.066625010427273479e-01 -1.334111403787452688e-01 -3.589046267313446559e-01 -6.686387551554563435e-01 2.121898233931529265e-01 1.196737704567414073e-01 -3.841037425532345395e-02 2.399024493045649048e-02 1.143881806081019220e-01 5.567779186684602699e-01 2.219023445386084370e-01 1.002093391481034601e+00 -3.314076970994525584e-02 9.098714008771340012e-02 5.325668019959123312e-01 5.010888871527894306e-01 7.104238114845528029e-01 4.168099204343894693e-01 -5.276614259116884087e-01 1.120104345960188930e-01 -8.068600961860757925e-01 -6.472899211583420520e-01 -2.731611553876450160e-01 1.310825242033220872e-01 -1.100839022144503299e-01 -1.725454322988676514e-01 -1.504179857137266096e-01 -5.488489754565998302e-01 1.841969364911151263e-01 5.008509324590384448e-01
6.122448979591836593e-02 3.153260601727052026e-01 -2.071068999975030078e-01 -1.332176492017163594e-01 -3.588356045538191319e-01 -6.689914339343911998e-01 2.107175151669637148e-01 1.190921626291973900e-01 -3.999860836254198748e-02 2.238659630926182267e-02 1.162832452906741587e-01 5.544720558074087702e-01 2.217915024466950158e-01 1.000502975207111955e+00 -3.092826251404970014e-02 9.477573175048718823e-02 5.352095207928191378e-01 5.050912367481120713e-01 7.113526992464274112e-01 4.107115570534964899e-01 -5.295884719646808403e-01 1.094396585709521696e-01 -8.007933190425559067e-01 -6.467177584385951361e-01 -2.681606504709180272e-01 1.282635491010935824e-01 -1.113346322621618784e-01 -1.745797003698136562e-01 -1.516710542995744759e-01 -5.452499311548497651e-01 1.840160643138453456e-01 4.987318882116226759e-01
8.163265306122448328e-02 3.152067895942762821e-01 -2.074473927153617225e-01 -1.330724457519947557e-01 -3.588132706276295769e-01 -6.692971595145172925e-01 2.096709727296753867e-01 1.187559638439528859e-01 -4.112792109223963738e-02 2.124996740080803068e-02 1.176659764929607332e-01 5.525972774090330830e-01 2.216706842073981054e-01 9.991802886676066642e-01 -2.911631404214270677e-02 9.789533742477839195e-02 5.373906063369783270e-01 5.084008431356676905e-01 7.121325670317043555e-01 4.057167754657555747e-01 -5.312149704384988569e-01 1.074051090511556755e-01 -7.959181619372602823e-01 -6.462712879702169344e-01 -2.641287955456171344e-01 1.260513621962554009e-01 -1.123435486891540686e-01 -1.762779297503308251e-01 -1.527589113248804253e-01 -5.422488384078443246e-01 1.838772993430353719e-01 4.970471546841699340e-01
1.020408163265306006e-01 3.150820224657787660e-01 -2.076751254305055083e-01 -1.329589155015422908e-01 -3.588001582959365332e-01 -6.695231712441085392e-01 2.089784820339189997e-01 1.185856522813827918e-01 -4.188613416920954069e-02 2.049653722168589751e-02 1.186197168561941850e-01 5.510918837809007931e-01 2.215130713134444151e-01 9.980653998379664937e-01 -2.772800083663720314e-02 1.002646765532275858e-01 5.390627686289711784e-01 5.109523902214536673e-01 7.127080245132113578e-01 4.018231828473421974e-01 -5.324823659962480971e-01 1.058788983639277342e-01 -7.921673236272769314e-01 -6.459185660119806105e-01 -2.610039929853872898e-01 1.243997067359192826e-01 -1.130763834920177763e-01 -1.776271732606766740e-01 -1.536420758099896477e-01 -5.398481985800397398e-01 1.837810190104383901e-01 4.957734865344730624e-01
1.224489795918367319e-01 3.149351649084456972e-01 -2.077713099346854553e-01 -1.328744663156790073e-01 -3.587800114720998690e-01 -6.696586442870120504e-01 2.086686484505118344e-01 1.185908737841602223e-01 -4.223716048655914990e-02 2.015859206768863543e-02 1.191056369376455870e-01 5.499404063070612025e-01 2.213015982835715711e-01 9.971234146454593938e-01 -2.679944765896005374e-02 1.017963830617760468e-01 5.401804839724295704e-01 5.126807316777489687e-01 7.130531815921374861e-01 3.991055091545153144e-01 -5.333537093960815101e-01 1.048899219569401214e-01 -7.895828930808802548e-01 -6.456449129310217749e-01 -2.588183263969059955e-01 1.233344031813392305e-01 -1.134890965482081709e-01 -1.786059431053598767e-01 -1.542967806901696382e-01 -5.380658378522898966e-01 1.837412655997269773e-01 4.949250992546337935e-01
1.428571428571428492e-01 3.147501449071175017e-01 -2.077242912545376741e-01 -1.328117737052369463e-01 -3.587276430338653954e-01 -6.696869981217579149e-01 2.087228686217638407e-01 1.187552911348735002e-01 -4.219873320628191732e-02 2.021393749732681294e-02 1.191372078002385926e-01 5.490650493954660760e-01 2.210176945566150464e-01 9.962867304239327870e-01 -2.633610674369213714e-02 1.024564342189227262e-01 5.407260748052409305e-01 5.135756988272276446e-01 7.131438484069533290e-01 3.975277053247834869e-01 -5.338130753230572179e-01 1.043991066752367330e-01 -7.880592083574921025e-01 -6.454235905281148211e-01 -2.574770125289395639e-01 1.228049576072166582e-01 -1.135913504046893729e-01 -1.792098243848701256e-01 -1.547066917651597484e-01 -5.368456789899750392e-01 1.837604488030220862e-01 4.944539563081614686e-01
1.632653061224489666e-01 3.145212363665186861e-01 -2.075644847768129964e-01 -1.327611755449136510e-01 -3.586275921229433172e-01 -6.696123362303839643e-01 2.089946373564444682e-01 1.189719160540283205e-01 -4.192486796546900096e-02 2.050699232415243226e-02 1.188763982632883576e-01 5.483805899643156012e-01 2.206768676347810598e-01 9.955071107859155832e-01 -2.626145711624246204e-02 1.023428046145073295e-01 5.407682399970081821e-01 5.137471436796015034e-01 7.129924160900147356e-01 3.968752612506245003e-01 -5.339019233375890128e-01 1.042865865007365639e-01 -7.873514762810022161e-01 -6.452252593063371178e-01 -2.567834498857215486e-01 1.226667851805535447e-01 -1.134197148485151935e-01 -1.794955051645991118e-01 -1.548859124480728711e-01 -5.360910247897173742e-01 1.838208398809211275e-01 4.942737871532302263e-01
1.836734693877550839e-01 3.142539812399312571e-01 -2.073221560286879206e-01 -1.327251279643363036e-01 -3.584963552806042508e-01 -6.694561847357703988e-01 2.094125396373754666e-01 1.191999451408820715e-01 -4.148987291829111385e-02 2.096462657129266605e-02 1.184096385097181958e-01 5.478757088004579945e-01 2.202967097518403472e-01 9.947901500055891244e-01 -2.650192957783864892e-02 1.015893828178832670e-01 5.404016441565641093e-01 5.133244135965751020e-01 7.126460891682501186e-01 3.969929500635157593e-01 -5.336934836585305320e-01 1.044935877598599100e-01 -7.873391372442845038e-01 -6.450482885397088584e-01 -2.566481476715272714e-01 1.228567438380115395e-01 -1.129962967359694065e-01 -1.795297483489822210e-01 -1.548813206045035473e-01 -5.357507490878704592e-01 1.839164683662570798e-01 4.943558437083743762e-01
