x y
0.000000000000000000e+00 1.674689729584742381e-01
2.040816326530612082e-02 1.720518207097904706e-01
4.081632653061224164e-02 1.763813599673692833e-01
6.122448979591836593e-02 1.806362627459247583e-01
8.163265306122448328e-02 1.845005782877011113e-01
1.020408163265306006e-01 1.876306750517367505e-01
1.224489795918367319e-01 1.903830494767131398e-01
1.428571428571428492e-01 1.931097845903547161e-01
1.632653061224489666e-01 1.958258392576352480e-01
1.836734693877550839e-01 1.986533903670968659e-01
2.040816326530612013e-01 2.017213748807869522e-01
2.244897959183673186e-01 2.050781222636326173e-01
2.448979591836734637e-01 2.091607329021753781e-01
2.653061224489795533e-01 2.141488487980986177e-01
2.857142857142856984e-01 2.197850946969124308e-01
3.061224489795917880e-01 2.258201048270104816e-01
3.265306122448979331e-01 2.319757287531478696e-01
3.469387755102040782e-01 2.379683731014420045e-01
3.673469387755101678e-01 2.430218838648235125e-01
3.877551020408163129e-01 2.472869596612518039e-01
4.081632653061224025e-01 2.507517174803250426e-01
4.285714285714285476e-01 2.534331701605202491e-01
4.489795918367346372e-01 2.554342144534869075e-01
4.693877551020407823e-01 2.567722485981164260e-01
4.897959183673469274e-01 2.572937891101082508e-01
5.102040816326530726e-01 2.566906585939277008e-01
5.306122448979591066e-01 2.547443187224676109e-01
5.510204081632652517e-01 2.512904331024939930e-01
5.714285714285713969e-01 2.465204248636890805e-01
5.918367346938775420e-01 2.414294080305950663e-01
6.122448979591835760e-01 2.365865016115205333e-01
6.326530612244897211e-01 2.335006556189409277e-01
6.530612244897958663e-01 2.320690135017222655e-01
6.734693877551020114e-01 2.320989495519945045e-01
6.938775510204081565e-01 2.343677440729816375e-01
7.142857142857141906e-01 2.394156026594892461e-01
7.346938775510203357e-01 2.474816993959545741e-01
7.551020408163264808e-01 2.598287839081058759e-01
7.755102040816326259e-01 2.772737898332289785e-01
7.959183673469386600e-01 3.031474262068354353e-01
8.163265306122448051e-01 3.375562685237767369e-01
8.367346938775509502e-01 3.753217863969415813e-01
8.571428571428570953e-01 4.121434516555277372e-01
8.775510204081632404e-01 4.377275080139555463e-01
8.979591836734692745e-01 4.502056053740237651e-01
9.183673469387754196e-01 4.507849275358987717e-01
9.387755102040815647e-01 4.452195903659929010e-01
9.591836734693877098e-01 4.381910456495219375e-01
9.795918367346938549e-01 4.319270101607827761e-01
1.000000000000000000e+00 4.327610291903082329e-01
