x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99 y_base
1.000000000000000000e+00 -4.235164736271501695e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 -2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.235164736271501695e-19 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 4.235164736271501695e-19 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 -4.235164736271501695e-19 0.000000000000000000e+00 -2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 4.235164736271501695e-19 4.235164736271501695e-19 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.235164736271501695e-19 0.000000000000000000e+00 4.235164736271501695e-19 0.000000000000000000e+00 4.235164736271501695e-19
1.005102040816326481e+00 5.007520614351493315e-02 3.929571192336964169e-02 4.644154156875512918e-02 4.064306594168999587e-02 4.277805302867947190e-02 5.318751097728730698e-02 4.466607419048309463e-02 4.706474210928946605e-02 3.283890691600628575e-02 4.313525239780052062e-02 3.955122155543098345e-02 4.532296169570100564e-02 4.593058065749936608e-02 5.026866601090185238e-02 5.925342245259291457e-02 4.234077454417300990e-02 4.171291730257121327e-02 4.240618342990857409e-02 4.120742750848269131e-02 4.188427768602355494e-02 4.244754526214463558e-02 4.000533728314629306e-02 4.779509245360216013e-02 4.628344332393364430e-02 4.410384972266839093e-02 3.907703676843651830e-02 4.390068875214888505e-02 5.634760140749060092e-02 4.470289889657514532e-02 4.521565575133985881e-02 5.388081699271484587e-02 5.116896009231516884e-02 4.723443082354667616e-02 3.583777036877562605e-02 4.170036001743587795e-02 4.285187061776473544e-02 4.280673894907829902e-02 4.877216475000777096e-02 4.233719686634991597e-02 4.352344523488257955e-02 3.833668265567909128e-02 4.814466664620606351e-02 4.162667601369007819e-02 4.147290600196497368e-02 4.605483836462197916e-02 5.609273882238365733e-02 4.490288695978074396e-02 4.236239255696573613e-02 4.399617009667915885e-02 4.136168042747013357e-02 4.219563266570320464e-02 5.209745162952957725e-02 4.965384999024897994e-02 3.679321616023959601e-02 4.860735595374079954e-02 5.143484100900283518e-02 5.249025427173400343e-02 5.386251454757338963e-02 4.176238025644464502e-02 4.629269821416621272e-02 4.535167239377603521e-02 4.093604112271655854e-02 3.426304314628979275e-02 4.731106342526689157e-02 4.463811690574017582e-02 4.788724479568040593e-02 5.402633953125354771e-02 4.242036352626205736e-02 3.920465032662030086e-02 4.987460247592693380e-02 3.930363573823893175e-02 4.034635669275389580e-02 3.872717936355232066e-02 5.231003900453883720e-02 4.368904683768904534e-02 4.199909624161512339e-02 3.853056610099666462e-02 3.975692614849160589e-02 4.339287851305235338e-02 4.728500256354364190e-02 4.453651383638555783e-02 5.070102241279949434e-02 4.847468031275522365e-02 5.064726382681139505e-02 5.430121226063827633e-02 3.942292409962814409e-02 4.012031871375161540e-02 4.262714601224094901e-02 5.302070022270770344e-02 4.557275404167267230e-02 4.517629922000770959e-02 5.305014968902792283e-02 4.356300540657541409e-02 3.651118557885796312e-02 5.354765696942743319e-02 3.882160849925412466e-02 4.325740005051735559e-02 4.236285739493101526e-02 5.122655260264191018e-02 4.548682489354898689e-02 4.552546871008714829e-02
1.010204081632652962e+00 1.040230161420766797e-01 8.241116778234838791e-02 9.643119968446656198e-02 8.487032154973891962e-02 8.910540673280624435e-02 1.108319569735808363e-01 9.315867237983435634e-02 9.782559511666855112e-02 6.887800009025334125e-02 8.978242186794999080e-02 8.307748205336630554e-02 9.407296530802106149e-02 9.536031737744651848e-02 1.042180090850982899e-01 1.225519353816180157e-01 8.859190265462213443e-02 8.719007352125615617e-02 8.837659161664263019e-02 8.605235932930307974e-02 8.745773859924543814e-02 8.873180127568741637e-02 8.388767105668931690e-02 9.976930690356128340e-02 9.606495320417242356e-02 9.169215515618041323e-02 8.132390541547304674e-02 9.162065082631716539e-02 1.169507465734247603e-01 9.320908037508676691e-02 9.425644326816327856e-02 1.114959350814987704e-01 1.063305083550770136e-01 9.839150470121199588e-02 7.516615847221257141e-02 8.689301589258055514e-02 8.926543434798600574e-02 8.934329653599570875e-02 1.013802783661836432e-01 8.834289201201465935e-02 9.045793075811711659e-02 8.037370815142484692e-02 1.000516569642489473e-01 8.674363901513086617e-02 8.661332480038459736e-02 9.594703770250002928e-02 1.163267512357569061e-01 9.354503519730672512e-02 8.818108253604983737e-02 9.152020296261771659e-02 8.665171700407138522e-02 8.796145009323624864e-02 1.081508543138676726e-01 1.029468954212033882e-01 7.693575608952761546e-02 1.010685261082592268e-01 1.069612641753625720e-01 1.089365313339850649e-01 1.117785311842727225e-01 8.741232996650874498e-02 9.616796676029283619e-02 9.448268365081326225e-02 8.549809668794197681e-02 7.236371627504747939e-02 9.823118692720793355e-02 9.298973005647173662e-02 9.930552023727780286e-02 1.122818314715214177e-01 8.860327780600871228e-02 8.222645897351912869e-02 1.035344412015689192e-01 8.225498261955692392e-02 8.436058481321159763e-02 8.121855913856160236e-02 1.086749357969998414e-01 9.111001529871379234e-02 8.765335128476786641e-02 8.081398995265620666e-02 8.335266161636054050e-02 9.051926142642979789e-02 9.845251886562748911e-02 9.270503293065575356e-02 1.053144599446148855e-01 1.006289770825507385e-01 1.049459124639714747e-01 1.123991878171081149e-01 8.253928435237861683e-02 8.384652822372878900e-02 8.884806757036281533e-02 1.099747018986058783e-01 9.513413512131918548e-02 9.439055851724406643e-02 1.098382467918724986e-01 9.089970935548376263e-02 7.642247373796284826e-02 1.108829529101821032e-01 8.110299667100773213e-02 9.025349727391547561e-02 8.857872712076453325e-02 1.064218138090862603e-01 9.435732083479740628e-02 9.482263158664236413e-02
1.015306122448979664e+00 1.618948392282416604e-01 1.294024539882125124e-01 1.500046338174952920e-01 1.327274538253513936e-01 1.390216422579105549e-01 1.730131096519946232e-01 1.455262737829509379e-01 1.523258157178884742e-01 1.081512643363558013e-01 1.399786784197499800e-01 1.306607664275262204e-01 1.462871397965454789e-01 1.483302109801467872e-01 1.618920738711910889e-01 1.899493835960603394e-01 1.388079630055871205e-01 1.364962100238911180e-01 1.379470550677943386e-01 1.345803856842978929e-01 1.367668890564577577e-01 1.389116603170223729e-01 1.317019207473080489e-01 1.559989973308540390e-01 1.493800527480351192e-01 1.428031471737175873e-01 1.267644365042566446e-01 1.432078416234393858e-01 1.818745225571318236e-01 1.455655071427302827e-01 1.471826056974514518e-01 1.728835854013564266e-01 1.655322195272015129e-01 1.535383870033488751e-01 1.180258956150733729e-01 1.356132469577769895e-01 1.392827723192834044e-01 1.396562906214523780e-01 1.578846059421797343e-01 1.380634077899024481e-01 1.408352332737324297e-01 1.261685237162425699e-01 1.557659994115984936e-01 1.353827171025887011e-01 1.354784042735838467e-01 1.497347706450163352e-01 1.807646545357115275e-01 1.459808144319274803e-01 1.374917593875967237e-01 1.426124035783686017e-01 1.359258580898478341e-01 1.373474989652860023e-01 1.682204028129472284e-01 1.599190558215986824e-01 1.204679286304207592e-01 1.574401141659086956e-01 1.666439584932930262e-01 1.693874431491977361e-01 1.737993897824091361e-01 1.370124734432109914e-01 1.496616279102379599e-01 1.474392437178179138e-01 1.337340228570192968e-01 1.143538867162829376e-01 1.527927956209374771e-01 1.450958763574163868e-01 1.542897681559460832e-01 1.748243813021994886e-01 1.385965403159445664e-01 1.291259988611212217e-01 1.610233415354530850e-01 1.289076667795186759e-01 1.320913098141878461e-01 1.275276120157012583e-01 1.691601080075243457e-01 1.423200900303282501e-01 1.370073137433280575e-01 1.269058237591366156e-01 1.308422503926999769e-01 1.414270480290299170e-01 1.535615588755785410e-01 1.445462776470778365e-01 1.638902196559031688e-01 1.564983719456365663e-01 1.629347619498106581e-01 1.743365638056010580e-01 1.294004705758417251e-01 1.312224194834272495e-01 1.386972215093493499e-01 1.709155071111528590e-01 1.487414412074870296e-01 1.477081665713775582e-01 1.704056921683410886e-01 1.420649237207866900e-01 1.197748483954756138e-01 1.720489984428690555e-01 1.268796897283592240e-01 1.410415094930415891e-01 1.387032760859587266e-01 1.656445595943782934e-01 1.466425897744168816e-01 1.479411707132896880e-01
1.020408163265306145e+00 2.237396975859588799e-01 1.803227073270066982e-01 2.071960334376653223e-01 1.842579145979832411e-01 1.925645384175267705e-01 2.398065978096428352e-01 2.018150202051646469e-01 2.106067270373762068e-01 1.506910166986039634e-01 1.937595509163049234e-01 1.823784967721532868e-01 2.020010430785731947e-01 2.048794659530394913e-01 2.233330002095472167e-01 2.614972806439960218e-01 1.930407454852492988e-01 1.896926528488155350e-01 1.911518180368477482e-01 1.868348743353949737e-01 1.898559626850296611e-01 1.930429684312232608e-01 1.835001458499635751e-01 2.165564870383379359e-01 2.062628057568259843e-01 1.974733793111768942e-01 1.754215852333663728e-01 1.987078936248551642e-01 2.511808879875545575e-01 2.018168977016177867e-01 2.040513315022051410e-01 2.380805412661252396e-01 2.288195311319338732e-01 2.127387987733862229e-01 1.644556686690834824e-01 1.878947678627296280e-01 1.929440066717665880e-01 1.937900745353677012e-01 2.183424403816179582e-01 1.915428185912991521e-01 1.946858511451436402e-01 1.757755345843519390e-01 2.153306899779516004e-01 1.875743959098364610e-01 1.881223508032507929e-01 2.074733131008424936e-01 2.494660942061722175e-01 2.022619063980144738e-01 1.903285544401331908e-01 1.973112607801593976e-01 1.892369579624695874e-01 1.904013568567315684e-01 2.323633973412076725e-01 2.206086002821000536e-01 1.674280679411316031e-01 2.177759757615796432e-01 2.305444097860286368e-01 2.338894385925428532e-01 2.399741142427181395e-01 1.906221374834582427e-01 2.068080196268378967e-01 2.042653867177815774e-01 1.856893049557441222e-01 1.602826050228761678e-01 2.110270611142227304e-01 2.009957251160807978e-01 2.128735509259237768e-01 2.417091624463628685e-01 1.924455995574424205e-01 1.799606101559717009e-01 2.223832094983320684e-01 1.793125409411049365e-01 1.835847141018234208e-01 1.777050193588456672e-01 2.338277534853304973e-01 1.973735655793832922e-01 1.901033891853610158e-01 1.768586955559394713e-01 1.822778613741807552e-01 1.961618160211291151e-01 2.126681975873201125e-01 2.000991308538375979e-01 2.264759247681880916e-01 2.161169268420115863e-01 2.246510719961316571e-01 2.401542445755289468e-01 1.800552265009326691e-01 1.822896454281431045e-01 1.922075689333628823e-01 2.358941637320765561e-01 2.064490819493908780e-01 2.051911089002674826e-01 2.347922178758241329e-01 1.971107072518324954e-01 1.666072632738386794e-01 2.370871370393858590e-01 1.761855770174348690e-01 1.956720042708872676e-01 1.927893231338610180e-01 2.289507370398484176e-01 2.023725529539739665e-01 2.049283804031434009e-01
1.025510204081632626e+00 2.896044558007471736e-01 2.352223851036265578e-01 2.680382793080019477e-01 2.395031369388075648e-01 2.497702570641888442e-01 3.112842670522442123e-01 2.620689431939810521e-01 2.727079147994508346e-01 1.965280785777085426e-01 2.511591004842098629e-01 2.383039149609361140e-01 2.612488280165931043e-01 2.650456734514657353e-01 2.885812154842891109e-01 3.372450345695432450e-01 2.513395114080165249e-01 2.468376121971141424e-01 2.480237095371216616e-01 2.428571870718145842e-01 2.467671409939718730e-01 2.511788012146992655e-01 2.393318113578410122e-01 2.815104167252531209e-01 2.667459762324567718e-01 2.557379027063400589e-01 2.273175469966856599e-01 2.581643427272719005e-01 3.249289584633805461e-01 2.620059464383238668e-01 2.649170296536061397e-01 3.071222802359608317e-01 2.962359583097133875e-01 2.760533196370155706e-01 2.144923230679849913e-01 2.437698966043057025e-01 2.502874966467182882e-01 2.517869574863578763e-01 2.828083706258340269e-01 2.488231690639958749e-01 2.520391512007351120e-01 2.292463781265842437e-01 2.787868956857952329e-01 2.433479721159743092e-01 2.445966945726266994e-01 2.692153092348061327e-01 3.224880160679618468e-01 2.624375534723206727e-01 2.467242079543152666e-01 2.556536324806335525e-01 2.466352446319373670e-01 2.471683632672591890e-01 3.006345081568153055e-01 2.850523224020845570e-01 2.178527283172410345e-01 2.821274722157722792e-01 2.987211896141220846e-01 3.024870187094074181e-01 3.103496394032602135e-01 2.482976457119004665e-01 2.676401588520317953e-01 2.650031857446578099e-01 2.414072836993585158e-01 2.101963685795835424e-01 2.729640492926739270e-01 2.607267706998561696e-01 2.750892060621342172e-01 3.129888755835771308e-01 2.501937821802117656e-01 2.347846893394318624e-01 2.876542273563333363e-01 2.335179388907807629e-01 2.388847690875504082e-01 2.317989298245750895e-01 3.027371392504890069e-01 2.563221090807437652e-01 2.469820511973523092e-01 2.307225765968417830e-01 2.377090537603051001e-01 2.547670460283106841e-01 2.758258425201394748e-01 2.594008269030598224e-01 2.931171377582907356e-01 2.795174442811069193e-01 2.901307145727732295e-01 3.098915833168814915e-01 2.345498962075787674e-01 2.370879313074202854e-01 2.494107408703557793e-01 3.049594993889621630e-01 2.683088459441997919e-01 2.668982712784507827e-01 3.030360642340590438e-01 2.560866199287327172e-01 2.169568417146161277e-01 3.060371297086370013e-01 2.290530858974406947e-01 2.541931460285548616e-01 2.508871019768494914e-01 2.963937251929216199e-01 2.615760898670396184e-01 2.658293959537503803e-01
1.030612244897959107e+00 3.595340331441478354e-01 2.941495151660928342e-01 3.325630923810920514e-01 2.985027352975606063e-01 3.106735143557068368e-01 3.875145131212892058e-01 3.263301741020510072e-01 3.386674086554740670e-01 2.456919346812576621e-01 3.122100806616852631e-01 2.985064374109542285e-01 3.240633957515282049e-01 3.288649804614706129e-01 3.576756124601713216e-01 4.172401568205436617e-01 3.137512342840792501e-01 3.079864599002021253e-01 3.085943012039021327e-01 3.026868798903008528e-01 3.075407573350975587e-01 3.133697191468775567e-01 2.992440333756057336e-01 3.509260670825772310e-01 3.308611756386030112e-01 3.176304277122375952e-01 2.824738637605701541e-01 3.216188375344355421e-01 4.031752708506035066e-01 3.261735271160919325e-01 3.298315844800460139e-01 3.800431337668105924e-01 3.678232924195005138e-01 3.435396684609623441e-01 2.681710503968390280e-01 3.032697096375499002e-01 3.113500198341744296e-01 3.136874083602488872e-01 3.513345300714068586e-01 3.099446759027217335e-01 3.129235041680896168e-01 2.866301776534509460e-01 3.461741427176416863e-01 3.027316950335878776e-01 3.049505352204276987e-01 3.350110168167689806e-01 3.998849182925362511e-01 3.265547888144105793e-01 3.067102233734274597e-01 3.176749168314353944e-01 3.081685676580139255e-01 3.076918334198136540e-01 3.730860205785833106e-01 3.532857019291294476e-01 2.717768642791508205e-01 3.505437054492741011e-01 3.712302228582058383e-01 3.752229357641534424e-01 3.849710209035510644e-01 3.100925911685502578e-01 3.321898922399461607e-01 3.296929514521340088e-01 3.009293644484214436e-01 2.641393654235643096e-01 3.386328566040938681e-01 3.243250105193437038e-01 3.409679889238814710e-01 3.887139886120248855e-01 3.118825030116024188e-01 2.936499568674514893e-01 3.568750343860963570e-01 2.915699110173609609e-01 2.980334498303164326e-01 2.898551986746912834e-01 3.759448691616390503e-01 3.192150034860175012e-01 3.076820365109281252e-01 2.885450288414419528e-01 2.971830226485968618e-01 3.172843292431931084e-01 3.430854814001242925e-01 3.224871262421349916e-01 3.638575667038110306e-01 3.467316152372392213e-01 3.594083296313913545e-01 3.835865499019676661e-01 2.929286521321650127e-01 2.956552691243800601e-01 3.103371911273334893e-01 3.781583379743030382e-01 3.343701480917170010e-01 3.328857207486335956e-01 3.751741434406886677e-01 3.190399583918342996e-01 2.708590613797873248e-01 3.789373256931986567e-01 2.855133422815950284e-01 3.166509247543268790e-01 3.130445045423752570e-01 3.680245765831686722e-01 3.242811664428928986e-01 3.306874052539736097e-01
1.035714285714285809e+00 4.335715999914676599e-01 3.571499273237215832e-01 4.008011712519970460e-01 3.612946905962281519e-01 3.753077389939427633e-01 4.685625908388141303e-01 3.946391383570075351e-01 4.085218497980921404e-01 2.982108798062835242e-01 3.769440853013343862e-01 3.630519840579417012e-01 3.904765373509777593e-01 3.963722461793841578e-01 4.306537137097733448e-01 5.015284555829226942e-01 3.803208226126986724e-01 3.731919865082434784e-01 3.728940530152099475e-01 3.663618881052467247e-01 3.722154855137508322e-01 3.796640040065995536e-01 3.632818064093789046e-01 4.248656578079249013e-01 3.986389988581872101e-01 3.831834732039835489e-01 3.409115219778973138e-01 3.891113328981919972e-01 4.859740280629738507e-01 3.943588810298600533e-01 3.988445916989179496e-01 4.568764253979639700e-01 4.436217846442424007e-01 4.152529634239985890e-01 3.255255617476890961e-01 3.664241850602140138e-01 3.761669397082261779e-01 3.795302441678303773e-01 4.239708266637422507e-01 3.749459144575538194e-01 3.773664096157683945e-01 3.479737774154353369e-01 4.175304903399716383e-01 3.657528971967503595e-01 3.692307693246383860e-01 4.049085344156003186e-01 4.817090847945711407e-01 3.946586494121896438e-01 3.703170097530153471e-01 3.834092104001744494e-01 3.738826274773590086e-01 3.720132561248674641e-01 4.497680619013958991e-01 4.253430541100983175e-01 3.292339970450010589e-01 4.230717354774236605e-01 4.481250355756303816e-01 4.521383773122817362e-01 4.638816292974136668e-01 3.760580887702362762e-01 4.004880353010926708e-01 3.983734156677662952e-01 3.642952107791861960e-01 3.221536997703752236e-01 4.080617357335922790e-01 3.918251094586907568e-01 4.105402044413887230e-01 4.689329587199400629e-01 3.775514592871916375e-01 3.566057050264977990e-01 4.300828939522223782e-01 3.535124423384526926e-01 3.610709335855805113e-01 3.519176092365318143e-01 4.535051318944831045e-01 3.860993727940739695e-01 3.722405254027937316e-01 3.503714340398743632e-01 3.607448263210372152e-01 3.837535594733094135e-01 4.144959115114827952e-01 3.893924767535986708e-01 4.387392561501150534e-01 4.177901556293784346e-01 4.325174689554194818e-01 4.612758859962006741e-01 3.552337060368501720e-01 3.580280973892627228e-01 3.750163373324139071e-01 4.555357000157874148e-01 4.046802585364953075e-01 4.032069659046652599e-01 4.512421907673431765e-01 3.860159738701787191e-01 3.283479249877890860e-01 4.558248202460692400e-01 3.455963188617445780e-01 3.830893676912668355e-01 3.793073062059600931e-01 4.438922408501136951e-01 3.905149532875553109e-01 3.995438445405388728e-01
1.040816326530612290e+00 5.117587595717817406e-01 4.242674675565577536e-01 4.727823190475597404e-01 4.279155214179012900e-01 4.437052184299226099e-01 5.544909004845830491e-01 4.670347351338592912e-01 4.823066459062794187e-01 3.541121543832467244e-01 4.453916851649017961e-01 4.320032834515113440e-01 4.605190646666096344e-01 4.676011865814022617e-01 5.075518236510589976e-01 5.901542147194550614e-01 4.510913260528205959e-01 4.425046395189396464e-01 4.409524478031853212e-01 4.339186975301171367e-01 4.408285142114067301e-01 4.501078777910292872e-01 4.314882137119362415e-01 5.033886247935337455e-01 4.701091497158608745e-01 4.524285045194345045e-01 4.026510427021711691e-01 4.606802689018678620e-01 5.733773257891350283e-01 4.665997909869913363e-01 4.720035770400358710e-01 5.376545983595618639e-01 5.236703157406956688e-01 4.912459630356175722e-01 3.865882479230635660e-01 4.332623347860788399e-01 4.447723604925513663e-01 4.493528043048009568e-01 5.007651560390145029e-01 4.438639913098800238e-01 4.453946112131432766e-01 4.133219602089562850e-01 4.928926917035431621e-01 4.324381147985694174e-01 4.374823010772015963e-01 4.789540118000734092e-01 5.680108014009608297e-01 4.667923733175883827e-01 4.375740132759748380e-01 4.528894543513524718e-01 4.438211876314043791e-01 4.401724769105031521e-01 5.307288115680659502e-01 5.012576676938043096e-01 3.902563684222889462e-01 4.997567817930521072e-01 5.294569846077564756e-01 5.332731364330371981e-01 5.471233296083094499e-01 4.462430091509627106e-01 4.725645008488061349e-01 4.710819011686804836e-01 4.315429235532008967e-01 3.842796006242579221e-01 4.812782114915942211e-01 4.632605517874189838e-01 4.838353287106705869e-01 5.536924379158519871e-01 4.472388102783488306e-01 4.236990274675847545e-01 5.073138479399730283e-01 4.193876543297720416e-01 4.280357834761672753e-01 4.180280778539319786e-01 5.354699307036775435e-01 4.570203906326534282e-01 4.406933084851192284e-01 4.162452057962428009e-01 4.284375965983599488e-01 4.542131107748853536e-01 4.901039520926142590e-01 4.601501628358856122e-01 5.178027636711618475e-01 4.927229322655412580e-01 5.094907290466325067e-01 5.429952484109723532e-01 4.215055042238873284e-01 4.242414673012690485e-01 4.434766910731294809e-01 5.371349881259916970e-01 4.792845145821194031e-01 4.779131979958335941e-01 5.312749042862086046e-01 4.570580739244087254e-01 3.894561181438895847e-01 5.367356004739268771e-01 4.093309719600800034e-01 4.535507352840794648e-01 4.497193742727966237e-01 5.240437718265339440e-01 4.603039347518693702e-01 4.724385795019933054e-01
1.045918367346938771e+00 5.941357161571202417e-01 4.955441963063726418e-01 5.485355605638293497e-01 4.984004423415906437e-01 5.158972339524073858e-01 6.453592532821441630e-01 5.435545035336822872e-01 5.600561143844789980e-01 4.134220696389047656e-01 5.175825540749674492e-01 5.054201557338281470e-01 5.342209312257564235e-01 5.425845080813855859e-01 5.884051691368220594e-01 6.831603594003099467e-01 5.261041262208023817e-01 5.159727441502479639e-01 5.127981154159131361e-01 5.053925027837724571e-01 5.134157082930621563e-01 5.247457054463886550e-01 5.039046219559110140e-01 5.865518771072760762e-01 5.453005568669279102e-01 5.253960609013872407e-01 4.677125645129949771e-01 5.363627363871540377e-01 6.654353625183391241e-01 5.429327421871222858e-01 5.493541987618452138e-01 6.224093334136868716e-01 6.080065529859984830e-01 5.715692895206302415e-01 4.513903274854360048e-01 5.038123265514964366e-01 5.171992703183787565e-01 5.231911116974142795e-01 5.817635989819048836e-01 5.167347038770842005e-01 5.170342030558323643e-01 4.827176488886977257e-01 5.722963425166023299e-01 5.028131987619988141e-01 5.097482374065392952e-01 5.571918448042956218e-01 6.588385560869020052e-01 5.429975822590060730e-01 5.085098386892775713e-01 5.261475695445325673e-01 5.180262711793791608e-01 5.122078675262774494e-01 6.160146958517309645e-01 5.810619324526237195e-01 4.548750830718353844e-01 5.806424098469225026e-01 6.152754703018239457e-01 6.186657691720107710e-01 6.347366474291389338e-01 5.206941952712094146e-01 5.484484175699986253e-01 5.478544786676043943e-01 5.027092065798566267e-01 4.505556147456549754e-01 5.583091876729306957e-01 5.386637815083383796e-01 5.608821212367379738e-01 6.430374632635981191e-01 5.209813434205352589e-01 4.949750317870187932e-01 5.886028595057805068e-01 4.892359917718591689e-01 4.989651184067368517e-01 4.882268435687219799e-01 6.218892963282640629e-01 5.320214734371293552e-01 5.130749409176016407e-01 4.862079858864777338e-01 5.003027335332860259e-01 5.287000017616023673e-01 5.699546410466576063e-01 5.347924431591591921e-01 6.010873232063650429e-01 5.715590790638673813e-01 5.903598738883765185e-01 6.287793415966028698e-01 4.917829081796629698e-01 4.943291963870028449e-01 5.157459779699119506e-01 6.229981586562639562e-01 5.582265168562514646e-01 5.570535142838578535e-01 6.153060740037459286e-01 5.322080092187989608e-01 4.542151552428808636e-01 6.217046801572237991e-01 4.767453678783675763e-01 5.280757025677704775e-01 5.243228609652407224e-01 6.085245193181360035e-01 5.336740095365140046e-01 5.494100728358413122e-01
