x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99 y_base
1.000000000000000000e+00 -4.235164736271501695e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 -2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.235164736271501695e-19 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 4.235164736271501695e-19 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 -4.235164736271501695e-19 0.000000000000000000e+00 -2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 4.235164736271501695e-19 4.235164736271501695e-19 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.235164736271501695e-19 0.000000000000000000e+00 4.235164736271501695e-19 0.000000000000000000e+00 4.235164736271501695e-19
1.002547774829871452e+00 2.509018273443295102e-02 1.975840742652466842e-02 2.326874369370746792e-02 2.040675168920874638e-02 2.145669875307847432e-02 2.667604051680643948e-02 2.241433528413898021e-02 2.358800676706468771e-02 1.651667862193236663e-02 2.163018134686197150e-02 1.989404441294552808e-02 2.270437737246407822e-02 2.301059479501426155e-02 2.516987222761429832e-02 2.963992247241768394e-02 2.127112301258905769e-02 2.094623859145867614e-02 2.127636022025591184e-02 2.068725630869866841e-02 2.102867418905487312e-02 2.131500808987106185e-02 2.011179260103684863e-02 2.398627743928484143e-02 2.318665284994027992e-02 2.210756781187310158e-02 1.959780764712163587e-02 2.203478083303538754e-02 2.822113653284553589e-02 2.243025459719755546e-02 2.268308945760164758e-02 2.696204188881936442e-02 2.564265274384372809e-02 2.368970158770310544e-02 1.802084502106356123e-02 2.092083648260667506e-02 2.149301525432187332e-02 2.148532790134513593e-02 2.444347225889929517e-02 2.124811843485486379e-02 2.181578006101948797e-02 1.927243442199833012e-02 2.412614195740496806e-02 2.088398527839056829e-02 2.082104102698412867e-02 2.309935287736898657e-02 2.808619782581694979e-02 2.252256355921879519e-02 2.124295459746054771e-02 2.205718634956621571e-02 2.078822984205890359e-02 2.117133085561445291e-02 2.609628383961454592e-02 2.486169012857184987e-02 1.848217509779552514e-02 2.436113244227998062e-02 2.577951653807947219e-02 2.629026424409440510e-02 2.697600537474130825e-02 2.098173531360010211e-02 2.319791038043464079e-02 2.274823363040289273e-02 2.055161432563741911e-02 1.727216395483817737e-02 2.370301681639286687e-02 2.238965670589696672e-02 2.398241127957441432e-02 2.707316055582890957e-02 2.130047362827208399e-02 1.971229267826194245e-02 2.498426344671986904e-02 1.974725669201062364e-02 2.026600072351631560e-02 1.947271630620864974e-02 2.620879349383528623e-02 2.192162800436445527e-02 2.108058629401377351e-02 1.937504315116084924e-02 1.998732900638548055e-02 2.177716959739219721e-02 2.371178712053803248e-02 2.233454608473633279e-02 2.540267510974438328e-02 2.428585383666019906e-02 2.535563428697467855e-02 2.717209144772807575e-02 1.981303246403998478e-02 2.014883501434770741e-02 2.138742832815434744e-02 2.655345862186950234e-02 2.287384628904658504e-02 2.268055253238445215e-02 2.655001445380061886e-02 2.186254572397604290e-02 1.834657787341544347e-02 2.679978113504722162e-02 1.949504264267833478e-02 2.170857238919897750e-02 2.127601910046066080e-02 2.566589780259069531e-02 2.278291082849974447e-02 2.283291130698417853e-02
1.005089091390734879e+00 5.215819944340085307e-02 4.158639177521163827e-02 4.834637925932416119e-02 4.271263267306776856e-02 4.476549655438544911e-02 5.567513007831320637e-02 4.684103810420991304e-02 4.907411083380396055e-02 3.477222436880598316e-02 4.508392703300933418e-02 4.195075274814129979e-02 4.714953975841146283e-02 4.780182921896318493e-02 5.218915269128564932e-02 6.126291747674979249e-02 4.463652974139262902e-02 4.389357274058616060e-02 4.442040813238503499e-02 4.330251642409314178e-02 4.401166526443831689e-02 4.467248952716009608e-02 4.232324353147508961e-02 5.017510053715501517e-02 4.815066351479832529e-02 4.600855045200521326e-02 4.084284625008777897e-02 4.608632376552442705e-02 5.859728986450676164e-02 4.685733228985598103e-02 4.736757151732250148e-02 5.576808167151812989e-02 5.333145833887868031e-02 4.941994180016284766e-02 3.793688389751696810e-02 4.366984132925776779e-02 4.484475544740820080e-02 4.494104291969482079e-02 5.085323992150700412e-02 4.443129507983321902e-02 4.538471528920488829e-02 4.054562145054194794e-02 5.018122817473511660e-02 4.359665342588817105e-02 4.358364949395839710e-02 4.819887912652480455e-02 5.825484713227597339e-02 4.699455983236917184e-02 4.428192829204583014e-02 4.593745646237277352e-02 4.369406337428692610e-02 4.421262421825666172e-02 5.419945979609735315e-02 5.155355494666450517e-02 3.875389597986786394e-02 5.070347657823434662e-02 5.366310726748669407e-02 5.458615948669559570e-02 5.600563130800974981e-02 4.404706072618697066e-02 4.822946695671724571e-02 4.746974438497451876e-02 4.302613692699346765e-02 3.668699914583582744e-02 4.924619732182509979e-02 4.671856187847064218e-02 4.974528224985368119e-02 5.631350665153297963e-02 4.459752357794088962e-02 4.149217629476069369e-02 5.189256913810622734e-02 4.144969641197896598e-02 4.248973550492256973e-02 4.098537320840123926e-02 5.448650770419877915e-02 4.580142893613333571e-02 4.409187367491203963e-02 4.078420194097528290e-02 4.205178535324301942e-02 4.551985580196669934e-02 4.943910093494270630e-02 4.655524283894342530e-02 5.280275319439698550e-02 5.044429542562538227e-02 5.253812596143710850e-02 5.622353590796295292e-02 4.161112075859350889e-02 4.221810030353247839e-02 4.466003742963015055e-02 5.508967232624636251e-02 4.785497959837599347e-02 4.750372596818802640e-02 5.495535219747436223e-02 4.571340951080629655e-02 3.851981031361519092e-02 5.548164345023156446e-02 4.083069412154689826e-02 4.538613648467494655e-02 4.460738314303383523e-02 5.335800142126929241e-02 4.727745796568359749e-02 4.763091753484068047e-02
1.007623998547563238e+00 8.120730229536735068e-02 6.548950697544334010e-02 7.523135326038343784e-02 6.692001387509952104e-02 6.992645474945506645e-02 8.700928056888117268e-02 7.328250015787207694e-02 7.645912144560618184e-02 5.476613822909670581e-02 7.036049512510526849e-02 6.618528394459399777e-02 7.333503488879483667e-02 7.437445608633072580e-02 8.105897473479932447e-02 9.487231148379278445e-02 7.010073593342978915e-02 6.885116409384482716e-02 6.943067472737110557e-02 6.784788156672956483e-02 6.895121824750563566e-02 7.007897777506591486e-02 6.663917788611942172e-02 7.857838376325332330e-02 7.489063579144988880e-02 7.170271792827509483e-02 6.373059120202466399e-02 7.215685714811065354e-02 9.113542728985145336e-02 7.328312933594390011e-02 7.406050032459891852e-02 8.641664965196466097e-02 8.306762993968672126e-02 7.720007229533255855e-02 5.974902099753522100e-02 6.824564784192921341e-02 7.005622416864069890e-02 7.036925348995527740e-02 7.923626061910954421e-02 6.955178030422275171e-02 7.070432475565670283e-02 6.382616670195653819e-02 7.816649068487779850e-02 6.813525849603165041e-02 6.829438992798601837e-02 7.530472363786720746e-02 9.051242522561442350e-02 7.342107855273963257e-02 6.911583046688092591e-02 7.164122859696532564e-02 6.872243697554530906e-02 6.912801644911716059e-02 8.431588383647450891e-02 8.007525792442980739e-02 6.081646416543755318e-02 7.903245965866456668e-02 8.365835145592886990e-02 8.488943444705610020e-02 8.709128886574285522e-02 6.920378342881235156e-02 7.509303233097130992e-02 7.416621183007160445e-02 6.742662548788028176e-02 5.824841084608362030e-02 7.662643205408171954e-02 7.298663790443396526e-02 7.728680182651491426e-02 8.772530042225626379e-02 6.989359275578596598e-02 6.534700228968409741e-02 8.072554770979058214e-02 6.511260843124762332e-02 6.667441440838561828e-02 6.454272299546624791e-02 8.484114190761632424e-02 7.164565827635739625e-02 6.903546771310743735e-02 6.423310489207550988e-02 6.619841982417365434e-02 7.123063141479563098e-02 7.718823111254338731e-02 7.266222197079119649e-02 8.220271474933429912e-02 7.847310529675061153e-02 8.154662648382575429e-02 8.715435196711757149e-02 6.539849390891003256e-02 6.620934433270120323e-02 6.981567913347917764e-02 8.561242181824708919e-02 7.494861017734004427e-02 7.447773418059726314e-02 8.521578648674976719e-02 7.155773845117306686e-02 6.052106121507301595e-02 8.604581894527756070e-02 6.400585042217431242e-02 7.103734345917525617e-02 6.999927604948841253e-02 8.308206554236001462e-02 7.348096192325168086e-02 7.439710715931770191e-02
1.010152544552210818e+00 1.122399901763506402e-01 9.147237070118666158e-02 1.039216861323662144e-01 9.303057343212561836e-02 9.693909457259844431e-02 1.206891346208457810e-01 1.017403886860428902e-01 1.057432572168000018e-01 7.649743322990415484e-02 9.745866000932949802e-02 9.261127480989080063e-02 1.012599414008921450e-01 1.027286778219711205e-01 1.117798836781711269e-01 1.304706874960189777e-01 9.766737845721713829e-02 9.582705632959774567e-02 9.630523333373383621e-02 9.432476710451302704e-02 9.584887622323753908e-02 9.754002780084530810e-02 9.306351839500355549e-02 1.092067084972125207e-01 1.034047484086845214e-01 9.918933874550657503e-02 8.825630436134000723e-02 1.002478915509696644e-01 1.258414998787202865e-01 1.017088510934250900e-01 1.027679401391613373e-01 1.189058470941422863e-01 1.148517247379698125e-01 1.070383125349833736e-01 8.345754513137572383e-02 9.464643730644975439e-02 9.712782813614660726e-02 9.777137005314839868e-02 1.095985252479675931e-01 9.661112930660642473e-02 9.777176895444955607e-02 8.911969982540160484e-02 1.080825375257085247e-01 9.449668274802529300e-02 9.495887828593921332e-02 1.044220966101471609e-01 1.248644448222936965e-01 1.018063499055476273e-01 9.574311502248548933e-02 9.916837182044295484e-02 9.587737395464281109e-02 9.592086097426179292e-02 1.164509726968259579e-01 1.104259654831958037e-01 8.467057940865047039e-02 1.093526257452312606e-01 1.157717852630332639e-01 1.172011666068711322e-01 1.202346656212083115e-01 9.645864387115858640e-02 1.037865396482567926e-01 1.028386462560689774e-01 9.375539750962667840e-02 8.195943050381972184e-02 1.058402667776894152e-01 1.011932494198354709e-01 1.066047601820176993e-01 1.213119367101866131e-01 9.719039760309984566e-02 9.128308209465126055e-02 1.114832451312382372e-01 9.074039908431202894e-02 9.282248566993249461e-02 9.014863716127799464e-02 1.172796412633672486e-01 9.945963961150658394e-02 9.591231711583388109e-02 8.972645058515808791e-02 9.243137441078910777e-02 9.891134759585142044e-02 1.069645205232565427e-01 1.006550629472008629e-01 1.136043262175526619e-01 1.083696592171962125e-01 1.123798229249104719e-01 1.199640316893810926e-01 9.117854913972971154e-02 9.212346208222056687e-02 9.685178174970719700e-02 1.181247072176744711e-01 1.041590303555360170e-01 1.036096870832014932e-01 1.173305848372791921e-01 9.939980156424157998e-02 8.435107629928602357e-02 1.184919994291123019e-01 8.901893201721176874e-02 9.866600148793462643e-02 9.745597713029031939e-02 1.148429325703460568e-01 1.013904134942397173e-01 1.031338206962302967e-01
1.012674777054130448e+00 1.452580717512270414e-01 1.195387395363217142e-01 1.344150148323711991e-01 1.210453559314370042e-01 1.258024470092598546e-01 1.567240676088541285e-01 1.322157085998839909e-01 1.369261991682355906e-01 9.996468057527532758e-02 1.263767586830338019e-01 1.212409496427892253e-01 1.309229132142373520e-01 1.328641959076423684e-01 1.443518889537711292e-01 1.680599470827520980e-01 1.273392873121255986e-01 1.248282597483955370e-01 1.250417449762520061e-01 1.227339616972706465e-01 1.247055406643812897e-01 1.270602931538031555e-01 1.215993589722030727e-01 1.420694218724861124e-01 1.336907972594404970e-01 1.284672268096134218e-01 1.144150631228757348e-01 1.303602816054277302e-01 1.627205222188779499e-01 1.321350720475276130e-01 1.334950424302043526e-01 1.532333890265928367e-01 1.486837022059261382e-01 1.389418353295709119e-01 1.090621846091661962e-01 1.228699836076876800e-01 1.260594303659685056e-01 1.271481652871900292e-01 1.419451331295367158e-01 1.256102618035788432e-01 1.265838881271556249e-01 1.164309511886123388e-01 1.399294079687285197e-01 1.226774767068906924e-01 1.235818562106193313e-01 1.355553474470408137e-01 1.613155300171428552e-01 1.321538136087029025e-01 1.241618247889495069e-01 1.285182559800515933e-01 1.251620588297699677e-01 1.245937922288784944e-01 1.506092777605246291e-01 1.426043937653856675e-01 1.103163926908715814e-01 1.416677062956977762e-01 1.500089827084317151e-01 1.515218207795519245e-01 1.554367876759798761e-01 1.258173983887658220e-01 1.343075357354307497e-01 1.334874471637242099e-01 1.220140925068705501e-01 1.078222884862439224e-01 1.368839408091471754e-01 1.313372550817891726e-01 1.376965894280102742e-01 1.570760145991119405e-01 1.264889902771165198e-01 1.193057681905332484e-01 1.441651755343220098e-01 1.183366625683164863e-01 1.209356995605333773e-01 1.178061781005571018e-01 1.518079779525796369e-01 1.292478380105327174e-01 1.247227712024362584e-01 1.172680820992251238e-01 1.207539559748396496e-01 1.285631953597138888e-01 1.387724399214496362e-01 1.305328438434857630e-01 1.470087010054153542e-01 1.401309702492416209e-01 1.450359827800602464e-01 1.546515893614630599e-01 1.189539200917814760e-01 1.199607523180005603e-01 1.257653936747713530e-01 1.526288125609265856e-01 1.354896887412516959e-01 1.349056758673204126e-01 1.512985563876337591e-01 1.292430604631209512e-01 1.100100374892924171e-01 1.528193861302057921e-01 1.158679301417413071e-01 1.282751442148082621e-01 1.269809341078632636e-01 1.486446052458453571e-01 1.310025098407348321e-01 1.338427135665262724e-01
1.015190743110849558e+00 1.802627242621673287e-01 1.496915791213115909e-01 1.667086324680344400e-01 1.509648276186843774e-01 1.565150991957564575e-01 1.951222829982932616e-01 1.647088603784746252e-01 1.700071401087190348e-01 1.251660525605000074e-01 1.571127338024435327e-01 1.520852227958020830e-01 1.623222208061367855e-01 1.647802569197179823e-01 1.787745126608996649e-01 2.076413682263638649e-01 1.591185528000838290e-01 1.558608303220544722e-01 1.556375005290490943e-01 1.530756824086309809e-01 1.555215276463757512e-01 1.586435979276083486e-01 1.522490333312964128e-01 1.771747291896119958e-01 1.657462346470461589e-01 1.595347850638936804e-01 1.422017873029028101e-01 1.624942836301135618e-01 2.017766468736207908e-01 1.645617917365754246e-01 1.662461178735418210e-01 1.893966440179402355e-01 1.845629783366894705e-01 1.729168467823361255e-01 1.365621585064017984e-01 1.529136946946577091e-01 1.568503996835341752e-01 1.584998302300459350e-01 1.762803622036066553e-01 1.565495176536068067e-01 1.571372378328575736e-01 1.457638234779099207e-01 1.737066239551517954e-01 1.526738963390445181e-01 1.541672603683523213e-01 1.687080337441300981e-01 1.998694872105357401e-01 1.644661833802295581e-01 1.543696328118463468e-01 1.596897982176944120e-01 1.565789066282819719e-01 1.551487853101486958e-01 1.867945540361298506e-01 1.766088521414423407e-01 1.377535555785878163e-01 1.759806860436462228e-01 1.863746312917806125e-01 1.878513036734937025e-01 1.926980774596527279e-01 1.572848963757053076e-01 1.666532211820565546e-01 1.661124577480823095e-01 1.522037299938835964e-01 1.358384819125647014e-01 1.697534225647369110e-01 1.634170557399050594e-01 1.705594014038613326e-01 1.950194041343910334e-01 1.577898166014841119e-01 1.494195298033496877e-01 1.787703703940741462e-01 1.479042470173520252e-01 1.510151679296731220e-01 1.475176659975412641e-01 1.884312269726939049e-01 1.610139285328520409e-01 1.554666334448506493e-01 1.468610564861532186e-01 1.511687049776131164e-01 1.601867628924634746e-01 1.726156576712591095e-01 1.622941886642689513e-01 1.824163563493537976e-01 1.737537278038534805e-01 1.795129956374802160e-01 1.912156068505166673e-01 1.487265404539600544e-01 1.497209709392279542e-01 1.565532238882092753e-01 1.891263659594187019e-01 1.689432594556859180e-01 1.683708526183748111e-01 1.871180959620283579e-01 1.610902352990322972e-01 1.374976135560962154e-01 1.890267358673055897e-01 1.445504498124383363e-01 1.598670946314204033e-01 1.585768312562541860e-01 1.844903144287071972e-01 1.623136879750148032e-01 1.665248147064534723e-01
1.017700489198214875e+00 2.172545483480335937e-01 1.819331296133278875e-01 2.007995251113047497e-01 1.827889278455674116e-01 1.890752375899329707e-01 2.358909014822283545e-01 1.992196940197159538e-01 2.049848306060335357e-01 1.520993624804448385e-01 1.896641737061281474e-01 1.851537946364755494e-01 1.954557895964831871e-01 1.984756953871953944e-01 2.150468347791411328e-01 2.492156592582717434e-01 1.930065881807404293e-01 1.889299435647147363e-01 1.880894598810062546e-01 1.853496260548425090e-01 1.882966202276785961e-01 1.922930039444676609e-01 1.850141789946900261e-01 2.145297803189152863e-01 1.995682057485479166e-01 1.923900460782102528e-01 1.716112639906984538e-01 1.966496093234446352e-01 2.430132339025428689e-01 1.989884868508693949e-01 2.010247035864887455e-01 2.273926711295796987e-01 2.224884761504880570e-01 2.089686609996415645e-01 1.659562243919264213e-01 1.847746511096568789e-01 1.894996568230263856e-01 1.918260265699247569e-01 2.126077345813902342e-01 1.894287086876550175e-01 1.894281219523748783e-01 1.771214585479022052e-01 2.094132379938824229e-01 1.844819375410963747e-01 1.867182871922577758e-01 2.038829856903945359e-01 2.405293713271859923e-01 1.987455070976779370e-01 1.863638807240774464e-01 1.926815062601090478e-01 1.901296275370229494e-01 1.875872116234535147e-01 2.250098245581620415e-01 2.124372836743127213e-01 1.669812661905976381e-01 2.122938644838335553e-01 2.248726026167307268e-01 2.261890147175862065e-01 2.320184075903030385e-01 1.908651523616066714e-01 2.008204875715801085e-01 2.007130156479938199e-01 1.843247635418614194e-01 1.660088379030162931e-01 2.044444425219164863e-01 1.974306392504144025e-01 2.051900227686810629e-01 2.351433085482239060e-01 1.910927700683753006e-01 1.816280235914239094e-01 2.152974243069967486e-01 1.794453161641834660e-01 1.830614197170849222e-01 1.792847412262463802e-01 2.271536369385981635e-01 1.947608601884789348e-01 1.881432113368685932e-01 1.785077096080436299e-01 1.836774596035065099e-01 1.937820889686905912e-01 2.084971048405881988e-01 1.959373113735943528e-01 2.198272663105766966e-01 2.092343338952776521e-01 2.158084119136805257e-01 2.296542758037261323e-01 1.804977033155288069e-01 1.814033806663395698e-01 1.892116795526279371e-01 2.276183957031765459e-01 2.045217067317949833e-01 2.040095046809685675e-01 2.247872250557201856e-01 1.949433662967185732e-01 1.668130072869213332e-01 2.271124040123822796e-01 1.750637498115064361e-01 1.934435246733882396e-01 1.922456529806435832e-01 2.223825823657538669e-01 1.953201558130938376e-01 2.011805812063054144e-01
1.020204061220407077e+00 2.562336191491251247e-01 2.162649667692940758e-01 2.366844059884102014e-01 2.165171170079473462e-01 2.234806881301538706e-01 2.790360443118470313e-01 2.357475593076378828e-01 2.418576217763581393e-01 1.807621017349340942e-01 2.240283496187487344e-01 2.204552413351019424e-01 2.303212356370711589e-01 2.339489736833423039e-01 2.531675352642933641e-01 2.927830091444079685e-01 2.290041881092568510e-01 2.240399635644347853e-01 2.223942883163678441e-01 2.195550170416438740e-01 2.230301172512617613e-01 2.280108734756983446e-01 2.198957970016647279e-01 2.541407504842171372e-01 2.351535824841165800e-01 2.270307097965510723e-01 2.026381705086980345e-01 2.328254757849168299e-01 2.864329157702312778e-01 2.354141597602707470e-01 2.378336259133739528e-01 2.672182542373015557e-01 2.624586727166989264e-01 2.471017699096437481e-01 1.972427227556443063e-01 2.184496417806814916e-01 2.240057173433525894e-01 2.271259353583203189e-01 2.509300777633355906e-01 2.242471669995484418e-01 2.234526233022865460e-01 2.105062998334592261e-01 2.470478777583109964e-01 2.180973681258876196e-01 2.212374533333173743e-01 2.410823661862247225e-01 2.832975476364716361e-01 2.349932229340207790e-01 2.201416144011468234e-01 2.274915187014122098e-01 2.258152872108409870e-01 2.219098907871739079e-01 2.652574405119805245e-01 2.500873027468016874e-01 1.979983120014061626e-01 2.506089132531180153e-01 2.655060183469210022e-01 2.665338933987818626e-01 2.733971510583287912e-01 2.265614133275539732e-01 2.368059520565345133e-01 2.372880002109045150e-01 2.183771311684043759e-01 1.983335725482256451e-01 2.409525237719535029e-01 2.333756221591885560e-01 2.415850275804711789e-01 2.774483222882109801e-01 2.263972421554473202e-01 2.159341596529551210e-01 2.537445375953932269e-01 2.129614068807154370e-01 2.170744527006223112e-01 2.131084225593293802e-01 2.679786962178594134e-01 2.304909156496578182e-01 2.227513628376602828e-01 2.122097166434147031e-01 2.182814155823536162e-01 2.293487127284275784e-01 2.464190359687201959e-01 2.314600568557319549e-01 2.592409111558164336e-01 2.465689367876542915e-01 2.539194788546694781e-01 2.699654369022783662e-01 2.142681165218986994e-01 2.150067973140065702e-01 2.237369009145392107e-01 2.681053825784975309e-01 2.422263451841612514e-01 2.418251241172286181e-01 2.643036299506232312e-01 2.308038711723128522e-01 1.979549994080374853e-01 2.670743844616089158e-01 2.074047798410471599e-01 2.290055108169231635e-01 2.279887431380698271e-01 2.623232817408797102e-01 2.300179209671758263e-01 2.378099492417817540e-01
1.022701504519739402e+00 2.971995339437935590e-01 2.526880589404155719e-01 2.743597472242890190e-01 2.521484212080152276e-01 2.597289535852494446e-01 3.245629111982643034e-01 2.742913526414359482e-01 2.806235051053528884e-01 2.111514743203289080e-01 2.602022502256598480e-01 2.579970988780171948e-01 2.669158987873312405e-01 2.711982191498286676e-01 2.931349332354721282e-01 3.383431343623070076e-01 2.671115831356802306e-01 2.611945074911492526e-01 2.585483902995225902e-01 2.556906519232737263e-01 2.597208788057077111e-01 2.657989277920493332e-01 2.568943075994075120e-01 2.960129157928869104e-01 2.724989949686273394e-01 2.634541786344694048e-01 2.352770956133741487e-01 2.710206521098628141e-01 3.320376579458068078e-01 2.738373837087779705e-01 2.766750590535371757e-01 3.088699339005469557e-01 3.044716429249859635e-01 2.873199085084583992e-01 2.304196183570697276e-01 2.539351972627724718e-01 2.603667315738701360e-01 2.643983023843599067e-01 2.912495818059531727e-01 2.610037899319085919e-01 2.592066320222923825e-01 2.459201506154953532e-01 2.866087876027853532e-01 2.535157574771533806e-01 2.577266521010415645e-01 2.803077269596440102e-01 3.281757494633673611e-01 2.732102117353440995e-01 2.556996170838701787e-01 2.641176424799834277e-01 2.636363630261525648e-01 2.581171390434295332e-01 3.075391373637094694e-01 2.895562300431279157e-01 2.308031096923391368e-01 2.909269296773599467e-01 3.082773118000042278e-01 3.088844633445985144e-01 3.168332279785405770e-01 2.643762215728562293e-01 2.746059894582955074e-01 2.758358765056222461e-01 2.543603023027339871e-01 2.328123458826995562e-01 2.792730103292723198e-01 2.712492884644664981e-01 2.797407675334999677e-01 3.219344851270798391e-01 2.637021692030255826e-01 2.523401631610046603e-01 2.941095559506772261e-01 2.484534828688461927e-01 2.530537817301032888e-01 2.489891614624943905e-01 3.109091947054881122e-01 2.682057669931898203e-01 2.592895396183788614e-01 2.479681485476415148e-01 2.549811819945221325e-01 2.668857200562139709e-01 2.863830857919459905e-01 2.688599390131048983e-01 3.006563233646882827e-01 2.857534622115658896e-01 2.938431739878427096e-01 3.121466163679655903e-01 2.500379542983685588e-01 2.505296328772785852e-01 2.601247936899955260e-01 3.105873086504435387e-01 2.820578960356086018e-01 2.818204725797713306e-01 3.056646971545530223e-01 2.686725987052335785e-01 2.309219894790867922e-01 3.089103468155263155e-01 2.415702150394700987e-01 2.665535859399767449e-01 2.658068603803858676e-01 3.043136907851914374e-01 2.664028174320918207e-01 2.764123815441596466e-01
