x y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.167656429111957606e-01 1.167937827995046973e-01 1.168305975210387343e-01 1.168399445537943310e-01 1.168531102710403530e-01 1.168689791404176476e-01 1.168257998302578843e-01 1.167651385359931709e-01 1.168169823416974340e-01 1.167660476814489923e-01 1.168671146617270978e-01 1.168314538430422489e-01 1.169057733088266077e-01 1.166529727634042501e-01 1.167765096703078653e-01 1.169496333925053450e-01 1.167657864687498687e-01 1.167854898725636248e-01 1.167576572508551153e-01 1.168334790854714811e-01 1.167444951366633232e-01 1.168744179769419106e-01 1.167775182693731040e-01 1.168303087877575336e-01 1.168033826979808509e-01 1.167837229673750615e-01 1.170334050548262894e-01 1.168031229346524896e-01 1.167306817253120216e-01 1.168379374197684173e-01
1.024999999999999911e+00 2.564585208427160867e-01 2.565238074166700244e-01 2.566020233323797473e-01 2.566172123188152909e-01 2.566518539329990523e-01 2.566826598718762731e-01 2.566008553840219975e-01 2.564678833587095141e-01 2.565675596008077375e-01 2.564657933777197973e-01 2.566841647494584322e-01 2.566039830679073819e-01 2.567473485134542099e-01 2.562453075312077777e-01 2.564803971210494749e-01 2.568509289296343479e-01 2.564568282337859051e-01 2.565063267713412754e-01 2.564511675620451681e-01 2.566092546330764890e-01 2.564147689612581993e-01 2.566998700378462783e-01 2.564734097570181004e-01 2.566124589182436355e-01 2.565438363701105229e-01 2.564942721743136422e-01 2.570283267414197326e-01 2.565309938509017229e-01 2.563990468624979258e-01 2.566086310893297417e-01
1.037500000000000089e+00 4.199285384733229542e-01 4.200406223768368696e-01 4.201652192045003398e-01 4.201820779358967917e-01 4.202473911223933434e-01 4.202923297416418791e-01 4.201772874221205711e-01 4.199589851312339195e-01 4.201018103864043729e-01 4.199499177513644210e-01 4.203029548050835618e-01 4.201678328681737185e-01 4.203755151014774705e-01 4.196282445918768644e-01 4.199616955593228340e-01 4.205552056664600968e-01 4.199230404570698516e-01 4.200127000687643997e-01 4.199316476704552659e-01 4.201785541838035098e-01 4.198598768329248054e-01 4.203277267515659332e-01 4.199362352257594022e-01 4.201990734785794879e-01 4.200718743959441781e-01 4.199814231833443046e-01 4.208373309578746779e-01 4.200326911173760669e-01 4.198550743283703812e-01 4.201626526424661057e-01
1.050000000000000044e+00 6.080194102134555134e-01 6.081885101273655225e-01 6.083648252300918324e-01 6.083786304574458903e-01 6.084845747333020860e-01 6.085429700557142274e-01 6.084007639437913895e-01 6.080828719772398694e-01 6.082636275328695552e-01 6.080627966672181861e-01 6.085689227562397496e-01 6.083670595660805036e-01 6.086348471697419216e-01 6.076465746853501049e-01 6.080642365384847370e-01 6.089075091294944286e-01 6.080081486608833741e-01 6.081485965289176177e-01 6.080438312143087165e-01 6.083862792234868699e-01 6.079227988142520411e-01 6.086030447855591552e-01 6.080085528083145618e-01 6.084362536203116179e-01 6.082317626569420099e-01 6.080888045020401700e-01 6.093066313769668341e-01 6.081512213218956964e-01 6.079425107222050650e-01 6.083443372976035102e-01
1.062500000000000000e+00 8.215887497179210630e-01 8.218255909159779549e-01 8.220592991914600356e-01 8.220648558810353945e-01 8.222220667637885061e-01 8.222933657001704200e-01 8.221306460443883468e-01 8.216977706179022789e-01 8.219108018092811108e-01 8.216625991277396457e-01 8.223412777762859616e-01 8.220596230588852471e-01 8.223837996833026631e-01 8.211587778758256961e-01 8.216457400470972283e-01 8.227667290251702292e-01 8.215697673615067753e-01 8.217718919739126493e-01 8.216461827047168986e-01 8.220911270473152399e-01 8.214604946784676009e-01 8.223846952430904356e-01 8.215469627641140971e-01 8.221837341319769843e-01 8.218816165812313779e-01 8.216739744879305585e-01 8.232962293084711280e-01 8.217435849364846945e-01 8.215189687442034927e-01 8.220118802972138372e-01
1.074999999999999956e+00 1.061525398865342140e+00 1.061841172073036299e+00 1.062138265743851617e+00 1.062129987031221523e+00 1.062349706701934293e+00 1.062433481123298273e+00 1.062257381156086922e+00 1.061693061236292035e+00 1.061932365689426616e+00 1.061638655792921826e+00 1.062510377261787653e+00 1.062134733889251947e+00 1.062512060254812152e+00 1.061054410506039769e+00 1.061595147848129139e+00 1.063022956904023930e+00 1.061496736016124487e+00 1.061771700717508704e+00 1.061628279555588916e+00 1.062182959448546349e+00 1.061361234262585773e+00 1.062562728021293923e+00 1.061439408827573150e+00 1.062332296650856600e+00 1.061910756584256932e+00 1.061625750549137770e+00 1.063697301130741790e+00 1.061698083952069327e+00 1.061473276000469923e+00 1.062054688856005624e+00
1.087499999999999911e+00 1.328764532785862595e+00 1.329170878138393075e+00 1.329537658579647674e+00 1.329509606584906578e+00 1.329803636390715749e+00 1.329899582732468888e+00 1.329717657994478941e+00 1.329004407115280673e+00 1.329263691231608480e+00 1.328926582168787895e+00 1.330012864526361360e+00 1.329527960624545813e+00 1.329955654311925306e+00 1.328269249573350130e+00 1.328847730904817448e+00 1.330612620897591025e+00 1.328724226262420371e+00 1.329083474818617105e+00 1.328925940487533985e+00 1.329597923625260636e+00 1.328559669759124429e+00 1.330073512904345945e+00 1.328620240557938814e+00 1.329818925634026483e+00 1.329254825599491596e+00 1.328879310656339019e+00 1.331447349581867501e+00 1.328949406929314181e+00 1.328740588296204894e+00 1.329408490564674139e+00
1.100000000000000089e+00 1.624300973862409458e+00 1.624809952266514479e+00 1.625253031961619854e+00 1.625198966171592430e+00 1.625579641014337495e+00 1.625687572266906411e+00 1.625507743004709349e+00 1.624627080652862876e+00 1.624899812228977503e+00 1.624521587882191032e+00 1.625845019519329027e+00 1.625234546419233039e+00 1.625710263848304749e+00 1.623798630107194052e+00 1.624398400355130390e+00 1.626531806401908531e+00 1.624247046839445874e+00 1.624702335707843170e+00 1.624534559808671341e+00 1.625331800617277667e+00 1.624050140660256103e+00 1.625913064554333820e+00 1.624083517119288445e+00 1.625640171486884444e+00 1.624909096490591676e+00 1.624429490417242050e+00 1.627543539181351750e+00 1.624491925071924969e+00 1.624315701145678803e+00 1.625068653095513627e+00
1.112500000000000044e+00 1.949201111122965902e+00 1.949825210031121969e+00 1.950351511128246784e+00 1.950264907162636563e+00 1.950745081435889094e+00 1.950864929985255181e+00 1.950695462059229612e+00 1.949627909157425121e+00 1.949907333031296597e+00 1.949490438681095839e+00 1.951074699591845318e+00 1.950321334600448653e+00 1.950843159202486410e+00 1.948709416296332986e+00 1.949313629791140423e+00 1.951848207414150327e+00 1.949131560698151633e+00 1.949694977886974767e+00 1.949521061684936329e+00 1.950451929867267564e+00 1.948898578528314829e+00 1.951149002369493068e+00 1.948894877824932426e+00 1.950864122714847326e+00 1.949940433539450346e+00 1.949342702049762011e+00 1.953054661583155216e+00 1.949391593411564871e+00 1.949264991655945689e+00 1.950102122593671217e+00
