x y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.005899999737739581e+00 5.566459770197980383e-02 5.567825550679117441e-02 5.569553876121062508e-02 5.569959263666533072e-02 5.570629069115966281e-02 5.571347601071465622e-02 5.569398672378156334e-02 5.566520470893010497e-02 5.568872470175847272e-02 5.566527889168355198e-02 5.571307044883724163e-02 5.569602453324478536e-02 5.572958260308950862e-02 5.561384618340525776e-02 5.566956984112039764e-02 5.575112168735359142e-02 5.566448020690586279e-02 5.567441255843732367e-02 5.566159407899249484e-02 5.569696025922894755e-02 5.565484845719766149e-02 5.571654987579677254e-02 5.566938054398633262e-02 5.569623553601559668e-02 5.568275193218141794e-02 5.567284732533153008e-02 5.579034288239199252e-02 5.568162444687913687e-02 5.564952933054882755e-02 5.569820373493712673e-02
1.011799999475479162e+00 1.229328432236798108e-01 1.229650969267822719e-01 1.230015564593486543e-01 1.230073265149258105e-01 1.230255314148962359e-01 1.230388219351880308e-01 1.230037095723673646e-01 1.229405938647687296e-01 1.229838337283581523e-01 1.229381810757331633e-01 1.230413065175525872e-01 1.230028811958618490e-01 1.230643794755451326e-01 1.228418650105595755e-01 1.229425509343855111e-01 1.231165084987878855e-01 1.229313056217506556e-01 1.229571572970598742e-01 1.229323150822892730e-01 1.230051836930215470e-01 1.229132287553511560e-01 1.230489435722120078e-01 1.229367287363856975e-01 1.230096219806000729e-01 1.229743871255777748e-01 1.229486267198808547e-01 1.231987359817139777e-01 1.229645424871705361e-01 1.229104717029258498e-01 1.230015239212662037e-01
1.017699999809265066e+00 2.019105001119896881e-01 2.019664751249365675e-01 2.020241118036210648e-01 2.020290110725909416e-01 2.020638195797800907e-01 2.020821742597036230e-01 2.020356203312985433e-01 2.019322100677527487e-01 2.019911030656658113e-01 2.019247438176535181e-01 2.020909943035803791e-01 2.020263505051843600e-01 2.021103597711771671e-01 2.017903247848153170e-01 2.019247486023232341e-01 2.022022397024557105e-01 2.019062546314671636e-01 2.019540396286174655e-01 2.019183699856512415e-01 2.020308142993599287e-01 2.018805957632139325e-01 2.021033072844147516e-01 2.019073462928645257e-01 2.020467889495194125e-01 2.019808294833637663e-01 2.019330322975292635e-01 2.023315948317758739e-01 2.019542143680155277e-01 2.018885938916355205e-01 2.020159122184850276e-01
1.023599998950958323e+00 2.927010853309184313e-01 2.927860710071399364e-01 2.928669807733967900e-01 2.928682066034525300e-01 2.929249663371593093e-01 2.929473777534440382e-01 2.928938397672027349e-01 2.927438136190175788e-01 2.928140636067837477e-01 2.927287219092249426e-01 2.929661125177517866e-01 2.928699675714597217e-01 2.929712234763428569e-01 2.925631785299629417e-01 2.927197145763784647e-01 2.931121150730177649e-01 2.926928547210991272e-01 2.927686140406876580e-01 2.927236604038626067e-01 2.928777025779709109e-01 2.926601962186396455e-01 2.929834791924804116e-01 2.926843454828486069e-01 2.929120111512020230e-01 2.928057349286973809e-01 2.927295197965577023e-01 2.932930190348997934e-01 2.927538913907483109e-01 2.926874129800125512e-01 2.928450515493750128e-01
1.029500000476837096e+00 3.954111011698842049e-01 3.955305348383262865e-01 3.956368989776820055e-01 3.956314617302268966e-01 3.957157413009553815e-01 3.957412335090338962e-01 3.956854064948856498e-01 3.954821204300970061e-01 3.955592322861775645e-01 3.954568261746317370e-01 3.957735781557857879e-01 3.956402584444731474e-01 3.957536409376188891e-01 3.952673108782618905e-01 3.954339813208207488e-01 3.959528983104974031e-01 3.953976172488182783e-01 3.955074202036484854e-01 3.954550250666216127e-01 3.956526490626856574e-01 3.953582949237898214e-01 3.957962563727051020e-01 3.953738727374002115e-01 3.957124630454927905e-01 3.955557329114526288e-01 3.954445395385846607e-01 3.961900423280894645e-01 3.954698412911966665e-01 3.954134335275739098e-01 3.955955932615324855e-01
1.035399999618530353e+00 5.101547284983097841e-01 5.103141825646162477e-01 5.104482621420174393e-01 5.104330040980130656e-01 5.105505720712244511e-01 5.105781944468616995e-01 5.105249879881739172e-01 5.102615067735314369e-01 5.103408101946115272e-01 5.102234241086990307e-01 5.106279534287750943e-01 5.104514354839920776e-01 5.105719448067247423e-01 5.100172443781048059e-01 5.101817565038799795e-01 5.108390161767601967e-01 5.101347276475279857e-01 5.102846819907427278e-01 5.102269438095391463e-01 5.104701056610791987e-01 5.100888691376894712e-01 5.106560950633138862e-01 5.100897926837205665e-01 5.105629289057106446e-01 5.103451214730739816e-01 5.101922279689461437e-01 5.111373389139771684e-01 5.102160386741161346e-01 5.101808473002166222e-01 5.103818560484796318e-01
1.041300001144409126e+00 6.370580573100597110e-01 6.372632288374006082e-01 6.374273551627993584e-01 6.373989761341363192e-01 6.375557782594114542e-01 6.375846066512167454e-01 6.375391188543289012e-01 6.372082451358437316e-01 6.372849065810441971e-01 6.371547736693172759e-01 6.376556836534290618e-01 6.374296304769814236e-01 6.375523651018738525e-01 6.369393811095506175e-01 6.370891543570905702e-01 6.378967957571148872e-01 6.370302768424153106e-01 6.372265264391899775e-01 6.371657788287848900e-01 6.374564116355031507e-01 6.369778236374259439e-01 6.376893481239677142e-01 6.369579062797129376e-01 6.375900521874428017e-01 6.373001036699861288e-01 6.370986322872340679e-01 6.382614625152199794e-01 6.371183868963271602e-01 6.371157598216087292e-01 6.373300509527325408e-01
1.047199997901916424e+00 7.762629165779799667e-01 7.765196223277598397e-01 7.767161989584564497e-01 7.766712585929781421e-01 7.768734165932983382e-01 7.769025410991162728e-01 7.768700496759266549e-01 7.764643317088484320e-01 7.765333758201450332e-01 7.763928586151450650e-01 7.769989363383501546e-01 7.767167236190289925e-01 7.768368571531028000e-01 7.761758442968130778e-01 7.762980198021978140e-01 7.772682971321046574e-01 7.762260913383215444e-01 7.764748403336853011e-01 7.764136021491140349e-01 7.767536334693432298e-01 7.761668252293020265e-01 7.770381052512674858e-01 7.761197742540389966e-01 7.769361806567758322e-01 7.765626146923750861e-01 7.763055461458860940e-01 7.777046917472034693e-01 7.763185387942940219e-01 7.763600308448076470e-01 7.765821248758584261e-01
1.053099999427795419e+00 9.279303598683327214e-01 9.282445366028696521e-01 9.284760332666337490e-01 9.284109744708984868e-01 9.286647699773311615e-01 9.286932924762367758e-01 9.286792426835746017e-01 9.281909919809550047e-01 9.282473009545355591e-01 9.280988801270724231e-01 9.288191030267626269e-01 9.284738325048238483e-01 9.285865999758243783e-01 9.278879801742733191e-01 9.279694257769733889e-01 9.291148131247609632e-01 9.278832180425524712e-01 9.281907307915390204e-01 9.281317037530243397e-01 9.285230579786002414e-01 9.278167848940939155e-01 9.288636879064142704e-01 9.277361999265849590e-01 9.287628639023750576e-01 9.282938222866504718e-01 9.279739883728325145e-01 9.296285218093545133e-01 9.279773897491394585e-01 9.280747591983526945e-01 9.282992444932460785e-01
