x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99 y_base
1.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 -4.235164736271501695e-19 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 4.235164736271501695e-19 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 -4.235164736271501695e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 4.235164736271501695e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 4.235164736271501695e-19
1.002547774829871452e+00 2.478678205660574119e-02 1.775078562108178132e-02 2.479317975298249432e-02 2.136529521348322011e-02 2.007211833615596408e-02 2.556476766919917043e-02 2.074544215643665118e-02 2.408414073876566711e-02 1.617357514174438959e-02 2.076913548430881981e-02 1.894832097201801235e-02 2.319663989449752620e-02 2.367909513778158198e-02 2.518225923331750618e-02 3.283990979338004962e-02 1.950161809209663769e-02 2.088671828623056212e-02 2.067848075369936589e-02 2.057541188380502747e-02 2.298192379751941988e-02 1.989773335334057633e-02 1.951456952583253621e-02 2.176821622368951478e-02 2.471570878585558836e-02 2.163078862997739465e-02 1.801971854840169265e-02 2.290143746823342444e-02 3.145652498579915718e-02 2.211888903892366212e-02 2.136712165707679509e-02 2.656235333191982184e-02 2.741613308597559001e-02 2.311622068538820088e-02 1.720107718709812730e-02 2.088950647504088029e-02 2.242912265273352621e-02 2.183478132649077988e-02 2.513071109342179463e-02 2.113371157639435532e-02 2.450748548227355342e-02 1.835997471141597934e-02 2.382445986092654802e-02 2.072440850008232943e-02 1.893711527673265158e-02 2.588216914903784457e-02 2.891524573346869811e-02 2.042481675020492438e-02 2.110831798774194176e-02 2.216278175085178645e-02 2.043590434159495844e-02 1.874206027384244314e-02 2.479378790750299752e-02 2.629581191315980004e-02 1.458659076861334829e-02 2.450318339915230972e-02 2.738461983332840174e-02 2.807505478215974876e-02 2.829944940791656594e-02 2.038917507257160047e-02 2.325581587217418270e-02 2.243741230387817989e-02 1.880786847692204194e-02 1.843720025803252671e-02 2.352544072393264463e-02 2.519771832056033958e-02 2.504359427808360711e-02 3.201477572202674621e-02 2.126514891559995457e-02 1.922262120822264969e-02 2.571056544638479491e-02 2.058363184792684486e-02 1.865371366364993941e-02 1.911318927660634465e-02 2.822632910727648076e-02 2.203806079540715848e-02 2.186783696750580624e-02 1.637045533710580064e-02 1.800253965431606804e-02 2.122286617782651735e-02 2.402775579772277112e-02 2.132658233171230711e-02 2.717046107197921764e-02 2.392530817133116730e-02 2.394277319101315721e-02 2.759323389140750510e-02 1.803637001580304933e-02 2.029858181013094454e-02 2.081519738711520157e-02 2.808918046835656712e-02 2.132059732982095890e-02 2.265490303722680551e-02 2.568258210247743867e-02 2.013434192226606217e-02 1.874830845041415561e-02 2.809036003965149908e-02 1.929413302637578154e-02 2.018856083400023468e-02 2.099458875952053827e-02 3.091843126711097539e-02 2.301397676485752997e-02 2.283291130698417853e-02
1.005089091390734879e+00 5.156180604734739159e-02 3.745412677356538267e-02 5.129896748083049435e-02 4.462085695356149406e-02 4.185986628169910406e-02 5.366888115868060499e-02 4.343924710129663802e-02 5.000692765543259671e-02 3.406310049907722987e-02 4.332092151947616182e-02 4.016138717130812025e-02 4.797729858363965205e-02 4.911192797920609782e-02 5.228024291597167805e-02 6.774377521861511819e-02 4.102002928505679019e-02 4.375126221460321624e-02 4.322335006045929101e-02 4.303518484612977452e-02 4.793954841142598899e-02 4.187557786341172122e-02 4.115229655290878613e-02 4.578907225052816082e-02 5.116194738274380815e-02 4.502602157324006593e-02 3.753497472290500542e-02 4.790999133337020544e-02 6.522078482585817738e-02 4.621881255655881093e-02 4.468190679920159419e-02 5.492815246461312667e-02 5.672660699283473690e-02 4.833895056310671262e-02 3.634077157514994244e-02 4.348785401909371212e-02 4.664031805707922335e-02 4.560261978548842826e-02 5.215710859086996470e-02 4.424116199642462444e-02 5.074641067793502630e-02 3.880234000316151732e-02 4.949077716606117838e-02 4.317719845756833041e-02 3.969773626603270711e-02 5.375226268147765413e-02 5.987474244441919752e-02 4.266900558657592268e-02 4.394098643061629395e-02 4.618648134688729812e-02 4.311552464601943468e-02 3.932102430852352226e-02 5.154908944084075212e-02 5.429847038330132963e-02 3.078892402025391883e-02 5.102385357931537441e-02 5.700299328807130472e-02 5.800009096838189271e-02 5.872328606713433236e-02 4.289472945020008504e-02 4.829266465506876216e-02 4.686827076361008149e-02 3.937593494230359065e-02 3.924068715912441829e-02 4.868486191403633562e-02 5.226909281508818061e-02 5.173416875261736131e-02 6.625846637047390353e-02 4.460215739586648187e-02 4.052686112670351309e-02 5.332325619741570821e-02 4.306706903906009493e-02 3.924457626318515746e-02 4.018277092161473552e-02 5.862892768195538534e-02 4.607323110373832270e-02 4.565377401352010978e-02 3.477178720616030949e-02 3.810709444646679517e-02 4.439371345723849144e-02 5.006712408221173499e-02 4.450337516005573035e-02 5.634215263356694148e-02 4.962804921111318296e-02 4.952007351817745706e-02 5.701161140318046494e-02 3.805006831361743697e-02 4.241637013958163976e-02 4.358168061548108041e-02 5.809180038487497810e-02 4.473069483551900954e-02 4.759204951484325569e-02 5.316498925541934123e-02 4.231829811006692504e-02 3.933925656042985136e-02 5.807742721516996609e-02 4.039132465286270068e-02 4.240572592449785155e-02 4.401189981821043012e-02 6.388920603010998789e-02 4.752926480096150014e-02 4.763091753484068047e-02
1.007623998547563238e+00 8.032863903545933715e-02 5.911140326609216900e-02 7.951426912507249256e-02 6.976904891071725179e-02 6.536125603592936317e-02 8.433219601257328779e-02 6.808328853564503402e-02 7.776766134093830718e-02 5.366834794720612423e-02 6.765398683059448137e-02 6.366137196484043803e-02 7.433882656342166717e-02 7.629797747898828253e-02 8.129590541505803125e-02 1.047158991635440128e-01 6.455634747416678920e-02 6.860602911750343647e-02 6.763125231693914441e-02 6.737971593508995660e-02 7.487530181324765499e-02 6.594336526680237565e-02 6.491739034041266176e-02 7.207762209142010157e-02 7.933607365571225534e-02 7.018554538595048187e-02 5.853946699842503543e-02 7.502864065143725891e-02 1.013031552290647869e-01 7.230152127874495127e-02 6.994875163299317522e-02 8.509560120483293522e-02 8.792775890643952930e-02 7.568225272283847505e-02 5.741871004945112156e-02 6.779037373944100942e-02 7.263309940867775094e-02 7.130310430493165541e-02 8.108594289253527598e-02 6.932499432738960243e-02 7.871251524233681407e-02 6.133735941856416352e-02 7.699758092861333503e-02 6.735285003881397170e-02 6.228653175891097488e-02 8.361562803740965610e-02 9.288425057779121918e-02 6.673537552133261552e-02 6.849572126543919393e-02 7.207341518320274643e-02 6.804635748344402268e-02 6.174301279346806198e-02 8.027199865284889713e-02 8.400567735871025676e-02 4.860567259017530700e-02 7.956899350643133195e-02 8.886911031704974873e-02 8.977305394862802879e-02 9.127305789326860264e-02 6.752603836494817935e-02 7.510637145300999573e-02 7.329482423196216623e-02 6.170369733746604995e-02 6.242056970876670718e-02 7.547180030688366292e-02 8.121239988951189925e-02 8.006796750170651344e-02 1.027336354698617366e-01 7.001200709097207819e-02 6.392060193488222075e-02 8.283624964119190581e-02 6.745421509023348527e-02 6.177462702162308389e-02 6.321046974240603078e-02 9.122082718440474580e-02 7.211448389989402741e-02 7.135938943003228285e-02 5.520879429171535180e-02 6.031892505583311831e-02 6.951424920980087130e-02 7.812610555288046488e-02 6.952869861716040600e-02 8.751708818985164118e-02 7.710327223370197491e-02 7.672773995251001844e-02 8.825313052973125794e-02 6.004501545586266031e-02 6.635118135260682781e-02 6.829618363196424125e-02 9.000930911607137042e-02 7.023415579128755581e-02 7.482438561928585197e-02 8.244551749517720074e-02 6.656321774552619031e-02 6.177426641226445303e-02 8.995989605055589033e-02 6.328902208897749238e-02 6.665749603978153581e-02 6.905426726757156464e-02 9.891771951375286087e-02 7.354059504782539669e-02 7.439710715931770191e-02
1.010152544552210818e+00 1.110900724141818535e-01 8.272333205635028219e-02 1.094356912641909901e-01 9.681154884040626962e-02 9.057391872911681185e-02 1.175726693936775952e-01 9.467876102690690743e-02 1.073651608798717183e-01 7.498859222000683888e-02 9.376652323425312130e-02 8.946848388249707684e-02 1.022778152038268107e-01 1.052362573920165578e-01 1.122305439171718405e-01 1.437597687284986325e-01 9.011102393082082163e-02 9.546211894023987066e-02 9.389848157204866430e-02 9.360882931156394582e-02 1.037908996534492312e-01 9.210974055461799981e-02 9.081318373981468739e-02 1.006473807378477497e-01 1.092351132474855546e-01 9.710870847423984376e-02 8.102682783832483582e-02 1.042595766540850150e-01 1.397127591577399242e-01 1.003680875988670340e-01 9.717122959398415138e-02 1.170625058813783564e-01 1.210156092698290164e-01 1.051587616987445656e-01 8.043396047416065398e-02 9.379217524690620922e-02 1.004064981380579508e-01 9.893528507034485275e-02 1.119230353420838792e-01 9.638712053047701622e-02 1.084013003238304546e-01 8.597407863481711099e-02 1.063430548481345272e-01 9.324566509916114299e-02 8.670736400386420961e-02 1.154767388762776709e-01 1.279486232542237090e-01 9.262604376746512436e-02 9.476987538510978082e-02 9.982522848942097793e-02 9.523479506916411597e-02 8.601325092830972019e-02 1.109676961998233014e-01 1.154147976997848268e-01 6.803510331423030799e-02 1.101446016327024824e-01 1.229955098305851730e-01 1.233914966910975297e-01 1.259496205355719878e-01 9.429130681117375845e-02 1.036924966372254758e-01 1.017186116598874784e-01 8.579016732357941377e-02 8.798565455734810858e-02 1.038797096910665102e-01 1.120254855617823647e-01 1.100409967104365311e-01 1.414420748022880980e-01 9.749501265577385778e-02 8.941064882882701625e-02 1.142472904692903163e-01 9.374819219356200772e-02 8.624521233663211273e-02 8.819733151448715114e-02 1.260136855650569598e-01 1.001696908972820738e-01 9.898561324118465565e-02 7.768538344123998574e-02 8.464235576068897260e-02 9.658551330279803449e-02 1.082116577597221907e-01 9.640043408496611066e-02 1.206965992666538812e-01 1.063458101054041566e-01 1.055613979538953112e-01 1.213153992357319938e-01 8.402431430144448321e-02 9.210042877996396649e-02 9.495505786463193099e-02 1.238425388844623803e-01 9.783400405442377323e-02 1.043634332119851155e-01 1.135220580668730300e-01 9.287918650764827311e-02 8.605413485240478999e-02 1.237360099978389721e-01 8.798429282974785937e-02 9.294892584127964485e-02 9.612329535573757577e-02 1.360084854297011481e-01 1.010425898725430677e-01 1.031338206962302967e-01
1.012674777054130448e+00 1.438481864047760073e-01 1.082900257048740600e-01 1.410595752441029804e-01 1.257494071968147942e-01 1.174951437919154462e-01 1.534064948759138736e-01 1.232262390007838326e-01 1.387978099228699691e-01 9.802265734635276506e-02 1.216563288850805724e-01 1.176011027622626826e-01 1.317906272756572961e-01 1.359253604752523881e-01 1.450848552801567992e-01 1.848781219506221152e-01 1.176839062868951513e-01 1.243294287950906934e-01 1.220210208168286264e-01 1.217218284626430114e-01 1.346874062053609045e-01 1.203822515212293054e-01 1.188422056090070039e-01 1.315104355806627490e-01 1.408557957933345151e-01 1.257944075232903247e-01 1.049906427693419186e-01 1.356042695365814732e-01 1.804575614504461967e-01 1.304189647412012931e-01 1.263521584456639146e-01 1.508263159331236503e-01 1.559858987211468206e-01 1.367797867364347608e-01 1.053850841242029157e-01 1.214881767415629255e-01 1.299591095201119706e-01 1.284977242000665543e-01 1.446733503369303508e-01 1.254287836608775353e-01 1.398080594826034417e-01 1.127204169897161046e-01 1.375249813775981655e-01 1.208497950644648877e-01 1.129633537107379848e-01 1.493392650495636576e-01 1.650718784370588110e-01 1.203424939883557671e-01 1.227604769639066562e-01 1.294429526831318011e-01 1.246862119509697941e-01 1.121361386766486640e-01 1.436405213728120245e-01 1.485228952363981947e-01 8.907511728665290507e-02 1.427557686650909596e-01 1.593933852371388904e-01 1.588526204106007755e-01 1.627531982879908690e-01 1.231976585232289201e-01 1.340463689758034094e-01 1.321405231701853200e-01 1.116339163143308388e-01 1.159435456394913855e-01 1.339019819235387487e-01 1.447058088916156060e-01 1.416490545110074273e-01 1.823848706455059587e-01 1.270508814189337810e-01 1.170028134071712800e-01 1.475537345038726023e-01 1.219514054851367629e-01 1.126570456581854063e-01 1.151437822480501083e-01 1.630178876225360785e-01 1.302457060212992290e-01 1.285327839518657922e-01 1.022046422374527919e-01 1.110808501893752187e-01 1.256079363713367703e-01 1.403297751993681231e-01 1.251160682762693099e-01 1.558813944392936357e-01 1.373503096892217112e-01 1.360164879124977355e-01 1.561956757408066443e-01 1.099903175329960681e-01 1.196611645208772029e-01 1.235543143270377842e-01 1.595917589721085050e-01 1.275324937632608679e-01 1.362193949477424337e-01 1.463921384883205834e-01 1.212751201140783303e-01 1.121790884104471309e-01 1.594036059926562110e-01 1.144738650580983952e-01 1.212841990966807282e-01 1.252199212021275765e-01 1.751652065394572466e-01 1.300297840839002295e-01 1.338427135665262724e-01
1.015190743110849558e+00 1.786044102032362801e-01 1.358110468180131758e-01 1.743820288229701032e-01 1.565831017788758828e-01 1.461219155159551308e-01 1.918482286002622383e-01 1.537257317026992087e-01 1.720635995311806943e-01 1.227689598515935981e-01 1.513208484669440190e-01 1.480759072503417262e-01 1.628734252400276528e-01 1.683634995983026295e-01 1.798589890056780383e-01 2.280730100493151558e-01 1.472742934616428356e-01 1.552167414005598822e-01 1.519945784213287410e-01 1.517175448012528516e-01 1.675652911632344311e-01 1.507674324520886233e-01 1.490062483492554102e-01 1.646775506400252609e-01 1.741945885223279977e-01 1.562411306944656297e-01 1.304244678998229823e-01 1.690635307140790911e-01 2.235444572508119010e-01 1.624540418775016482e-01 1.574936628773865865e-01 1.863841616097755560e-01 1.928341223296185791e-01 1.705554084009412164e-01 1.322701844606002930e-01 1.508731328367590718e-01 1.612891350962449011e-01 1.599885428843688395e-01 1.793410626757259985e-01 1.564506158430306881e-01 1.729279073039445558e-01 1.415832530259700794e-01 1.705407826777464997e-01 1.501592666723507441e-01 1.410569407094018624e-01 1.852061379065685354e-01 2.042572662959765140e-01 1.498856306028579222e-01 1.524642650356385631e-01 1.609270588230212462e-01 1.564050459489406963e-01 1.401153163631013443e-01 1.782940393471761642e-01 1.833267662341621917e-01 1.117232872720092113e-01 1.774067492557235559e-01 1.980726831639230134e-01 1.961533123344533502e-01 2.016834408243694532e-01 1.542512191149148226e-01 1.661631163079218543e-01 1.645608569698086276e-01 1.392331182914053056e-01 1.463007372615796053e-01 1.655319662481585796e-01 1.792504823287167370e-01 1.748877586106853399e-01 2.255624655016780222e-01 1.586787689420887659e-01 1.467019915528437746e-01 1.827525894122690731e-01 1.520656029912496598e-01 1.410102632806471135e-01 1.440496833996693649e-01 2.022426388665395647e-01 1.623484434118631081e-01 1.600007014108978665e-01 1.287689067046837443e-01 1.396370820015525038e-01 1.565813941037507429e-01 1.744855641392587531e-01 1.556727341907407636e-01 1.930716143330878654e-01 1.701112598058648340e-01 1.680882914599804434e-01 1.928909059309622254e-01 1.379446906364898140e-01 1.490301182599258756e-01 1.540896626769108213e-01 1.972567262104054364e-01 1.593311743341118691e-01 1.704012525648511966e-01 1.810529606970806005e-01 1.517588517801508330e-01 1.401488344540515185e-01 1.969601558647122719e-01 1.427541651458498762e-01 1.516666988869140587e-01 1.563444732401144677e-01 2.163908405116959643e-01 1.604966442917493963e-01 1.665248147064534723e-01
1.017700489198214875e+00 2.153595780651338665e-01 1.652854587490397431e-01 2.093989555016587123e-01 1.893125886548399084e-01 1.764509469974180345e-01 2.329109073537998509e-01 1.861767343985103462e-01 2.071601680119922184e-01 1.492255489426664583e-01 1.827572105365253274e-01 1.809079942136990471e-01 1.955221974551512032e-01 2.025485459718510683e-01 2.165525965920842566e-01 2.733458554900188298e-01 1.788809868035322048e-01 1.881318078039824759e-01 1.838146219148508453e-01 1.835943828952940893e-01 2.024244825713161777e-01 1.832708823345879645e-01 1.813064308891031429e-01 2.001582640739999752e-01 2.092477274243796925e-01 1.884469978087180975e-01 1.573218459936105151e-01 2.046375708484277078e-01 2.689793546482357467e-01 1.964726954678064075e-01 1.905972328997058152e-01 2.237328889822760014e-01 2.315555613161493220e-01 2.064945689586300537e-01 1.610869524963318145e-01 1.819416602794626525e-01 1.943944221248012361e-01 1.934054652274977137e-01 2.159296204565511745e-01 1.894526923029626886e-01 2.077558058664629448e-01 1.725685044447479444e-01 2.053875586703091116e-01 1.811680057240088459e-01 1.709899405509503201e-01 2.230796112419683175e-01 2.455073320846538343e-01 1.812558294086883126e-01 1.838777225126750625e-01 1.942775074221396725e-01 1.903948737266900060e-01 1.699537259206883588e-01 2.149311039659513867e-01 2.198229704471136303e-01 1.359768924648371291e-01 2.141010289487013385e-01 2.390421958013688730e-01 2.352901807641387677e-01 2.427394760377463989e-01 1.874571937636702601e-01 2.000376939328863957e-01 1.989793723789531621e-01 1.685855896204087601e-01 1.790627010677139086e-01 1.987629870384896302e-01 2.156563091893999029e-01 2.097525718612130996e-01 2.709747156180867811e-01 1.923773307452006642e-01 1.785122361727570772e-01 2.198405525211675760e-01 1.840919315392286482e-01 1.713044763225357037e-01 1.749143833006814308e-01 2.436960533085797409e-01 1.964829503136792388e-01 1.933886760491191903e-01 1.573798244719394057e-01 1.703130008354388492e-01 1.895052578072876359e-01 2.106833125163142806e-01 1.880672491587007111e-01 2.322668828650261974e-01 2.046230170708695506e-01 2.017719557991187740e-01 2.313977580929631461e-01 1.678884706354450418e-01 1.802037333027873556e-01 1.865565474384996147e-01 2.368367320050176195e-01 1.932309510698775323e-01 2.069168587925809266e-01 2.175014364794552735e-01 1.843372139924019659e-01 1.699626088322822581e-01 2.364028048168687057e-01 1.728213524520408606e-01 1.840990731377624978e-01 1.894967256731981409e-01 2.596876613852355242e-01 1.924375867294434161e-01 2.011805812063054144e-01
1.020204061220407077e+00 2.541139815982149108e-01 1.967118728078743328e-01 2.461060816991707534e-01 2.239373496134183517e-01 2.084787116420794284e-01 2.766061590937579084e-01 2.205782760656957719e-01 2.440848379480012320e-01 1.773901438802513442e-01 2.159622622125955127e-01 2.161109905850926716e-01 2.297327824442084165e-01 2.384780646886708877e-01 2.551648775091832078e-01 3.206975061432058571e-01 2.125023377007122238e-01 2.230814247587221411e-01 2.174764092922124581e-01 2.173503625528759309e-01 2.392644161418305271e-01 2.178973379498984064e-01 2.157432574171983808e-01 2.379609794017623625e-01 2.460112461499822101e-01 2.224097977194271492e-01 1.856763212038589073e-01 2.423260539270861158e-01 3.167672519087852967e-01 2.324738370778154095e-01 2.256637783152976306e-01 2.628690924460701517e-01 2.721453124320557526e-01 2.446051569367435619e-01 1.918327089827595866e-01 2.146882617138066718e-01 2.292725002604777407e-01 2.287458590151547622e-01 2.544418038179757646e-01 2.244345817203423632e-01 2.442865892144882034e-01 2.056812028335920639e-01 2.420621223870264016e-01 2.138698589866652178e-01 2.027635973195129060e-01 2.629613181727625260e-01 2.888239748281835051e-01 2.144529847689837787e-01 2.169971068207907916e-01 2.294937948638780534e-01 2.266584813472790616e-01 2.016536680747088028e-01 2.535539163510506788e-01 2.580078599219706170e-01 1.618329507770863429e-01 2.528413866950412481e-01 2.823096472853599548e-01 2.762595876171848319e-01 2.859199592444285343e-01 2.228199397964812645e-01 2.356649108725391573e-01 2.353953392359703356e-01 1.996888260698219952e-01 2.142339672851473475e-01 2.335883600781851199e-01 2.539198184569560479e-01 2.462388259125303791e-01 3.186209445803863116e-01 2.281447704551985423e-01 2.124368251330016888e-01 2.588140459277963323e-01 2.180309889003310408e-01 2.035388191484580889e-01 2.077367650551436018e-01 2.873852355750811660e-01 2.326534751885867280e-01 2.286955747347643453e-01 1.880384136933186123e-01 2.031098938340064053e-01 2.243784415027125501e-01 2.489265552329528730e-01 2.222961501706749443e-01 2.734663549775632196e-01 2.408798297563861657e-01 2.370625161899270472e-01 2.717126551541850232e-01 1.998221208612946942e-01 2.131782000205807437e-01 2.209501815832407567e-01 2.783306461277204602e-01 2.292321416715769611e-01 2.457730232915017743e-01 2.557342203663968139e-01 2.190161149668573837e-01 2.016192202422633084e-01 2.777284071717792679e-01 2.046713516034597558e-01 2.185832957843256152e-01 2.246759492105910583e-01 3.050573169276215024e-01 2.258469936487335350e-01 2.378099492417817540e-01
1.022701504519739402e+00 2.948674185141472726e-01 2.300884922128846322e-01 2.844989819214479576e-01 2.604564363727266962e-01 2.422014723980666362e-01 3.229443064036682243e-01 2.569289638091829531e-01 2.828346506108344038e-01 2.072601687275032467e-01 2.509326013910945230e-01 2.536971581260112352e-01 2.655008913582185825e-01 2.761493477586712264e-01 2.956946220202084641e-01 3.701282857967996276e-01 2.481362918965496767e-01 2.600715071023642078e-01 2.529750180161252082e-01 2.529831579747982562e-01 2.780840812022900010e-01 2.546507421796917470e-01 2.523166721455948891e-01 2.780930508482059582e-01 2.844810027980929634e-01 2.581270230639921559e-01 2.154814525637515632e-01 2.821281476566148139e-01 3.669123096492477587e-01 2.704559579080857423e-01 2.626936795248520085e-01 3.037891448879507794e-01 3.145983151575211245e-01 2.848940862373008920e-01 2.245044436309512337e-01 2.491073476245452278e-01 2.659206156497385676e-01 2.660067736147687101e-01 2.948797797955231559e-01 2.613953931450884727e-01 2.825149859735903157e-01 2.409255635093016379e-01 2.805610327979560781e-01 2.482586143771335352e-01 2.363786329046561330e-01 3.048523242128511335e-01 3.342085020961041986e-01 2.494765535903011311e-01 2.518184783127663251e-01 2.665749966468079490e-01 2.651979301432285663e-01 2.352168557299779972e-01 2.941640796165548299e-01 2.978776057078065809e-01 1.892882488211328207e-01 2.936299532265251866e-01 3.278817745034482423e-01 3.190576786211065663e-01 3.312231189958593225e-01 2.603430345105207655e-01 2.730394541546760090e-01 2.738075839195864281e-01 2.325400372217531764e-01 2.518182006232524972e-01 2.700014074843501977e-01 2.940372970877597747e-01 2.843417430838151572e-01 3.684999932400056522e-01 2.659788846175599741e-01 2.484783247043748922e-01 2.996692490920012664e-01 2.538828724140715920e-01 2.377119944704383092e-01 2.425152911430852321e-01 3.333163577109698461e-01 2.708635313618915630e-01 2.659198634720992827e-01 2.207451180060985008e-01 2.380284430419677966e-01 2.611994457795949187e-01 2.892181351516260879e-01 2.583557266772089078e-01 3.166687610984724177e-01 2.788758598159237767e-01 2.739549167208915059e-01 3.138318045980366677e-01 2.337455820224209890e-01 2.479494868795671658e-01 2.572655776500339941e-01 3.217369574912185004e-01 2.673345289243535539e-01 2.869755930142818823e-01 2.957477401686925411e-01 2.558006101375690511e-01 2.351170915381331494e-01 3.209335595714238876e-01 2.382998824295669837e-01 2.551207238557823276e-01 2.618809583300834021e-01 3.525008821598117348e-01 2.607192283889225859e-01 2.764123815441596466e-01
