x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99 y_base
1.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 -4.235164736271501695e-19 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 4.235164736271501695e-19 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 -4.235164736271501695e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 4.235164736271501695e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 4.235164736271501695e-19
1.005102040816326481e+00 4.866934889219245997e-02 3.447107808537229479e-02 4.887155218527548112e-02 4.180943120544084596e-02 3.932882990738487822e-02 4.986836148520424478e-02 4.052106874068078790e-02 4.735216160955897646e-02 3.144477782816183786e-02 4.069414466070547104e-02 3.668825912774981157e-02 4.573505757399165539e-02 4.659142146006078899e-02 4.952208797309631122e-02 6.489926165133495795e-02 3.796382715810758812e-02 4.080081221320779744e-02 4.044089988678558484e-02 4.022877884263231091e-02 4.501993498887114920e-02 3.873571071503173480e-02 3.792609316736117453e-02 4.239348821174889620e-02 4.870053334443362469e-02 4.243956881863427538e-02 3.532433437125079984e-02 4.477190762160689758e-02 6.193119897304588672e-02 4.327934751113254180e-02 4.178522277242349009e-02 5.237962543219804035e-02 5.403661572893857235e-02 4.521071299868347632e-02 3.337401642606369762e-02 4.098275776659193737e-02 4.405123464563431845e-02 4.274379989500762256e-02 4.942644974385262263e-02 4.130010161108801231e-02 4.827453203612228072e-02 3.562118079418346434e-02 4.682948047876774045e-02 4.063492824040471074e-02 3.695879013126766865e-02 5.088512162176959952e-02 5.697801843208293027e-02 3.996681874532106299e-02 4.142094093928466725e-02 4.345912236156135311e-02 3.969959980404098865e-02 3.655300599259771188e-02 4.869913523275378603e-02 5.192030780191522754e-02 2.831098198333662289e-02 4.808490293067715915e-02 5.375039408481153275e-02 5.540951173522221801e-02 5.568052950786851751e-02 3.969495182456303506e-02 4.571638635821465707e-02 4.391504237029402596e-02 3.674448461078101691e-02 3.557694783290187707e-02 4.636211036732901247e-02 4.958372604913943715e-02 4.941612231630597429e-02 6.310901480145780784e-02 4.148066819101456359e-02 3.735877188172169461e-02 5.059571604516681365e-02 4.023447768410013531e-02 3.630202311914888791e-02 3.721978510829940939e-02 5.549643589923258791e-02 4.311054757185534686e-02 4.281719631105364993e-02 3.162628495321960498e-02 3.487712518424529451e-02 4.148952778302056332e-02 4.711859818095304880e-02 4.176575003270066588e-02 5.348007677690213429e-02 4.706713162188373017e-02 4.720725155041222143e-02 5.445443452908865084e-02 3.502166352957285927e-02 3.970796509411529673e-02 4.066530513292379578e-02 5.538872176521163898e-02 4.159450873090339562e-02 4.416578994850638845e-02 5.061234758868417283e-02 3.922958908136583295e-02 3.656594945638409061e-02 5.540898307714661047e-02 3.769345299609614536e-02 3.935304707844634875e-02 4.098152609798092622e-02 6.102190156804089549e-02 4.541777277423697523e-02 4.473849082641200708e-02
1.010204081632652962e+00 9.967467764452776768e-02 7.093710582613778348e-02 9.990615341155877072e-02 8.573925996647244197e-02 8.061024309203898564e-02 1.024560833697541889e-01 8.316984500746425757e-02 9.691425951482633694e-02 6.466726453589610735e-02 8.341383396752090340e-02 7.563077032766682417e-02 9.348243765536318195e-02 9.532254320182245722e-02 1.013526567761495883e-01 1.325450009704650656e-01 7.804076668769670266e-02 8.376113819318031783e-02 8.295277111871278419e-02 8.253773263762832768e-02 9.228556998392628552e-02 7.964735450060297928e-02 7.803336290422210886e-02 8.715631016054677105e-02 9.957179335360477612e-02 8.693293824049534713e-02 7.237064827965977720e-02 9.186693202182298623e-02 1.266997372984742520e-01 8.876846844764842148e-02 8.572773984508333389e-02 1.070584767436798951e-01 1.104653382341430345e-01 9.276120562268470870e-02 6.870863830073063727e-02 8.394890578899533162e-02 9.020337934057096052e-02 8.765390018362685665e-02 1.011497192352415475e-01 8.476190580426674892e-02 9.870980421129850468e-02 7.335033900933266016e-02 9.585879829539049879e-02 8.325722553658006231e-02 7.588916902176547075e-02 1.041568073304269815e-01 1.165142154581619710e-01 8.196879105516514941e-02 8.484649449232441187e-02 8.905712512498754896e-02 8.169777118464785493e-02 7.507802650074531237e-02 9.971974686532346366e-02 1.060688176421551859e-01 5.826610610829138781e-02 9.851338719952630607e-02 1.101112920960202052e-01 1.132151037368707841e-01 1.139378616328702992e-01 8.160958468162288204e-02 9.356753513290244628e-02 9.006224819075055177e-02 7.541273651371033226e-02 7.343903218248744313e-02 9.477965287637135638e-02 1.014485962338853020e-01 1.009657575374258293e-01 1.290269969042062981e-01 8.518741557995034019e-02 7.686230039694061378e-02 1.035128910944097536e-01 8.256119262459978014e-02 7.463056057598758952e-02 7.649859915260145971e-02 1.136056398121991218e-01 8.844210621870091105e-02 8.779427851819825157e-02 6.523536769422756676e-02 7.185453827823470863e-02 8.512813348626206700e-02 9.655598533276474327e-02 8.562314707375125178e-02 1.094107701713192132e-01 9.629655400804462695e-02 9.649079254241922643e-02 1.112679759941361812e-01 7.206763108578680133e-02 8.144167405366943557e-02 8.346004919038606251e-02 1.132151512014107908e-01 8.543071559031305273e-02 9.075756769058178353e-02 1.034824175192768370e-01 8.062782793744228960e-02 7.510465444617019093e-02 1.132439173860745052e-01 7.735745865378561292e-02 8.086099785580605492e-02 8.414812869541705986e-02 1.246970527208911828e-01 9.278747323117426948e-02 9.171026456082168044e-02
1.015306122448979664e+00 1.530525758906766953e-01 1.094276737934589405e-01 1.531294199141438606e-01 1.318217468307460172e-01 1.238686926546399281e-01 1.578257214527189201e-01 1.279781658387796339e-01 1.487157674411405117e-01 9.969195791426825604e-02 1.281852616452517357e-01 1.168868404996354776e-01 1.432656294374508310e-01 1.462220476397596836e-01 1.555257925340727543e-01 2.029797598748439846e-01 1.202616205092051360e-01 1.289263965275883328e-01 1.275600073996530914e-01 1.269561806841176255e-01 1.418309175046960358e-01 1.227774980009836009e-01 1.203575529549030521e-01 1.343402537595495549e-01 1.526400398811298964e-01 1.335081430842850470e-01 1.111547743519069320e-01 1.413209764616180641e-01 1.943572949801946614e-01 1.365000715661972008e-01 1.318628898053248177e-01 1.640656865066694448e-01 1.693142385165752883e-01 1.427013919499548478e-01 1.060307996507812434e-01 1.289198386042751665e-01 1.384846698068560311e-01 1.347596591797394217e-01 1.552096273688883810e-01 1.304186357330269219e-01 1.513300352929603521e-01 1.132297641134343974e-01 1.471164093784905202e-01 1.278873998115311605e-01 1.168242856939300522e-01 1.598545702728840778e-01 1.786506459676410752e-01 1.260375497443504411e-01 1.303014025620526928e-01 1.368263419512874002e-01 1.260359073199141255e-01 1.156100686496895624e-01 1.531013179214791298e-01 1.624730284655303836e-01 8.988669081201990096e-02 1.513264127055541641e-01 1.691360652601185954e-01 1.734468629822314978e-01 1.748091663417547514e-01 1.257865237498470568e-01 1.435775123358788985e-01 1.384752649429451810e-01 1.160307998384974282e-01 1.136310511566808318e-01 1.452725680713346235e-01 1.556236887973291849e-01 1.546732629033069628e-01 1.977954617669903936e-01 1.311523433423761320e-01 1.185503219571989453e-01 1.587809794445399492e-01 1.270139776817314214e-01 1.150163686211320146e-01 1.178672680076994911e-01 1.743797164513247455e-01 1.360366268760307973e-01 1.349630313833044548e-01 1.008610752698456681e-01 1.109681976691292982e-01 1.309477236804924838e-01 1.483540759249086793e-01 1.315989873269687860e-01 1.678281125796108608e-01 1.477116871946814736e-01 1.478738256000315388e-01 1.704701825556020067e-01 1.111710048738206447e-01 1.252264313959554620e-01 1.284096676768708145e-01 1.735142796265940479e-01 1.315445482697560342e-01 1.398251780546766743e-01 1.586389445979392576e-01 1.242390413690100531e-01 1.156453002060085777e-01 1.735362860375135874e-01 1.190161766028411394e-01 1.245613640924390919e-01 1.295330268040985056e-01 1.910682475959536719e-01 1.421291596124767409e-01 1.409499571966682796e-01
1.020408163265306145e+00 2.088386660981076670e-01 1.499714804281537806e-01 2.085665360014402059e-01 1.800882711299285621e-01 1.691280860306503542e-01 2.160376110382006276e-01 1.749769802427473542e-01 2.027855186065739279e-01 1.365426633413751867e-01 1.750340081889618926e-01 1.605134917967608321e-01 1.951077437448049401e-01 1.993180044558395814e-01 2.120747496082114880e-01 2.762451014434757490e-01 1.646562982389157270e-01 1.763404720658418301e-01 1.742864627680223710e-01 1.735126755077006921e-01 1.936890769022602266e-01 1.681672635544360916e-01 1.649332799067200761e-01 1.839952831248869991e-01 2.079310597304770136e-01 1.821925504673672092e-01 1.516923473210746998e-01 1.931689325114834266e-01 2.649540720575283004e-01 1.865059790794293682e-01 1.802249775721005143e-01 2.234298554897820588e-01 2.306109281668552169e-01 1.950795081872562786e-01 1.453666470852061632e-01 1.759165711388592235e-01 1.889226941676375449e-01 1.840896968183677873e-01 2.116448759859608786e-01 1.783025681872700274e-01 2.061590745803867641e-01 1.553002595130369701e-01 2.006301597095600242e-01 1.745456271568728845e-01 1.597962738659946813e-01 2.180168681461951141e-01 2.434282714270196435e-01 1.722038446147202695e-01 1.778098858414133843e-01 1.867982471450591042e-01 1.727540158038980700e-01 1.581830298778929556e-01 2.088822228179439133e-01 2.211599866801687020e-01 1.231934631541076602e-01 2.065637456673543038e-01 2.308763913351402075e-01 2.361343528601320130e-01 2.383307268006210622e-01 1.722669665446040776e-01 1.957699687714592740e-01 1.891868224931123055e-01 1.586240491260864360e-01 1.561961858687347382e-01 1.978605928146128512e-01 2.121374921249967183e-01 2.105626433449531154e-01 2.694549665538568117e-01 1.794066570863591947e-01 1.624612367473208530e-01 2.164288383842596086e-01 1.736256770148180972e-01 1.574892872902304009e-01 1.613557179092362792e-01 2.378691725964857950e-01 1.859347363760591731e-01 1.843543940035813344e-01 1.385360815152247849e-01 1.522528604324262513e-01 1.789793334195611541e-01 2.025535275445706496e-01 1.797194491103445424e-01 2.287672764148559468e-01 2.013355908068999445e-01 2.013792270260494066e-01 2.320900845240587984e-01 1.523638270830627306e-01 1.710869590371779936e-01 1.755390150715200881e-01 2.363203241520617504e-01 1.799708578049856178e-01 1.914167575293003742e-01 2.161101192982181618e-01 1.701060371197909982e-01 1.582162438028061335e-01 2.363169811756587191e-01 1.626932058617417132e-01 1.704904793704525301e-01 1.771684861957446844e-01 2.601772265865711642e-01 1.934626882152465643e-01 1.924912528937278988e-01
1.025510204081632626e+00 2.670676804457092768e-01 1.925964023893540489e-01 2.662422983033169710e-01 2.305694012668745019e-01 2.164118346119002223e-01 2.771500185430437746e-01 2.241964201399405110e-01 2.591517630036410669e-01 1.752425505501105374e-01 2.239850947169920725e-01 2.065656131659004691e-01 2.490315529288750218e-01 2.546379255024986965e-01 2.710320192169701770e-01 3.523816892842924209e-01 2.112538884046578358e-01 2.260458233854635846e-01 2.231555017904075788e-01 2.222350665808877079e-01 2.478923074501038770e-01 2.158564319967603007e-01 2.117941188312671974e-01 2.361696647524220150e-01 2.654702130208951294e-01 2.330129168432935605e-01 1.939988316610516128e-01 2.474447598671826731e-01 3.385388978070011934e-01 2.388171978774712434e-01 2.308473536103085866e-01 2.851791041714778485e-01 2.943826075787998597e-01 2.499422297157612993e-01 1.867416038528020572e-01 2.249597786392476817e-01 2.415444492725552783e-01 2.356719568608918181e-01 2.704931338107708916e-01 2.284451078717531225e-01 2.632204430950729757e-01 1.996012473992296865e-01 2.564273404245626109e-01 2.232517898305660942e-01 2.048363282460190504e-01 2.786811858784890572e-01 3.108870447346966936e-01 2.204976119246894184e-01 2.273956924413274017e-01 2.390035243840686330e-01 2.218908192874853857e-01 2.028297797079862408e-01 2.670998117168729147e-01 2.821563326001358396e-01 1.582066087272248900e-01 2.642640481051281021e-01 2.953823747342472217e-01 3.013066650553939407e-01 3.045380131496538967e-01 2.210907854043393794e-01 2.501681836645321955e-01 2.422288063858112350e-01 2.032172460036856254e-01 2.011761151606583364e-01 2.525632906725007176e-01 2.710179594076859710e-01 2.686575911084210233e-01 3.440451900769251892e-01 2.299807390480495817e-01 2.086322051878209682e-01 2.764847833189528759e-01 2.224282221160623907e-01 2.020783120980556846e-01 2.069930467032470300e-01 3.041230316321019700e-01 2.381758337481377219e-01 2.359985282581931187e-01 1.782919921839321298e-01 1.957421710868385845e-01 2.292531964897081276e-01 2.591938337391207492e-01 2.300101480690206202e-01 2.922626453901410182e-01 2.571910047132187072e-01 2.570295850902298285e-01 2.961562354849532341e-01 1.956771594981646656e-01 2.190474489945110348e-01 2.248724185007656418e-01 3.016667935255764599e-01 2.307435011305181416e-01 2.455788540284905008e-01 2.759236397345387060e-01 2.182702126198216019e-01 2.028450803142716474e-01 3.016163601140727235e-01 2.084116360592702111e-01 2.186835871503592377e-01 2.270858944859552586e-01 3.320647596627646636e-01 2.468077433632049622e-01 2.463669589013843253e-01
1.030612244897959107e+00 3.277735330353130916e-01 2.373295605606827174e-01 3.261811572958248640e-01 2.832949607091891919e-01 2.657429002970172482e-01 3.412192839920306087e-01 2.756658669564431841e-01 3.178422211791755991e-01 2.158142068763471977e-01 2.750630334934304200e-01 2.550961027879134480e-01 3.050595283083540332e-01 3.122088163556194229e-01 3.324293938839891216e-01 4.314293621251076294e-01 2.600827252673685863e-01 2.780835837868683158e-01 2.741900466149270188e-01 2.731505601276307260e-01 3.044720969722806703e-01 2.658835392294023880e-01 2.609726836809355688e-01 2.909100860874511141e-01 3.252824766963706149e-01 2.859954415361578017e-01 2.380895474508489540e-01 3.041815612878100428e-01 4.151593333773361261e-01 2.934639863828901185e-01 2.837624883200370318e-01 3.493411211135402095e-01 3.606561111985632784e-01 3.073347810986284956e-01 2.301804299171338053e-01 2.760698340912194904e-01 2.963763935654767367e-01 2.895337652595208477e-01 3.317911153207389607e-01 2.808768571345265364e-01 3.225373722259848308e-01 2.461708672282001409e-01 3.145347395288107251e-01 2.740255118625470887e-01 2.519747761709571487e-01 3.418841133280896560e-01 3.810659899573289322e-01 2.709480396175912298e-01 2.790821435128015282e-01 2.934721312522007852e-01 2.734838499725554817e-01 2.495822365432341372e-01 3.277904897795736461e-01 3.454883440648633952e-01 1.949458184543662598e-01 3.244649619120332784e-01 3.627026594428435780e-01 3.689924682759229135e-01 3.734657517801746596e-01 2.722966237603066664e-01 3.067951055772263347e-01 2.976323266539061541e-01 2.498345923611181574e-01 2.486111233340323745e-01 3.094000803855384563e-01 3.322925599492499438e-01 3.289815229454361445e-01 4.216050078995731143e-01 2.829042158372499505e-01 2.570992385212269582e-01 3.389766395059640169e-01 2.734527032059073104e-01 2.488116613203887884e-01 2.548075907133723894e-01 3.731889412210989132e-01 2.927981807030515804e-01 2.899248830623005202e-01 2.201594248477287685e-01 2.414687449057732471e-01 2.817988113557112206e-01 3.183134112500561885e-01 2.824961889775861046e-01 3.583478814710496785e-01 3.153003871466276697e-01 3.148472359654522768e-01 3.626967602978918848e-01 2.411411582189380565e-01 2.691316128208495195e-01 2.764337280610266734e-01 3.695865499821657796e-01 2.838954185810748099e-01 3.023565394149147489e-01 3.381067604628869017e-01 2.687716552741903353e-01 2.495587049409735692e-01 3.694642980598093485e-01 2.561940954727126574e-01 2.691749234711798278e-01 2.793158316111883366e-01 4.067707246793879627e-01 3.021838655279724950e-01 3.026090759096756733e-01
1.035714285714285809e+00 3.909893877427120246e-01 2.841973819986111649e-01 3.884072562867289524e-01 3.382940899707345683e-01 3.171438391757914199e-01 4.082999549832779795e-01 3.294140141526092358e-01 3.788841347452995278e-01 2.582796872196172489e-01 3.282918753417420343e-01 3.061560019964017498e-01 3.632138753208767890e-01 3.720572247403777233e-01 3.962980279887156621e-01 5.134272039424282452e-01 3.111704515371181423e-01 3.324936562321607614e-01 3.274126210951198157e-01 3.262857752702018055e-01 3.634592263017416558e-01 3.182859669540734626e-01 3.125007027821811167e-01 3.482617669749319966e-01 3.873924853704535098e-01 3.411658170039977844e-01 2.839796945921856386e-01 3.634116529754787273e-01 4.948617682834020592e-01 3.504759173260986738e-01 3.390020419153201847e-01 4.159432084053458767e-01 4.294579500103492542e-01 3.673010395022596741e-01 2.757072783113432290e-01 3.292668432985510485e-01 3.534444967242510449e-01 3.457018849354244749e-01 3.955746548792154482e-01 3.356276814433926114e-01 3.841328400032154033e-01 2.950460682460886441e-01 3.749786904511069330e-01 3.268861924319306778e-01 3.012411448936834213e-01 4.076614183257491475e-01 4.540032772822482632e-01 3.235836285864809314e-01 3.328921760645143224e-01 3.502333598513212021e-01 3.275695383574863673e-01 2.984714398120393297e-01 3.909897916534052498e-01 4.111819774258638205e-01 2.334303324788414014e-01 3.872031878663522719e-01 4.328845351928334861e-01 4.392200540348443760e-01 4.451479904110597907e-01 3.259219865907713731e-01 3.656733907981923326e-01 3.554277824390992269e-01 2.984997802599543282e-01 2.985402013386945219e-01 3.683902625576325751e-01 3.959883273438022933e-01 3.915576150366913977e-01 5.021725629192581586e-01 3.382060220257075422e-01 3.078972839022168229e-01 4.039317906273502401e-01 3.267294362926709272e-01 2.977168391526183733e-01 3.048269875130017459e-01 4.451132745579622907e-01 3.498389866769193168e-01 3.461622547042618181e-01 2.641680839055869923e-01 2.894642461388142185e-01 3.366450030864567289e-01 3.799496820019016563e-01 3.372022143588350174e-01 4.270559877829132045e-01 3.756859504653923820e-01 3.748542974725806443e-01 4.317394001808371740e-01 2.887851438076982635e-01 3.213627279902315226e-01 3.302463640157270452e-01 4.401118673668217851e-01 3.394587066697348776e-01 3.617935152463341852e-01 4.026863383213380443e-01 3.216492367122709140e-01 2.983833713169718460e-01 4.398902376541188874e-01 3.060627960952087556e-01 3.219977946415790160e-01 3.338881360006468180e-01 4.843341809999884284e-01 3.596104777291693200e-01 3.612488641276285772e-01
1.040816326530612290e+00 4.567477219933570587e-01 3.332256580885392672e-01 4.529444680338470253e-01 3.955953048437795272e-01 3.706368425387496779e-01 4.784449126679146125e-01 3.854689259537962265e-01 4.423043138387626749e-01 3.026605609327623903e-01 3.836952541563458663e-01 3.597946212153730894e-01 4.235165665415283054e-01 4.342092860378573005e-01 4.626684946758379269e-01 5.984136099215084936e-01 3.645440772528298345e-01 3.893148026159897745e-01 3.828453921809223948e-01 3.816667967593306843e-01 4.248838298420778425e-01 3.731000279490736538e-01 3.664090897441946715e-01 4.082685644454361329e-01 4.518245696868077310e-01 3.985492760478753782e-01 3.316843754952417123e-01 4.251666306945932616e-01 5.776915111566289784e-01 4.098819367089321375e-01 3.965969300859941149e-01 4.850123243755524727e-01 5.008143514460837720e-01 4.298836319529750760e-01 3.233457480176057941e-01 3.845706777806841004e-01 4.127742862867155305e-01 4.042025672078287113e-01 4.618787764388510020e-01 3.927267708884443764e-01 4.480296051618341546e-01 3.462626964405751129e-01 4.377851176479372608e-01 3.818530371683189206e-01 3.526642248006498503e-01 4.760481153632475926e-01 5.297362934981456606e-01 3.784322502344685812e-01 3.888483831636129762e-01 4.093158937491698790e-01 3.841832966054908871e-01 3.495276177615012081e-01 4.567324515016593089e-01 4.792629060784023842e-01 2.736789813392780379e-01 4.525145599125567353e-01 5.059740373268684088e-01 5.120173796858230597e-01 5.196181592417219441e-01 3.820033254340631790e-01 4.268254393760748111e-01 4.156449226975424960e-01 3.492360387913297504e-01 3.510011418397152028e-01 4.295530446889457843e-01 4.621319047317257733e-01 4.564088358026599512e-01 5.857853317278801653e-01 3.959144598512250313e-01 3.610603043461391159e-01 4.713772244118200616e-01 3.822880261789177725e-01 3.488206950146184870e-01 3.570782348703613329e-01 5.199412256137388999e-01 4.093344887854405978e-01 4.047388435232293635e-01 3.103468310187719736e-01 3.397594614729925189e-01 3.938199815235781109e-01 4.441391501853670376e-01 3.941524501308176220e-01 4.984193677392864674e-01 4.383696947150622081e-01 4.370727007838580147e-01 5.033115550754830858e-01 3.386376671613485212e-01 3.757636814372039558e-01 3.863333610757141434e-01 5.132744857757007839e-01 3.974646864505506638e-01 4.239322121801810672e-01 4.696888755087844092e-01 3.769407013849743193e-01 3.493447462681696924e-01 5.129232355427705281e-01 3.580395759304523251e-01 3.771846502464372142e-01 3.908319667247333595e-01 5.647934387428135139e-01 4.191069103332803469e-01 4.223169053683591967e-01
1.045918367346938771e+00 5.250803867289368654e-01 3.844395991564013570e-01 5.198164291566708117e-01 4.552265511269796838e-01 4.262437753903769999e-01 5.517054902522116056e-01 4.438580925315789849e-01 5.081291817313805526e-01 3.489779558425287198e-01 4.412964287050765710e-01 4.160596584206163739e-01 4.859893727131773811e-01 4.986907660664450792e-01 5.315708393629748896e-01 6.864263485215669203e-01 4.202300350769345716e-01 4.485847277308228631e-01 4.405102087600727967e-01 4.393192245124131201e-01 4.887754524877364060e-01 4.303610462376549206e-01 4.227280100803927354e-01 4.709730712619457083e-01 5.186027923633086401e-01 4.581706361687930551e-01 3.812186163396623639e-01 4.894774319087886738e-01 6.636928751231027102e-01 4.717104192062743229e-01 4.565773857167116923e-01 5.565751237546286978e-01 5.747512968938609523e-01 4.951240268229766817e-01 3.731189335996484280e-01 4.420010056380214714e-01 4.743908914628828799e-01 4.650616000955217211e-01 5.307377591028026309e-01 4.522026979702328253e-01 5.142502391468140033e-01 3.998555762762880383e-01 5.029795794544107412e-01 4.389450875194418900e-01 4.062721288240752071e-01 5.470785302114695714e-01 6.083017082955815003e-01 4.355212005724262148e-01 4.469730516948742238e-01 4.707478615032705815e-01 4.433595968825890798e-01 4.027802511810689712e-01 5.250524688657178807e-01 5.497565567038888990e-01 3.157102246089725228e-01 5.204341150175915143e-01 5.820160407568646388e-01 5.874121088964274762e-01 5.969091284403619246e-01 4.405761183100662670e-01 4.902734289571873405e-01 4.783129032467685060e-01 4.020661780839003829e-01 4.060306285551805172e-01 4.929075646690917467e-01 5.307495873298391231e-01 5.235579767463568457e-01 6.724801870277595794e-01 4.560572552924341827e-01 4.166213538669417127e-01 5.413395755034229317e-01 4.401574256782437855e-01 4.021494792534741070e-01 4.115877461166460027e-01 5.977168987586136684e-01 4.713200270159648708e-01 4.656823071672477887e-01 3.587237512677164952e-01 3.923843690416708441e-01 4.533513959392018178e-01 5.109174747515833337e-01 4.533707484798331078e-01 5.724698806403787366e-01 5.033734391422501897e-01 5.015242202245441261e-01 5.774403234769408533e-01 3.907265713856974965e-01 4.323570104397604918e-01 4.447174099581029383e-01 5.891056629460033056e-01 4.579439677528922004e-01 4.888138834422707801e-01 5.391405600869426662e-01 4.346827498718983662e-01 4.024679612509066695e-01 5.885920061747719201e-01 4.121459386996016439e-01 4.347671517716646394e-01 4.501758618829387326e-01 6.481861239350986681e-01 4.806924243631359173e-01 4.858431614018414724e-01
