x y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.005899999737739581e+00 5.491240443952846717e-02 5.492084852303377729e-02 5.498272876138798892e-02 5.493530058010946682e-02 5.491224811121356297e-02 5.494186509749852260e-02 5.496763101837132126e-02 5.496154679276515215e-02 5.495460314559750398e-02 5.491629963507876216e-02 5.495106950693297992e-02 5.505768870061729381e-02 5.490948137012310187e-02 5.498589855851605812e-02 5.486891740583815097e-02 5.492577602853998542e-02 5.501678124419413785e-02 5.492524355940986425e-02 5.492129952472168952e-02 5.493536795547697416e-02 5.496837901009712229e-02 5.503291542700025629e-02 5.474705991509836583e-02 5.488991104939486970e-02 5.496402103453874866e-02 5.481990675907582461e-02 5.500565673573874076e-02 5.491771214292384684e-02 5.500706584134604921e-02 5.488033190777059922e-02
1.011799999475479162e+00 1.212681243370752754e-01 1.212860720523167429e-01 1.214136917085852502e-01 1.213165469060186324e-01 1.212696349655743577e-01 1.213308370090089711e-01 1.213813731970731224e-01 1.213815765979234101e-01 1.213580581825226545e-01 1.212766465207096162e-01 1.213413445919286487e-01 1.215660939051304013e-01 1.212538643507286851e-01 1.214161983341909973e-01 1.211707011796534089e-01 1.213026428013108671e-01 1.214894962613470852e-01 1.213003017241135323e-01 1.212983759120106753e-01 1.213165367196779726e-01 1.213980707805603770e-01 1.215136074344627531e-01 1.209273897402454168e-01 1.212139319919515457e-01 1.213744686392601579e-01 1.210694069101009573e-01 1.214686399209313067e-01 1.212882606370840333e-01 1.214669306122232173e-01 1.211892555525991982e-01
1.017699999809265066e+00 1.991607446339912768e-01 1.991894222912378720e-01 1.993869585567153990e-01 1.992376178153790478e-01 1.991659317514859195e-01 1.992608323926106095e-01 1.993349446915090029e-01 1.993545052479021029e-01 1.993043509894050769e-01 1.991747329244390186e-01 1.992644135723821708e-01 1.996188677963800784e-01 1.991264022537506950e-01 1.993845924385823365e-01 1.989988199202343822e-01 1.992246750509366338e-01 1.995123738190159035e-01 1.992192780133336671e-01 1.992253281408920829e-01 1.992372981156222411e-01 1.993832242325879467e-01 1.995357030304148738e-01 1.986341998330317382e-01 1.990659627830609624e-01 1.993252379936165941e-01 1.988417692249640767e-01 1.994832467171363533e-01 1.992060174001380746e-01 1.994739103945903369e-01 1.990193976205773818e-01
1.023599998950958323e+00 2.886831493116915337e-01 2.887239296687766910e-01 2.889958441257476363e-01 2.887916577747091651e-01 2.886941851815208460e-01 2.888250296702608577e-01 2.889213531743735075e-01 2.889739482430740969e-01 2.888867229921743274e-01 2.887035385938361287e-01 2.888131669256836509e-01 2.893089728895574808e-01 2.886196871520951279e-01 2.889840689254924988e-01 2.884460476227104220e-01 2.887851852457970492e-01 2.891788730164990273e-01 2.887755100848153345e-01 2.887954916572198494e-01 2.887907209573313816e-01 2.890172231243923195e-01 2.891921359580010287e-01 2.879600230371579528e-01 2.885391530813649630e-01 2.889094871701672895e-01 2.882295883726328500e-01 2.891429928131401539e-01 2.887645530980080255e-01 2.891215363284572737e-01 2.884628005558624864e-01
1.029500000476837096e+00 3.899324762402102684e-01 3.899868584237992652e-01 3.903378706658258701e-01 3.900760359829291701e-01 3.899516740581020491e-01 3.901208285475149529e-01 3.902378501137718225e-01 3.903376925736665726e-01 3.902026311261579394e-01 3.899602852296084055e-01 3.900847492972389086e-01 3.907336378702894186e-01 3.898305945796892158e-01 3.903118651127442384e-01 3.896094096126034856e-01 3.900816882262006513e-01 3.905866503249854071e-01 3.900665363762527704e-01 3.901064065285027027e-01 3.900741094490512983e-01 3.903976568253710866e-01 3.905801000772043952e-01 3.890016619348898863e-01 3.897308615967631229e-01 3.902245981618762127e-01 3.893297295551747528e-01 3.905455838190391993e-01 3.900616106111556292e-01 3.905075274873524571e-01 3.896158534800633899e-01
1.035399999618530353e+00 5.030145588796585132e-01 5.030841565225273593e-01 5.035192207433283329e-01 5.031967954710125923e-01 5.030443561729043278e-01 5.032542986795306428e-01 5.033903778996319245e-01 5.035521628335118960e-01 5.033582023344934653e-01 5.030508842784910950e-01 5.031850019935518725e-01 5.039987963624298350e-01 5.028647160157561080e-01 5.034739134833217111e-01 5.025946233421564324e-01 5.032203565351665020e-01 5.038420187309384790e-01 5.031985503155738115e-01 5.032642725389451233e-01 5.031934503931552172e-01 5.036307820118963718e-01 5.038054922595619489e-01 5.018646274693310261e-01 5.027470987290144633e-01 5.033766260836273210e-01 5.022477634716778772e-01 5.037973729427903669e-01 5.032035652548074722e-01 5.037382454145699073e-01 5.025837148539721300e-01
1.041300001144409126e+00 6.280479268170893192e-01 6.281344625167548656e-01 6.286587475799024771e-01 6.282726604957133976e-01 6.280908767133951409e-01 6.283441910520195517e-01 6.284975721500813961e-01 6.287364403251558542e-01 6.284722354263067023e-01 6.280939358752221091e-01 6.282324599567801204e-01 6.292230944614857213e-01 6.278403625357896756e-01 6.285888405516744104e-01 6.275200957898050547e-01 6.283200340811163631e-01 6.290639584418385999e-01 6.282904082909226418e-01 6.283879646100103411e-01 6.282674211543053389e-01 6.288355315104127152e-01 6.289869185071438329e-01 6.266671372577548027e-01 6.277065362781285573e-01 6.284843050409107956e-01 6.271019635722041574e-01 6.290173766668886168e-01 6.283094414044171350e-01 6.289327085018158181e-01 6.274842991493642108e-01
1.047199997901916424e+00 7.651674431748688443e-01 7.652727209962904009e-01 7.658916076645254645e-01 7.654386654496192488e-01 7.652261943090706842e-01 7.655255645047872592e-01 7.656943916343152967e-01 7.660258991178124921e-01 7.656798460986465882e-01 7.652243619784713236e-01 7.653619806282222493e-01 7.665415189694613218e-01 7.648921709042042494e-01 7.657915996387600899e-01 7.645205485634506415e-01 7.655158670619129913e-01 7.663877580780535936e-01 7.654772722627968262e-01 7.656126711051911560e-01 7.654310164041817632e-01 7.661471615545450975e-01 7.662593106273560828e-01 7.635437364224344492e-01 7.647441345732658435e-01 7.656826807651668787e-01 7.640269216150046283e-01 7.663409170228988598e-01 7.655145562719554153e-01 7.662262353580445717e-01 7.644518831279129012e-01
1.053099999427795419e+00 9.145275981165469359e-01 9.146535139996558872e-01 9.153725714888423237e-01 9.148494665510952251e-01 9.146048902533948644e-01 9.149531021248549223e-01 9.151354246307163987e-01 9.155755316372961028e-01 9.151357636786997540e-01 9.145967187825589928e-01 9.147280466742814253e-01 9.161086944863200410e-01 9.141744164284318908e-01 9.152367724105715530e-01 9.137503146659582409e-01 9.149626230355352163e-01 9.159683292265980992e-01 9.149139182642103130e-01 9.150932061485945734e-01 9.148388582281768988e-01 9.157205634284765194e-01 9.157772485166788545e-01 9.126486004330218726e-01 9.140144489239900860e-01 9.151264206506312116e-01 9.131768558640033229e-01 9.159229304175824371e-01 9.149738330394030505e-01 9.157737512141466141e-01 9.136404014192521794e-01
1.059000000953674414e+00 1.076305545493960292e+00 1.076454075891524420e+00 1.077279067784547628e+00 1.076682378537952900e+00 1.076404207758605347e+00 1.076804139092564450e+00 1.076997924875467971e+00 1.077562992554158106e+00 1.077017384488135443e+00 1.076388215180486441e+00 1.076507797185331627e+00 1.078101928904652507e+00 1.075864032655954317e+00 1.077101602498441890e+00 1.075386376399547039e+00 1.076837729010730937e+00 1.077983241248875901e+00 1.076777778845280586e+00 1.077007052954286337e+00 1.076668233796954199e+00 1.077733305096626237e+00 1.077717972174286665e+00 1.074158561602234663e+00 1.075694660842418715e+00 1.076992847025394440e+00 1.074728628341108605e+00 1.077941022906452329e+00 1.076864845212548882e+00 1.077752837538719088e+00 1.075226457882672682e+00
