x y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.104287790134549224e-01 1.104463945142924869e-01 1.105782985163386994e-01 1.104767725162673769e-01 1.104271652351599270e-01 1.104901550395879922e-01 1.105468310357537176e-01 1.105244659760501180e-01 1.105166293389629462e-01 1.104368925793096368e-01 1.105161359941121135e-01 1.107390075980219935e-01 1.104288363771047526e-01 1.105877993279136828e-01 1.103423924185335664e-01 1.104519784392323373e-01 1.106463320145849166e-01 1.104518921289127237e-01 1.104387378727551550e-01 1.104770144622307243e-01 1.105367847892921446e-01 1.106874990742653664e-01 1.100768066011369173e-01 1.103874586813617387e-01 1.105387089366559050e-01 1.102383812307380084e-01 1.106211112986784373e-01 1.104336142947431737e-01 1.106278524152003312e-01 1.103698049671947984e-01
1.024999999999999911e+00 2.339951709611341468e-01 2.340321514406241699e-01 2.343058347352780513e-01 2.340957109932787772e-01 2.339931224472820703e-01 2.341239047353155800e-01 2.342395871994085443e-01 2.342016869457438366e-01 2.341794280102476589e-01 2.340124304057099036e-01 2.341722733341157492e-01 2.346373396809212919e-01 2.339899369631893988e-01 2.343228085897862967e-01 2.338111645891331192e-01 2.340479264617897626e-01 2.344504704000428541e-01 2.340470641152933295e-01 2.340236362535506320e-01 2.340960607398301363e-01 2.342285008518956713e-01 2.345296191168017852e-01 2.332653213641606160e-01 2.339048793888650890e-01 2.342232055147178693e-01 2.335953615140169692e-01 2.343995284638367427e-01 2.340115331695415135e-01 2.344106549280695617e-01 2.338643078575841916e-01
1.037500000000000089e+00 3.714066809276118653e-01 3.714650714304297829e-01 3.718912848969921359e-01 3.715649717021733967e-01 3.714056561468168649e-01 3.716094711795449590e-01 3.717863274738192336e-01 3.717408494325354362e-01 3.716968053951859585e-01 3.714343589730560447e-01 3.716761445160955413e-01 3.724036658415570411e-01 3.713902001501992456e-01 3.719132292084396108e-01 3.711131684249266982e-01 3.714961934601888061e-01 3.721216743113472947e-01 3.714939376339316257e-01 3.714632023591548093e-01 3.715652115410193468e-01 3.717840703902766109e-01 3.722347166156396714e-01 3.702712607104331477e-01 3.712598518235608602e-01 3.717617603950202354e-01 3.707772905472666025e-01 3.720445548184215800e-01 3.714425577782094479e-01 3.720576643478125112e-01 3.711893161525949836e-01
1.050000000000000044e+00 5.233797076158225314e-01 5.234618312213569213e-01 5.240521974395960791e-01 5.236015913542360067e-01 5.233814160339534949e-01 5.236639475915580988e-01 5.239040197804570864e-01 5.238599281292408705e-01 5.237860342022031546e-01 5.234193168580532074e-01 5.237444279249757750e-01 5.247556402347982596e-01 5.233454787172377998e-01 5.240762100089341180e-01 5.229641438927501440e-01 5.235139483120292425e-01 5.243780667427927478e-01 5.235097568016499059e-01 5.234747533220797111e-01 5.236014368478209002e-01 5.239212322980165704e-01 5.245201138313859701e-01 5.218091668095439228e-01 5.231688201893121004e-01 5.238715278450399859e-01 5.224994287360459344e-01 5.242743392940610869e-01 5.234442709013819028e-01 5.242869897279888169e-01 5.230596718844026105e-01
1.062500000000000000e+00 6.906449456233531015e-01 6.907533885445444888e-01 6.915204074699431436e-01 6.909368926193565352e-01 6.906513167545199616e-01 6.910187011584638661e-01 6.913239424582570125e-01 6.912911007646470596e-01 6.911786571145057678e-01 6.906982345040887372e-01 6.911081393714993970e-01 6.924253046046942028e-01 6.905859669670462164e-01 6.915432510897516760e-01 6.900941215455531630e-01 6.908325850963592529e-01 6.919520542025566767e-01 6.908260058145970772e-01 6.907898319885135141e-01 6.909360053949058500e-01 6.913719628006219642e-01 6.921174972318112628e-01 6.886077911127359563e-01 6.903624851256608963e-01 6.912839457858354075e-01 6.894913362339138985e-01 6.918212876189500093e-01 6.907484536990523560e-01 6.918310145847499371e-01 6.902046279050408906e-01
1.074999999999999956e+00 8.739520699717104879e-01 8.740896719042211549e-01 8.750467302743345499e-01 8.743211784400045650e-01 8.739652391057461944e-01 8.744240731932222399e-01 8.747963820584119254e-01 8.747854641173035128e-01 8.746251881588250621e-01 8.740210305433721016e-01 8.745173245202749746e-01 8.761637818068266359e-01 8.738608922343701346e-01 8.750648905523121801e-01 8.732521002180874126e-01 8.742024248465896097e-01 8.755950255785137637e-01 8.741931021679193448e-01 8.741589053533971310e-01 8.743191841058433056e-01 8.748871700372546911e-01 8.757776098791509867e-01 8.714147853665054066e-01 8.735905030276626126e-01 8.747494433075189146e-01 8.725015572737903069e-01 8.754367743618786113e-01 8.741057948209345341e-01 8.754410888999700768e-01 8.733725224155932665e-01
1.087499999999999911e+00 1.074073864426463798e+00 1.074243707768619105e+00 1.075405097659677178e+00 1.074527858756482601e+00 1.074096146598458201e+00 1.074653503764420703e+00 1.075094748102128683e+00 1.075117165781557471e+00 1.074899236112833112e+00 1.074160731676965908e+00 1.074745183810591698e+00 1.076745401509106248e+00 1.073942617606371774e+00 1.075414834171533496e+00 1.073210167046636299e+00 1.074396849051117764e+00 1.076081486232578710e+00 1.074384532589465424e+00 1.074355504754930690e+00 1.074524357635527894e+00 1.075240842252969786e+00 1.076274375524371996e+00 1.071000814624130548e+00 1.073625602200627416e+00 1.075041556823998601e+00 1.072301731631159827e+00 1.075895270332694054e+00 1.074290021695196717e+00 1.075891677569597915e+00 1.073334875423461066e+00
1.100000000000000089e+00 1.291809900570660918e+00 1.292015313822776124e+00 1.293396245315671100e+00 1.292357139475643457e+00 1.291843781713396311e+00 1.292507227417081461e+00 1.293019273038953587e+00 1.293087105639278755e+00 1.292801197245716960e+00 1.291917163413017988e+00 1.292591744475066751e+00 1.294971377495676146e+00 1.291630336362868503e+00 1.293393634725362062e+00 1.290767187252640724e+00 1.292215989995747938e+00 1.294212757796049162e+00 1.292200546618551105e+00 1.292179910093546047e+00 1.292351716943085149e+00 1.293233731295913458e+00 1.294408579263836012e+00 1.288163234479725361e+00 1.291267276462167324e+00 1.292960615176707462e+00 1.289690281357616319e+00 1.293998045567423150e+00 1.292101608496159404e+00 1.293984043225645975e+00 1.290890072658658072e+00
1.112500000000000044e+00 1.527989942207932605e+00 1.528234474267810672e+00 1.529851109720766544e+00 1.528639423381537021e+00 1.528038059454411179e+00 1.528815660160034895e+00 1.529400394298136234e+00 1.529526341147720681e+00 1.529161655716597901e+00 1.528120337706059262e+00 1.528887266200035899e+00 1.531673214584588827e+00 1.527753436844796031e+00 1.529832096863538160e+00 1.526752169709652662e+00 1.528490128554403915e+00 1.530820378102362156e+00 1.528471555840224205e+00 1.528462562989443496e+00 1.528631658572703556e+00 1.529696767218410969e+00 1.531011276319623082e+00 1.523729482572525606e+00 1.527345177996903614e+00 1.529337157215922893e+00 1.525495783705264286e+00 1.530576573405414864e+00 1.528371155448257968e+00 1.530549657624214799e+00 1.526866725552827209e+00
