x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99 y_base
1.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 -4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 -4.235164736271501695e-19 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 4.235164736271501695e-19 -2.117582368135750848e-19 -2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 4.235164736271501695e-19
1.005102040816326481e+00 4.705171797174316495e-02 3.265371107251258120e-02 5.481105711921147039e-02 4.456318815478469558e-02 3.625784444893894592e-02 4.789018713767174973e-02 4.098828928010087025e-02 4.408516732830371210e-02 3.299821346151824569e-02 4.188474831778560281e-02 3.473224919627446866e-02 4.762370951543078157e-02 4.573388300933850514e-02 4.613808195778661136e-02 6.738922454601062317e-02 3.660578043536902304e-02 3.920716949700179393e-02 3.961633774708115535e-02 4.215819861003649444e-02 5.005546656182665449e-02 3.764014312351331853e-02 3.683445020784066604e-02 3.945226324171500348e-02 5.389087670941100638e-02 4.236096074666875766e-02 3.218988570310465924e-02 5.087689338043493298e-02 6.796352808803150791e-02 4.314698576521314166e-02 3.845900023171086590e-02 5.186696241984319750e-02 5.752039828245595482e-02 4.257546294984929092e-02 3.260398873273386011e-02 4.501030901738749257e-02 4.857105168496662212e-02 4.429202412565452773e-02 5.156631477593467960e-02 4.105894212299990992e-02 5.483811036124450894e-02 3.463710167142370483e-02 4.695188846938857380e-02 4.155119234497134384e-02 3.689832754071201149e-02 5.646824596140934821e-02 5.347673783942968884e-02 3.403893560987748118e-02 4.089906383091600900e-02 4.678004011172377102e-02 4.097000888062005824e-02 3.292839293017059410e-02 4.657468575165786551e-02 5.625818601683019171e-02 2.336674694060420984e-02 4.737871828362791304e-02 5.714140590824832999e-02 5.634941991497307429e-02 5.414243900288468608e-02 3.814409701090441113e-02 4.761321799867713339e-02 4.351900245021445707e-02 3.501433560589022748e-02 4.315082582116788051e-02 4.327280623487298611e-02 6.050939059987248819e-02 5.244828932841680974e-02 7.281516317210558198e-02 4.245792442234243985e-02 4.045494288480130235e-02 5.182327741465275750e-02 4.597738494997076486e-02 3.372987785678487060e-02 3.821351232073499915e-02 6.026711128647817273e-02 4.563350653492345005e-02 4.463185732671934303e-02 2.790341529446291324e-02 3.480923375843458789e-02 4.271379295254135178e-02 4.522873267746242709e-02 3.989715181729010240e-02 5.292808122441331614e-02 4.675085008639467271e-02 4.618743141490416065e-02 5.520459834854139075e-02 3.101283936702346408e-02 4.066303229360816035e-02 4.054575422057653949e-02 5.784215774665790039e-02 3.921142846348767141e-02 4.282253124775148995e-02 5.057051695465106939e-02 3.678326782121914273e-02 3.778521755069480514e-02 5.878351792500360884e-02 4.056934458773290425e-02 3.684600815851329231e-02 4.245296035890179509e-02 7.052591197437325932e-02 4.551809895866404387e-02 4.552546871008714829e-02
1.010204081632652962e+00 9.793378863949181445e-02 6.865279614892197402e-02 1.130761601544888889e-01 9.266759141623158447e-02 7.554055608675162847e-02 1.007848276217639394e-01 8.538123571130322442e-02 9.164931266674164467e-02 6.918502062516039552e-02 8.723586799865723496e-02 7.370139775061937404e-02 9.832096615145828611e-02 9.499075603654688615e-02 9.603989851353376961e-02 1.391869546434850446e-01 7.665803700536399923e-02 8.200995223986459748e-02 8.270033402561401126e-02 8.780933088286703436e-02 1.039797126417425638e-01 7.911134207292452869e-02 7.740522948940761760e-02 8.307104189143096895e-02 1.113750839546134574e-01 8.821128272860215280e-02 6.705203414047007648e-02 1.060262610138758554e-01 1.408706686936957719e-01 8.998163884657656153e-02 8.045221764787945096e-02 1.073580423676655654e-01 1.186546580546815194e-01 8.913440093243649165e-02 6.880186820379716184e-02 9.319838806194832848e-02 1.005811148770432151e-01 9.210907571963504459e-02 1.067126680842594294e-01 8.589104063378906473e-02 1.132204363077904119e-01 7.304823596111519046e-02 9.733134034677744240e-02 8.630493352642394644e-02 7.715734111378763638e-02 1.168861095828221536e-01 1.107926981340999900e-01 7.116225518120433691e-02 8.509197924415255743e-02 9.731674518147791220e-02 8.611913453599669144e-02 6.904736071741583714e-02 9.688911765990235181e-02 1.159507187237064918e-01 4.934266028374414970e-02 9.868290735464789465e-02 1.189036983234373346e-01 1.162902343614346523e-01 1.125461259976691247e-01 8.011672094632218966e-02 9.868179672779182898e-02 9.071397485390680915e-02 7.308935597469398693e-02 9.101556157738296959e-02 8.947101663470617694e-02 1.248575222208609531e-01 1.081284641444910516e-01 1.502750521144620155e-01 8.883783247597379362e-02 8.478910592522541367e-02 1.074058131770173480e-01 9.562254054072001630e-02 7.093893632202537269e-02 7.993094836177323803e-02 1.250382903482207542e-01 9.515150489892496011e-02 9.287406595337302506e-02 5.925911766349615389e-02 7.341174484353704677e-02 8.917992866272624053e-02 9.424772370396310162e-02 8.320029024330394263e-02 1.097282195869777599e-01 9.698539460339480889e-02 9.542338467400662827e-02 1.140469319988864361e-01 6.551377572422144302e-02 8.463036835409679104e-02 8.487957459752736022e-02 1.194105146503436077e-01 8.222373038510445709e-02 8.985752036404692777e-02 1.046461737496946626e-01 7.746492029267258717e-02 7.901247540986845730e-02 1.214489541543548878e-01 8.459942847327170390e-02 7.737668814490940294e-02 8.865153968472765100e-02 1.455058991853611650e-01 9.386355826818329473e-02 9.482263158664236413e-02
1.015306122448979664e+00 1.526978668750239854e-01 1.080279959246995408e-01 1.748239615262378033e-01 1.443539532446812823e-01 1.178732134974929679e-01 1.588106796700143875e-01 1.332154219527481309e-01 1.427290734273874429e-01 1.085956273771573471e-01 1.360889494898152308e-01 1.170252285977028128e-01 1.521143987739753678e-01 1.478079934247715221e-01 1.497513252531028627e-01 2.154538054003947989e-01 1.201879877371356542e-01 1.284811661235582270e-01 1.292781629549884514e-01 1.369886393750181786e-01 1.618214346652250279e-01 1.244860102465137480e-01 1.217567557834623448e-01 1.309449864914419004e-01 1.724869262747883991e-01 1.375930691217063795e-01 1.045981633447008036e-01 1.655047545770786666e-01 2.188079091231970585e-01 1.405458915297014277e-01 1.260246406827783827e-01 1.665104452433802951e-01 1.834266634442304200e-01 1.397608914443528583e-01 1.086287429901419826e-01 1.445815126557047914e-01 1.560645288774791251e-01 1.434821178087532512e-01 1.654873871092992499e-01 1.345474881372057396e-01 1.751726682122566603e-01 1.153060232218981879e-01 1.511678671563522203e-01 1.342789732766839217e-01 1.208260607192643971e-01 1.813085335916564400e-01 1.719995158034834382e-01 1.114033689645834019e-01 1.326094612479516988e-01 1.516638087624434528e-01 1.355145383551466243e-01 1.084035097456980679e-01 1.509976162613946293e-01 1.791080643252931370e-01 7.794743642709064946e-02 1.539777008466378383e-01 1.853934123941413104e-01 1.798524286277776996e-01 1.752620734010145453e-01 1.259791946005056895e-01 1.532293548855152843e-01 1.416301531247500245e-01 1.142501336989746874e-01 1.436993211744025667e-01 1.386074548282276997e-01 1.930807187191035112e-01 1.670638508185860183e-01 2.324336081445051438e-01 1.391795594436976979e-01 1.330634377784452038e-01 1.667792625979047927e-01 1.489829896051382274e-01 1.116665438784925357e-01 1.251900967943130327e-01 1.944046401837921656e-01 1.486223011831906415e-01 1.447678640513769266e-01 9.410920202718418837e-02 1.158629851266954752e-01 1.394432918526314624e-01 1.471202879247681394e-01 1.299395437676364451e-01 1.704465810444355245e-01 1.507267086280522361e-01 1.477272292053578295e-01 1.765574957821564872e-01 1.035496896599818334e-01 1.319268640605083809e-01 1.330339264744905547e-01 1.847445491643440185e-01 1.290856159346449872e-01 1.411836843541739994e-01 1.622586923526635749e-01 1.221373946043685238e-01 1.237223706662478745e-01 1.880335409259785151e-01 1.321204434869997502e-01 1.216452781576363024e-01 1.386339474494007740e-01 2.250062010532012380e-01 1.450527208966078951e-01 1.479411707132896880e-01
1.020408163265306145e+00 2.113931424862223740e-01 1.508085682410895134e-01 2.400823121705129570e-01 1.996611916405151010e-01 1.632798943001558811e-01 2.220872545804597198e-01 1.845257956529535448e-01 1.973595224407042326e-01 1.512635044005597174e-01 1.884780121819947252e-01 1.648145965417902592e-01 2.090260707550220254e-01 2.042213942861330622e-01 2.073161131022364378e-01 2.962477913869638879e-01 1.672254227957913897e-01 1.786896783287963419e-01 1.793749477947112481e-01 1.897298367959616705e-01 2.236271156246637803e-01 1.738325602322509378e-01 1.699311813732991838e-01 1.831577498937669857e-01 2.372595002944365705e-01 1.905464565376040476e-01 1.448397521343414707e-01 2.293662920196363753e-01 3.018574866011508595e-01 1.948797185932566178e-01 1.752190170374867684e-01 2.293599610296440938e-01 2.518598484009330618e-01 1.945343998102269378e-01 1.521179243374922718e-01 1.991766351215760733e-01 2.150543208749411128e-01 1.984408790539071987e-01 2.279366653881154392e-01 1.870768828748734514e-01 2.407198758188549559e-01 1.614790004115218836e-01 2.084899301737700716e-01 1.854906342603243052e-01 1.679509880894542451e-01 2.497880358658353950e-01 2.371465138719823507e-01 1.547941050794372775e-01 1.834809587526325114e-01 2.098723256585659780e-01 1.892197383396019561e-01 1.510410026759043123e-01 2.089518652476554106e-01 2.457598309078747045e-01 1.091998229749377991e-01 2.133249258608831966e-01 2.567113741237263547e-01 2.470651410958652205e-01 2.423389826364413802e-01 1.757895438414812384e-01 2.112788385430792171e-01 1.963106254550063823e-01 1.585207079944847275e-01 2.013012352559438445e-01 1.906948894090696456e-01 2.652141260614277463e-01 2.292772752882401011e-01 3.193427123953944125e-01 1.935210674191202851e-01 1.853356597078402723e-01 2.299741740855963390e-01 2.061040296500677993e-01 1.559500598671147431e-01 1.740269531174817585e-01 2.684526071464556907e-01 2.061106658788192381e-01 2.003526264246822119e-01 1.324934319092160306e-01 1.622153816186402697e-01 1.935466189644799717e-01 2.039065059960653015e-01 1.801437777861922551e-01 2.351273439628719097e-01 2.079972016446069438e-01 2.031179558644062577e-01 2.427658501597495244e-01 1.451649071602695018e-01 1.825764725059748628e-01 1.850398329586357693e-01 2.538823069065489491e-01 1.798433072352032536e-01 1.968754258521554223e-01 2.234386943805406756e-01 1.708878562841837645e-01 1.719535262211789317e-01 2.585732430039722751e-01 1.831613271093587847e-01 1.697022112181551801e-01 1.924366431992276805e-01 3.090901944976682247e-01 1.991017528553256921e-01 2.049283804031434009e-01
1.025510204081632626e+00 2.740665755978351492e-01 1.970224513970170177e-01 3.088783728226114911e-01 2.586265853270220960e-01 2.117837972856330409e-01 2.907274007449722752e-01 2.393458414171369120e-01 2.555743358541031629e-01 1.972205636650036509e-01 2.444356724608175435e-01 2.171739786116274606e-01 2.690775694343549018e-01 2.642653514033937445e-01 2.687760994377443868e-01 3.816245750386611513e-01 2.177988646619180568e-01 2.327007384951773894e-01 2.330148945014877959e-01 2.460652725767992488e-01 2.894412430112511259e-01 2.272157459808045177e-01 2.219686165958103252e-01 2.397884038068869295e-01 3.057248361697023076e-01 2.471098100515250751e-01 1.877881040997244066e-01 2.976623194946181883e-01 3.900977601026855424e-01 2.530213360501460951e-01 2.280760702076537472e-01 2.959411226163484177e-01 3.239772871455913750e-01 2.535301643730264454e-01 1.993011196533859830e-01 2.570004605286206889e-01 2.775823537034149413e-01 2.570139992602831214e-01 2.941047673854409461e-01 2.435254732201321548e-01 3.098866097292521382e-01 2.116319686963822888e-01 2.693250709998593617e-01 2.399568977694184480e-01 2.185763381651720516e-01 3.223749421120168379e-01 3.062809256990380313e-01 2.013648730314797630e-01 2.377347988551258007e-01 2.719910342806872716e-01 2.472949332442696824e-01 1.970017828247039582e-01 2.708011562910734304e-01 3.159348833800590950e-01 1.431177327114353803e-01 2.767833970136795441e-01 3.329531684699937322e-01 3.179567808540691431e-01 3.138234754439029328e-01 2.296027922202842353e-01 2.728526265467435818e-01 2.547965436678575335e-01 2.059242104815362795e-01 2.639149455985044801e-01 2.457460870095334038e-01 3.412918555767678330e-01 2.947911500994857548e-01 4.110524018733729412e-01 2.518986439469828587e-01 2.416605554295640501e-01 2.970201288048988641e-01 2.670289483391504182e-01 2.038250358151392494e-01 2.264759055812203548e-01 3.472643743071188727e-01 2.676781434694927020e-01 2.596660547665199936e-01 1.744494637348912580e-01 2.125186126420780808e-01 2.515307119685176729e-01 2.646635112140596213e-01 2.338407418996379106e-01 3.038129005806239902e-01 2.688187233729639192e-01 2.616142546867360474e-01 3.127007451744694411e-01 1.904014385155483602e-01 2.366023644615872779e-01 2.409270425039276020e-01 3.268605593421493594e-01 2.345407771704295929e-01 2.570032026883682930e-01 2.882158356327403914e-01 2.237986289691449859e-01 2.237427875172477709e-01 3.331029094312500383e-01 2.377499102724766333e-01 2.215953741419598999e-01 2.500945229407365855e-01 3.978186604620962963e-01 2.560267027946964147e-01 2.658293959537503803e-01
1.030612244897959107e+00 3.407631144399501100e-01 2.466964147911068217e-01 3.812387165457323257e-01 3.212859458177155791e-01 2.634073549696061001e-01 3.648378456115363710e-01 2.977077396509613116e-01 3.174059482011481470e-01 2.464973214586584915e-01 3.039932988643728740e-01 2.742019849018202393e-01 3.322900884168820679e-01 3.279730072365594218e-01 3.341714032785723099e-01 4.716376965812741906e-01 2.719357158607771385e-01 2.905762876527979155e-01 2.902214146846292531e-01 3.060260866506079314e-01 3.593065103720357589e-01 2.846969799286133695e-01 2.779073366063856132e-01 3.009118250567263675e-01 3.779140281017180358e-01 3.073199034960794607e-01 2.334544061050699282e-01 3.704420536721044765e-01 4.836035549798765598e-01 3.150073847882510214e-01 2.846346997166606108e-01 3.662873520117144177e-01 3.998017772355996202e-01 3.168195537155094610e-01 2.502086073746573325e-01 3.180695162594663339e-01 3.436794622479692474e-01 3.192291635312743403e-01 3.640342178079271074e-01 3.039373838655606286e-01 3.826969947482380952e-01 2.658263156132811833e-01 3.337000319276230975e-01 2.976944823085488356e-01 2.727442533365158628e-01 3.991176012671345252e-01 3.794481006244703747e-01 2.511448147474720227e-01 2.953983199490810008e-01 3.380665409700631119e-01 3.097973027167141846e-01 2.463257818287034329e-01 3.365926156818885850e-01 3.896614494699977560e-01 1.797183485562654504e-01 3.444091888456785600e-01 4.142095737157476809e-01 3.925551360803493095e-01 3.897603077155359919e-01 2.874712337769991244e-01 3.379726274181742984e-01 3.171273186315049508e-01 2.564829810890402184e-01 3.316290636483740784e-01 3.037738606905800443e-01 4.213471161400252352e-01 3.636275544459825482e-01 5.076110692048940720e-01 3.143470853999718040e-01 3.020902394859437123e-01 3.679458693823767779e-01 3.317992228131281252e-01 2.553254014400591632e-01 2.825699069138980501e-01 4.309182263095983068e-01 3.333833393290172031e-01 3.227443534784568691e-01 2.200130541347193047e-01 2.668198633974315781e-01 3.134346360063177683e-01 3.294457552411195200e-01 2.910572057420014458e-01 3.765440432676170346e-01 3.332126610290262470e-01 3.232345862801378478e-01 3.863902346646034824e-01 2.392991992784002098e-01 2.940270392798505772e-01 3.007241833993214986e-01 4.037149503649645199e-01 2.932199702166417565e-01 3.216338703872617111e-01 3.566189301744103757e-01 2.809475931141285909e-01 2.791254043661144935e-01 4.116564135892115117e-01 2.959130536375267906e-01 2.773703472044588558e-01 3.116410912149500945e-01 4.912500307746970885e-01 3.158435566118740212e-01 3.306874052539736097e-01
1.035714285714285809e+00 4.115258968740370671e-01 2.998561978697691366e-01 4.571894231922807861e-01 3.876737764446779866e-01 3.181723373068662264e-01 4.445196986928757199e-01 3.596425132851499562e-01 3.828856956252112420e-01 2.991230489893250133e-01 3.671811553366480241e-01 3.359918328042464930e-01 3.986845032741825889e-01 3.953763980231375652e-01 4.035406057667182411e-01 5.663387868752062237e-01 3.296623952039006711e-01 3.523752447115116038e-01 3.510172387885123757e-01 3.696423514270003596e-01 4.332640037350119488e-01 3.463346269354917739e-01 3.377839724873430427e-01 3.665990538061364989e-01 4.538573547638272698e-01 3.712120861413104045e-01 2.818497817539746819e-01 4.477527059195666181e-01 5.824464824135904273e-01 3.808731002623865214e-01 3.449321662888329976e-01 4.404310953723269417e-01 4.793559158407560972e-01 3.844703979855019771e-01 3.048693983313513489e-01 3.824002157173148064e-01 4.133755793735912065e-01 3.851132259470182451e-01 4.377659768122993955e-01 3.683548250860892437e-01 4.591748157357863902e-01 3.241203136817348285e-01 4.016408668972391016e-01 3.587199156415569745e-01 3.304950017455282607e-01 4.800625849280492075e-01 4.566916942838060711e-01 3.041619440813611019e-01 3.564979945241191217e-01 4.081435276483790786e-01 3.767812852332694251e-01 2.990511118517441003e-01 4.063714141459452422e-01 4.669672174783812135e-01 2.190182202041067727e-01 4.162558882125215187e-01 5.005669646008101825e-01 4.708874739195337833e-01 4.701925671874589430e-01 3.494446856775180188e-01 4.066603684274737174e-01 3.833408009454498666e-01 3.102186748493505619e-01 4.045275958537394301e-01 3.647911140388852003e-01 5.054123361476872134e-01 4.358083077642563863e-01 6.090656473202840093e-01 3.808998662625943665e-01 3.666744057563561809e-01 4.427794185123026249e-01 4.004547040721371798e-01 3.104836364966312989e-01 3.423406329397685743e-01 5.194888878332440951e-01 4.032821856176411757e-01 3.896223921532113166e-01 2.692182515423036659e-01 3.251640624720131822e-01 3.792959020986262919e-01 3.983052543077217345e-01 3.518190842274392938e-01 4.533601367392470216e-01 4.012000286972392527e-01 3.879972473672487765e-01 4.638617815033976299e-01 2.918962146273094693e-01 3.548724269869278358e-01 3.644589061759807014e-01 4.844801317082969572e-01 3.559210066609502232e-01 3.908309996108365048e-01 4.286760647818728676e-01 3.424085559311936255e-01 3.381351990091746029e-01 4.942667824701450496e-01 3.576767732409334433e-01 3.370706259551414785e-01 3.771086199580451770e-01 5.894406168275833080e-01 3.785682874786144847e-01 3.995438445405388728e-01
1.040816326530612290e+00 4.863964368839733821e-01 3.565266382813400692e-01 5.367561664315801950e-01 4.578234193412732411e-01 3.760999472543042899e-01 5.298689184835230215e-01 4.251801633075762421e-01 4.520439481650572189e-01 3.551259115021100365e-01 4.340285334896313296e-01 4.026317873124636293e-01 4.682814411736272442e-01 4.665065868841150043e-01 4.769209170545212206e-01 6.657777644687146168e-01 3.910044634289945309e-01 4.181537721697206611e-01 4.154245202659067049e-01 4.369432028671396684e-01 5.113533740492220980e-01 4.121842767586937351e-01 4.016336878880321093e-01 4.369176258059518370e-01 5.335843904236773350e-01 4.388204367948809748e-01 3.329853402296761855e-01 5.296396897186963493e-01 6.866952355665433272e-01 4.506524693000375503e-01 4.090042631021317820e-01 5.184039477120601092e-01 5.626621697756197804e-01 4.565472962396280865e-01 3.633113846418670190e-01 4.500089166487422632e-01 4.866998521842823555e-01 4.546923235797494245e-01 5.153396021732089549e-01 4.368182863541539840e-01 5.393435965611748095e-01 3.865693972146803659e-01 4.731730437716552551e-01 4.230496008265821617e-01 3.918671608483417224e-01 5.652548720137562377e-01 5.380538447517847489e-01 3.604432756719599396e-01 4.210595424505300666e-01 4.822649440488969708e-01 4.482988354924414831e-01 3.552142434964968842e-01 4.801809611077467177e-01 5.478794264318437301e-01 2.610333530943461100e-01 4.923748281519302328e-01 5.921076865165352254e-01 5.529806325222431651e-01 5.551618562147647706e-01 4.155707221895914016e-01 4.789370774599732150e-01 4.534734480159024472e-01 3.671523602919945506e-01 4.826903382425773437e-01 4.288108813303069811e-01 5.935192760775828136e-01 5.113550373993241971e-01 7.154617802243008473e-01 4.515892954018359551e-01 4.354605575926222549e-01 5.215481882510378808e-01 4.730337875501249290e-01 3.693309295439666240e-01 4.058186290872887181e-01 6.130478376167119992e-01 4.774281877414282560e-01 4.603338557374584972e-01 3.220975732756533594e-01 3.875941007237698743e-01 4.491506360519063046e-01 4.712918173479929140e-01 4.161515530339605085e-01 5.342992772934652690e-01 4.728015494420618747e-01 4.559204309495040186e-01 5.451423545667550830e-01 3.482288083876352025e-01 4.191599822541215992e-01 4.321580148684785461e-01 5.691898880440404707e-01 4.226823714615898231e-01 4.646551704094661339e-01 5.044147044987300488e-01 4.082515946781761773e-01 4.008047214570296113e-01 5.809663159975572144e-01 4.230663563328204146e-01 4.007378265216681168e-01 4.465282951611281304e-01 6.924448214403255975e-01 4.442169016643362500e-01 4.724385795019933054e-01
1.045918367346938771e+00 5.654147971652665472e-01 4.167317900663802810e-01 6.199642939282550280e-01 5.317671912959580638e-01 4.372109088162620116e-01 6.209767459305765014e-01 4.943497939578084810e-01 5.249102319396716787e-01 4.145330967879658490e-01 5.045638747162822790e-01 4.742055698790137996e-01 5.411013449175281487e-01 5.413937867771858592e-01 5.543483306288990997e-01 7.700030180510153421e-01 4.559867390552325705e-01 4.879655225782114636e-01 4.834649314462683423e-01 5.079569614952598178e-01 5.936129966986504192e-01 4.822989966542106099e-01 4.694903422931928083e-01 5.119318805931125649e-01 6.171241074805674520e-01 5.101779062766841344e-01 3.868722208886716252e-01 6.161468125831256470e-01 7.964158641704278674e-01 5.243783750014670009e-01 4.768854741720988666e-01 6.002367680832630947e-01 6.497429397915674976e-01 5.331119015746241807e-01 4.255614770939761260e-01 5.209119745206695073e-01 5.636807493570937799e-01 5.279919815950162576e-01 5.967933993948034699e-01 5.093667154853201984e-01 6.232266727080257862e-01 4.532264189423068079e-01 5.483215386083483134e-01 4.906998767242322090e-01 4.568977873426737779e-01 6.547380197722288964e-01 6.235753355833589806e-01 4.200149439643354743e-01 4.891080354837853417e-01 5.604721856872416641e-01 5.243996627991065473e-01 4.148501704925246503e-01 5.580630845664894535e-01 6.324249492311908583e-01 3.057792903070195023e-01 5.728153046082697930e-01 6.889104028894345033e-01 6.388611058608051341e-01 6.447084607623400077e-01 4.858948913913684331e-01 5.548237582490761488e-01 5.275604785513240413e-01 4.273046100891743082e-01 5.661932425108905376e-01 4.958463640902340819e-01 6.856991323635941438e-01 5.902892408145453684e-01 8.268439809153803610e-01 5.264466603207517137e-01 5.084942209522018697e-01 6.042790807261668729e-01 5.495735709246898359e-01 4.318973246265668808e-01 4.730334457119672598e-01 7.116635998482160330e-01 5.558726528196922256e-01 5.349113833124881090e-01 3.786821691994986527e-01 4.541510338610308395e-01 5.230337346103586249e-01 5.484532574153514473e-01 4.840791550791991305e-01 6.193984400574421567e-01 5.480377307357713335e-01 5.270222815259009153e-01 6.302585180771527185e-01 4.083317778646987084e-01 4.869107708850292648e-01 5.038475879921898715e-01 6.578772525624017042e-01 4.935410889100438347e-01 5.431642449998119737e-01 5.838617899929443578e-01 4.785433752544939745e-01 4.671653930731319293e-01 6.717866971648041030e-01 4.921064681670494489e-01 4.684118756426636776e-01 5.199303522634497465e-01 8.003153351703626850e-01 5.128054804998022354e-01 5.494100728358413122e-01
