x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y40 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51 y52 y53 y54 y55 y56 y57 y58 y59 y60 y61 y62 y63 y64 y65 y66 y67 y68 y69 y70 y71 y72 y73 y74 y75 y76 y77 y78 y79 y80 y81 y82 y83 y84 y85 y86 y87 y88 y89 y90 y91 y92 y93 y94 y95 y96 y97 y98 y99 y_base
1.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 -4.235164736271501695e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 -4.235164736271501695e-19 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 4.235164736271501695e-19 -2.117582368135750848e-19 -2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 0.000000000000000000e+00 4.235164736271501695e-19
1.005102040816326481e+00 4.625746676291613707e-02 3.189373575049937737e-02 5.418048729693147880e-02 4.382770575489358666e-02 3.561798115040516743e-02 4.677313807908358573e-02 4.026914274859713649e-02 4.337074970232203397e-02 3.228707536971126696e-02 4.115914177004101338e-02 3.374324067994281112e-02 4.705161143285821468e-02 4.501699367844229360e-02 4.535781557138625353e-02 6.657544022039460496e-02 3.584414475082563917e-02 3.843056287743393251e-02 3.886700736073894769e-02 4.142435425695396162e-02 4.926575081552460322e-02 3.678550526214007660e-02 3.599466254799448678e-02 3.851298348919256209e-02 5.321282983487077289e-02 4.162797508422095422e-02 3.161797576763813317e-02 4.997817840847281617e-02 6.699911295827222502e-02 4.236420924396908788e-02 3.768690399338944785e-02 5.116376634373634436e-02 5.685433147870831011e-02 4.170731393100741285e-02 3.177274911341586294e-02 4.438795930300555581e-02 4.790133398395984149e-02 4.356572924731217517e-02 5.087619632169223388e-02 4.024019291265359261e-02 5.417694156558183066e-02 3.377482764402003207e-02 4.627298531480669025e-02 4.089507007925085452e-02 3.616668041618466278e-02 5.570763660381020804e-02 5.272806483486230933e-02 3.336544515866061988e-02 4.021620146457961092e-02 4.600904535043252863e-02 4.003133509259327455e-02 3.221672803993894801e-02 4.580171613670548647e-02 5.564671667877861549e-02 2.275536944593536254e-02 4.656453724548538509e-02 5.619454417221587256e-02 5.568754460764048508e-02 5.327527138356671216e-02 3.728751088936861635e-02 4.692889301510147493e-02 4.274200711443092160e-02 3.435520564214764733e-02 4.207967168037025918e-02 4.271016419526588864e-02 5.981069337898557714e-02 5.185964597169140378e-02 7.196639858668103795e-02 4.159608176706128257e-02 3.959910693588956920e-02 5.108143570742856854e-02 4.522148758513488270e-02 3.293764986261434047e-02 3.744762251835011962e-02 5.937839552493465872e-02 4.481677290541711406e-02 4.388206391709977006e-02 2.707958414448424431e-02 3.393702409626028760e-02 4.190868601368277074e-02 4.443481371093907506e-02 3.917122664029452916e-02 5.216412910701619804e-02 4.605003100351309081e-02 4.561230366238516742e-02 5.452115649381871626e-02 3.019806169136684051e-02 3.996961241702582518e-02 3.971427687309171672e-02 5.715170391420928975e-02 3.836906166304498988e-02 4.189220364569296723e-02 4.989620754114817286e-02 3.590410077215040741e-02 3.703581079486384375e-02 5.805638813556680822e-02 3.983331935461919410e-02 3.602337694857739303e-02 4.164838658896750923e-02 6.972143121774113106e-02 4.499879809088629806e-02 4.473849082641200708e-02
1.010204081632652962e+00 9.479534810789874699e-02 6.565114623786878767e-02 1.106016609062148853e-01 8.977882011874276091e-02 7.302178235467474132e-02 9.632706156292215882e-02 8.255170616768577052e-02 8.883213801714290314e-02 6.637897035708881233e-02 8.437057571041094162e-02 6.975425261707877966e-02 9.607945875568342509e-02 9.216739996505955712e-02 9.295464287717779273e-02 1.359744355655578274e-01 7.365276256367231378e-02 7.892927955640449689e-02 7.975181840092950003e-02 8.491595282318616100e-02 1.008723556851422870e-01 7.571227151712944803e-02 7.407733302794872188e-02 7.933329438960881608e-02 1.087100643562316504e-01 8.532517527639091326e-02 6.481480667008099328e-02 1.024758993577142702e-01 1.370521407177288931e-01 8.689084155005082077e-02 7.740322425443355026e-02 1.045943694859313294e-01 1.160549757576435914e-01 8.569322392186234927e-02 6.551075362946495728e-02 9.075521376573847387e-02 9.794413605141730206e-02 8.924352635265161982e-02 1.039975476188491066e-01 8.264747180753943823e-02 1.106315903916732513e-01 6.962231644846965384e-02 9.465796816930198421e-02 8.372766662145467165e-02 7.426836409952074225e-02 1.138863393759219356e-01 1.078366904858297920e-01 6.850853018171296216e-02 8.239872855885262137e-02 9.426451133906874058e-02 8.239613365629096242e-02 6.623898976378367331e-02 9.383965779093207671e-02 1.135480062205054125e-01 4.693208266829136666e-02 9.545464037116303813e-02 1.151496687305913341e-01 1.136952837163328206e-01 1.091142733438452833e-01 7.672170173144697569e-02 9.599049555609354134e-02 8.764750507265577084e-02 7.049224971937607942e-02 8.674810132877618096e-02 8.726961332102307900e-02 1.221062314542442212e-01 1.058327187885015203e-01 1.469341818048859050e-01 8.544012827276403765e-02 8.140042073791318999e-02 1.044842209566020502e-01 9.264021825573987012e-02 6.781056513517694229e-02 7.690799640868933862e-02 1.215152181334212267e-01 9.191636923087546929e-02 8.991709178193731111e-02 5.599627820422394681e-02 6.995570862771834098e-02 8.600012171096610425e-02 9.110710164770277619e-02 8.033964267630792910e-02 1.067136106472960366e-01 9.423146608398835777e-02 9.316882729395210838e-02 1.113642774177193290e-01 6.229481519752080865e-02 8.190559032287700325e-02 8.159243309773055175e-02 1.167020535456113756e-01 7.888856710943760453e-02 8.616023645091148986e-02 1.019907599496868156e-01 7.396566238019465500e-02 7.605273159305006581e-02 1.185893363743640155e-01 8.169642963294847238e-02 7.411448531307014698e-02 8.547232465424527137e-02 1.423326019924108787e-01 9.184065280452358149e-02 9.171026456082168044e-02
1.015306122448979664e+00 1.456495757254023526e-01 1.012953195829596614e-01 1.692887157255865138e-01 1.378831998597834507e-01 1.122318532540580310e-01 1.487361859716198331e-01 1.268748873869407490e-01 1.364119054698972044e-01 1.023008573337644139e-01 1.296611461996330095e-01 1.081004401125914283e-01 1.471043807147598415e-01 1.414795875138585013e-01 1.428233497107060102e-01 2.082406171442044429e-01 1.134498061766503613e-01 1.215412392956352200e-01 1.226762822650732110e-01 1.305015925256817200e-01 1.548547143313202257e-01 1.168251906548250507e-01 1.142788677402280378e-01 1.225144702194686103e-01 1.665196530340607439e-01 1.311217512597236123e-01 9.960338612298444416e-02 1.575325319739344365e-01 2.102161672441778539e-01 1.336102847368492996e-01 1.191800907107413848e-01 1.603210561611829177e-01 1.776253201113088820e-01 1.320092409786626231e-01 1.012394780316542842e-01 1.391196613604048782e-01 1.501555456431509783e-01 1.370583164527007514e-01 1.593986189882475313e-01 1.272566160600365759e-01 1.693877977807074220e-01 1.075869902472565420e-01 1.451794743000408006e-01 1.285155390068027648e-01 1.143377519637232831e-01 1.745751479174814103e-01 1.653626449412403665e-01 1.054535834294652863e-01 1.265717269374160014e-01 1.448031919087304220e-01 1.271374547543779876e-01 1.020975946927344669e-01 1.441508964538860960e-01 1.737302043552878539e-01 7.254572452477263400e-02 1.467130479637850371e-01 1.769306512876103465e-01 1.740494785052684179e-01 1.675539760227134078e-01 1.183420500100833411e-01 1.472065295285876485e-01 1.347485699217434163e-01 1.084314584800045167e-01 1.340680711738226893e-01 1.336935670136822074e-01 1.869167835685346390e-01 1.619412390998589135e-01 2.249447234299232490e-01 1.315616334963615186e-01 1.254435757862929490e-01 1.602349180957519381e-01 1.422897300515657548e-01 1.046463788963392094e-01 1.184086370768333424e-01 1.864684222905428901e-01 1.413428437731233944e-01 1.381352661231785295e-01 8.677821168500483850e-02 1.080920889703403387e-01 1.323062063660649379e-01 1.400582601190275278e-01 1.235291022243004688e-01 1.636824756130903780e-01 1.445656631166257200e-01 1.426886452576909547e-01 1.705556861930234980e-01 9.632121365973363158e-02 1.258291829264409911e-01 1.256599436884048016e-01 1.786822779520490789e-01 1.215918529336731113e-01 1.328531761638877262e-01 1.563098676568976664e-01 1.142394431815484945e-01 1.170795335167939960e-01 1.816293323693212169e-01 1.256133732453413587e-01 1.143084999690374831e-01 1.315003295143303275e-01 2.178804504159066180e-01 1.405428362692952848e-01 1.409499571966682796e-01
1.020408163265306145e+00 1.988551056752100865e-01 1.388487250073020540e-01 2.302665390711268190e-01 1.881699730022952655e-01 1.532682304287589503e-01 2.040720775063299963e-01 1.732652263981362406e-01 1.861371684083912015e-01 1.400771993055104636e-01 1.770570605630592265e-01 1.488464790326530229e-01 2.001469956838127506e-01 1.929812985523795543e-01 1.949959578399446392e-01 2.834166072630620037e-01 1.552586350168272677e-01 1.663099768991788407e-01 1.676618023085504894e-01 1.782074536434544998e-01 2.112468517413140234e-01 1.601675656513338597e-01 1.566292018213012449e-01 1.681080711418905527e-01 2.266690695668753530e-01 1.790470653906623966e-01 1.359964875421983410e-01 2.151863582029228117e-01 2.865466189667204566e-01 1.825521367085711222e-01 1.630477318139636755e-01 2.183725207264917978e-01 2.415885807954650799e-01 1.807050611291030340e-01 1.389836365586105404e-01 1.894990583097584114e-01 2.045621842648724098e-01 1.870345185435096091e-01 2.171131410829520714e-01 1.741013634268946675e-01 2.304691754638890921e-01 1.477117471273271532e-01 1.978616088138701046e-01 1.752762509957805082e-01 1.564065374847770362e-01 2.378121662412812642e-01 2.253417912466700312e-01 1.442242899215922247e-01 1.727588283495034294e-01 1.976608535052359894e-01 1.742968961705050057e-01 1.398223719935282605e-01 1.967714629646218905e-01 2.362193273411464234e-01 9.961147004169412789e-02 2.003811975609088025e-01 2.416005465954221276e-01 2.367760683391401388e-01 2.286304288305704979e-01 1.621867157190327591e-01 2.005984406829970090e-01 1.840764176649140882e-01 1.481927292773289884e-01 1.840999992664809071e-01 1.819972131657197623e-01 2.542720668028634057e-01 2.202070392316382297e-01 3.060386045758926032e-01 1.799893228103964238e-01 1.717669171903578040e-01 2.183596437009240054e-01 1.942026779113731616e-01 1.434719007299283811e-01 1.619763313245455583e-01 2.542941549905423648e-01 1.931388622713056114e-01 1.885660235291864995e-01 1.194525514332203109e-01 1.483809764800496922e-01 1.808579763902558035e-01 1.913284113631452954e-01 1.687629415707995184e-01 2.231039723815248788e-01 1.970737028083602571e-01 1.941906863542411654e-01 2.321213395148214453e-01 1.323071680808333705e-01 1.717612657353251582e-01 1.719416824594774684e-01 2.431230526455833985e-01 1.665112499842386351e-01 1.820183868143794015e-01 2.128793085889454095e-01 1.567781221799884328e-01 1.601441901671258605e-01 2.472063764340485803e-01 1.716076783351852264e-01 1.566394707177818091e-01 1.797602023815119687e-01 2.964108156215795598e-01 1.911225605111434300e-01 1.924912528937278988e-01
1.025510204081632626e+00 2.544459955915838734e-01 1.783332667475249766e-01 2.935597483343772018e-01 2.406676001638524409e-01 1.961505781062562459e-01 2.624036414001076900e-01 2.217486628566343598e-01 2.380344746204551831e-01 1.797318078788604501e-01 2.265839445423938892e-01 1.920544939980259047e-01 2.552277321280181921e-01 2.466997048382727764e-01 2.495037124471924939e-01 3.615441009567926245e-01 1.991020681683400295e-01 2.132775807018525704e-01 2.147293805639709230e-01 2.280591550893085184e-01 2.700819898472772151e-01 2.057812214614018476e-01 2.011574226187198555e-01 2.161638146831176832e-01 2.891853590102160254e-01 2.291297557222562453e-01 1.740067863349861188e-01 2.754746586841766987e-01 3.660973857855019942e-01 2.337452708025696269e-01 2.090355454724127926e-01 2.787769579257483588e-01 3.079678342782415368e-01 2.318286901210780682e-01 1.787672554705176942e-01 2.419110452057814387e-01 2.611902046358753893e-01 2.391960938149703675e-01 2.771740772332530467e-01 2.232144899352798695e-01 2.938991302848716902e-01 1.900379719865869510e-01 2.527280999003249096e-01 2.240272100996751614e-01 2.005054821694543798e-01 3.036346394498476431e-01 2.878091604837726969e-01 1.848437451647735041e-01 2.209831985413234501e-01 2.528723143508302962e-01 2.239146996969441639e-01 1.794422436234736906e-01 2.517364275963900888e-01 3.010411109510072181e-01 1.281441221647351136e-01 2.564993214798815258e-01 3.092203380160706283e-01 3.019007106736700252e-01 2.923788365145470469e-01 2.082926372139515814e-01 2.561874343625243355e-01 2.356614736389542331e-01 1.897955724788406573e-01 2.369020992925851832e-01 2.321957266990658797e-01 3.242013940333525746e-01 2.806517930589318421e-01 3.902556853218086541e-01 2.307512184287236756e-01 2.204075951083926677e-01 2.788841153162244235e-01 2.484109043782506410e-01 1.843131827452013372e-01 2.076371986038861583e-01 3.250468835117205635e-01 2.473458021984333843e-01 2.412381173127252365e-01 1.540455747933389130e-01 1.908560483393695051e-01 2.316856756029035680e-01 2.449564969748687093e-01 2.160640281478624913e-01 2.850106331591957809e-01 2.517764245763113862e-01 2.476937607433016275e-01 2.960868690680478754e-01 1.702816251411528037e-01 2.197223809934929217e-01 2.204619776105723183e-01 3.100545524023033961e-01 2.136781614825528086e-01 2.337016384602600139e-01 2.717244732482612113e-01 2.016324377264824830e-01 2.052739422282160719e-01 3.153500324724198278e-01 2.197024079734814228e-01 2.011404068132143508e-01 2.302790918380172025e-01 3.779685252325702405e-01 2.435969985319156317e-01 2.463669589013843253e-01
1.030612244897959107e+00 3.124554771978028112e-01 2.197703345965449639e-01 3.591927263377908686e-01 2.954039321372329829e-01 2.408982263292166470e-01 3.237972989773462706e-01 2.723505893923620635e-01 2.921298555432030875e-01 2.212878976401367603e-01 2.782668943377112347e-01 2.377842249530665863e-01 3.123668571884331557e-01 3.026614601910559976e-01 3.063771473288659508e-01 4.426639426051549031e-01 2.450024340302150994e-01 2.624847940595638196e-01 2.638996593979137106e-01 2.800818061933459946e-01 3.313926148467325472e-01 2.537066091986511229e-01 2.478918385441339078e-01 2.667297023274023404e-01 3.540951820157657859e-01 2.813977961032010366e-01 2.136468804526514831e-01 3.384337933935480658e-01 4.489209348127692345e-01 2.872178971159010108e-01 2.571721656359144403e-01 3.415621124451475588e-01 3.767860465431784878e-01 2.854265606241386255e-01 2.206137314159599128e-01 2.963731714603761724e-01 3.200653368305320656e-01 2.935665909751963842e-01 3.396136865071839317e-01 2.746278848836962716e-01 3.597008967487432263e-01 2.346056422713861944e-01 3.098023398453632060e-01 2.747856950837421208e-01 2.466644864190282171e-01 3.720790258151059904e-01 3.527990203344847364e-01 2.273345056559081812e-01 2.712675821932856723e-01 3.104715189068910086e-01 2.760298499993841803e-01 2.209852930075492938e-01 3.090799752897568919e-01 3.682210471080829550e-01 1.581581471109544668e-01 3.151065368636124520e-01 3.798490799516941463e-01 3.694488185335193520e-01 3.588336305761063993e-01 2.566956212303537765e-01 3.139945090136814776e-01 2.895334376443816637e-01 2.332591507554422350e-01 2.925305307633507823e-01 2.843042871247892234e-01 3.967337190684997461e-01 3.432970440472581930e-01 4.776351720160670333e-01 2.838747007912789111e-01 2.714016533243362450e-01 3.418336952992713784e-01 3.049455059984256811e-01 2.271955815083358532e-01 2.554167484908948516e-01 3.987795155436885119e-01 3.040038474825111359e-01 2.961796763340019401e-01 1.905827382215064258e-01 2.355499318909644868e-01 2.848188211944788217e-01 3.009803656914308290e-01 2.654548064641248928e-01 3.494343363853990025e-01 3.086944601705564062e-01 3.032165852018349761e-01 3.624776206784286470e-01 2.102726402145116968e-01 2.697327755901137714e-01 2.712446638324756409e-01 3.795065008705887366e-01 2.631231363429011871e-01 2.879472196824816033e-01 3.328704070335163911e-01 2.488513178821191996e-01 2.524953580994199198e-01 3.860894758192053300e-01 2.699202062954716430e-01 2.478433563280391105e-01 2.830835515045364570e-01 4.625974775791586446e-01 2.979833040929578125e-01 3.026090759096756733e-01
1.035714285714285809e+00 3.729160244369802424e-01 2.631808512956861912e-01 4.271896545468313322e-01 3.524062639651876494e-01 2.875302067542243045e-01 3.883171541394188075e-01 3.250959016615431740e-01 3.484488752904188469e-01 2.647681371832927288e-01 3.321305254498611026e-01 2.860931837868530558e-01 3.715845035174724087e-01 3.608927498267839318e-01 3.656461461343906150e-01 5.268161979607857148e-01 2.929816168846398616e-01 3.139711107608778584e-01 3.151929605482958752e-01 3.343000553142755904e-01 3.952105404501768393e-01 3.039829040347659106e-01 2.968600437008134252e-01 3.198521385077973123e-01 4.214248563764309008e-01 3.358785526109649977e-01 2.549293096065883280e-01 4.040992773967685414e-01 5.350684173176165626e-01 3.429976200762764327e-01 3.074855248175180078e-01 4.067553254743071500e-01 4.480661006003776592e-01 3.415436424135669391e-01 2.645458861570268994e-01 3.529029182065742121e-01 3.812129316143054725e-01 3.501691887674657222e-01 4.044635829776205838e-01 3.283726212738534156e-01 4.278975675848405436e-01 2.814534273311004586e-01 3.691074235291941230e-01 3.275688817337956138e-01 2.949126560877300407e-01 4.431810645609769450e-01 4.203449395205290928e-01 2.717186362805424915e-01 3.236343450907578911e-01 3.704916078398386992e-01 3.306801674736479790e-01 2.644788295378602827e-01 3.688354763489130606e-01 4.377844183306636716e-01 1.896677074828219678e-01 3.762409303174643616e-01 4.535440318119515757e-01 4.394455957291511505e-01 4.280285363448260161e-01 3.074304274447976493e-01 3.740404876140138724e-01 3.457213451074764299e-01 2.786023159269855332e-01 3.510395401977809415e-01 3.383380949783199587e-01 4.718976790649348496e-01 4.081642315905475438e-01 5.682156805472956540e-01 3.393865661549211321e-01 3.247841124532968582e-01 4.072334319684103865e-01 3.638368956961701151e-01 2.721438161538338174e-01 3.053399346283313109e-01 4.755435121769781559e-01 3.631520775489663344e-01 3.534182602359386971e-01 2.290887416519836184e-01 2.824942838157529224e-01 3.402862656647758777e-01 3.594368559020589271e-01 3.169573411956548847e-01 4.164063653612292137e-01 3.678482651972244666e-01 3.607778068361694457e-01 4.313186910738547319e-01 2.523074458967053402e-01 3.218124366114770707e-01 3.243131311663900451e-01 4.515082171927068955e-01 3.148759380071165515e-01 3.447980432945780271e-01 3.963418499850240861e-01 2.984820029741684921e-01 3.018343908161970623e-01 4.594535382003190338e-01 3.222833417844500614e-01 2.967794806944843988e-01 3.381995941538051831e-01 5.503407190279744343e-01 3.542986302972299661e-01 3.612488641276285772e-01
1.040816326530612290e+00 4.358594175055273690e-01 3.085853169867444623e-01 4.975745442863581669e-01 4.117013857396188969e-01 3.360652862409712061e-01 4.560251499466555503e-01 3.800090453549065383e-01 4.070166767093353899e-01 3.101946970070779686e-01 3.881990185358316636e-01 3.370368016346211304e-01 4.329006944872084706e-01 4.214193367080333319e-01 4.273399999044644737e-01 6.140402218894440711e-01 3.430611005815269454e-01 3.677748647485436506e-01 3.686293217197099126e-01 3.907381354893618153e-01 4.615669673233945280e-01 3.566480972200574140e-01 3.480889785622164889e-01 3.755760424776388717e-01 4.912003960595946461e-01 3.925988365601255081e-01 2.978665732427389634e-01 4.725058520333016987e-01 6.245897693135897821e-01 4.011114925049915070e-01 3.600029128176124305e-01 4.743835784734307115e-01 5.218308223326673101e-01 4.002235459850088661e-01 3.105860178931588167e-01 4.115177197606487702e-01 4.446580011623899042e-01 4.090267358686841548e-01 4.717547914451571400e-01 3.844790219711947676e-01 4.985121224618226932e-01 3.306187817982281785e-01 4.306661845786048937e-01 3.823938670080194169e-01 3.452783650155025752e-01 5.169758396301304959e-01 4.904798483888201943e-01 3.180177548113828911e-01 3.781055137135935218e-01 4.329649837832323378e-01 3.879023954819960096e-01 3.099494491663439266e-01 4.310355528964422422e-01 5.097563301364818056e-01 2.226866932940937405e-01 4.399396374866716419e-01 5.303607840577396759e-01 5.119160699679647930e-01 4.999966359945671734e-01 3.605308479313974468e-01 4.363460471611644298e-01 4.042536245345874080e-01 3.258436435285020916e-01 4.124815938700948093e-01 3.943123872133079688e-01 5.497216344064642657e-01 4.752747157655278776e-01 6.620352958503711305e-01 3.973130806415288152e-01 3.805890481230578271e-01 4.751080982349727422e-01 4.251148613885180616e-01 3.191820229264668574e-01 3.574312053703869729e-01 5.553889942125314061e-01 4.248285510499604789e-01 4.129809113285294875e-01 2.695875888932010023e-01 3.317198644893539217e-01 3.981162550005425405e-01 4.203618732219813192e-01 3.705933576268480856e-01 4.859574633539094357e-01 4.292581486872877328e-01 4.203960253570908079e-01 5.026349624198886978e-01 2.964125163380407213e-01 3.759811246961679565e-01 3.796903708336300531e-01 5.260886598402100267e-01 3.689656090867428628e-01 4.042957457018839240e-01 4.621632741298202784e-01 3.505701608411155856e-01 3.533164315035098868e-01 5.354707500072106718e-01 3.768137478940191687e-01 3.479791247324220960e-01 3.956527425049219948e-01 6.412405167430870190e-01 4.125601470568099338e-01 4.223169053683591967e-01
1.045918367346938771e+00 5.013168030565702260e-01 3.560038509189388800e-01 5.703712660989990191e-01 4.733156303412743293e-01 3.865219983807864357e-01 5.269812159225967241e-01 4.371140603636550770e-01 4.678580246639421625e-01 3.575892944872754997e-01 4.464961624754008040e-01 3.906685674463241109e-01 4.963353678840476402e-01 4.842666051074115963e-01 4.914874611516323877e-01 7.043747221045781881e-01 3.952620095313714721e-01 4.239333145140146142e-01 4.242285309020907835e-01 4.494199073197088778e-01 5.304925389742413122e-01 4.117390826011909644e-01 4.016049869596585165e-01 4.339449535154568660e-01 5.634475478985687680e-01 4.515849543109445308e-01 3.424711473629171166e-01 5.436875518287087594e-01 7.175338061992994065e-01 4.615860664028662019e-01 4.147510318982984279e-01 5.444735343334478062e-01 5.981030047950638417e-01 4.615086200180221199e-01 3.587559494080278522e-01 4.722349837479872248e-01 5.104252573364937984e-01 4.701617883456623015e-01 5.415177998494309364e-01 4.429767218719861122e-01 5.715674549840976670e-01 3.821380333753845449e-01 4.945012293327407660e-01 4.392776916874894244e-01 3.977893137960201719e-01 5.934978396974776027e-01 5.632360958953881447e-01 3.662530736980505464e-01 4.347028124172228614e-01 4.979233731695664744e-01 4.477322823309616839e-01 3.574230913436128310e-01 4.957121413622463946e-01 5.841617415467373897e-01 2.572287510472382466e-01 5.062389179005515327e-01 6.103533768247568769e-01 5.868851240045399598e-01 5.747704277691939589e-01 4.160297818423834282e-01 5.009317463576631324e-01 4.651581515017701451e-01 3.750014652504093382e-01 4.769075026574383092e-01 4.522424516314686449e-01 6.302337062188168026e-01 5.446498006140744197e-01 7.591316278985223986e-01 4.576800309776919984e-01 4.388496644556782456e-01 5.454822278915244516e-01 4.888086210859442504e-01 3.683338063875917778e-01 4.117145513466977103e-01 6.383648422184208249e-01 4.890703846219646711e-01 4.748942033433185550e-01 3.121026443117022597e-01 3.832566078284182498e-01 4.583364833390829451e-01 4.837904634489692546e-01 4.263842796187857775e-01 5.581178854090734776e-01 4.929443008465601572e-01 4.820898140196051007e-01 5.764511347821045240e-01 3.426136276520244661e-01 4.322584053428627504e-01 4.373990182382085368e-01 6.032764678502441358e-01 4.254205320858779338e-01 4.664807803168475875e-01 5.303589185889596713e-01 4.051599952298086116e-01 4.069663595890706809e-01 6.141693800668854841e-01 4.335330611871752171e-01 4.014718824568521693e-01 4.554680769182669620e-01 7.353384271778824477e-01 4.727850575267262268e-01 4.858431614018414724e-01
