x y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.132801118248607936e-01 1.133050786156672984e-01 1.130787245056126267e-01 1.132103846815880333e-01 1.131969576934352545e-01 1.132677216781303314e-01 1.131333475641440600e-01 1.133042310073505976e-01 1.131470688211265868e-01 1.132303346355911372e-01 1.133048900112044038e-01 1.130537328892387422e-01 1.133777265727985706e-01 1.132918111805338440e-01 1.132374915818218086e-01 1.131511771411169293e-01 1.130631656909827087e-01 1.133252905739937089e-01 1.134084744146093698e-01 1.135276259272359339e-01 1.134787389193661483e-01 1.131620573229156490e-01 1.133470189583022092e-01 1.131874582672025981e-01 1.134185964998323526e-01 1.133566322561819217e-01 1.127722846576943994e-01 1.134752648009453024e-01 1.132035114977043011e-01 1.131517915346194059e-01
1.024999999999999911e+00 2.487596198916435242e-01 2.488232988864183537e-01 2.483567761722952072e-01 2.486063826130703036e-01 2.486109703546389993e-01 2.487373551586642695e-01 2.484706950141116755e-01 2.488305351696908641e-01 2.485076384386047943e-01 2.486584706464782524e-01 2.488449537893757391e-01 2.482953597558661962e-01 2.489964142441749573e-01 2.488199985586106999e-01 2.486855031456798037e-01 2.485066095599904878e-01 2.483358899597078451e-01 2.488772572018206064e-01 2.490409394958987832e-01 2.492760754656046795e-01 2.492065634345635716e-01 2.485378023236990142e-01 2.488910434534773175e-01 2.485630387673154473e-01 2.490497858030721323e-01 2.489421437727287467e-01 2.477218935033306257e-01 2.492005553562193776e-01 2.486292252317070794e-01 2.485015263780951666e-01
1.037500000000000089e+00 4.072101757163181790e-01 4.073269511107355245e-01 4.066062153084203379e-01 4.069578280439600793e-01 4.070154523942619562e-01 4.071808637818321586e-01 4.067844319622963556e-01 4.073527129366993904e-01 4.068542789435014573e-01 4.070556976366788149e-01 4.073950268561020716e-01 4.064967608079314010e-01 4.076314902631565928e-01 4.073585274163633585e-01 4.071169024566188566e-01 4.068389984313398600e-01 4.065907900687307230e-01 4.074302819790318608e-01 4.076712062349543420e-01 4.080180592136457562e-01 4.079582132166251762e-01 4.068998535163700359e-01 4.074023168766870984e-01 4.068973176879808196e-01 4.076670122100040095e-01 4.075308337807655445e-01 4.056193186203017609e-01 4.079513563308864721e-01 4.070508319884538762e-01 4.068208355922252051e-01
1.050000000000000044e+00 5.894080560654402223e-01 5.895929173566401005e-01 5.886035599745809144e-01 5.890394063666462010e-01 5.891881960909813865e-01 5.893748268019407544e-01 5.888513710815459490e-01 5.896489275619387627e-01 5.889640165027231200e-01 5.891979622188955323e-01 5.897341753821820909e-01 5.884342799428849968e-01 5.900626087095588446e-01 5.896857087500393391e-01 5.893090116325766514e-01 5.889254627283663224e-01 5.886048702988774250e-01 5.897630900144577026e-01 5.900775523856282012e-01 5.905310040805489269e-01 5.905128482729196104e-01 5.890252748038619091e-01 5.896560019813478215e-01 5.889656182844191790e-01 5.900482071097939984e-01 5.899013904388994423e-01 5.872394745238125324e-01 5.905074395239353624e-01 5.892463284544646740e-01 5.888858970720320940e-01
1.062500000000000000e+00 7.961519719567150544e-01 7.964204894844442162e-01 7.951476187910884175e-01 7.956484068185091241e-01 7.959292433224618435e-01 7.961182391736656427e-01 7.954705876763910055e-01 7.965195757336914761e-01 7.956361740361899137e-01 7.958836703095585330e-01 7.966635952237993701e-01 7.949065462686121242e-01 7.970915644429623637e-01 7.966020827647298796e-01 7.960614600684493558e-01 7.955653892364352719e-01 7.951773792039603661e-01 7.966766359284519483e-01 7.970605798996984737e-01 7.976148611865938598e-01 7.976719361729920355e-01 7.957134228199720383e-01 7.964499328285455926e-01 7.955657940357923064e-01 7.969936356414110135e-01 7.968547675292938504e-01 7.933795228134841171e-01 7.976707753725349459e-01 7.960159050766378863e-01 7.954952550120651944e-01
1.074999999999999956e+00 1.028278412949293674e+00 1.028646735940128565e+00 1.027074863202869892e+00 1.027620031125843658e+00 1.028076279163360640e+00 1.028247873298823833e+00 1.027478806022554592e+00 1.028802686370909214e+00 1.027707760594785080e+00 1.027949023339897350e+00 1.029022049624472857e+00 1.026749852765351578e+00 1.029557733703404532e+00 1.028945838194340379e+00 1.028211552184075117e+00 1.027595815248787403e+00 1.027145205903798209e+00 1.029009518120437727e+00 1.029458609223365739e+00 1.030107463430613324e+00 1.030274672526866331e+00 1.027801336906850382e+00 1.028619920276105493e+00 1.027533549442887217e+00 1.029341268353164196e+00 1.029229598119854927e+00 1.024874230287968979e+00 1.030280963145196349e+00 1.028197347652167082e+00 1.027485181950032800e+00
1.087499999999999911e+00 1.286674994416534767e+00 1.287159865256398916e+00 1.285272810980677693e+00 1.285840690415352539e+00 1.286518030799925327e+00 1.286651624273508654e+00 1.285763775743544057e+00 1.287387322634458542e+00 1.286066850367933556e+00 1.286281357705592931e+00 1.287699297722428859e+00 1.284851511195302054e+00 1.288351502362638845e+00 1.287606221530586570e+00 1.286647664383053780e+00 1.285904811974614814e+00 1.285396271385252476e+00 1.287651390768587589e+00 1.288161054998636201e+00 1.288897863682359368e+00 1.289211372099816844e+00 1.286177112814039125e+00 1.287053052708506673e+00 1.285755774006247520e+00 1.287980165425688162e+00 1.287915598135441542e+00 1.282609333842992916e+00 1.289228675980121031e+00 1.286679456010460854e+00 1.285743031185120344e+00
1.100000000000000089e+00 1.572292230464517937e+00 1.572911000903695955e+00 1.570691792108118712e+00 1.571259756106883287e+00 1.572206071671098604e+00 1.572280290070921183e+00 1.571276062261313111e+00 1.573225391563028097e+00 1.571664378326386169e+00 1.571830922458320901e+00 1.573647915944456965e+00 1.570161645673215478e+00 1.574426102358847723e+00 1.573535345681011721e+00 1.572321024443954274e+00 1.571443282067775726e+00 1.570881323423236609e+00 1.573554762825369879e+00 1.574120250530540943e+00 1.574938124138861806e+00 1.575435308367014065e+00 1.571791722904890776e+00 1.572699448745697781e+00 1.571182278543710620e+00 1.573862260766327514e+00 1.573865367937832938e+00 1.567533314507454589e+00 1.575467467680573330e+00 1.572413852252066091e+00 1.571219024900347039e+00
1.112500000000000044e+00 1.886154079623520330e+00 1.886924740485846907e+00 1.884355544392019466e+00 1.884900064673274755e+00 1.886165412887930826e+00 1.886158117931336031e+00 1.885039617307484150e+00 1.887342236842960208e+00 1.885524717345833823e+00 1.885621414054185152e+00 1.887893916759640023e+00 1.883703753724694341e+00 1.888808236736804202e+00 1.887758796941488848e+00 1.886256292834877835e+00 1.885235532280057580e+00 1.884624519478529825e+00 1.887745617143809618e+00 1.888361997157335326e+00 1.889253846742212861e+00 1.889973285607993603e+00 1.885669557005166919e+00 1.886582747939973936e+00 1.884836338926106691e+00 1.888012934755533889e+00 1.888105008751153946e+00 1.880667972005903632e+00 1.890024406462907702e+00 1.886425567977130235e+00 1.884936801064759582e+00
