x y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 1.086059155466500697e-01 1.086272031883709216e-01 1.084008675359655199e-01 1.085387554543558453e-01 1.085161031514871866e-01 1.085925604566000402e-01 1.084550899511668859e-01 1.086239086289424449e-01 1.084662025154102538e-01 1.085555687837768402e-01 1.086207437503617229e-01 1.083789185271598343e-01 1.086931854370050132e-01 1.086068281147163361e-01 1.085593198018614258e-01 1.084733123832847951e-01 1.083819053019396961e-01 1.086440648068673909e-01 1.087295554287265875e-01 1.088516431918833405e-01 1.087934991868678564e-01 1.084813246096018730e-01 1.086744793923571789e-01 1.085147319536190480e-01 1.087433253705967218e-01 1.086751749389804900e-01 1.080951009993441486e-01 1.087898300727829365e-01 1.085213694139383761e-01 1.084755434887483688e-01
1.024999999999999911e+00 2.301212735241278950e-01 2.301701124873943849e-01 2.297033082460984421e-01 2.299788588657975252e-01 2.299452866194769685e-01 2.300951095880009178e-01 2.298156508826650624e-01 2.301669923937879614e-01 2.298420776729471759e-01 2.300179969985038098e-01 2.301657286938279812e-01 2.296541024814360010e-01 2.303157526883296558e-01 2.301377497497014701e-01 2.300307713681831734e-01 2.298529732041061091e-01 2.296686913003213593e-01 2.302099890075623989e-01 2.303831600351259057e-01 2.306307324557565208e-01 2.305233826744370051e-01 2.298729455797001719e-01 2.302600386552512701e-01 2.299309498048387468e-01 2.304067207733169198e-01 2.302742711734026837e-01 2.290711994748562408e-01 2.305162981268949751e-01 2.299579887883737850e-01 2.298549204599112383e-01
1.037500000000000089e+00 3.652305582072585821e-01 3.653136717388406618e-01 3.645917691290378460e-01 3.650037555489689112e-01 3.649729697266593798e-01 3.651923325611278748e-01 3.647663484560325631e-01 3.653149642050266266e-01 3.648125153966247924e-01 3.650715290335938557e-01 3.653212597826496211e-01 3.645098342560231797e-01 3.655544807668775209e-01 3.652786317514255532e-01 3.650994847295805923e-01 3.648238857509568112e-01 3.645451425341889040e-01 3.653839172329753637e-01 3.656467467779294100e-01 3.660228201188147068e-01 3.658763249404728413e-01 3.648597885388880635e-01 3.654406260699033515e-01 3.649324887432158215e-01 3.656758500030264369e-01 3.654834654415026196e-01 3.636113869724795222e-01 3.658663913141936286e-01 3.649953912245109677e-01 3.648224340053274894e-01
1.050000000000000044e+00 5.146295533049851656e-01 5.147541130892931971e-01 5.137619030661880748e-01 5.143082729540765508e-01 5.142957678064704607e-01 5.145802163053303513e-01 5.140030391048640013e-01 5.147647337056695527e-01 5.140736133791505846e-01 5.144117151387035403e-01 5.147847797721624152e-01 5.136416110210121344e-01 5.151073087472468615e-01 5.147265151608735323e-01 5.144618180114776118e-01 5.140821596607566546e-01 5.137072150129825543e-01 5.148632001131773217e-01 5.152175118215381877e-01 5.157248436938971503e-01 5.155502506531774998e-01 5.141379867680371252e-01 5.149116198532284194e-01 5.142145314253866450e-01 5.152476529590785947e-01 5.150001679081469552e-01 5.124098881147801654e-01 5.155382900964468051e-01 5.143302656244487236e-01 5.140736356843262911e-01
1.062500000000000000e+00 6.790304335765540156e-01 6.792040515691042391e-01 6.779256587382406218e-01 6.786036927718669398e-01 6.786265973467379142e-01 6.789711403194814698e-01 6.782378698233515468e-01 6.792295130901039313e-01 6.783377772197127786e-01 6.787504995707422939e-01 6.792699850164354292e-01 6.777612364385277033e-01 6.796884515788406134e-01 6.791947250720113960e-01 6.788304541725665997e-01 6.783402066677809428e-01 6.778671347536147085e-01 6.793615116272121446e-01 6.798090208321809769e-01 6.804502160288393720e-01 6.802594479639082481e-01 6.784199807327240261e-01 6.793849129229784234e-01 6.784886861685663906e-01 6.798354512546211925e-01 6.795381231233477148e-01 6.761771546211093886e-01 6.802464862819760372e-01 6.786755709908902645e-01 6.783204167615622948e-01
1.074999999999999956e+00 8.591661761049181889e-01 8.593968998640775236e-01 8.578157085925340875e-01 8.586221574340016094e-01 8.586991002317517774e-01 8.590982875321060419e-01 8.582036971580236928e-01 8.594432421028613822e-01 8.583381400909274594e-01 8.588206242304295968e-01 8.595112616661936267e-01 8.576012436766177194e-01 8.600328412838280645e-01 8.594172992277890888e-01 8.589388306252657701e-01 8.583311686292290910e-01 8.577578340191394091e-01 8.596132662612944175e-01 8.601556305307894723e-01 8.609332386869936737e-01 8.607390005141497547e-01 8.584389396943151729e-01 8.595933065284043773e-01 8.584874004591256380e-01 8.601733614224940094e-01 8.598318523261696544e-01 8.556442804634570853e-01 8.607262216974049807e-01 8.587649533059448226e-01 8.582954290322959423e-01
1.087499999999999911e+00 1.055794426053762392e+00 1.056090743187814818e+00 1.054189312644302934e+00 1.055120520573109566e+00 1.055271525774150954e+00 1.055719512794166759e+00 1.054657959751784890e+00 1.056164465751498804e+00 1.054832444991916418e+00 1.055379504151642278e+00 1.056267568003386392e+00 1.053918761946260885e+00 1.056900008860975460e+00 1.056152876745909408e+00 1.055545009672641754e+00 1.054812790639698461e+00 1.054136809892952442e+00 1.056377513334155083e+00 1.057016369141638323e+00 1.057932972535491123e+00 1.057748666405677884e+00 1.054952639620751143e+00 1.056294373050332025e+00 1.054967816080898180e+00 1.057020176295190961e+00 1.056640523765236317e+00 1.051566868275404021e+00 1.057737370394170151e+00 1.055356641113758043e+00 1.054755948670208499e+00
1.100000000000000089e+00 1.269700960256159306e+00 1.270071789808571383e+00 1.267831790260970592e+00 1.268883806467056230e+00 1.269130191672593444e+00 1.269620804861187890e+00 1.268386146612465515e+00 1.270179814379662098e+00 1.268606497626751706e+00 1.269212681241333573e+00 1.270325922127812923e+00 1.267498975247144610e+00 1.271077570877969354e+00 1.270188167877495333e+00 1.269435141421854540e+00 1.268570885341614662e+00 1.267789608426391990e+00 1.270441405847668515e+00 1.271178400702774436e+00 1.272236709948629141e+00 1.272076358180493028e+00 1.268746926262974917e+00 1.270273901801556304e+00 1.268715229351073503e+00 1.271162827499210835e+00 1.270751430094241963e+00 1.264728484209626913e+00 1.272067923471331463e+00 1.269236918818205551e+00 1.268487344775348857e+00
1.112500000000000044e+00 1.501702867820859044e+00 1.502157582156359972e+00 1.499559696577489332e+00 1.500728370528668032e+00 1.501092687621712773e+00 1.501619468349963515e+00 1.500204989779740483e+00 1.502307185530662448e+00 1.500477374345064119e+00 1.501137001626193568e+00 1.502504589781165079e+00 1.499158324487507299e+00 1.503384422138333454e+00 1.502341143134981349e+00 1.501426657941192344e+00 1.500422524008899972e+00 1.499533007387071848e+00 1.502623394783586308e+00 1.503460220433771477e+00 1.504663134086877019e+00 1.504541326127946332e+00 1.500638916250318422e+00 1.502349080238491341e+00 1.500546259339898825e+00 1.503419577702879817e+00 1.502983184438198672e+00 1.495943856704980091e+00 1.504537185188382864e+00 1.501223301608115568e+00 1.500306253228336661e+00
