x y_0  y_1  y_2  y_3  y_4  y_5  y_6  y_7  y_8  y_9  y_10  y_11  y_12  y_13  y_14  y_15  y_16  y_17  y_18  y_19  y_20  y_21  y_22  y_23  y_24  y_25  y_26  y_27  y_28  y_29  y_30  y_31  y_32  y_33  y_34  y_35  y_36  y_37  y_38  y_39  y_40  y_41  y_42  y_43  y_44  y_45  y_46  y_47  y_48  y_49  y_50  y_51  y_52  y_53  y_54  y_55  y_56  y_57  y_58  y_59  y_60  y_61  y_62  y_63  y_64  y_65  y_66  y_67  y_68  y_69  y_70  y_71  y_72  y_73  y_74  y_75  y_76  y_77  y_78  y_79  y_80  y_81  y_82  y_83  y_84  y_85  y_86  y_87  y_88  y_89  y_90  y_91  y_92  y_93  y_94  y_95  y_96  y_97  y_98  y_99
1.000000000000000000e+00 -1.058791184067875424e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.058791184067875424e-19 -2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.293955920339377119e-20 0.000000000000000000e+00 0.000000000000000000e+00 -1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 1.058791184067875424e-19 -2.117582368135750848e-19 4.235164736271501695e-19 -5.293955920339377119e-20 1.058791184067875424e-19 0.000000000000000000e+00 1.058791184067875424e-19 -1.058791184067875424e-19 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 4.541058183541377260e-15 -5.293955920339377119e-20 0.000000000000000000e+00 -2.117582368135750848e-19 -5.293955920339377119e-20 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 6.161305218669063066e-15 1.058791184067875424e-19 0.000000000000000000e+00 -1.058791184067875424e-19 1.288468507074635711e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.058791184067875424e-19 5.293955920339377119e-20 2.117582368135750848e-19 -5.293955920339377119e-20 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 -1.058791184067875424e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 2.784087420936705977e-15 0.000000000000000000e+00 0.000000000000000000e+00 1.058791184067875424e-19 1.988304719957774566e-15 0.000000000000000000e+00 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.005102040816326481e+00 1.288971220330788758e-01 3.382876480314335188e-01 1.584695113702414559e-01 6.888173819412766186e-01 1.526826501691974092e-01 3.089082450365738808e-01 6.384919091338697728e-02 3.789657024729200380e-02 2.031798697822931599e-01 2.992171176609655370e-01 1.235932050120172321e-01 3.342447052769016436e-01 5.323485570392694211e-01 1.155561832763608576e-01 1.982336683339889771e-01 1.130243026763655539e-01 2.603024714954029969e-02 4.760231158293885545e-01 5.920390110305973758e-02 1.199465349119663710e-01 1.343744232202203293e+00 1.939296343903055830e-01 1.198245420608805151e-01 1.400287221824944861e-01 3.772575940232508196e-01 3.982192515943521749e-01 7.630471458419413322e-01 3.068222960779492386e-02 1.171646798485300955e+00 1.462770242597574988e-01 6.559505392581953254e-02 1.941129059799035772e-01 1.109039525117648528e-01 1.230745491703907624e-01 1.430162247150477683e-01 2.643767140167906926e-01 8.706742655755780880e-02 7.534685570113256459e-01 1.209884556294762159e-01 1.478668330162225542e-01 2.737325374645927512e-01 1.492662911418817240e-01 8.489347692246461408e-02 1.542556097499030721e-01 8.769053094280612748e-02 3.947998260066509779e-02 1.748297400351015163e-01 5.728802066839725621e-02 1.357996906910578228e-01 1.066845824148667660e-01 8.343832271543153212e+00 2.068658427536484157e-01 2.876908707182942448e-01 1.255997411832809052e-01 1.401444053259173067e-02 2.114319204014274423e-01 6.435046978467607870e-01 4.391428179501309648e-02 1.393131617595127769e-01 5.501600788805675046e-01 3.091044611952144527e-01 2.939039964231296986e-01 6.745433116172258603e-02 2.113947722512546090e-01 6.139858312343396407e-02 7.697715884544344134e-02 1.810032480242801667e-01 9.357258061538423211e-02 5.672514281545069925e-02 1.111497187958844224e-01 1.267901709606400196e-01 3.725339207524339669e-01 1.392004777197771714e-01 2.190431379601384676e-01 2.658204225724302705e-01 5.793480688707960402e-01 6.817213667629476448e-02 2.963191024391660378e-01 4.324137957329382553e-01 7.240313952154412425e-01 6.126538107098662006e-02 5.356159348299852074e-02 1.891934988569964407e-02 2.393350631819334273e-01 6.779750959729681503e-02 1.223383570077414377e-02 2.087325243461796154e-02 1.769326504359073349e-01 9.809584405899883508e-02 4.465285900527159457e-01 8.272861735158928975e-02 9.269384807813155214e-02 4.707694434344851520e-02 3.589306623659445361e-02 1.039120751405358395e-01 4.646213942557441134e-01 1.841773255412409716e-01 6.915769792221339307e-02 5.134653894013155861e-01 1.810186654514425730e-01
1.010204081632652962e+00 2.616045675260463832e-01 6.947911905892125706e-01 3.267157093412410007e-01 1.396184017481875150e+00 3.514019664476731308e-01 6.330610934380097587e-01 1.536917605189863090e-01 7.686225773319138588e-02 5.391114632923567074e-01 6.069393160866425330e-01 2.508237540544790423e-01 6.877442170427522372e-01 1.114140936620109379e+00 2.470215577722750799e-01 4.497309707252194477e-01 2.374714174778110587e-01 7.719550160066095124e-02 1.059349255827724434e+00 1.319123342157138001e-01 2.451524562147189834e-01 2.738422965793266162e+00 3.994893463499061825e-01 2.829498418500328016e-01 3.120203740626741884e-01 8.410881721308740566e-01 8.397979972301268248e-01 1.762053146146746574e+00 8.071968027548254154e-02 2.376430702478135260e+00 2.967322839904075193e-01 1.613595754627567547e-01 3.934902537912712828e-01 2.471453624666368754e-01 2.498783864491760376e-01 2.967380861556463412e-01 5.809307439951396645e-01 1.769122449359746274e-01 1.554122502323803001e+00 2.657932960155365842e-01 3.699296947015527914e-01 6.792128106294925693e-01 3.596028971760700244e-01 2.394996764639477083e-01 3.250314772913566741e-01 1.814072526957822007e-01 1.073422993356302202e-01 4.738651245212590069e-01 1.986325494409496017e-01 2.796876507764778363e-01 3.303204042796656359e-01 1.696975098110118907e+01 4.215689557789316089e-01 5.857395476202752471e-01 2.678804773047912535e-01 2.874077085964257816e-02 4.892010697935714192e-01 1.394927529065478788e+00 8.910824750690740648e-02 2.827195612831448490e-01 1.125353604894344217e+00 6.415786186715747297e-01 6.581007270672184495e-01 1.433867730618439973e-01 5.260696837950457061e-01 1.536719168346144526e-01 1.582969703384155824e-01 3.971199291414799215e-01 2.032883055861184896e-01 1.241680830337754393e-01 2.356676919891980693e-01 2.694385582968698012e-01 8.429584762885844462e-01 3.280179952034706914e-01 4.639396324937133387e-01 5.398381335793953628e-01 1.189100403180400445e+00 1.392950790969623986e-01 6.272079005927455597e-01 1.028875462074368308e+00 1.466690673855702842e+00 1.578069772955021099e-01 1.090674268537191738e-01 3.931125459727590615e-02 4.923927756547141210e-01 1.377228911800931488e-01 2.689294427625663758e-02 5.623792957285517202e-02 4.546616303201388432e-01 2.045840208634855384e-01 9.059813443980102576e-01 1.683202466631609773e-01 1.880385423611463380e-01 1.165683852426334516e-01 9.045348105013827078e-02 2.338128074514088939e-01 9.738075119111437861e-01 3.733033696270882107e-01 1.402517322257945120e-01 1.062342167538759430e+00 3.671659400979842558e-01
1.015306122448979664e+00 3.986464376897380646e-01 1.068817262297026005e+00 5.048930442772706639e-01 2.123234168859462478e+00 5.983624786105540272e-01 9.738041719599610513e-01 2.753611308482527553e-01 1.169903624878722709e-01 1.014901784787845651e+00 9.241792697482453800e-01 3.822272456791172002e-01 1.061383370942017290e+00 1.749306517940117267e+00 3.953840213930553404e-01 7.572111102380512104e-01 3.757983736428889276e-01 1.541215302485968441e-01 1.755108493744724329e+00 2.191636799530821411e-01 3.769698424095651590e-01 4.184994486657387824e+00 6.177471754593808484e-01 4.907010075465101373e-01 5.204787209072216925e-01 1.396616737725565605e+00 1.331306989163166588e+00 3.009391979730817734e+00 1.505367452460652511e-01 3.618203284013544074e+00 4.518937966187674959e-01 2.882079164226056256e-01 5.985042993868918693e-01 4.171902953101122580e-01 3.809709460717314866e-01 4.622524526466949557e-01 9.552119376620086255e-01 2.699857767747351756e-01 2.406363060839629586e+00 4.350286802489004012e-01 6.680851967421886917e-01 1.219803490433638116e+00 6.335015528349270397e-01 4.675231693383663512e-01 5.189457092291493989e-01 2.821422841280017968e-01 2.058774153905160165e-01 9.026746290971610076e-01 4.294492661300672309e-01 4.324768509811728889e-01 6.739662768681486948e-01 2.595694129510981796e+01 6.446376628450913859e-01 8.962282437947814984e-01 4.274669588447329582e-01 4.426699350673381217e-02 8.376842660164843801e-01 2.262180228692781014e+00 1.357404129439218066e-01 4.308351791528155506e-01 1.728356993459825519e+00 9.987143488435310523e-01 1.094782576434434329e+00 2.310224152251904861e-01 9.522426294095331922e-01 2.773259684403240888e-01 2.447656604642171052e-01 6.492697992046131406e-01 3.315892571366935715e-01 2.046838302391209841e-01 3.740439212423585236e-01 4.287425723651258069e-01 1.420743110873444737e+00 5.687088260483669222e-01 7.373147009792069273e-01 8.220575247907578875e-01 1.831578798018825616e+00 2.140117555101971325e-01 9.944906870891626616e-01 1.813943000258753990e+00 2.227317574869747130e+00 2.918348484309709612e-01 1.669282962992319763e-01 6.166808908582979698e-02 7.605485950809588447e-01 2.098532660176226916e-01 4.502189103109364987e-02 1.117798834921336082e-01 8.375260721156861932e-01 3.196347977176116628e-01 1.380199335448711428e+00 2.573169077845850472e-01 2.862146642270487207e-01 2.103042829905933386e-01 1.641647900978986385e-01 3.900806735792854418e-01 1.530276830920626274e+00 5.676800903525490716e-01 2.134646041851173959e-01 1.653929706502553998e+00 5.590089786701413210e-01
1.020408163265306145e+00 5.405682675017511318e-01 1.459711732070694712e+00 6.931548383773997735e-01 2.871163776434390247e+00 8.957827537117649674e-01 1.332568702659123305e+00 4.343660458442080707e-01 1.583775267140825616e-01 1.637864560422814586e+00 1.252014931225867045e+00 5.183782806150817324e-01 1.456028021438380282e+00 2.441991833889596286e+00 5.615992405146412736e-01 1.123432897327903746e+00 5.303614572392498783e-01 2.574639521831182942e-01 2.568859002325093677e+00 3.219638382612132199e-01 5.167266907634652240e-01 5.684474996683925418e+00 8.497795999295159053e-01 7.444459603314454998e-01 7.697006110370474552e-01 2.049094493144018259e+00 1.879181061051859114e+00 4.518881080833404340e+00 2.405733158260670856e-01 4.901082461009528046e+00 6.123278097533567665e-01 4.471519665904731822e-01 8.095512466030809762e-01 6.290439859460683625e-01 5.169468721277930001e-01 6.406495207436628814e-01 1.392653718887434167e+00 3.667605822607136745e-01 3.314903964734031483e+00 6.295041524436012503e-01 1.044457939783553391e+00 1.900071393725163205e+00 9.734643313815259935e-01 7.726954799776004634e-01 7.422782202430252552e-01 3.908691627890141240e-01 3.372704297964398412e-01 1.467451526797216799e+00 7.548763243262065492e-01 5.949971501071272817e-01 1.141283655500190619e+00 3.539487785341808745e+01 8.766118255449698582e-01 1.221256859464193489e+00 6.050297249324112503e-01 6.068131218444727110e-02 1.261169860906046880e+00 3.253409131062549253e+00 1.839781987954605125e-01 5.843236401398229640e-01 2.362300795298477585e+00 1.382023630566592498e+00 1.606503207941431643e+00 3.334129009326270432e-01 1.497748590940644275e+00 4.329276822590530371e-01 3.371748241527316448e-01 9.385044368797984538e-01 4.808166146501202109e-01 3.005011649580555111e-01 5.268102284213288522e-01 6.055119347431153765e-01 2.115156878961164111e+00 8.635902510135029519e-01 1.041750912054751677e+00 1.112484149636095765e+00 2.509308680835127259e+00 2.929510810103849172e-01 1.400075915734680709e+00 2.811486408546818527e+00 3.005221435354513915e+00 4.654677986713041671e-01 2.275480948660527081e-01 8.646032390542839063e-02 1.045179888423060532e+00 2.842715492029584956e-01 6.760470189566947230e-02 1.928423086417052623e-01 1.330020529270186325e+00 4.434333571654086592e-01 1.871176735936473268e+00 3.502625797038131372e-01 3.874133420924179005e-01 3.300226134764198682e-01 2.575234110320049341e-01 5.731691093036911377e-01 2.136846897809017598e+00 7.676233262206259012e-01 2.889870377825500269e-01 2.295491326502855589e+00 7.571496865386926345e-01
1.025510204081632626e+00 6.879398931192721722e-01 1.866888300084169172e+00 8.916568385264858065e-01 3.641230550431472146e+00 1.245926073810216916e+00 1.710884565935372192e+00 6.359227129760357533e-01 2.011238800263828730e-01 2.415693139641377218e+00 1.591595797908896159e+00 6.598961656632833517e-01 1.872532493956141186e+00 3.196623403740613600e+00 7.465976291201609216e-01 1.551234526780967959e+00 7.034220514387364842e-01 3.879209207002844439e-01 3.506711735106855077e+00 4.412938612422103724e-01 6.657339461806635050e-01 7.237947731870420398e+00 1.096677541509931020e+00 1.045615343975383915e+00 1.063804181785443559e+00 2.803983029342064448e+00 2.489770875417669949e+00 6.306269526767752431e+00 3.512915183344146319e-01 6.229477163906160797e+00 7.786430148420493413e-01 6.393270498586905992e-01 1.027053270627534376e+00 8.902891631256319993e-01 6.584414249748193892e-01 8.330301051569872772e-01 1.898632564194757233e+00 4.677344384939415289e-01 4.284839367926799980e+00 8.502471415331306348e-01 1.501452230022247702e+00 2.726003345941853340e+00 1.382037367096248470e+00 1.158850085167793420e+00 1.001000209016158493e+00 5.085484597853713318e-01 5.036210626547326097e-01 2.175242459329774558e+00 1.179815560482739389e+00 7.681012298884921652e-01 1.736675422309840400e+00 4.538706337801084345e+01 1.118044101539655166e+00 1.562955942012653310e+00 8.012929554680130462e-01 7.807249964633564132e-02 1.763908060093910102e+00 4.377142421768486891e+00 2.339988647557077472e-01 7.439034363087577706e-01 3.030733718780343366e+00 1.793261938269538058e+00 2.196242644360943075e+00 4.534456095284173371e-01 2.170093079201673714e+00 6.211161030021512541e-01 4.363059272915306153e-01 1.266027073227255828e+00 6.532263262930871894e-01 4.137299117843634133e-01 6.945462327561373606e-01 8.005761304398769651e-01 2.935387271399759967e+00 1.215084736352249228e+00 1.379808300760168693e+00 1.411127167570312091e+00 3.225044671635359350e+00 3.767302623197177902e-01 1.845978099972974684e+00 4.045102976616770540e+00 3.799697252049153207e+00 6.807514746823024598e-01 2.913253533409961848e-01 1.141382846320561917e-01 1.347672699320704881e+00 3.610668420354210539e-01 9.556839049962621846e-02 3.044513510121282240e-01 1.936893131998729700e+00 5.761812742488918726e-01 2.381087500072962104e+00 4.477058282397400335e-01 4.918365323597020389e-01 4.773807665770387620e-01 3.710463546630748954e-01 7.836171480148710344e-01 2.796464683829905429e+00 9.734627761258896061e-01 3.670184041037481415e-01 2.994325465665201857e+00 9.622275337789826244e-01
1.030612244897959107e+00 8.413584681259246301e-01 2.289857519895336591e+00 1.100560832379882115e+00 4.434753947502723115e+00 1.651132386983251932e+00 2.110394611007101240e+00 8.849871699354824317e-01 2.453331742273193450e-01 3.356650746080645842e+00 1.944149704300801806e+00 8.074513126700522125e-01 2.311747197372822527e+00 4.017977599262538391e+00 9.512913103765955336e-01 2.043575547366818235e+00 8.971503465598049676e-01 5.462462945148622850e-01 4.575469163370474490e+00 5.781176632405873317e-01 8.252923932322940859e-01 8.846572501696350344e+00 1.359552517839116126e+00 1.395722987935400505e+00 1.406757479030812830e+00 3.667046007933953078e+00 3.169397903731916433e+00 8.389813951929193436e+00 4.831825457898645815e-01 7.608114206453606698e+00 9.514952033845207602e-01 8.660204359566933130e-01 1.251460774298696954e+00 1.208122218619314792e+00 8.061364854952851600e-01 1.040513264718365249e+00 2.478531709210103351e+00 5.734346987091848424e-01 5.321720301602765879e+00 1.098530938595919437e+00 2.041808361932677229e+00 3.705279193569536389e+00 1.861845598819557912e+00 1.630003279243391390e+00 1.300802095120153545e+00 6.361334915761294173e-01 7.069640291500101092e-01 3.034214505084045221e+00 1.708973286634742905e+00 9.526708984431938587e-01 2.465446744677102231e+00 5.605586341451466126e+01 1.369501152888244366e+00 1.923500015904552995e+00 1.017042727040374794e+00 9.653026048666446535e-02 2.350163221299034433e+00 5.642452086921892374e+00 2.859905139385795492e-01 9.103560908424753739e-01 3.737700839534344510e+00 2.234456729754335846e+00 2.867481436399153427e+00 5.938496764199141520e-01 2.976505295310871269e+00 8.426139237617404909e-01 5.429349226020346864e-01 1.633214314253282673e+00 8.510051737605250910e-01 5.463667625348263002e-01 8.778856650527409045e-01 1.014792026436368344e+00 3.890668078875178182e+00 1.625767281966502109e+00 1.754045277060297892e+00 1.718001873129683554e+00 3.981798809009274631e+00 4.659567927316563551e-01 2.334341017067375734e+00 5.538596125439909201e+00 4.610042540473174633e+00 9.396764804874909727e-01 3.586546656522093812e-01 1.451335686136649705e-01 1.669428585233594831e+00 4.403348662588122409e-01 1.297857399805123213e-01 4.513406369843880883e-01 2.663251705989138962e+00 7.180980074755175524e-01 2.912316178871212191e+00 5.502023856843820671e-01 5.996973093653897857e-01 6.539667477737117762e-01 5.052790918428815559e-01 1.022060914419431255e+00 3.512238609513393506e+00 1.185541933972773521e+00 4.477671431547178837e-01 3.757844272523724882e+00 1.174922567636480064e+00
1.035714285714285809e+00 1.001451641936494719e+00 2.728255475782391581e+00 1.320038305903852072e+00 5.253115060448341644e+00 2.113851849636317670e+00 2.532870386400279727e+00 1.186288055663490271e+00 2.911129088675972199e-01 4.469783364726621855e+00 2.310990178109279647e+00 9.617724412924903987e-01 2.774526429326310772e+00 4.911259119754545210e+00 1.176581083929314042e+00 2.603581536480361169e+00 1.113627161006997213e+00 7.332634722883556444e-01 5.782782127206802514e+00 7.333898334705226674e-01 9.966994533985134019e-01 1.051159573162627225e+01 1.639542959091160323e+00 1.796387112226699223e+00 1.802407592019422244e+00 4.644450256786559983e+00 3.924413383027121061e+00 1.079097595876352678e+01 6.367736354466660975e-01 9.042067506705182112e+00 1.131592413123629681e+00 1.128703298679292866e+00 1.483254919818179696e+00 1.589387498679969202e+00 9.607672502460986586e-01 1.264244331539103650e+00 3.137809744036555326e+00 6.844230965080769780e-01 6.431641502314523251e+00 1.375909577482557378e+00 2.668664842904108880e+00 4.847622646592548712e+00 2.415628822169310297e+00 2.190442559717519000e+00 1.647120067505513319e+00 7.745761757690496907e-01 9.492898662878941352e-01 4.053975506900309611e+00 2.346900745955308398e+00 1.149623814911567621e+00 3.333995632091353745e+00 6.754894054932263714e+01 1.631564813722908847e+00 2.305121400191064929e+00 1.253135756308388693e+00 1.161455933622517755e-01 3.024268496594866740e+00 7.059134208350595685e+00 3.401531740360128619e-01 1.084535420462540811e+00 4.487839903724177404e+00 2.707942058362903914e+00 3.624286659510894903e+00 7.571987877143994128e-01 3.923991300161874474e+00 1.098239606290207782e+00 6.578370086667316707e-01 2.041640289390676433e+00 1.076287306740887129e+00 7.002997345421838604e-01 1.077523084021562605e+00 1.249051697656969662e+00 4.990417702488925578e+00 2.098416887254355601e+00 2.167040446983869550e+00 2.033132245381545467e+00 4.782871840727099588e+00 5.612301370711004767e-01 2.867462454185163878e+00 7.316529617548302333e+00 5.435574534463300189e+00 1.244196557556599636e+00 4.299279977286927235e-01 1.798601167722461702e-01 2.011871540850890039e+00 5.221784462515602909e-01 1.710773270963017456e-01 6.379748804810984053e-01 3.514680291599586059e+00 8.694224232820906284e-01 3.467493794009578245e+00 6.583176901099886402e-01 7.112201702943694581e-01 8.613102078661463157e-01 6.608036390093455781e-01 1.289246231773869544e+00 4.287472550021138140e+00 1.404217986600906798e+00 5.314511841720482854e-01 4.593661583448743535e+00 1.395958634454554037e+00
1.040816326530612290e+00 1.168880915868380610e+00 3.181871660354798514e+00 1.550274124265878406e+00 6.097756452592400400e+00 2.636680352748014933e+00 2.980229484979400212e+00 1.544359942564711652e+00 3.385744490682585095e-01 5.765162286562227401e+00 2.693524400571114530e+00 1.123654711442731102e+00 3.261736417669836907e+00 5.882189997866670517e+00 1.423363426900945194e+00 3.234592105282063201e+00 1.354844248817106633e+00 9.498800957703628089e-01 7.137329902255191705e+00 9.080635789227669008e-01 1.181255946496354348e+00 1.223436110770714791e+01 1.937820705443833225e+00 2.249352492074127241e+00 2.254510403349307524e+00 5.742878679386475227e+00 4.761262107914830288e+00 1.353528808930512639e+01 8.126352491049441129e-01 1.053678980621837979e+01 1.319700616333080001e+00 1.429067162297039451e+00 1.722950485213629479e+00 2.040610028149484556e+00 1.123129724901415383e+00 1.505403415847523130e+00 3.882074934217868645e+00 8.013010696251786635e-01 7.621340827986415434e+00 1.684261507548483472e+00 3.385628230771057900e+00 6.165259001660522209e+00 3.046279393540085145e+00 2.844824716915537621e+00 2.045161398388271934e+00 9.248330802746304036e-01 1.232566300076625154e+00 5.245968078930336453e+00 3.098034319582632090e+00 1.359920692406482168e+00 4.350043194880061748e+00 8.004803574943805700e+01 1.904833227423916808e+00 2.710124663873814566e+00 1.510508724376636636e+00 1.370111576477082982e-01 3.790683297678418828e+00 8.637912375399860565e+00 3.966999622062012398e-01 1.267378081044609361e+00 5.286500908629141016e+00 3.216400645091835653e+00 4.471413214237260902e+00 9.459108291836187954e-01 5.019387502737194140e+00 1.388920239908406185e+00 7.817915600696205836e-01 2.493103866894097465e+00 1.331171324820117574e+00 8.773113820357781867e-01 1.294221066715865343e+00 1.504290509052228275e+00 6.244389814526354776e+00 2.636073349803999211e+00 2.621415479927808878e+00 2.356553455885439963e+00 5.631888029750229840e+00 6.631431195808548118e-01 3.447820766571041418e+00 9.404874729039759629e+00 6.275647295620428778e+00 1.596246886652106456e+00 5.055358820356918859e-01 2.187149534933566786e-01 2.376455022035369069e+00 6.067080461247131851e-01 2.202127990950847325e-01 8.685727043937448988e-01 4.497369191778362030e+00 1.030414375371490276e+00 4.049539910823600763e+00 7.726293994616428851e-01 8.266413617919760037e-01 1.100893324659464989e+00 8.382469470175336612e-01 1.586042644512148492e+00 5.125702196975609581e+00 1.629861684654942966e+00 6.182983658041326658e-01 5.509692668158450601e+00 1.626106822200125368e+00
1.045918367346938771e+00 1.344345194234004337e+00 3.650676009917217524e+00 1.791470224082218898e+00 6.970181970607547406e+00 3.222397511262459435e+00 3.454554722488670127e+00 1.963577376027394239e+00 3.878331372699992952e-01 7.254165608480512617e+00 3.093261813256077186e+00 1.293968931142757128e+00 3.774263654087528508e+00 6.937111486909548930e+00 1.692537561796501722e+00 3.940212992269370051e+00 1.622703611730257567e+00 1.197103863630188281e+00 8.649029935839115169e+00 1.103098828242179641e+00 1.380272891348639730e+00 1.401632094467276524e+01 2.255597701620473128e+00 2.756513833946714787e+00 2.766761058517946736e+00 6.969657983649023336e+00 5.686552063960453651e+00 1.665345498653588052e+01 1.011388519465457270e+00 1.209814703473206166e+01 1.516650007272526413e+00 1.769066153927753016e+00 1.971099102633444344e+00 2.568027013004275272e+00 1.294089139609702510e+00 1.765214464990442655e+00 4.717166324964749968e+00 9.247156892739863965e-01 8.898313952683036376e+00 2.025844593919866821e+00 4.196852630677276430e+00 7.673521413233043376e+00 3.756881991214305661e+00 3.598286483258414936e+00 2.499928678776530244e+00 1.087871717830915630e+00 1.558760267420402634e+00 6.623965952539379032e+00 3.966735584788943836e+00 1.584573041340690436e+00 5.522916936687342293e+00 9.378123645738355663e+01 2.189921964180291614e+00 3.140901901941719476e+00 1.790188286825737496e+00 1.592216500473060126e-01 4.654054196139439270e+00 1.039067041866805674e+01 4.558583411609452574e-01 1.459915612618836622e+00 6.139895913094060020e+00 3.762915156626382984e+00 5.414424902371414383e+00 1.162244613771231005e+00 6.269414807835543613e+00 1.715705327321741525e+00 9.155872558171549436e-01 2.989659715774322546e+00 1.617737989872864324e+00 1.079080910954421491e+00 1.528817952900589638e+00 1.781495510825758855e+00 7.662838887281545830e+00 3.242100948431193785e+00 3.119859172873800102e+00 2.688314279665928286e+00 6.532833986511278113e+00 7.722830403531035781e-01 4.078103555680551828e+00 1.183177616296113754e+01 7.129668361377874852e+00 1.997762577449768262e+00 5.858685028563086483e-01 2.620786227687206815e-01 2.764669082337399164e+00 6.940423696755303462e-01 2.779114354370613160e-01 1.147128794025319198e+00 5.618262556831084886e+00 1.201356361865874023e+00 4.661712329272588384e+00 8.937299025390827989e-01 9.462092357463764980e-01 1.374161560174867125e+00 1.038289691089463895e+00 1.913459212352509820e+00 6.030734225726987141e+00 1.862857196672075499e+00 7.085468577845926985e-01 6.514268678013557690e+00 1.866189134565800156e+00
