x y_0  y_1  y_2  y_3  y_4  y_5  y_6  y_7  y_8  y_9  y_10  y_11  y_12  y_13  y_14  y_15  y_16  y_17  y_18  y_19  y_20  y_21  y_22  y_23  y_24  y_25  y_26  y_27  y_28  y_29  y_30  y_31  y_32  y_33  y_34  y_35  y_36  y_37  y_38  y_39  y_40  y_41  y_42  y_43  y_44  y_45  y_46  y_47  y_48  y_49  y_50  y_51  y_52  y_53  y_54  y_55  y_56  y_57  y_58  y_59  y_60  y_61  y_62  y_63  y_64  y_65  y_66  y_67  y_68  y_69  y_70  y_71  y_72  y_73  y_74  y_75  y_76  y_77  y_78  y_79  y_80  y_81  y_82  y_83  y_84  y_85  y_86  y_87  y_88  y_89  y_90  y_91  y_92  y_93  y_94  y_95  y_96  y_97  y_98  y_99
1.000000000000000000e+00 -1.058791184067875424e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.058791184067875424e-19 -2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.293955920339377119e-20 0.000000000000000000e+00 0.000000000000000000e+00 -1.694065894508600678e-18 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 2.117582368135750848e-19 1.058791184067875424e-19 -2.117582368135750848e-19 4.235164736271501695e-19 -5.293955920339377119e-20 1.058791184067875424e-19 0.000000000000000000e+00 1.058791184067875424e-19 -1.058791184067875424e-19 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 -2.117582368135750848e-19 4.541058183541377260e-15 -5.293955920339377119e-20 0.000000000000000000e+00 -2.117582368135750848e-19 -5.293955920339377119e-20 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 4.235164736271501695e-19 6.161305218669063066e-15 1.058791184067875424e-19 0.000000000000000000e+00 -1.058791184067875424e-19 1.288468507074635711e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.058791184067875424e-19 5.293955920339377119e-20 2.117582368135750848e-19 -5.293955920339377119e-20 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 -1.058791184067875424e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.117582368135750848e-19 2.117582368135750848e-19 2.117582368135750848e-19 -2.117582368135750848e-19 2.117582368135750848e-19 2.784087420936705977e-15 0.000000000000000000e+00 0.000000000000000000e+00 1.058791184067875424e-19 1.988304719957774566e-15 0.000000000000000000e+00 2.117582368135750848e-19 -2.117582368135750848e-19 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.002547774829871452e+00 8.004777269391182004e-02 1.774037065281030001e-01 8.466184120135036850e-02 3.949707516470103430e-01 8.016661695669896615e-02 1.563308537952398936e-01 3.320506280630824980e-02 2.259538736051033142e-02 1.118755634021958850e-01 2.121862803759959615e-01 8.655112265948225470e-02 1.995761628603466842e-01 2.674139163361614613e-01 5.905161629778277188e-02 1.036141700033134799e-01 6.952673142699418440e-02 1.524615322641320256e-02 2.470475863920231219e-01 3.054886873989712953e-02 6.274404748893760986e-02 7.963308802575279621e-01 9.990573755821249846e-02 6.283663318643532836e-02 7.157868848621579128e-02 1.980675520163333314e-01 2.003318989683282314e-01 4.123860944862134392e-01 1.767165528830491605e-02 6.705249804634560995e-01 1.051383572832392393e-01 3.920868669260612477e-02 1.484991747113564853e-01 5.675532913776147603e-02 7.405267128583316316e-02 7.150719586076767498e-02 1.350769119816981056e-01 5.001539996287995143e-02 3.989283595223892531e-01 7.546424964730222285e-02 8.063338325356486647e-02 1.483231569421029905e-01 7.963235639510844732e-02 4.863255977457817819e-02 7.792139416560339704e-02 4.389204652289090819e-02 2.208993034905059813e-02 1.027795342222857372e-01 3.514538328718278676e-02 6.827602044009807580e-02 6.256737337633773433e-02 4.766286469610021115e+00 1.056518756464975978e-01 1.612032831579610359e-01 6.510269450197103680e-02 7.420545855729966667e-03 1.102130714569356518e-01 3.272959887924347666e-01 2.724101118937082358e-02 8.478040280933715755e-02 4.732039890999263920e-01 1.554872036718412398e-01 1.521540722523962996e-01 3.959966759010322829e-02 1.158092069777451882e-01 3.561504890095298220e-02 3.951128955093854284e-02 9.413645568715141299e-02 4.764514493820292546e-02 2.978764011812610329e-02 5.844032796463408813e-02 6.584231544209855069e-02 1.943957053562511139e-01 7.311956746656443629e-02 1.106143648055584461e-01 1.457559288378937057e-01 2.962251250418973525e-01 4.232261417773357931e-02 1.519946087771143761e-01 2.320182026348811821e-01 5.743569763280348406e-01 3.311195391283910244e-02 2.872495397442346304e-02 1.270511777762855198e-02 1.212962140237237446e-01 4.278865917861299911e-02 6.521053199272769038e-03 1.097639931545713564e-02 1.033544433425270526e-01 5.559984944741998975e-02 2.702078466697320769e-01 5.341006875925725927e-02 6.026813053364023925e-02 2.578639147288792552e-02 2.031706630221334284e-02 5.448975432937098323e-02 2.364338555743552839e-01 1.011839948170807496e-01 3.694778890917415487e-02 2.612123452286243541e-01 1.077567599490957123e-01
1.005089091390734879e+00 1.612369533255764431e-01 3.635232628310353098e-01 1.740453331330290565e-01 7.947061418578313940e-01 1.885518251982337690e-01 3.186041357482337633e-01 8.126347409198768357e-02 4.549436658368233299e-02 3.080112787977604683e-01 4.274942917022782618e-01 1.744111525385167172e-01 4.084251972343815873e-01 5.599021419848224657e-01 1.270463257439227445e-01 2.395759524681616848e-01 1.443720545204064398e-01 4.680364108678863877e-02 5.584069117086518652e-01 6.908091798712245879e-02 1.271499724531557629e-01 1.612988616512916362e+00 2.049243420987522102e-01 1.527637695519843963e-01 1.614442857019716404e-01 4.477891575252264111e-01 4.226102581273524783e-01 9.691536713997038754e-01 4.776505949462566541e-02 1.349388968135391886e+00 2.118434443434553394e-01 9.743956866456604526e-02 2.991759059132631515e-01 1.265613268130189317e-01 1.491675280507556989e-01 1.480466331677637581e-01 3.000521347178958798e-01 1.008005673009954861e-01 8.189723436303172344e-01 1.655071709822559523e-01 2.085301389619596546e-01 3.807357402116485212e-01 1.975314503437557434e-01 1.417301347197116312e-01 1.630049770758631722e-01 9.041522067725685230e-02 6.200582833536483207e-02 2.847348448120440856e-01 1.241899282539218607e-01 1.400177239683622066e-01 2.013611355219105392e-01 9.600246133010392313e+00 2.139135743361332276e-01 3.254848249035008911e-01 1.396412099070526713e-01 1.511888508597890139e-02 2.608767525944905019e-01 7.162974776071515670e-01 5.486343264301437456e-02 1.707086244901801497e-01 9.603245375293930630e-01 3.223542131695423807e-01 3.471057862535100180e-01 8.300246250858038521e-02 2.954780584528823861e-01 9.096211339853887967e-02 8.074724932389244769e-02 2.092900874091660202e-01 1.041722053596766812e-01 6.534433723324294119e-02 1.243208721647414416e-01 1.404754228734334809e-01 4.466699616684861041e-01 1.770572694594950425e-01 2.349876361467578001e-01 2.941023477848894729e-01 6.049466226914815836e-01 8.572320290886276117e-02 3.228195317515744067e-01 5.609254149059290651e-01 1.156832164771427474e+00 8.839748698269657423e-02 5.800928661821332100e-02 2.603509933079952918e-02 2.484096193036794686e-01 8.625514986922148963e-02 1.419292047458258800e-02 2.970169512468730233e-02 2.703512454318294789e-01 1.157001286462212702e-01 5.440002685371885249e-01 1.077993134059911234e-01 1.213936117799059994e-01 6.536362050920613287e-02 5.255754083128293119e-02 1.250342750774725009e-01 4.961008889870034411e-01 2.035521693578969116e-01 7.434008149630225160e-02 5.373178309364727845e-01 2.169174327652304557e-01
1.007623998547563238e+00 2.436994112473449825e-01 5.582543910855541913e-01 2.681843609945618323e-01 1.199380547373702255e+00 3.257428088055516757e-01 4.869931223308079926e-01 1.463219541978847682e-01 6.871724988468307094e-02 5.906364889884321290e-01 6.462537319872632136e-01 2.637502584185237309e-01 6.267987218401758209e-01 8.781528978937729324e-01 2.042755201486738392e-01 4.085756707474554328e-01 2.253929194027307348e-01 9.482279272030426365e-02 9.352162045625855846e-01 1.159054615633769852e-01 1.936254597005392653e-01 2.450095950618153218e+00 3.152959346963822296e-01 2.700670721302368404e-01 2.711347416571692759e-01 7.503906618659548222e-01 6.687857024845591525e-01 1.673955398853609333e+00 9.035946768609384727e-02 2.037235263697670273e+00 3.202941440078286850e-01 1.749325108687652397e-01 4.521634671428961805e-01 2.125456127910137216e-01 2.254652688685040984e-01 2.298705148350076166e-01 4.966184593672854364e-01 1.524529942051733589e-01 1.260826448599028593e+00 2.702658707345307887e-01 3.841080922749249282e-01 6.982133484096055831e-01 3.543396233788296823e-01 2.804805883566298674e-01 2.576666505410510899e-01 1.398556125551370932e-01 1.205256426449472507e-01 5.476693131495964373e-01 2.689279163635798220e-01 2.153887359756584685e-01 4.172775393297630253e-01 1.451535012698308513e+01 3.248780746694185928e-01 4.934013388503621367e-01 2.237041832965013799e-01 2.311670169280687429e-02 4.533181619225780667e-01 1.169052043555043774e+00 8.290384214075836866e-02 2.579124083855860450e-01 1.463197289677002688e+00 5.007410165869545793e-01 5.852897814719820735e-01 1.314089707460750212e-01 5.416603234894139529e-01 1.661113477760584878e-01 1.239445046807701178e-01 3.456052435913160581e-01 1.703982793979982868e-01 1.075117756830730603e-01 1.977034143857649140e-01 2.240731630843472988e-01 7.598238250959622464e-01 3.124548714311036202e-01 3.738509013947545756e-01 4.450249605008003151e-01 9.264318527828038219e-01 1.304148559283599962e-01 5.127959050053072509e-01 9.953749620525281783e-01 1.746984853897663115e+00 1.665519936134022549e-01 8.797494094612215432e-02 4.017331647227974367e-02 3.816624313678306235e-01 1.304108264002632744e-01 2.341033268143839774e-02 5.835032615882255330e-02 5.022872848390893541e-01 1.803175145804173374e-01 8.217506001117451664e-01 1.633385671076823253e-01 1.834190158456955877e-01 1.193389422446916315e-01 9.683315457242967772e-02 2.116807105484893592e-01 7.795398560580908409e-01 3.071488137090312986e-01 1.122062687887548649e-01 8.303573090981458682e-01 3.275929091313249386e-01
1.010152544552210818e+00 3.275674281251633735e-01 7.615287387279299214e-01 3.671149799376500766e-01 1.609172859682445278e+00 4.923395143710336819e-01 6.616750749116353525e-01 2.304034547335993000e-01 9.228434571953685051e-02 9.621412039095381674e-01 8.688060677381594932e-01 3.547452446131923454e-01 8.549417429411383385e-01 1.222875974572171565e+00 2.910184501399513124e-01 6.113203610739719185e-01 3.134009711012064603e-01 1.594786763145902841e-01 1.378799307817323516e+00 1.713172148551079244e-01 2.625588610057917327e-01 3.307801605981660398e+00 4.312522656505402563e-01 4.150603715429522778e-01 4.021036090735948809e-01 1.107120597699603692e+00 9.407110916715633042e-01 2.531223349304700498e+00 1.455461615201479875e-01 2.734725649138971537e+00 4.306768780943054931e-01 2.719866039768941701e-01 6.076004599013782315e-01 3.176548081667185386e-01 3.030687368303382478e-01 3.172199408269884002e-01 7.264035269853125198e-01 2.050698951376317691e-01 1.725213646634184528e+00 3.899847263923682528e-01 6.079244791930328295e-01 1.102459679886653277e+00 5.507147704663367671e-01 4.661197818563976858e-01 3.641853762309463227e-01 1.924848395978810967e-01 1.983924572673566311e-01 8.937703436878936536e-01 4.710637686784366340e-01 2.945473478480533647e-01 7.116010184568639652e-01 1.952572439070355870e+01 4.386362322575158568e-01 6.654916883284570650e-01 3.173956210683169243e-01 3.143475918861140389e-02 6.888373285990391226e-01 1.687677483592180838e+00 1.113994825324160082e-01 3.465237797905537098e-01 1.983843247176699132e+00 6.908707877448433399e-01 8.673345478477499926e-01 1.859519773464281822e-01 8.568602173717860815e-01 2.611720173742783091e-01 1.693282410977731967e-01 5.032960237731748387e-01 2.470963542755516273e-01 1.570812136732225861e-01 2.786635013621220902e-01 3.168109790844158002e-01 1.136770959080519505e+00 4.800004955971352572e-01 5.279025807856349006e-01 5.985109021633312487e-01 1.260982279993306365e+00 1.766019987634940835e-01 7.222608798209593228e-01 1.543755105311387821e+00 2.344363107330109663e+00 2.682399233627277835e-01 1.187383324637541204e-01 5.529411177393617205e-02 5.213635265312381861e-01 1.752675190152641616e-01 3.454506366850843696e-02 9.896945727175580909e-02 8.005757649634379636e-01 2.494757047570096142e-01 1.103846366277855040e+00 2.201948217482919690e-01 2.463881880297581484e-01 1.882857336841349538e-01 1.532680250290773538e-01 3.145240139815776437e-01 1.087306804814094807e+00 4.120187052935355143e-01 1.505757046086043938e-01 1.142278377622864216e+00 4.398966241310595660e-01
1.012674777054130448e+00 4.129739924774883941e-01 9.733178776642280594e-01 4.708762752588270817e-01 2.024266407141885438e+00 6.889640431656220976e-01 8.428321501446365271e-01 3.354161758812641558e-01 1.162159784131932411e-01 1.425134846509557462e+00 1.095505414864213378e+00 4.475803369267765675e-01 1.093094975404056202e+00 1.594811275553902341e+00 3.875444696539835365e-01 8.485446830963870868e-01 4.091638485855582097e-01 2.409755798887985301e-01 1.890700498273281793e+00 2.355982967018325769e-01 3.343203666014835651e-01 4.186283032417125405e+00 5.530177946305303571e-01 5.880920252899581868e-01 5.557276733523948131e-01 1.519267824237240161e+00 1.240150193245630694e+00 3.546341446127170283e+00 2.134305939396644869e-01 3.442541412776118026e+00 5.431862449369119217e-01 3.889694607464279086e-01 7.656310677939308640e-01 4.446647985468996089e-01 3.821032879068088084e-01 4.103258654928972349e-01 9.909839444503520944e-01 2.587484799640647481e-01 2.212891726608167353e+00 5.250246803195267598e-01 8.806944141802484083e-01 1.596002703929293887e+00 7.873405481746669210e-01 6.999571611778410141e-01 4.847111158752001603e-01 2.485610020059360603e-01 2.963207625764872621e-01 1.325693940496478485e+00 7.322250030802173182e-01 3.776471808669906727e-01 1.086060213437928912e+00 2.464631536477119411e+01 5.552771170162192904e-01 8.422783953859701578e-01 4.208368209431552764e-01 4.009293818681684829e-02 9.687225353282555851e-01 2.274401306897783748e+00 1.403883365927148241e-01 4.366795129801076536e-01 2.524504528119000391e+00 8.930557153463344333e-01 1.194085935167582990e+00 2.476994742335061894e-01 1.243446460233194051e+00 3.762964445793928747e-01 2.171130391797713444e-01 6.826534213605109924e-01 3.349992519133327962e-01 2.147954570405492536e-01 3.672918313784037103e-01 4.188679727677324660e-01 1.580370228444664127e+00 6.804437913464530530e-01 6.978126603071775902e-01 7.545489387907897694e-01 1.608936255507071422e+00 2.244809192325614156e-01 9.515720674715018035e-01 2.214306034541583479e+00 2.948508706796813872e+00 3.941002411453286558e-01 1.504106797518929006e-01 7.156331081893918533e-02 6.678096663819484968e-01 2.208375456175478146e-01 4.794706089194950699e-02 1.534865918831676557e-01 1.166779920759953626e+00 3.232059593422305088e-01 1.390690982082253058e+00 2.785316796587623545e-01 3.103462493007075329e-01 2.727468648197494683e-01 2.220013495095128908e-01 4.337111859956296889e-01 1.419982413465822324e+00 5.182071079831350735e-01 1.894777357563752207e-01 1.474943344968074221e+00 5.539447175126017697e-01
1.015190743110849558e+00 5.000530880273273970e-01 1.193637994754785048e+00 5.795112289836503727e-01 2.444848873494391395e+00 9.162702941401905665e-01 1.030652309598711680e+00 4.631624417689028106e-01 1.405325057437783465e-01 1.982510172086359379e+00 1.326719463310794822e+00 5.424480237308092478e-01 1.341497180444351622e+00 1.994737642716755133e+00 4.941152588927353317e-01 1.121022135732008040e+00 5.134059838412834420e-01 3.395516880885205979e-01 2.472722942368767995e+00 3.090201976610960632e-01 4.092630652914633349e-01 5.085749327615463500e+00 6.808107478065631435e-01 7.895514282471471912e-01 7.333145023345032376e-01 1.988179621910175277e+00 1.568786207392183885e+00 4.725849492957853393e+00 2.941345524670921918e-01 4.161384414769027096e+00 6.580256999448331756e-01 5.263275587360906060e-01 9.264053287288538385e-01 5.961902780182245509e-01 4.626971687482264728e-01 5.094100157106297155e-01 1.291899712746853446e+00 3.135862225073937082e-01 2.724659851277535516e+00 6.758754341674577670e-01 1.203311286741807873e+00 2.182320385375502436e+00 1.064936730819318278e+00 9.834030070320843864e-01 6.212722733293210009e-01 3.083295886173579858e-01 4.150027451236266707e-01 1.846663739665254100e+00 1.053974954151787768e+00 4.648378321042359596e-01 1.542894304976077047e+00 2.989307380957272997e+01 6.748883422590544745e-01 1.024269024712298304e+00 5.341683688032893285e-01 4.911026788309339614e-02 1.294265954430632748e+00 2.931603057536048773e+00 1.699092025862723454e-01 5.285216256871448914e-01 3.087686965996816024e+00 1.107704968695559788e+00 1.566634731360516453e+00 3.176570462466803413e-01 1.703665875558639131e+00 5.116841648527654662e-01 2.675036851466208176e-01 8.840533671298783647e-01 4.348035412002365097e-01 2.813504917551342688e-01 4.636957047306141666e-01 5.304289743985861616e-01 2.093459541651168543e+00 9.146121145719362522e-01 8.842268868068627885e-01 9.131296690835252194e-01 1.970672072588357748e+00 2.742402206947922583e-01 1.201112069623806011e+00 3.015248215166836498e+00 3.558962223407657000e+00 5.447518140341325310e-01 1.830983033488164657e-01 8.913866265274256184e-02 8.212866812882863021e-01 2.671337236288794381e-01 6.394542173835231214e-02 2.237168322623689087e-01 1.602649270849439533e+00 4.015476594294223878e-01 1.682705575364440209e+00 3.385097720144813471e-01 3.753395975637136561e-01 3.732379790056788993e-01 3.031901583194233085e-01 5.694459873660113747e-01 1.778179561498985706e+00 6.257597684475817434e-01 2.289417294197356734e-01 1.830137045037502741e+00 6.698561960605633470e-01
1.017700489198214875e+00 5.889399760682183516e-01 1.422555413847314876e+00 6.930675979391102137e-01 2.871112213365135002e+00 1.174953950457461316e+00 1.225330231752481014e+00 6.153474569114835147e-01 1.652543345696501353e-01 2.637513951270666901e+00 1.562830447420586077e+00 6.395499584045919450e-01 1.600387529754185856e+00 2.423482054968266741e+00 6.109870307850591153e-01 1.429576688496900116e+00 6.268089298163901368e-01 4.554840172520793762e-01 3.126971843858174616e+00 3.918457178338600744e-01 4.877238947533401592e-01 6.006444378999044709e+00 8.148441534775955342e-01 1.019875737196324295e+00 9.361099271935263699e-01 2.515280405581551637e+00 1.928230159477903438e+00 6.077689637961372071e+00 3.877983565284356948e-01 4.891978194200707009e+00 7.754082823668305702e-01 6.845979189008701837e-01 1.090079428219793645e+00 7.746936105616589741e-01 5.449819056576206133e-01 6.146857722997194351e-01 1.630669021017748799e+00 3.696811255398879115e-01 3.261365392632170401e+00 8.431712174060801424e-01 1.576869588997117155e+00 2.866005107462513024e+00 1.384269792912215191e+00 1.317997846984273025e+00 7.757826651888669600e-01 3.720243365491888166e-01 5.551146122896580826e-01 2.460589367395552340e+00 1.437825276535539487e+00 5.562655034715153768e-01 2.084932623507984140e+00 3.528316167998396224e+01 7.975563861912224883e-01 1.211957444582573151e+00 6.575522334191346019e-01 5.850495201274486662e-02 1.666779674408301215e+00 3.661860303268984485e+00 2.000017707021694569e-01 6.221979039931030409e-01 3.676211364286909422e+00 1.335335233952165801e+00 1.986349375874990164e+00 3.967696292480750175e-01 2.239656551838390630e+00 6.675863481156703028e-01 3.206959592408473725e-01 1.107965885156168451e+00 5.471734231360091405e-01 3.573967939934441507e-01 5.680005554722968864e-01 6.516866372141401076e-01 2.678891176798860574e+00 1.183428024144159263e+00 1.087770931645309025e+00 1.074245728426049373e+00 2.346611352196552147e+00 3.260612022508726504e-01 1.471293132434525530e+00 3.954923946486673891e+00 4.175268111106627877e+00 7.207987357581612242e-01 2.169028931339668786e-01 1.081702079992834381e-01 9.820706152010146850e-01 3.141693820331599718e-01 8.284921581802200119e-02 3.113698175547723324e-01 2.110159182594253835e+00 4.845488868766369972e-01 1.980330949060236767e+00 4.002871438930127868e-01 4.414159079292528931e-01 4.902506877175377697e-01 3.970121538353353352e-01 7.219942255928998298e-01 2.162551214636410535e+00 7.347229099325596202e-01 2.689970978554162007e-01 2.209574528944949989e+00 7.877530982297583639e-01
1.020204061220407077e+00 6.797714722414212041e-01 1.660193130074497647e+00 8.115988089919725645e-01 3.303252565358572479e+00 1.465762918080801835e+00 1.427068229664893551e+00 7.935879632061902944e-01 1.904019345978811562e-01 3.393826406984639998e+00 1.804236164162962064e+00 7.390979300372967353e-01 1.870008007816646112e+00 2.881929306924990719e+00 7.384127268341600381e-01 1.775094957235794135e+00 7.500112577491765409e-01 5.890936794961103562e-01 3.855903574719651061e+00 4.843308777725411352e-01 5.700244848826953037e-01 6.948650275483723604e+00 9.553268577390835459e-01 1.279556879558634286e+00 1.165305465728872392e+00 3.102091246697797899e+00 2.320029175873341565e+00 7.611509754132123717e+00 4.945831054317429420e-01 5.635069118799985510e+00 8.955573916472409080e-01 8.644214721824537984e-01 1.256816017147414755e+00 9.824930454756815035e-01 6.290927066822146196e-01 7.263590169874959424e-01 2.008803477452408615e+00 4.271319834135683391e-01 3.823911115229586155e+00 1.027711033044343081e+00 2.002690771182153107e+00 3.652979524277004675e+00 1.746163807058634498e+00 1.705444646070225057e+00 9.500480458110931448e-01 4.398680476677369611e-01 7.173229721274797521e-01 3.172210562396623246e+00 1.885248254649043442e+00 6.520736150298273026e-01 2.715691346656897043e+00 4.083518793300163452e+01 9.233669064362044487e-01 1.405824968907638528e+00 7.911739846010693578e-01 6.829438990797521980e-02 2.087612236246490838e+00 4.467999337872248233e+00 2.307067005418128591e-01 7.178624608602289792e-01 4.293275750329304863e+00 1.576584408221539446e+00 2.454915146516535529e+00 4.859226486844148707e-01 2.853460589299849914e+00 8.443105467500872097e-01 3.768774041706370315e-01 1.354965613140401981e+00 6.727445949024087879e-01 4.435403396262905806e-01 6.803515836499604008e-01 7.828435710921101132e-01 3.339568901826193148e+00 1.487928468848733310e+00 1.309054530196932298e+00 1.237891994719185540e+00 2.737222823330378585e+00 3.801181674401196142e-01 1.762561967072217683e+00 5.041954777172652058e+00 4.796979718455570030e+00 9.228356015362880749e-01 2.519217447922123543e-01 1.288005763423926697e-01 1.150428833852602972e+00 3.619583736783405503e-01 1.049481559167027289e-01 4.180563658254092263e-01 2.691554683492773048e+00 5.722670315104538830e-01 2.284029701841612248e+00 4.640196067103418698e-01 5.086241322095443884e-01 6.242556847723234048e-01 5.036686643597185764e-01 8.916897353062714915e-01 2.573798718101278027e+00 8.451432236761067252e-01 3.096733204220674662e-01 2.614908658114916129e+00 9.077606612243290796e-01
1.022701504519739402e+00 7.726862182892555442e-01 1.906738590396866107e+00 9.351648777815999569e-01 3.741470163384407410e+00 1.789508343180369110e+00 1.636077177828414664e+00 9.994208145599910997e-01 2.159958504026425197e-01 4.255651908670839312e+00 2.051351041489227089e+00 8.413149100013483928e-01 2.150605866529745835e+00 3.371032291831696170e+00 8.766442091438851891e-01 2.158539074833135896e+00 8.836080761875956258e-01 7.407515566651129424e-01 4.662382384751040831e+00 5.867268063724848659e-01 6.564718981463583125e-01 7.912691045675989798e+00 1.102464521787272833e+00 1.569148924941343948e+00 1.422045699856216538e+00 3.750250425991922487e+00 2.745674657953462106e+00 9.339043371807170146e+00 6.146729949568143780e-01 6.391427578379731855e+00 1.018707616979879216e+00 1.066558547104023091e+00 1.426784557670114584e+00 1.221770323073898545e+00 7.151688789811220248e-01 8.446289470535288668e-01 2.427823868445836197e+00 4.860386437000687732e-01 4.413262786863638709e+00 1.230484598303145383e+00 2.482352842254943237e+00 4.550781826141905739e+00 2.151511758551986286e+00 2.147644537287718425e+00 1.145772211731545864e+00 5.120733647444823955e-01 9.022912933791303880e-01 3.987275710223553649e+00 2.397688943873276912e+00 7.524034036178426366e-01 3.439492247609171827e+00 4.656948036976164929e+01 1.052405048262659237e+00 1.606341386242280400e+00 9.352451632371092671e-01 7.849519331601988170e-02 2.558165823361145730e+00 5.353151909302134470e+00 2.620656998649630309e-01 8.156763318243277494e-01 4.942531686083860620e+00 1.832229245352758440e+00 2.974381521474159573e+00 5.859425607522905644e-01 3.547036452497273729e+00 1.042225838553204165e+00 4.362280754299121543e-01 1.625743990330150934e+00 8.121280991218952083e-01 5.403433378572735091e-01 8.009155093378458323e-01 9.241145310457509199e-01 4.078487287087887658e+00 1.829286118902131886e+00 1.548675605657854337e+00 1.404065795762350133e+00 3.143026573365049980e+00 4.365786642203808299e-01 2.075404784687360227e+00 6.285418443810634415e+00 5.423664121554263140e+00 1.151452747532409004e+00 2.882479662597055570e-01 1.511652143837413087e-01 1.326621098311823621e+00 4.105150879116173379e-01 1.305131224763187991e-01 5.452948432691355762e-01 3.349399660092620135e+00 6.647694319075563296e-01 2.594288527873097827e+00 5.298610593998085427e-01 5.770144978781377443e-01 7.757057850941576627e-01 6.233877450130983489e-01 1.078941193158963419e+00 3.012680608546356442e+00 9.570678581894201953e-01 3.509999630672209214e-01 3.047737621711918976e+00 1.030007490730721953e+00
