x y_gt y_low y_med y_high
-2.004289965753423886e+01 2.392143213960868486e+00 3.988384442754018056e-68 5.228214389987530122e-25 1.546810014522751884e-32
-1.727108428152082098e+01 3.496894698071087326e+00 1.392402815139326578e-51 7.009598993366839349e-19 2.211546400777737424e-24
-1.449926890550740133e+01 4.931337943460094131e+00 2.156570980888988385e-37 1.236009954794106663e-13 2.112034677190608022e-17
-1.172745352949398168e+01 6.710231051872869834e+00 1.500122511444809406e-25 2.897840569408883344e-09 1.362994511482044933e-11
-8.955638153480563801e+00 8.812779970922235862e+00 4.802348156918089617e-16 9.208635352810953299e-06 6.058341843371322449e-07
-6.183822777467145038e+00 1.117407677989054449e+01 7.453598420761797754e-09 4.123032539848744266e-03 1.921088807456833216e-03
-3.412007401453726274e+00 1.368238499004043440e+01 6.364763948584666389e-04 2.841695103499407016e-01 4.676886899947431120e-01
-6.401920254403072885e-01 1.618445693353248771e+01 4.493311668539310411e-01 3.747020117343298207e+00 1.041414928491440861e+01
2.131623350573111253e+00 1.849951930437265801e+01 8.904701524152210723e+00 1.514029341029967668e+01 3.450342496936345071e+01
4.903438726586530017e+00 2.044050845321321574e+01 2.626956115146252912e+01 3.342812634341080980e+01 4.911395651305047494e+01
7.675254102599948780e+00 2.183914613262970761e+01 4.929668236456460306e+01 5.215481196042853185e+01 5.457337815733870912e+01
1.044706947861336666e+01 2.257014965961630537e+01 5.902571575123254632e+01 5.720992666860757936e+01 5.064202657049346357e+01
1.321888485462678631e+01 2.256972763304591112e+01 6.337759372024055438e+01 4.799995080430202421e+01 4.269926047220857868e+01
1.599070023064020418e+01 2.184462894915765929e+01 5.779571840960556273e+01 3.781987212440545676e+01 3.238378395115245922e+01
1.876251560665362206e+01 2.047008928952795159e+01 3.646953141452587488e+01 2.910170151341641187e+01 2.314218317422087168e+01
2.153433098266704349e+01 1.857745628125502080e+01 2.025365772684536836e+01 2.213499003868454196e+01 1.724744352541422288e+01
2.430614635868046136e+01 1.633438824313630278e+01 1.300603416867589246e+01 1.602699310825947165e+01 1.319017541360972423e+01
2.707796173469387924e+01 1.392177490141904350e+01 7.773931898144905261e+00 1.082802256240232097e+01 8.817400845894058037e+00
2.984977711070729711e+01 1.151168868931200961e+01 5.312432786020355735e+00 7.445117634448192412e+00 6.120448540810552451e+00
3.262159248672071499e+01 9.249846629603485582e+00 3.846342305968683206e+00 5.561737564765929953e+00 4.395561130020641194e+00
3.539340786273413642e+01 7.244605059778669975e+00 3.101674895653089958e+00 4.260244490200193468e+00 3.380041819068173137e+00
3.816522323874755784e+01 5.562889894274423597e+00 1.734243433611824203e+00 3.561890582715356413e+00 2.072709773504529007e+00
4.093703861476097217e+01 4.232106794387353155e+00 1.163996708813082703e+00 2.696538239113472013e+00 1.143897807484297591e+00
4.370885399077438649e+01 3.246248662303099053e+00 9.046344727363971883e-01 1.680077763754206588e+00 9.585613030987639727e-01
4.648066936678780792e+01 2.574195268245001778e+00 8.609500736036812540e-01 1.356162950095466613e+00 7.925528938596995143e-01
4.925248474280123645e+01 2.168475797851590059e+00 4.800067626181665492e-01 1.145448402442633684e+00 6.013873937440420425e-01
5.202430011881465077e+01 1.973319743515888680e+00 3.580475807129503418e-01 7.382629344382296566e-01 4.551301952038377951e-01
5.479611549482805799e+01 1.931407876121357559e+00 1.541280610751233349e-01 4.670050065357166380e-01 5.719329362080605161e-01
5.756793087084148652e+01 1.989162464923470264e+00 3.166383344472010856e-03 5.421247565509110800e-01 6.528372460628076857e-01
6.033974624685490795e+01 2.100605569930523941e+00 5.632984640518579064e-07 7.030061934804791024e-01 3.145540578483463356e-01
6.311156162286832227e+01 2.229808823664646056e+00 5.294762278410108065e-13 5.892806331826678790e-01 3.793094054254304570e-01
6.588337699888172949e+01 2.351884001250461598e+00 2.298819115639678795e-21 4.522386580780819454e-01 4.107050760287939695e-01
6.865519237489516513e+01 2.452460526449035783e+00 4.436108526648385781e-32 4.372083087720604055e-01 2.386923315523715727e-01
7.142700775090858656e+01 2.525744191427880647e+00 3.753118242891417830e-45 4.471364549174998149e-01 1.389301353099434144e-01
7.419882312692199378e+01 2.571529456304689099e+00 1.384515998826214204e-60 4.714287518833658042e-01 1.308820677632853147e-01
7.697063850293541520e+01 2.591831293008191928e+00 2.221952716913816225e-78 3.627241220702794311e-01 1.520609159213784367e-01
7.974245387894883663e+01 2.587960371477818100e+00 1.549857353580848797e-98 2.760750616440123539e-01 1.689209198496035014e-01
8.251426925496225806e+01 2.558776881039910300e+00 4.696744675801502887e-121 2.408603625463704989e-01 2.183496951412329801e-01
8.528608463097567949e+01 2.500514274442395823e+00 6.182707677876283298e-146 2.113363179694013605e-01 1.607685130591166300e-01
8.805790000698908671e+01 2.408070122377766076e+00 3.535143396038360457e-173 2.057134317438707727e-01 9.035830325710388078e-02
9.082971538300250813e+01 2.277195085664310170e+00 8.779492189549209451e-203 1.835312159202605597e-01 2.098949601256351605e-02
9.360153075901592956e+01 2.106746126242790229e+00 9.470230978183145134e-235 2.676369731491561321e-01 4.885963568835623031e-04
9.637334613502935099e+01 1.900199891307087885e+00 4.436887080980489767e-269 2.584079590467847076e-01 8.599298444457342154e-07
9.914516151104275821e+01 1.665922270768046554e+00 9.028630897029458818e-306 1.674828614450086794e-01 1.040104777302922321e-10
1.019169768870561796e+02 1.416133833202789072e+00 0.000000000000000000e+00 1.282048465066718546e-01 8.307336724687485070e-16
1.046887922630696153e+02 1.164928240647360447e+00 0.000000000000000000e+00 3.560590394014409577e-02 4.309190749624180561e-22
1.074606076390830083e+02 9.259504805846415776e-01 0.000000000000000000e+00 2.127315678164875233e-03 1.441547576751247774e-29
1.102324230150964297e+02 7.103628397828410934e-01 0.000000000000000000e+00 2.187690434730615955e-05 3.100680421230086040e-38
1.130042383911098653e+02 5.255498497036725780e-01 0.000000000000000000e+00 3.260289619107798443e-08 4.282701492595626038e-48
1.157760537671232868e+02 3.747340795679754977e-01 0.000000000000000000e+00 6.470803215831252712e-12 3.796369628260399974e-59
