x y_gt y_pr
1.000000000000000000e+00 0.000000000000000000e+00 5.293955920339377119e-20
1.000323000000000073e+00 0.000000000000000000e+00 1.528286575056724862e-02
9.998249999999999638e-01 9.999999999999161036e-04 2.376379324264014183e-05
9.979409999999999670e-01 9.999999999999161036e-04 -3.264880063639997629e-04
9.968289999999999651e-01 2.000000000000048614e-03 -2.588973780870867562e-05
9.951879999999999615e-01 2.999999999999964501e-03 -8.059937408998215486e-06
9.940250000000001585e-01 2.999999999999964501e-03 -1.025485808542468300e-05
9.932720000000001548e-01 3.999999999999880387e-03 -1.184408039777680689e-05
9.925950000000000051e-01 5.000000000000013115e-03 -1.318965325540983398e-05
9.923389999999999711e-01 3.600000000000000422e-02 -1.384533304580598800e-05
9.921100000000000474e-01 6.700000000000000400e-02 -1.425768567416411031e-05
9.924830000000000041e-01 6.900000000000004741e-02 -1.355125152752892400e-05
9.930130000000000345e-01 6.999999999999996503e-02 -1.239121885038232741e-05
9.935230000000001560e-01 7.099999999999988265e-02 -1.141577996834124777e-05
9.938690000000000024e-01 7.200000000000000844e-02 -1.051710657684098491e-05
9.962349999999999817e-01 7.299999999999992606e-02 -6.415185915373869171e-06
9.969339999999999868e-01 7.400000000000006573e-02 -1.604556009927195605e-04
9.973180000000000378e-01 7.499999999999998335e-02 -4.766117442115583129e-04
9.986160000000001702e-01 7.599999999999990097e-02 -3.562806654183348510e-04
9.999149999999999983e-01 7.700000000000002676e-02 9.267249695447502293e-04
1.000963999999999965e+00 7.799999999999994438e-02 4.860136088250633507e-02
1.001317000000000013e+00 7.899999999999986200e-02 6.866927038025279206e-02
1.001503000000000032e+00 7.999999999999998779e-02 7.926857552811279739e-02
1.001972000000000085e+00 8.099999999999990541e-02 1.036151234815360922e-01
1.002512000000000070e+00 5.199999999999996292e-02 1.315835321078836495e-01
1.002890000000000059e+00 2.300000000000001696e-02 1.516882801258624680e-01
1.004699999999999926e+00 2.399999999999993111e-02 2.445001275301317833e-01
1.005438000000000054e+00 2.500000000000006384e-02 2.856418071101885503e-01
1.005633999999999917e+00 7.999999999999998779e-02 3.108990856551965276e-01
1.006982000000000044e+00 1.119999999998999990e-01 3.836571821400888704e-01
1.007469000000000170e+00 1.129999999999999893e-01 4.182374203083264463e-01
1.007698999999999900e+00 1.139999999999000008e-01 4.332472431415347880e-01
1.008103999999999889e+00 1.149999999999000017e-01 4.647575214739483318e-01
1.008528000000000091e+00 1.160000000000000059e-01 4.932873312303437396e-01
1.009352000000000027e+00 1.479999999998999893e-01 5.389393620555382736e-01
1.009714999999999918e+00 1.489999999999999936e-01 5.624413887188457473e-01
1.010052000000000172e+00 1.809999999998999909e-01 5.798473034104606461e-01
1.010751000000000177e+00 2.669999999999000395e-01 6.313789791313434430e-01
1.011102000000000167e+00 3.539999999999000058e-01 6.671950208071730781e-01
1.011943000000000037e+00 3.860000000000000098e-01 7.366867261904204156e-01
1.012666999999999984e+00 3.869999999999999551e-01 7.840154780093132603e-01
1.014320000000000110e+00 4.430000000000000049e-01 8.896452636528413560e-01
